_ts|player_id|place|move
0|40711|mf|pass
2|131971|mf|bpas
6|17804|di|bpas
7|95742|oi|pass
9|17804|da|brec
9|77711|oa|lbal
11|17804|da|bout
15|80480|oa|pass
21|40711|oa|lbal
24|95742|oa|bout
34|8432|da|pass
38|17861|da|rec
39|17861|di|pass
50|8432|da|bpas
55|80480|da|brec
56|80480|da|pass
59|131897|da|bpas
62|17804|mf|brec
63|17804|mf|bpas
64|95742|mf|int
66|95742|mf|brec
66|80480|di|rec
67|80480|di|pass
67|59115|di|rec
68|59115|di|pass
70|95742|mf|pass
70|77711|mf|rec
71|77711|mf|pass
72|95742|mf|bpas
75|17861|mf|brec
76|17861|mf|pass
76|3508|mf|rec
77|3508|mf|pass
77|18003|mf|cond
78|18003|mf|pass
80|17804|mf|cond
81|17804|mf|pass
84|18003|di|bpas
86|17861|di|fsuf
86|40539|mf|bpas
103|18003|di|pass
104|17861|di|rec
105|17861|di|pass
106|52356|mf|cond
107|52356|mf|pass
111|17279|mf|fsuf
111|47659|mf|foul
118|52356|mf|pass
119|12237|mf|rec
120|12237|mf|pass
121|52356|mf|rec
122|52356|mf|pass
125|12237|mf|bpas
127|131897|da|gsav
129|131897|da|pass
130|40539|di|cond
131|40539|di|pass
135|80480|mf|cond
136|80480|mf|pass
139|95742|mf|cond
140|95742|mf|pass
142|154685|di|rec
143|154685|di|pass
148|40539|di|cond
149|40539|di|pass
155|154685|di|bpas
159|17861|di|clea
161|52356|di|clea
163|59115|mf|pass
165|100887|oi|rec
166|100887|oi|pass
169|95742|mf|rec
170|95742|mf|pass
174|80480|oa|rec
175|80480|oa|pass
178|77711|oi|bpas
180|17861|da|brec
180|100887|oa|lbal
182|12237|da|clea
184|47659|mf|pass
187|95742|oi|bpas
188|52356|di|int
190|59115|mf|pass
191|80480|mf|rec
192|80480|mf|pass
195|95742|mf|rec
196|95742|mf|pass
196|77711|mf|cond
197|77711|mf|pass
200|40539|mf|cond
201|40539|mf|pass
202|59115|mf|cond
203|59115|mf|pass
207|100887|mf|rec
208|100887|oi|pass
210|8432|da|lbal
211|131971|oa|lbal
213|131971|oa|bout
226|8432|da|pass
227|17861|da|cond
228|17861|di|pass
231|52356|di|rec
232|52356|di|pass
242|3508|di|bpas
244|40539|mf|brec
246|40539|mf|pass
249|100887|oi|cond
250|100887|oi|wsho
251|100887|oa|bout
264|8432|da|pass
272|17861|da|cond
273|17861|di|pass
276|17804|mf|lbal
277|17804|mf|bout
286|80480|mf|pass
290|3508|di|foul
290|77711|oi|fsuf
313|77711|oi|bpas
318|77390|da|fsuf
318|47659|oa|foul
328|8432|da|pass
329|18003|di|cond
330|18003|di|pass
332|17804|di|cond
333|17804|di|pass
334|77390|di|rec
335|77390|di|pass
335|19524|mf|rec
336|19524|mf|pass
337|17804|di|bpas
338|95742|mf|pass
339|3508|di|brec
339|40711|oi|lbal
340|77390|di|brec
341|77390|di|pass
341|17804|di|cond
342|17804|di|pass
342|3508|di|cond
343|3508|di|pass
343|12237|di|cond
344|12237|di|pass
344|17861|di|rec
345|17861|di|pass
348|52356|mf|drib
348|100887|mf|dled
349|52356|mf|pass
350|19524|mf|rec
351|19524|mf|pass
361|17279|oi|fsuf
361|59115|di|foul
385|77390|oi|pass
386|12237|oi|rec
387|12237|oi|pass
388|17279|oa|rec
389|17279|oa|pass
389|12237|oi|rec
390|12237|oi|pass
393|3508|oi|cond
394|3508|oi|pass
396|17804|mf|cond
397|17804|mf|pass
397|19524|mf|rec
398|19524|mf|pass
398|17804|mf|rec
399|17804|mf|pass
406|52356|di|rec
407|52356|di|pass
408|77390|mf|cond
409|77390|mf|pass
413|12237|mf|cond
414|12237|mf|pass
416|3508|mf|rec
417|3508|mf|pass
418|12237|mf|cond
419|12237|mf|pass
420|19524|mf|rec
421|19524|mf|pass
422|17804|mf|rec
423|17804|mf|pass
424|19524|mf|rec
425|19524|mf|pass
428|40711|mf|brec
428|12237|mf|lbal
431|40711|oi|bout
447|17804|mf|pass
449|19524|mf|lbal
450|95742|mf|bpas
452|12237|mf|brec
453|12237|di|bout
464|80480|oi|pass
464|59115|oi|cond
465|59115|oi|pass
467|80480|oi|bpas
469|19524|di|int
470|19524|di|bout
473|80480|oi|pass
474|95742|oi|rec
475|95742|oi|pass
475|80480|oi|rec
476|80480|oi|pass
478|40539|mf|rec
479|40539|mf|pass
482|154685|mf|cond
483|154685|mf|pass
486|131897|di|cond
487|131897|di|pass
491|154685|mf|bpas
493|52356|mf|int
494|52356|mf|brec
496|14402|oi|lbal
497|40539|da|pass
500|80480|da|brec
501|80480|da|bpas
507|3508|oi|brec
508|19524|oi|rec
509|19524|oi|pass
510|77390|oi|rec
511|77390|oi|pass
511|12237|oi|rec
512|12237|oi|pass
514|52356|oi|rec
515|52356|oi|pass
517|17279|oi|bpas
519|100887|da|int
520|100887|da|bout
533|52356|oa|pass
534|100887|da|int
534|17279|oa|bpas
535|100887|da|bpas
536|17279|oi|int
537|17279|oa|bout
547|47659|di|pass
547|59115|di|rec
548|59115|di|pass
549|47659|da|bpas
552|100887|mf|lbal
552|3508|mf|brec
553|95742|di|pass
553|3508|mf|bpas
554|59115|di|bpas
556|19524|mf|int
557|17804|mf|brec
558|17804|mf|pass
559|59115|di|pass
559|77390|mf|bpas
561|77711|mf|brec
564|77711|mf|pass
565|95742|mf|cond
566|95742|mf|pass
569|59115|mf|bpas
573|59115|oa|bout
596|8432|da|pass
601|154685|di|lbal
601|14402|oi|brec
602|14402|oi|pass
602|17279|oi|rec
603|17279|oi|pass
610|14402|oa|bpas
612|47659|da|clea
614|47659|da|bout
620|52356|oi|pass
620|17279|oi|rec
621|17279|oi|pass
623|52356|oi|bpas
627|131897|da|pass
629|131897|da|pass
632|80480|di|rec
633|80480|mf|pass
636|40539|di|rec
637|40539|di|pass
640|154685|di|rec
641|154685|di|pass
646|59115|di|rec
647|59115|mf|pass
653|80480|mf|rec
654|80480|mf|pass
655|40711|mf|rec
656|40711|mf|pass
658|47659|mf|bpas
661|52356|di|brec
662|52356|di|pass
662|17861|da|rec
663|17861|da|pass
664|52356|da|cond
665|52356|da|pass
667|3508|di|rec
668|3508|da|pass
670|17861|da|cond
671|17861|da|pass
678|17804|di|rec
679|17804|mf|pass
680|77390|mf|rec
681|77390|mf|pass
682|18003|di|rec
683|18003|di|pass
683|19524|mf|rec
684|19524|mf|pass
687|17861|di|rec
688|17861|mf|pass
692|47659|da|dled
692|17279|oa|drib
695|17279|oi|lbal
697|59115|di|fsuf
697|17279|oi|foul
716|154685|di|pass
716|131897|da|rec
717|131897|da|pass
717|40539|da|rec
718|40539|da|pass
721|131897|da|cond
722|131897|da|pass
728|47659|mf|rec
729|47659|mf|pass
731|59115|mf|cond
732|59115|mf|pass
732|40711|mf|rec
733|40711|mf|pass
736|95742|mf|bpas
737|19524|mf|int
739|3508|mf|brec
740|3508|mf|pass
741|95742|mf|int
741|77390|mf|bpas
744|17804|di|bpas
748|131897|da|brec
749|17804|oa|bout
755|131897|da|pass
757|59115|di|cond
758|59115|da|pass
763|47659|mf|bpas
765|17861|di|clea
770|47659|oi|drib
770|17279|di|dled
772|47659|oa|lbal
772|17861|da|lbal
776|100887|oi|pass
780|59115|mf|cond
781|59115|mf|pass
786|80480|oa|bpas
789|52356|da|pass
794|14402|mf|bpas
795|40539|mf|pass
796|95742|mf|pass
798|59115|mf|rec
799|59115|mf|pass
800|154685|di|rec
801|154685|di|pass
803|40539|di|cond
804|40539|di|pass
808|95742|mf|cond
809|95742|mf|pass
811|40539|di|cond
812|40539|di|pass
815|95742|mf|cond
816|95742|mf|pass
819|59115|mf|bpas
822|52356|di|bpas
825|52356|mf|bout
835|47659|mf|pass
839|100887|mf|bpas
840|77390|mf|int
841|14402|mf|bpas
842|95742|mf|bpas
844|3508|mf|brec
844|19524|mf|cond
845|19524|mf|pass
845|77390|mf|rec
846|77390|mf|pass
848|14402|mf|cond
849|14402|mf|pass
853|12237|mf|rec
854|12237|mf|pass
855|3508|mf|cond
856|3508|mf|pass
862|17861|mf|bpas
864|17861|oi|bout
880|80480|di|pass
882|77711|mf|lbal
882|19524|mf|brec
884|17804|mf|brec
885|17804|mf|pass
886|80480|di|int
886|12237|mf|bpas
891|80480|mf|pass
891|59115|di|rec
892|59115|mf|pass
893|40711|mf|bpas
896|52356|di|brec
897|52356|di|pass
897|77390|mf|rec
898|77390|mf|pass
899|52356|di|bpas
901|95742|mf|brec
902|95742|mf|pass
904|80480|oi|cond
905|80480|oi|pass
907|77711|oa|lbal
909|17804|da|brec
910|18003|da|clea
912|95742|mf|bpas
913|19524|di|brec
914|19524|di|pass
915|12237|di|rec
916|12237|di|pass
919|154685|di|fsuf
919|19524|mf|bpas
932|154685|di|pass
932|59115|mf|rec
933|59115|mf|pass
935|47659|mf|cond
936|47659|mf|pass
937|59115|mf|cond
938|59115|mf|pass
940|95742|mf|rec
941|95742|mf|pass
943|80480|mf|cond
944|80480|mf|pass
947|40539|mf|rec
948|40539|mf|pass
956|154685|di|cond
957|154685|mf|pass
958|40711|mf|rec
959|40711|mf|pass
964|154685|mf|bpas
967|18003|di|clea
969|77390|di|brec
969|95742|oi|lbal
971|19524|mf|brec
974|19524|mf|pass
979|12237|oi|rec
980|12237|oa|pass
981|19524|oa|lbal
981|95742|di|brec
986|17279|oa|pass
987|19524|oa|rec
988|19524|oa|wsho
988|40539|da|gsav
990|40711|di|clea
995|17861|di|pass
997|8432|da|rec
998|8432|da|pass
1000|18003|di|rec
1001|18003|di|pass
1003|17861|di|rec
1004|17861|di|pass
1004|12237|mf|rec
1005|12237|mf|pass
1005|52356|mf|rec
1006|52356|mf|pass
1007|12237|mf|cond
1008|12237|mf|pass
1008|19524|mf|rec
1009|19524|mf|pass
1010|12237|mf|cond
1011|12237|mf|pass
1012|18003|mf|cond
1013|18003|mf|pass
1019|77711|di|dled
1019|17804|oi|drib
1022|17804|oa|bpas
1023|131897|da|pass
1024|131897|da|gsav
1033|131897|da|pass
1036|59115|di|cond
1037|59115|mf|pass
1037|40711|mf|cond
1038|40711|mf|pass
1039|154685|di|cond
1040|154685|di|pass
1043|59115|mf|bpas
1046|52356|mf|int
1049|52356|mf|bout
1059|80480|mf|pass
1060|131971|mf|rec
1061|131971|mf|pass
1063|77711|mf|bpas
1065|18003|mf|int
1066|77390|mf|brec
1067|12237|mf|lbal
1068|40711|mf|brec
1069|40711|mf|pass
