_ts|player_id|place|move
0|66749|mf|pass
0|61366|mf|rec
1|61366|mf|pass
1|41189|mf|rec
2|41189|mf|pass
4|15943|mf|rec
5|15943|mf|pass
7|8924|di|rec
8|8924|mf|pass
11|61680|mf|int
11|55605|mf|bpas
13|61680|mf|bout
19|55605|mf|pass
20|41184|mf|cond
21|41184|mf|pass
22|61366|mf|rec
23|61366|mf|pass
25|15943|mf|rec
26|15943|mf|pass
27|42786|mf|cond
28|42786|mf|pass
30|15943|di|cond
31|15943|di|pass
33|17476|di|rec
34|17476|da|pass
38|8924|di|cond
39|8924|mf|pass
41|55605|mf|cond
42|55605|mf|pass
47|54917|oa|bpas
48|51255|da|clea
49|51255|da|bout
72|54917|oa|bpas
76|11225|da|clea
78|69495|di|clea
80|31886|mf|brec
80|15943|mf|lbal
81|31886|mf|pass
82|69495|mf|brec
84|57038|mf|cond
85|57038|oi|pass
91|61680|oa|rec
92|61680|oa|wsho
92|55605|da|gsav
187|60772|da|gsav
188|60772|da|pass
189|17476|di|cond
190|17476|di|pass
193|8924|di|rec
194|8924|mf|pass
196|55605|mf|bpas
198|55605|mf|bout
201|51255|mf|pass
202|52941|mf|lbal
202|61366|mf|brec
203|61366|mf|pass
204|54917|oi|brec
205|54917|mf|pass
205|66749|oi|rec
206|66749|oi|pass
207|61366|oi|lbal
209|11225|da|clea
210|55605|mf|lbal
210|61680|mf|brec
212|57038|mf|brec
213|57038|mf|pass
215|52941|mf|rec
216|52941|mf|pass
218|18686|di|rec
219|18686|di|pass
219|81610|mf|rec
220|81610|mf|pass
222|31886|mf|bpas
224|41184|mf|pass
227|55605|mf|brec
230|54917|oa|cond
231|54917|oa|wsho
231|51255|da|gsav
233|54917|oa|pass
240|42786|oa|cond
241|42786|oi|pass
241|41189|oi|rec
242|41189|oi|pass
243|15943|mf|rec
244|15943|mf|pass
247|17476|mf|cond
248|17476|mf|pass
251|8924|mf|rec
252|8924|mf|pass
253|41189|mf|cond
254|41189|mf|pass
255|41184|mf|cond
256|41184|mf|pass
258|8924|mf|cond
259|8924|mf|pass
259|55605|mf|cond
260|55605|mf|pass
262|8924|mf|rec
263|8924|mf|pass
265|41189|mf|rec
266|41189|mf|pass
268|8924|di|cond
269|8924|mf|pass
272|11225|mf|dled
272|66749|mf|drib
273|52941|mf|brec
273|66749|mf|lbal
274|52941|mf|bout
280|55605|mf|pass
282|41184|oi|pass
284|55605|mf|rec
285|55605|mf|pass
289|8924|mf|cond
290|8924|mf|pass
291|17476|di|cond
292|17476|di|pass
294|15943|mf|rec
295|15943|mf|pass
298|69495|mf|dled
298|42786|mf|drib
299|42786|mf|bpas
301|49230|mf|int
302|52941|mf|brec
304|61680|mf|dled
304|55605|mf|drib
307|55605|oi|bpas
310|81610|da|clea
312|52941|di|brec
314|49230|mf|lbal
314|41189|mf|lbal
317|49230|mf|brec
318|49230|mf|bout
320|8924|mf|rec
321|41189|mf|pass
321|8924|mf|pass
325|41189|mf|cond
326|41189|mf|pass
326|8924|di|rec
327|8924|di|pass
332|17476|di|rec
333|17476|mf|pass
334|15943|mf|rec
335|15943|mf|pass
337|60772|da|rec
338|60772|da|pass
342|8924|di|cond
343|8924|di|pass
345|17476|di|cond
346|17476|di|pass
348|15943|mf|rec
349|15943|mf|pass
350|41189|mf|rec
351|41189|mf|pass
353|55605|mf|rec
354|55605|mf|pass
358|17476|di|rec
359|17476|di|pass
361|8924|di|rec
362|8924|mf|pass
364|41184|mf|lbal
365|49230|mf|brec
370|49230|mf|lbal
370|61366|mf|lbal
373|18686|mf|clea
376|41189|mf|brec
379|41189|mf|pass
381|55605|mf|rec
382|55605|mf|pass
387|17476|mf|cond
388|17476|mf|pass
389|66749|mf|lbal
393|81610|da|brec
396|15943|oi|pass
397|41184|oi|brec
400|11225|di|brec
400|18686|di|bout
400|41184|oi|lbal
417|15943|oa|pass
417|41184|oa|rec
418|41184|oa|pass
421|61366|oi|bpas
424|18686|da|bpas
428|61366|mf|pass
432|60772|da|rec
433|60772|da|pass
440|17476|di|cond
441|17476|di|pass
442|8924|di|rec
443|8924|mf|pass
447|42786|oi|rec
448|42786|oi|pass
451|41184|oa|rec
452|41184|oa|pass
454|42786|oa|lbal
455|42786|oa|bout
466|81610|da|pass
467|18686|da|rec
468|18686|da|pass
470|57038|mf|rec
471|57038|mf|pass
473|61680|mf|fsuf
473|55605|mf|foul
492|11225|mf|pass
494|51255|mf|cond
495|51255|mf|pass
497|18686|mf|rec
498|18686|mf|pass
500|11225|mf|rec
501|11225|mf|pass
502|57038|oi|lbal
506|41189|mf|brec
508|54917|mf|bpas
510|11225|da|clea
513|81610|di|pass
514|49230|di|bpas
514|41189|mf|int
515|41189|mf|pass
518|15943|mf|cond
519|15943|mf|pass
519|17476|mf|rec
520|17476|mf|pass
522|8924|mf|rec
523|8924|mf|pass
526|55605|mf|bpas
529|18686|di|clea
532|41184|mf|pass
535|54917|oi|lbal
537|51255|da|clea
538|49230|da|bout
550|55605|oa|bpas
554|81610|da|clea
560|42786|oa|pass
562|11225|da|fsuf
562|15943|oi|bpas
587|18090|da|pass
594|49230|mf|rec
595|49230|mf|pass
595|18686|mf|rec
596|18686|mf|pass
596|51255|mf|rec
597|51255|mf|pass
598|18686|mf|rec
599|18686|mf|pass
602|11225|di|rec
603|11225|mf|pass
604|69495|mf|bpas
606|17476|mf|lbal
608|81610|mf|pass
608|52941|mf|rec
609|52941|mf|pass
614|31886|mf|lbal
618|49230|mf|bout
623|15943|mf|pass
624|61366|mf|pass
625|17476|di|rec
626|17476|di|pass
631|49230|mf|dled
631|8924|mf|drib
632|8924|mf|pass
632|54917|mf|rec
633|54917|mf|pass
634|66749|mf|bpas
637|51255|da|int
639|18090|da|bpas
646|51255|da|pass
648|61680|mf|cond
649|61680|di|pass
653|51255|mf|lbal
653|41184|mf|brec
654|41184|mf|bout
667|51255|mf|pass
667|52941|mf|rec
668|52941|mf|pass
669|51255|mf|rec
670|51255|mf|pass
677|57038|oa|bpas
678|41189|da|clea
680|41184|mf|pass
681|54917|mf|brec
683|54917|mf|bpas
684|18686|mf|int
685|18686|mf|pass
686|51255|mf|brec
687|51255|mf|pass
687|49230|mf|rec
688|49230|mf|pass
689|69495|oi|cond
690|69495|oi|pass
696|61680|oa|pass
703|69495|oi|drib
703|41184|di|dled
704|49230|oi|wsho
704|60772|da|gsav
707|8924|da|clea
709|8924|da|bout
739|51255|oa|bpas
743|41189|da|int
744|61366|da|pass
745|42786|mf|brec
746|69495|mf|foul
746|42786|mf|fsuf
767|8924|di|pass
769|17476|di|cond
770|17476|di|pass
773|8924|di|rec
774|8924|mf|pass
778|17476|di|rec
779|17476|di|pass
781|15943|mf|bpas
784|11225|di|int
784|66749|oi|foul
789|11225|di|pass
792|18686|mf|rec
793|18686|mf|pass
794|51255|di|rec
795|51255|di|pass
