_ts|player_id|place|move
1|20226|mf|pass
1|37368|mf|cond
2|37368|mf|pass
3|17152|mf|rec
4|17152|mf|pass
6|15337|da|rec
7|15337|da|pass
10|60218|da|cond
11|60218|di|pass
15|60207|da|cond
16|60207|di|pass
22|60218|mf|bpas
24|54917|mf|lbal
26|50089|mf|pass
26|12875|mf|rec
27|12875|mf|pass
28|50089|mf|cond
29|50089|mf|pass
30|55605|di|brec
30|61770|oi|lbal
31|61366|mf|brec
32|61366|mf|pass
32|54917|mf|cond
33|54917|mf|pass
34|61366|mf|rec
35|61366|mf|pass
38|152760|oi|cond
39|152760|oa|wsho
39|15337|da|gsav
40|15337|da|bout
63|54917|oa|bpas
65|20226|da|clea
68|60210|di|bout
81|55605|oi|pass
82|41184|oa|rec
83|41184|oa|pass
87|8924|mf|bpas
89|8924|oi|bout
101|12875|mf|bpas
104|61366|mf|brec
107|61366|oi|wsho
107|60218|da|gsav
109|60218|da|bout
137|54917|oa|bpas
141|17152|da|clea
143|61366|oi|pass
145|55605|mf|rec
146|55605|mf|pass
149|41189|mf|rec
150|41189|mf|pass
152|39194|mf|rec
153|39194|mf|pass
157|60210|mf|foul
157|42786|mf|fsuf
171|39194|mf|pass
171|17476|mf|rec
172|17476|mf|pass
172|8924|mf|rec
173|8924|mf|pass
176|61770|di|brec
176|55605|oi|lbal
177|61770|di|pass
178|37368|di|brec
179|37368|di|pass
182|12875|di|rec
183|12875|di|pass
186|60207|da|cond
187|60207|da|pass
192|60218|di|cond
193|60218|di|pass
196|15337|da|rec
197|15337|da|pass
201|60207|di|rec
202|60207|di|pass
203|12875|mf|rec
204|12875|mf|pass
206|61770|mf|cond
207|61770|mf|pass
208|12875|oi|bpas
210|8924|di|brec
212|61366|mf|lbal
212|50089|mf|brec
213|12875|mf|pass
214|50089|mf|brec
215|50089|oi|bpas
217|60772|da|pass
219|60772|da|gsav
231|60772|da|pass
235|41184|mf|brec
235|50089|mf|lbal
236|60218|di|brec
237|60218|di|pass
238|50089|mf|bpas
239|17476|mf|pass
243|42786|mf|brec
245|42786|oi|pass
249|152760|oi|lbal
249|37368|di|brec
250|60210|di|brec
251|60210|mf|pass
254|37368|mf|bpas
256|55605|di|pass
259|60772|da|brec
264|60772|da|pass
264|17476|di|cond
265|17476|di|pass
266|39194|mf|cond
267|39194|mf|pass
270|17476|mf|bpas
273|17476|oi|bout
291|37070|di|pass
292|17152|mf|bpas
294|17152|di|bout
302|39194|mf|bpas
307|39194|oa|bout
321|15337|da|pass
322|60207|di|cond
323|60207|di|pass
324|55605|mf|dled
324|61770|mf|drib
325|61770|mf|pass
330|12875|oa|bpas
332|12875|oa|bout
350|60772|da|pass
351|55605|di|rec
352|55605|di|pass
354|152760|oi|brec
354|60218|di|lbal
355|17152|di|pass
359|61770|mf|brec
360|17152|mf|bpas
362|55605|mf|brec
365|55605|mf|fsuf
365|61770|mf|foul
373|41189|mf|pass
373|8924|di|cond
374|8924|di|pass
376|17476|di|rec
377|17476|di|pass
385|8924|mf|bpas
388|60218|di|clea
390|50089|di|pass
391|37368|mf|brec
392|37368|mf|pass
392|17152|mf|rec
393|17152|mf|pass
400|61770|oa|cond
401|61770|oa|pass
401|37368|oa|rec
402|37368|oi|pass
403|17152|oi|bpas
404|39194|di|int
405|39194|di|brec
407|39194|di|pass
407|42786|di|rec
408|42786|di|pass
408|39194|di|cond
409|39194|di|pass
411|61366|mf|bpas
414|61366|oi|bout
436|37070|di|bpas
440|17476|mf|foul
440|20226|mf|fsuf
450|60218|mf|pass
453|15337|da|cond
454|15337|da|pass
456|60207|di|cond
457|60207|di|pass
458|12875|mf|cond
459|12875|mf|pass
461|50089|mf|cond
462|50089|mf|pass
463|60207|di|rec
464|60207|di|pass
467|60218|di|rec
468|60218|di|pass
469|60210|mf|cond
470|60210|mf|pass
471|60218|mf|cond
472|60218|di|pass
474|15337|da|rec
475|15337|da|pass
481|60207|di|cond
482|60207|di|pass
482|37368|mf|rec
483|37368|mf|pass
483|60207|di|cond
484|60207|di|pass
484|37368|di|rec
485|37368|di|pass
489|17152|di|cond
490|17152|di|pass
496|37070|oa|lbal
498|37070|oa|bout
520|60772|da|bpas
525|50089|mf|bpas
526|8924|mf|pass
526|41189|mf|rec
527|41189|mf|pass
529|17476|mf|bpas
534|37070|da|clea
536|37070|da|bout
558|39194|oa|bpas
562|41184|oa|foul
562|50089|da|fsuf
575|15337|da|pass
578|60207|da|rec
579|60207|da|pass
581|15337|da|rec
582|15337|da|pass
586|60207|da|bpas
591|60772|da|pass
592|60772|da|gsav
595|60772|da|pass
601|17476|di|cond
602|17476|di|pass
602|8924|di|cond
603|8924|di|pass
605|41184|mf|cond
606|41184|mf|pass
607|55605|mf|rec
608|55605|mf|pass
611|61366|mf|cond
612|61366|mf|pass
617|55605|mf|bpas
619|12875|di|bpas
622|61366|mf|int
623|61366|mf|fsuf
623|50089|mf|foul
640|41189|mf|pass
642|55605|oi|bpas
644|12875|da|int
657|55605|oa|pass
659|41184|oa|brec
659|60218|da|lbal
660|41184|oa|bpas
661|50089|da|clea
662|50089|da|bout
682|54917|oa|pass
685|41184|oa|brec
685|17152|da|lbal
