_ts|player_id|place|move
1|46696|mf|pass
1|42544|mf|rec
2|42544|mf|pass
2|87447|di|rec
3|87447|di|pass
4|85665|mf|rec
5|85665|mf|pass
6|111457|mf|rec
7|111457|mf|pass
8|85665|mf|rec
9|85665|mf|pass
11|43692|mf|rec
12|43692|mf|pass
13|67140|mf|rec
14|67140|mf|pass
16|70496|di|cond
17|70496|di|pass
19|87447|mf|rec
20|87447|mf|pass
22|111457|mf|rec
23|111457|mf|pass
27|87447|mf|cond
28|87447|mf|pass
29|43692|mf|cond
30|43692|mf|pass
30|46696|mf|rec
31|46696|mf|pass
32|87447|mf|rec
33|87447|mf|pass
35|111457|mf|rec
36|111457|mf|pass
39|20301|mf|rec
40|20301|mf|pass
44|87447|mf|bpas
47|156604|di|pass
49|18427|mf|brec
50|18427|mf|bpas
52|67140|mf|int
53|67140|mf|bout
63|156604|mf|pass
64|49529|oi|bpas
66|70496|da|bpas
68|156604|mf|bpas
72|20301|da|bpas
74|49529|oi|drib
74|70496|di|dled
76|49529|oa|lbal
76|87447|da|brec
79|87447|di|bpas
80|37036|mf|int
83|18427|mf|int
84|87447|di|bpas
86|18427|oi|bout
104|67140|di|pass
107|43692|mf|cond
108|43692|mf|pass
108|67140|mf|rec
109|67140|mf|pass
112|70496|di|rec
113|70496|di|pass
115|87447|mf|cond
116|87447|mf|pass
120|46696|mf|rec
121|46696|mf|pass
121|20301|mf|rec
122|20301|mf|pass
123|70496|mf|rec
124|70496|mf|pass
126|67140|mf|rec
127|67140|mf|pass
128|87447|mf|rec
129|87447|mf|pass
131|37036|mf|brec
131|85665|mf|lbal
134|36803|mf|bpas
135|87447|mf|pass
138|111457|mf|rec
139|111457|mf|pass
141|20301|mf|cond
142|20301|mf|pass
145|42544|oi|bpas
146|155084|di|clea
149|49529|mf|pass
153|37198|mf|brec
155|37198|mf|lbal
156|37198|oi|bout
172|111457|di|bpas
175|36803|mf|int
176|36803|oi|bout
180|111457|di|pass
182|20301|di|rec
183|20301|di|pass
186|46696|di|rec
187|46696|mf|pass
191|67140|mf|cond
192|67140|oi|pass
193|42544|oa|cond
194|42544|oa|wsho
194|111674|da|gsav
196|111674|da|bout
226|85665|oa|bpas
229|183059|da|clea
230|18427|di|clea
235|67140|mf|pass
236|111457|oi|rec
237|111457|oi|pass
238|37036|di|brec
238|67140|oi|lbal
240|37036|di|bpas
242|87447|mf|int
243|87447|mf|lbal
244|87447|oi|bout
268|155084|di|bpas
271|111457|mf|pass
274|42544|mf|lbal
275|49529|mf|bpas
279|111457|mf|pass
280|85665|mf|rec
281|85665|mf|pass
281|111457|mf|cond
282|111457|mf|pass
282|46696|mf|rec
283|46696|mf|pass
283|87447|mf|cond
284|87447|mf|pass
285|111457|mf|cond
285|20301|di|rec
286|111457|di|pass
286|20301|di|pass
292|87447|mf|pass
