_ts|player_id|place|move
1|42565|mf|pass
1|37265|mf|rec
2|37265|mf|pass
3|118749|mf|rec
4|118749|mf|pass
5|122779|mf|rec
6|122779|mf|pass
9|27789|mf|lbal
9|118749|mf|lbal
13|27789|mf|foul
13|118749|mf|fsuf
26|37269|mf|pass
28|48853|di|rec
29|48853|di|pass
32|37269|mf|bpas
34|15780|di|clea
37|15780|mf|bout
44|122779|mf|pass
48|51090|di|foul
48|42565|oi|fsuf
79|118749|oi|bpas
81|27789|da|clea
82|15780|di|brec
83|15780|di|pass
86|53645|mf|bpas
89|100981|mf|brec
91|48852|mf|rec
92|48852|mf|pass
93|37265|oi|bpas
94|19928|da|gsav
102|19928|da|pass
105|27250|oi|cond
106|27250|mf|pass
110|15780|mf|cond
111|15780|mf|pass
111|27789|mf|rec
112|27789|mf|pass
113|15780|mf|rec
114|15780|mf|pass
117|51090|di|cond
118|51090|di|pass
120|41270|di|rec
121|41270|di|pass
124|19928|da|bpas
131|100981|mf|fsuf
131|27250|mf|foul
136|100981|mf|pass
137|48853|di|cond
138|48853|di|pass
138|83531|mf|cond
139|83531|mf|pass
141|37269|mf|cond
142|37269|mf|pass
144|27789|mf|foul
144|83531|mf|fsuf
194|37269|mf|pass
196|33148|di|cond
197|33148|di|pass
201|42565|oi|bpas
203|42565|oa|bout
214|39563|di|bpas
216|53645|di|bpas
217|100981|mf|bpas
218|53645|mf|int
218|118749|mf|int
220|100981|mf|bpas
223|61278|mf|fsuf
223|83531|mf|foul
246|47654|mf|pass
246|51090|mf|rec
247|51090|mf|pass
247|47654|mf|rec
248|47654|mf|pass
248|41270|mf|rec
249|41270|mf|pass
249|47654|mf|rec
250|47654|mf|pass
250|39563|mf|rec
251|39563|mf|pass
256|47654|oa|bpas
257|100981|da|clea
258|100981|da|bout
304|53645|oa|bpas
307|105835|da|clea
309|37265|di|dled
309|39563|oi|drib
310|39563|oi|wsho
313|39563|oa|bout
339|33148|da|pass
339|105835|mf|brec
339|51090|mf|lbal
341|105835|mf|bpas
341|15780|di|brec
342|105835|oi|dled
342|15780|di|drib
344|15780|mf|lbal
346|122779|mf|pass
348|105835|oi|brec
351|105835|oa|bpas
352|47654|da|clea
355|118749|oi|wsho
356|118749|oa|bout
410|19928|da|pass
411|27250|mf|rec
412|27250|mf|pass
413|39563|mf|cond
414|39563|mf|pass
416|48852|di|dled
416|53645|oi|drib
421|53645|oa|bpas
423|33148|da|gsav
427|33148|da|bpas
431|37265|oi|fsuf
431|39563|di|foul
449|48852|mf|pass
449|118749|mf|rec
450|118749|mf|pass
450|48852|mf|rec
451|48852|mf|pass
455|83531|mf|rec
456|83531|mf|pass
460|48853|mf|cond
461|48853|mf|pass
461|41270|di|lbal
461|42565|oi|brec
463|42565|oi|pass
466|37265|oi|cond
467|37265|oi|pass
468|48852|oa|rec
469|48852|oa|pass
471|51090|da|clea
471|37265|oa|bpas
475|83531|mf|pass
479|48853|di|rec
480|48853|di|pass
481|33148|da|rec
482|33148|da|pass
484|48853|da|cond
485|48853|da|pass
489|33148|da|cond
490|33148|da|pass
493|61262|oi|lbal
493|37269|di|lbal
494|37269|di|brec
496|37269|mf|bout
506|15780|mf|pass
508|61278|oi|bpas
510|118749|di|brec
512|48853|da|cond
513|48853|da|pass
515|37265|mf|cond
516|37265|mf|pass
517|42565|mf|cond
518|42565|mf|pass
523|39563|di|clea
523|122779|oi|bpas
526|39563|di|bout
532|122779|oi|pass
534|42565|oi|cond
535|42565|oi|pass
538|27789|di|brec
538|37265|oi|lbal
540|61278|mf|brec
543|61278|mf|pass
546|27789|mf|lbal
548|42565|mf|pass
549|83531|di|brec
555|33148|da|bpas
557|47654|mf|pass
558|39563|di|bpas
567|48853|mf|clea
569|53645|mf|lbal
571|53645|mf|foul
571|42565|mf|fsuf
585|100981|mf|pass
586|48853|di|rec
587|48853|di|pass
590|118749|mf|cond
591|118749|mf|pass
593|48853|di|cond
594|48853|di|pass
597|100981|mf|bpas
599|51090|da|clea
600|39563|da|brec
604|39563|di|pass
605|61278|oi|brec
605|100981|di|lbal
606|61278|oi|pass
609|53645|mf|lbal
609|48852|mf|brec
614|33148|da|brec
620|33148|da|pass
628|37265|oa|bpas
629|19928|da|gsav
630|19928|da|pass
636|15780|di|cond
637|15780|mf|pass
643|61262|oa|bpas
646|100981|da|clea
649|48852|di|brec
650|48852|di|pass
652|27789|mf|brec
652|42565|mf|lbal
655|61278|oi|lbal
655|42565|di|brec
