_ts|player_id|place|move
1|59380|mf|pass
1|62914|mf|cond
2|62914|mf|pass
5|50369|mf|bpas
8|41270|da|brec
8|42824|oa|lbal
9|41270|di|clea
10|53645|di|brec
13|53645|mf|bpas
20|53645|oa|bout
44|48844|da|pass
46|27300|da|rec
47|27300|di|pass
48|39563|mf|brec
48|66733|mf|lbal
49|39563|mf|brec
52|66733|mf|foul
52|39563|mf|fsuf
71|39563|mf|pass
72|41270|di|cond
73|41270|di|pass
75|51090|di|rec
76|51090|di|pass
78|18573|mf|cond
79|18573|mf|pass
80|51090|di|cond
81|51090|di|pass
86|41270|di|rec
87|41270|di|pass
90|51090|di|rec
91|51090|di|pass
93|18573|mf|cond
94|18573|mf|pass
96|100534|mf|rec
97|100534|mf|pass
98|61278|mf|cond
99|61278|mf|pass
105|12204|da|brec
105|100534|oa|lbal
106|12204|da|bout
112|18573|oa|pass
117|59380|da|brec
117|61278|oa|lbal
118|59380|da|brec
121|59380|da|lbal
121|27789|oi|brec
122|27789|oa|bpas
124|37399|da|clea
125|37399|di|bout
140|18573|oa|pass
142|61278|oi|bpas
145|62914|mf|brec
148|66733|mf|lbal
148|41270|mf|lbal
151|60025|mf|pass
159|62914|oi|bpas
160|27789|di|int
164|42738|mf|pass
165|27300|mf|rec
166|27300|mf|pass
168|42738|mf|rec
169|42738|mf|pass
173|27300|da|bpas
174|27789|mf|pass
175|61278|oi|brec
176|61278|oi|pass
176|27250|oi|rec
177|27250|oi|pass
177|61278|oi|cond
178|61278|oi|pass
179|42824|di|foul
179|27250|oi|fsuf
240|61278|oi|wsho
243|61278|oa|bout
260|48844|da|bpas
265|62914|mf|foul
265|27789|mf|fsuf
269|51090|di|pass
269|27789|mf|rec
270|27789|mf|pass
270|51090|di|cond
271|51090|di|pass
273|61262|mf|cond
274|61262|mf|pass
276|27250|mf|cond
277|27250|mf|pass
283|18573|oa|bpas
286|18573|oa|bout
322|27300|da|bpas
326|50369|mf|lbal
326|61262|mf|brec
327|61262|mf|bpas
332|50369|mf|pass
334|62914|oa|brec
334|51090|da|lbal
335|62914|oi|pass
336|50369|mf|rec
337|50369|mf|pass
338|59380|oi|bpas
340|18573|di|brec
341|27789|di|brec
342|27789|mf|pass
347|27300|da|brec
347|61278|oa|lbal
349|27300|da|bout
371|61278|oa|pass
373|51090|oa|rec
374|51090|oa|goal
438|59380|mf|pass
439|62914|mf|rec
440|62914|mf|pass
441|37399|mf|cond
442|37399|mf|pass
444|42738|mf|cond
445|42738|mf|pass
447|66733|mf|cond
448|66733|oi|pass
448|62914|oi|rec
449|62914|oi|pass
452|66733|oi|lbal
452|100534|di|brec
453|27789|di|brec
454|27789|di|pass
455|39563|di|bpas
458|37399|oi|int
459|37399|oi|bout
471|39563|mf|pass
472|27789|mf|cond
473|27789|mf|pass
473|39563|di|rec
474|39563|di|pass
482|41270|di|bpas
485|27300|di|brec
485|27250|oi|lbal
487|62914|oi|pass
492|60025|oi|fsuf
492|61262|di|foul
549|37399|oi|wsho
552|37399|oa|bout
582|19928|da|bpas
584|37399|mf|pass
585|62914|oi|lbal
586|51090|di|clea
590|42824|mf|pass
592|42738|mf|brec
593|42738|mf|pass
594|37399|mf|cond
595|37399|mf|pass
595|66733|mf|cond
596|66733|mf|pass
601|37399|oa|bpas
602|51090|da|clea
605|66733|oa|brec
605|39563|da|lbal
606|66733|oa|pass
607|50369|oi|brec
608|61262|da|brec
610|66733|oi|wsho
610|51090|da|gsav
614|51090|da|bout
643|37399|oa|bpas
645|27789|da|clea
650|42738|mf|bpas
651|42738|oi|bout
665|39563|di|pass
665|61278|mf|rec
666|61278|mf|pass
668|39563|di|cond
669|39563|di|pass
672|41270|di|rec
673|41270|di|pass
675|18573|di|cond
676|18573|mf|pass
676|100534|mf|rec
677|100534|mf|pass
678|18573|mf|cond
679|18573|mf|pass
681|41270|da|rec
682|41270|da|pass
685|19928|da|bpas
690|37399|mf|brec
690|61278|mf|lbal
692|62914|oi|lbal
692|61278|di|brec
693|61278|di|brec
694|62914|oi|dled
694|61278|di|drib
697|61278|mf|bpas
702|50369|da|brec
704|50369|da|fsuf
704|61262|oa|foul
728|50369|di|bpas
729|62914|oi|lbal
729|51090|di|brec
730|51090|di|clea
733|27300|mf|bpas
734|41270|di|brec
738|62914|oi|foul
738|41270|di|fsuf
754|41270|di|pass
754|51090|di|rec
755|51090|di|pass
755|18573|mf|rec
756|18573|mf|pass
757|61262|mf|bpas
760|37399|mf|int
763|37399|mf|lbal
763|100534|mf|lbal
766|42824|mf|pass
769|66733|mf|lbal
769|27789|mf|brec
770|27789|mf|brec
771|27789|mf|pass
773|27250|mf|rec
774|27250|mf|pass
777|39563|mf|bpas
780|42738|di|brec
783|42738|mf|pass
785|60025|mf|fsuf
785|27789|mf|foul
843|12204|mf|pass
845|62914|oi|bpas
849|62914|oa|bout
858|39563|da|pass
861|27250|mf|cond
862|27250|mf|pass
863|42738|mf|lbal
863|53645|mf|brec
864|53645|mf|pass
868|66733|mf|foul
868|27250|mf|fsuf
874|39563|mf|pass
874|27789|mf|cond
875|27789|mf|pass
877|100534|mf|rec
878|100534|mf|pass
885|37399|mf|foul
885|61278|mf|fsuf
886|61278|mf|pass
887|100534|mf|cond
888|100534|mf|pass
889|61278|mf|bpas
890|42738|di|clea
894|66733|mf|brec
899|66733|mf|fsuf
899|39563|mf|foul
914|42738|mf|pass
914|37399|mf|rec
915|37399|mf|pass
918|66733|mf|cond
919|66733|oi|pass
920|60025|oi|lbal
920|61262|di|pass
921|100534|di|brec
924|100534|mf|pass
924|27250|mf|cond
925|27250|mf|pass
926|100534|mf|bpas
928|42738|mf|int
934|48844|da|bpas
936|59380|mf|lbal
936|18573|mf|brec
937|18573|mf|bpas
938|100534|mf|brec
938|59380|mf|lbal
939|18573|mf|brec
941|59380|mf|dled
941|18573|mf|drib
942|18573|oi|pass
943|27250|oi|bpas
946|50369|da|clea
947|50369|da|bout
996|61278|oa|bpas
1000|12204|da|clea
1001|66733|di|lbal
1001|53645|oi|brec
1003|37399|da|dled
1003|53645|oa|drib
1004|53645|oa|bpas
1005|12204|da|brec
1007|50369|da|clea
1010|27789|oi|pass
1013|61278|oa|lbal
1047|27300|da|bpas
1051|59380|mf|lbal
1051|51090|mf|brec
1052|51090|mf|clea
1054|62914|mf|lbal
1054|53645|mf|brec
1055|53645|mf|pass
1055|27789|di|rec
1056|27789|di|pass
1057|27250|mf|bpas
1062|12204|di|pass
1064|37399|mf|cond
1065|37399|mf|pass
1065|50369|mf|rec
1066|50369|mf|pass
1066|37399|mf|rec
1067|37399|mf|pass
1072|12204|di|bpas
1074|18573|di|brec
1075|18573|di|bpas
1078|18573|mf|bout
1094|50369|mf|pass
1097|59380|oi|lbal
1097|18573|di|brec
1098|59380|oi|foul
1098|18573|di|fsuf
1128|51090|di|bpas
1132|12204|di|int
1133|61262|oi|bpas
1136|42824|di|bpas
1137|27789|mf|pass
1138|27250|oi|rec
1139|27250|oi|pass
1139|61262|oi|rec
1140|61262|oi|pass
1142|53645|oi|cond
1143|53645|oi|pass
1143|61278|oa|rec
1144|61278|oa|pass
1145|53645|oa|rec
1146|53645|oa|wsho
1146|48844|da|gsav
1149|61262|oi|wsho
1149|48844|da|gsav
1152|48844|da|gsav
1157|48844|da|bpas
1157|39563|oi|int
1158|39563|oi|brec
1161|42738|da|brec
1161|39563|oa|lbal
1162|42738|da|bout
1184|61278|oa|bpas
1186|59380|da|clea
1190|39563|oi|wsho
1190|42824|da|gsav
1195|66733|di|brec
1196|18573|mf|int
1198|62914|mf|bpas
1198|61262|mf|clea
1200|61262|mf|bout
1203|50369|mf|bpas
1207|18573|da|int
1212|60025|oa|bpas
1212|27789|da|clea
1215|27789|da|bout
1222|50369|oi|pass
1224|62914|oa|bpas
1225|41270|da|clea
1227|53645|da|clea
1229|66733|oi|lbal
1229|53645|di|brec
1230|53645|di|clea
1232|61278|di|brec
1234|61278|di|bpas
1236|42738|oi|int
1237|42738|oi|pass
1237|66733|oi|rec
1238|66733|oi|pass
1240|42738|oa|lbal
1242|42738|oa|bout
1276|19928|da|pass
1277|53645|mf|cond
1278|53645|mf|pass
1279|100534|mf|cond
1280|100534|mf|pass
1282|18573|oi|rec
1283|18573|oi|pass
1284|61262|oi|rec
1285|61262|oi|pass
1286|18573|mf|cond
1287|18573|oi|pass
1288|100534|oi|cond
1289|100534|oi|pass
1291|66733|di|brec
1291|61278|oi|lbal
1293|60025|di|brec
1294|60025|mf|drib
1294|18573|mf|dled
1296|60025|mf|drib
1296|27789|mf|dled
1299|60025|oi|pass
1301|66733|oa|bpas
1302|51090|da|int
1303|51090|da|clea
1304|39563|di|brec
1309|39563|mf|pass
1315|61278|oi|bpas
1320|48844|da|pass
1321|48844|da|gsav
1324|48844|da|pass
1325|60025|mf|rec
1326|60025|mf|pass
1327|37399|mf|cond
1328|37399|mf|pass
1339|66733|oi|lbal
1339|39563|di|lbal
1342|66733|mf|pass
1345|42738|mf|rec
1346|42738|mf|pass
