_ts|player_id|place|move
1|91651|mf|pass
1|62419|mf|rec
2|62419|mf|pass
3|34703|mf|rec
4|34703|mf|pass
5|38454|di|rec
6|38454|di|pass
7|7810|da|bpas
11|7810|di|bout
12|61278|oi|pass
15|53645|oi|cond
16|53645|oi|pass
17|61278|oi|lbal
18|17347|di|clea
21|13139|mf|lbal
23|41270|mf|clea
28|41270|di|bout
37|68353|oi|pass
37|91651|oi|rec
38|91651|oi|pass
38|13139|oa|rec
39|13139|oa|pass
41|91651|oi|cond
42|91651|oi|wsho
44|91651|oa|bout
59|19928|da|pass
59|51090|di|rec
60|51090|di|pass
60|15780|di|rec
61|15780|di|pass
64|51090|di|rec
65|51090|di|pass
69|41270|di|rec
70|41270|di|pass
73|100534|di|rec
74|100534|mf|pass
76|13139|mf|dled
76|15780|mf|drib
81|15780|oi|bpas
83|38454|da|clea
86|13139|mf|bpas
87|13139|di|bout
89|15780|oi|pass
93|61278|oi|cond
94|61278|oi|pass
97|100534|oi|cond
98|100534|oi|pass
99|51090|mf|rec
100|51090|mf|pass
104|15780|mf|rec
105|15780|mf|pass
109|47654|mf|rec
110|47654|mf|pass
113|51090|mf|cond
114|51090|mf|pass
117|47654|mf|rec
118|47654|mf|pass
122|41270|mf|cond
123|41270|mf|pass
125|47654|mf|rec
126|47654|mf|pass
128|100534|mf|rec
129|100534|mf|pass
133|41270|mf|rec
134|41270|mf|pass
135|51090|mf|rec
136|51090|mf|pass
138|15780|mf|cond
139|15780|mf|pass
143|51090|mf|cond
144|51090|mf|pass
148|47654|mf|rec
149|47654|mf|pass
153|15780|mf|cond
154|15780|mf|pass
156|61262|oi|bpas
157|68353|di|int
159|13139|mf|brec
164|13139|oi|drib
164|51090|di|dled
168|13139|oa|bpas
169|41270|da|clea
170|51090|da|pass
172|47654|da|brec
173|47654|da|pass
175|51090|da|rec
176|51090|da|pass
177|15780|di|cond
178|15780|di|pass
180|100534|di|rec
181|100534|di|pass
184|41270|di|rec
185|41270|di|pass
185|61278|mf|rec
186|61278|mf|pass
192|41270|mf|bpas
198|41270|oi|bout
220|17347|di|pass
221|62419|mf|brec
221|41270|mf|lbal
222|62419|mf|bpas
223|51090|mf|pass
224|27250|oi|rec
225|27250|oi|pass
226|61262|oi|lbal
228|38454|di|pass
230|15780|di|brec
231|15780|di|pass
235|19928|da|cond
236|19928|da|pass
238|51090|di|cond
239|51090|di|pass
241|47654|di|cond
242|47654|di|pass
245|39563|mf|bpas
251|38462|da|foul
251|53645|oa|fsuf
308|39563|oi|pass
309|51090|oa|rec
310|51090|oa|pass
312|38462|da|lbal
312|41270|oa|brec
313|41270|oa|wsho
313|7810|da|gsav
314|7810|da|gsav
329|7810|da|bpas
330|15780|di|brec
331|15780|di|pass
331|51090|di|cond
332|51090|di|pass
336|19928|da|rec
337|19928|da|pass
339|41270|da|rec
340|41270|da|pass
342|47654|di|rec
343|47654|di|pass
345|51090|di|rec
346|51090|di|pass
347|15780|di|rec
348|15780|mf|pass
348|100534|mf|rec
349|100534|mf|pass
350|15780|mf|rec
351|15780|mf|pass
351|51090|di|cond
352|51090|di|pass
355|41270|di|rec
356|41270|di|pass
360|39563|mf|rec
361|39563|mf|pass
362|15780|mf|rec
363|15780|mf|pass
364|47654|mf|cond
365|47654|mf|pass
369|53645|mf|cond
370|53645|mf|pass
372|39563|mf|cond
373|39563|mf|pass
378|51090|mf|bpas
381|68353|di|int
382|37055|mf|brec
384|37055|mf|drib
384|100534|mf|dled
386|37055|mf|pass
390|45034|oi|cond
391|45034|oa|pass
393|13139|oa|brec
393|15780|da|lbal
394|13139|oa|wsho
396|13139|oa|bout
425|19928|da|pass
428|34703|mf|brec
428|61278|mf|lbal
429|34703|mf|brec
430|34703|mf|pass
431|68353|di|bpas
434|41270|mf|pass
438|45034|mf|foul
438|39563|mf|fsuf
451|39563|mf|pass
451|51090|di|cond
452|51090|di|pass
457|100534|mf|cond
458|100534|mf|pass
459|39563|mf|rec
460|39563|mf|pass
462|41270|mf|cond
463|41270|mf|pass
465|51090|mf|rec
466|51090|mf|pass
470|91651|mf|brec
