_ts|player_id|place|move
1|5155|mf|pass
2|55634|mf|rec
3|55634|mf|pass
4|15208|di|rec
5|15208|mf|pass
9|40691|mf|bpas
10|47654|mf|brec
11|47654|mf|pass
11|27250|mf|rec
12|27250|mf|pass
16|39563|mf|pass
21|27250|mf|bpas
24|41316|di|bpas
25|61262|oi|lbal
25|15208|di|brec
29|100649|oa|pass
31|18573|oi|cond
32|18573|oi|pass
34|27789|oa|bpas
35|15208|da|clea
37|15208|da|bout
74|61262|oa|bpas
78|40691|da|clea
81|39563|mf|pass
84|53645|oi|rec
85|53645|oi|pass
87|26894|oa|bpas
89|41316|da|clea
92|39816|di|pass
93|44989|di|brec
94|44989|di|bpas
95|100649|mf|brec
96|100649|mf|pass
101|61262|oi|rec
102|61262|oi|pass
106|37605|di|dled
106|47654|oi|drib
107|47654|oi|pass
108|100649|oi|rec
109|100649|oa|pass
116|47654|oa|bpas
118|38392|da|clea
119|38392|da|bout
128|18573|oa|pass
130|27789|oi|bpas
133|39563|oi|drib
133|55634|di|dled
135|38392|di|clea
137|39563|oi|wsho
138|39563|oa|bout
162|20388|da|pass
168|40691|di|bpas
172|19928|da|brec
174|19928|da|pass
181|41270|da|rec
182|41270|mf|pass
187|53645|oa|bpas
190|20388|da|gsav
192|20388|da|pass
196|39816|di|bpas
196|47654|oi|int
198|47654|mf|bout
199|55634|mf|pass
200|39816|mf|rec
201|39816|mf|pass
203|5155|oi|lbal
203|41270|di|lbal
205|26894|di|clea
207|26894|mf|bout
217|41316|mf|pass
222|38392|mf|cond
223|38392|mf|pass
225|15208|mf|rec
226|15208|mf|pass
227|37605|mf|bpas
227|18573|mf|int
229|18573|mf|bout
241|41316|mf|bpas
243|18573|di|int
244|18573|di|bout
252|41316|oi|pass
253|44989|oi|rec
254|44989|oi|pass
256|15207|oi|rec
257|15207|oi|pass
258|39816|oi|rec
259|39816|oi|pass
260|15208|oi|rec
261|15208|oi|pass
264|40691|mf|rec
265|40691|mf|pass
267|39816|oi|rec
268|39816|oi|pass
269|61262|mf|int
270|55634|oi|bpas
270|61262|mf|brec
272|61262|mf|bpas
273|15207|mf|int
275|15207|mf|bout
288|39563|mf|pass
291|47654|di|rec
292|47654|di|pass
294|19928|da|rec
295|19928|da|pass
297|26894|di|cond
298|26894|di|pass
300|47654|di|cond
301|47654|di|pass
305|41270|di|rec
306|41270|di|pass
308|26894|di|rec
309|26894|di|pass
311|47654|di|cond
312|47654|di|pass
315|26894|di|cond
316|26894|di|pass
319|47654|di|cond
320|47654|di|pass
323|26894|di|rec
324|26894|di|pass
325|27789|mf|bpas
329|37605|mf|lbal
329|27789|mf|lbal
331|41316|mf|bpas
334|19928|da|gsav
338|19928|da|pass
340|26894|da|rec
341|26894|di|pass
345|47654|di|bpas
348|47654|oi|bout
356|41316|di|pass
357|5155|mf|rec
358|5155|mf|pass
359|37605|mf|lbal
