_ts|player_id|place|move
1|27250|mf|pass
1|61278|mf|rec
2|61278|mf|pass
4|15780|di|cond
5|15780|di|pass
6|37064|mf|dled
6|53392|mf|drib
9|37064|mf|foul
9|53392|mf|fsuf
22|100534|mf|pass
23|51090|mf|rec
24|51090|mf|pass
24|100534|mf|rec
25|100534|mf|pass
26|119772|mf|foul
26|61278|mf|fsuf
61|51090|mf|pass
63|47654|mf|rec
64|47654|mf|pass
65|41270|di|rec
66|41270|di|pass
67|51090|di|cond
68|51090|di|pass
71|15780|mf|bpas
71|37064|mf|int
73|73698|mf|bpas
73|15780|mf|lbal
75|119772|mf|brec
76|119772|mf|pass
76|53515|mf|rec
77|53515|mf|pass
78|37064|mf|rec
79|37064|mf|pass
82|40275|oa|lbal
82|47654|da|brec
83|47654|da|brec
84|47654|da|pass
86|27250|mf|bpas
89|49656|mf|int
90|49656|mf|brec
91|49656|mf|pass
92|53515|oi|cond
93|53515|oi|pass
94|102578|oi|cond
95|102578|oi|pass
95|119772|mf|cond
96|119772|mf|pass
98|37064|mf|rec
99|37064|mf|pass
101|53515|oi|lbal
102|100534|di|lbal
106|37064|oi|fsuf
106|100534|di|foul
136|37064|oi|bpas
138|33360|oa|lbal
138|41270|da|brec
139|41270|da|clea
143|102578|oi|bpas
145|51090|da|clea
147|51090|da|bout
169|37064|oa|pass
171|73698|oi|rec
172|73698|oi|pass
174|37064|oa|bpas
175|47654|da|clea
176|47654|da|bout
191|73698|oa|pass
193|37064|oa|bpas
194|37064|oa|bout
202|15780|da|pass
205|53392|di|bpas
207|73698|mf|bpas
208|100534|di|pass
209|27250|mf|bpas
211|6685|mf|brec
217|33376|da|bpas
219|102578|mf|lbal
219|47654|mf|brec
220|47654|mf|bpas
221|53515|mf|lbal
222|61262|mf|brec
224|61262|mf|bpas
225|53515|mf|int
227|53515|mf|lbal
227|61262|mf|brec
228|40275|oi|brec
228|47654|mf|brec
229|40275|oi|pass
233|37064|oi|rec
234|37064|oi|pass
238|73698|oi|lbal
238|47654|di|brec
240|47654|di|fsuf
240|73698|oi|foul
256|15780|di|pass
259|39563|mf|cond
260|39563|mf|pass
263|61278|mf|lbal
264|40275|mf|int
265|40275|mf|brec
274|40275|oi|lbal
274|39563|di|brec
275|39563|di|pass
276|47654|di|rec
277|47654|di|pass
