_ts|player_id|place|move
1|12297|mf|pass
1|8533|mf|cond
2|8533|mf|pass
3|41733|mf|cond
4|41733|mf|pass
5|21095|di|rec
6|21095|di|pass
8|72162|da|bpas
11|9809|mf|brec
11|4719|mf|lbal
12|9809|mf|clea
13|9809|oi|bout
24|78140|mf|bpas
27|41270|di|clea
28|41270|mf|bout
33|4719|mf|pass
35|8533|oi|cond
36|8533|oi|pass
36|4719|oi|rec
37|4719|oi|pass
39|41733|oi|rec
40|41733|mf|pass
42|78140|mf|cond
43|78140|mf|pass
46|21095|di|rec
47|21095|di|pass
49|58877|mf|cond
50|58877|mf|pass
52|39204|mf|cond
53|39204|mf|pass
55|85352|da|rec
56|85352|da|pass
59|72162|da|rec
60|72162|da|pass
62|21095|da|rec
63|21095|di|pass
65|85654|di|cond
66|85654|di|pass
68|41733|mf|rec
69|41733|mf|pass
70|78140|di|cond
71|78140|di|pass
74|72162|da|rec
75|72162|da|pass
77|8533|mf|cond
78|8533|mf|pass
80|12297|mf|cond
81|12297|oi|pass
85|51090|da|foul
85|8533|oa|fsuf
152|12297|oa|goal
200|39461|mf|pass
200|47431|mf|cond
201|47431|mf|pass
204|47654|di|bpas
204|58877|da|clea
205|85654|di|clea
206|39461|oi|bpas
209|39204|di|brec
210|39204|di|pass
212|53392|oi|brec
212|12297|di|lbal
214|51090|mf|bpas
215|51090|oi|bout
246|58877|mf|bpas
248|18573|mf|int
250|9809|mf|bpas
252|53392|mf|lbal
252|58877|mf|brec
253|58877|mf|clea
255|58877|mf|bout
260|18573|oi|pass
261|39461|oi|rec
262|39461|oi|pass
263|18573|mf|bpas
264|58877|di|int
265|85352|mf|brec
266|58877|mf|bout
275|18573|oi|pass
278|61262|oa|brec
279|61262|oa|bout
304|72162|da|pass
307|9809|mf|lbal
307|4719|mf|brec
308|4719|mf|bpas
309|8533|oi|bout
317|9809|di|pass
320|61262|mf|bpas
322|47431|mf|lbal
322|85654|mf|brec
323|85654|mf|bpas
325|47431|oi|pass
327|61262|oa|bpas
333|61262|oa|bout
354|58877|da|pass
355|41733|mf|rec
356|41733|mf|pass
360|39204|mf|rec
361|39204|oi|pass
362|8533|oi|rec
363|8533|oi|pass
366|85654|mf|cond
367|85654|mf|pass
372|4719|mf|rec
373|4719|oi|pass
377|41733|oi|cond
378|41733|mf|pass
379|21095|mf|rec
380|21095|mf|pass
381|85352|mf|rec
382|85352|mf|pass
385|58877|mf|cond
386|58877|mf|pass
390|85352|di|cond
391|85352|di|pass
393|85654|di|bpas
394|47431|mf|int
396|61262|mf|bout
398|58877|mf|pass
408|85352|da|rec
409|85352|di|pass
410|41733|mf|rec
411|41733|mf|pass
418|8533|oi|bpas
422|19928|da|gsav
429|19928|da|pass
429|51090|da|rec
430|51090|da|pass
431|100534|di|rec
432|100534|di|pass
434|18573|di|cond
435|18573|di|pass
440|41270|di|cond
441|41270|di|pass
447|39461|oa|cond
448|39461|oa|pass
451|53392|oa|bpas
453|58877|da|int
454|85654|da|clea
455|53392|oa|brec
457|47654|mf|bpas
459|39461|oi|lbal
459|21095|di|brec
460|41733|di|brec
460|85654|di|rec
461|85654|di|pass
461|12297|mf|rec
462|12297|mf|pass
465|41270|mf|dled
465|41733|mf|drib
466|41733|mf|pass
473|12297|oa|rec
474|12297|oa|pass
476|100534|di|brec
476|8533|oi|lbal
478|100534|di|brec
480|100534|di|fsuf
480|8533|oi|foul
508|51090|di|pass
508|47654|mf|rec
509|47654|mf|pass
512|51090|di|rec
513|51090|di|pass
518|41270|di|rec
519|41270|di|pass
521|9809|mf|cond
522|9809|mf|pass
522|47431|mf|rec
523|47431|mf|pass
531|41270|mf|pass
532|53392|mf|rec
533|53392|mf|pass
541|41270|mf|bpas
546|72162|da|brec
552|72162|da|pass
554|58877|di|rec
555|58877|di|pass
560|72162|da|bpas
563|9809|mf|bpas
567|78140|di|clea
569|78140|di|bpas
572|100534|mf|int
573|100534|mf|pass
573|9809|mf|cond
574|9809|mf|pass
579|61262|oi|fsuf
579|78140|di|foul
590|61262|oi|pass
593|9809|oa|bpas
598|9809|oa|bout
610|58877|da|bpas
613|100534|mf|int
615|39204|mf|pass
617|47654|di|dled
617|8533|oi|drib
619|51090|di|dled
619|8533|oi|drib
621|8533|oi|pass
626|41733|oi|rec
627|41733|oi|pass
627|85654|mf|rec
628|85654|mf|pass
628|78140|mf|rec
629|78140|mf|pass
632|4719|oi|rec
633|4719|oi|pass
634|78140|mf|rec
635|78140|mf|pass
637|21095|mf|cond
638|21095|mf|pass
640|85352|mf|rec
641|85352|mf|pass
642|58877|mf|rec
643|58877|mf|pass
647|85352|di|rec
648|85352|di|pass
654|72162|da|bpas
658|41270|di|brec
660|41270|di|pass
661|9809|mf|rec
662|9809|mf|pass
664|41270|di|rec
665|41270|di|pass
665|100534|mf|rec
666|100534|mf|pass
669|41270|di|pass
673|51090|di|rec
674|51090|di|pass
677|53392|mf|lbal
677|85352|mf|brec
678|85352|mf|brec
679|85352|mf|pass
681|8533|mf|cond
682|8533|oi|pass
684|4719|oi|bpas
688|4719|oa|bout
699|19928|da|pass
701|47654|di|rec
702|47654|di|pass
702|100534|di|rec
703|100534|di|pass
709|61262|di|cond
710|61262|di|pass
710|47654|di|rec
711|47654|di|pass
713|61262|di|cond
714|61262|mf|pass
720|47431|oa|bpas
721|4719|da|int
722|4719|da|bout
731|9809|oa|pass
734|61262|oa|lbal
738|41733|da|brec
739|41733|da|pass
741|85352|da|rec
742|85352|da|pass
743|39204|di|rec
744|39204|di|pass
747|12297|mf|bpas
748|41270|mf|int
749|41270|mf|brec
750|41270|mf|pass
751|47431|mf|rec
752|47431|mf|pass
760|53392|oa|bpas
761|58877|da|clea
763|21095|da|clea
765|47654|oi|lbal
765|12297|di|brec
767|4719|mf|brec
772|4719|mf|pass
774|78140|mf|rec
775|78140|mf|pass
777|39204|mf|cond
778|39204|mf|pass
778|8533|mf|rec
779|8533|mf|pass
779|39204|mf|rec
780|39204|mf|pass
781|78140|mf|rec
782|78140|mf|pass
783|4719|mf|rec
784|4719|mf|pass
786|78140|mf|cond
787|78140|di|pass
789|21095|di|rec
790|21095|di|pass
792|85352|di|rec
793|85352|di|pass
796|58877|mf|bpas
799|41270|di|brec
802|41270|mf|pass
804|61262|mf|lbal
804|78140|mf|brec
808|78140|di|bout
819|9809|oi|pass
819|47431|oi|cond
820|47431|oi|pass
821|18573|oi|cond
822|18573|oi|pass
823|39461|oi|cond
824|39461|oi|pass
826|51090|mf|rec
827|51090|mf|pass
828|47654|mf|rec
829|47654|mf|pass
831|41270|mf|rec
832|41270|mf|pass
835|9809|mf|rec
836|9809|mf|pass
838|47654|mf|cond
839|47654|mf|pass
845|41270|mf|rec
846|41270|mf|pass
848|51090|mf|cond
849|51090|mf|pass
853|41270|mf|bpas
859|61262|oa|foul
887|72162|da|bpas
890|41270|di|pass
892|53392|mf|brec
892|41733|mf|lbal
893|53392|mf|bpas
895|78140|mf|pass
900|72162|da|cond
901|72162|da|pass
903|85352|da|rec
904|85352|di|pass
907|58877|di|rec
908|58877|mf|pass
910|8533|oi|cond
911|8533|oi|pass
915|51090|di|lbal
915|12297|oi|lbal
917|51090|di|brec
918|51090|di|pass
919|47654|di|rec
920|47654|di|pass
921|61262|mf|lbal
922|85654|oi|brec
922|12297|oi|rec
923|85654|oi|pass
923|12297|oi|pass
924|85654|oi|cond
925|85654|oi|pass
925|8533|oi|rec
926|8533|oi|pass
928|78140|mf|rec
929|78140|mf|pass
931|85352|mf|cond
932|85352|mf|pass
933|58877|mf|cond
934|58877|mf|pass
935|85352|di|rec
936|85352|di|pass
938|21095|mf|rec
939|21095|mf|pass
941|78140|mf|rec
942|78140|mf|pass
944|4719|mf|cond
945|4719|mf|pass
949|8533|mf|rec
950|8533|oi|pass
953|39204|oa|bpas
955|41270|da|clea
956|41270|da|lbal
957|58877|oa|goal
1024|39461|mf|pass
1024|47431|mf|rec
1025|47431|mf|pass
1025|47654|mf|rec
1026|47654|mf|pass
1028|9809|mf|cond
1029|9809|mf|pass
1037|41270|mf|fsuf
1037|85654|mf|foul
1059|51090|mf|pass
1061|47654|mf|cond
1062|47654|mf|pass
1063|51090|mf|rec
1064|51090|mf|pass
1065|18573|mf|cond
1066|18573|mf|pass
1070|47654|mf|rec
1071|47654|mf|pass
1072|61262|oi|rec
1073|61262|oi|pass
1076|18573|oi|rec
1077|18573|oi|pass
1078|61262|oa|rec
1079|61262|oa|pass
1080|18573|oi|cond
1081|18573|oi|pass
1084|53392|oa|lbal
1085|53392|oa|bout
1115|72162|da|bpas
1118|47654|di|brec
1118|4719|oi|lbal
1119|47654|di|pass
1120|47431|mf|brec
1123|47431|mf|pass
1129|18573|di|rec
1130|18573|oi|pass
1132|61262|oi|cond
1133|61262|oi|pass
1135|39461|oi|bpas
1136|58877|da|brec
1137|58877|da|bpas
1140|53392|mf|int
1141|53392|mf|bout
1159|58877|mf|pass
1161|18573|di|brec
1161|12297|oi|lbal
1163|61262|mf|brec
1164|61262|mf|bpas
1166|21095|mf|int
1167|21095|mf|bpas
1170|9809|di|pass
1172|47654|di|rec
1173|47654|di|pass
1179|18573|oi|bpas
1181|39461|oi|lbal
1181|78140|di|brec
1182|78140|di|clea
1183|47654|mf|pass
1187|41270|mf|rec
1188|41270|mf|pass
1190|61262|mf|cond
1191|61262|mf|pass
1193|51090|di|rec
1194|51090|di|pass
1196|53392|mf|rec
1197|53392|mf|pass
1200|47431|mf|cond
1201|47431|mf|pass
1205|18573|oi|rec
1206|18573|oi|pass
1206|100534|oi|rec
1207|100534|oi|pass
1208|47431|oi|cond
1209|47431|oi|pass
1210|53392|oi|rec
1211|53392|oi|pass
1213|61262|mf|cond
1214|61262|mf|pass
1216|47431|oi|cond
1217|47431|mf|pass
1219|47654|mf|cond
1220|47654|mf|pass
1225|41270|mf|rec
1226|41270|mf|pass
1226|47431|oi|rec
1227|47431|oi|pass
1229|41270|oi|bpas
1230|78140|da|int
1231|78140|da|brec
1233|78140|da|bpas
1234|41270|oa|pass
1234|9809|mf|cond
1235|9809|mf|pass
1239|47654|di|brec
1244|47654|di|pass
1245|18573|mf|cond
1246|18573|mf|pass
1247|47431|mf|cond
1248|47431|mf|pass
1254|61262|oi|drib
1254|85654|di|dled
1257|61262|oi|wsho
1257|72162|da|gsav
1260|72162|da|gsav
1269|72162|da|pass
1276|85352|di|rec
1277|85352|di|pass
1278|85654|di|rec
1279|85654|di|pass
1281|58877|di|cond
1282|58877|mf|pass
1284|8533|mf|rec
1285|8533|mf|pass
1287|47431|mf|lbal
1287|85654|mf|lbal
1288|8533|mf|lbal
1290|47654|mf|brec
1292|47654|mf|pass
1293|41270|di|rec
1294|41270|di|pass
1297|51090|di|cond
1298|51090|di|pass
1298|53392|mf|rec
1299|53392|mf|pass
1299|51090|mf|rec
1300|51090|mf|pass
1301|18573|mf|rec
1302|18573|mf|pass
1303|51090|mf|cond
1304|51090|mf|pass
1305|47654|mf|cond
1306|47654|mf|pass
1311|61262|mf|cond
1312|61262|mf|pass
1313|53392|mf|rec
1314|53392|mf|pass
1318|47431|oi|rec
1319|47431|oi|pass
1322|21095|da|brec
1322|61262|oa|lbal
1324|4719|da|brec
1325|4719|da|pass
1326|21095|da|bpas
1329|9809|mf|pass
1331|47654|di|brec
1336|47654|mf|pass
1338|47431|mf|cond
1339|47431|mf|pass
1342|51090|di|cond
1343|51090|di|pass
1344|47654|mf|cond
1345|47654|mf|pass
1345|51090|di|rec
1346|51090|di|pass
1349|41270|mf|rec
1350|41270|mf|pass
1351|39461|mf|rec
1352|39461|mf|pass
1353|41270|mf|cond
1354|41270|mf|pass
1358|61262|mf|rec
1359|61262|mf|pass
1361|47654|mf|rec
1362|47654|mf|pass
1368|58877|di|dled
1368|18573|oi|drib
1370|18573|oi|wsho
1370|21095|di|gsav
1372|21095|di|brec
1374|58877|mf|brec
1375|58877|mf|pass
1376|8533|mf|rec
1377|8533|mf|pass
1379|58877|mf|cond
1380|58877|oi|pass
1384|8533|oi|cond
1385|8533|oa|pass
1394|4719|oa|rec
1395|4719|oi|pass
1398|78140|mf|drib
1398|61262|mf|dled
1400|78140|oi|drib
1400|100534|di|dled
1401|78140|oi|drib
1401|9809|di|dled
1402|78140|oi|bpas
1405|51090|da|clea
1406|100534|di|bpas
1409|85654|mf|bpas
1411|39461|mf|brec
1414|41733|mf|fsuf
1414|100534|mf|foul
1422|21095|mf|pass
1423|8533|mf|rec
1424|8533|oi|pass
1425|58877|oi|rec
1426|58877|oi|pass
1427|85352|mf|rec
1428|85352|mf|pass
1429|8533|mf|rec
1430|8533|mf|pass
1431|85352|mf|rec
1432|85352|mf|pass
1433|85654|mf|rec
1434|85654|mf|pass
1437|85352|mf|cond
1438|85352|mf|pass
1442|85654|mf|cond
1443|85654|mf|pass
1444|41733|oi|rec
1445|41733|oi|pass
1450|4719|oa|bpas
1451|4719|oa|bout
1461|19928|da|pass
1464|41270|da|cond
1465|41270|da|pass
1469|47654|di|rec
1470|47654|di|pass
1471|9809|di|rec
1472|9809|di|pass
1475|41270|da|bpas
1478|39461|mf|lbal
1478|21095|mf|brec
1480|41733|mf|brec
1483|53392|mf|foul
1483|41733|mf|fsuf
1485|41733|mf|bpas
1488|41733|mf|bout
1499|18573|mf|pass
1499|39461|oi|rec
1500|39461|oi|pass
1501|18573|mf|rec
1502|18573|mf|pass
1503|39461|oi|cond
1504|39461|mf|pass
1508|51090|mf|bpas
1511|78140|di|int
1512|39204|mf|lbal
1514|47654|mf|fsuf
1514|39204|mf|foul
1522|41270|mf|pass
1522|61262|mf|cond
1523|61262|mf|pass
1530|47431|mf|cond
1531|47431|mf|pass
1535|19928|da|rec
1536|19928|da|pass
1538|41270|di|rec
1539|41270|di|pass
1541|47654|mf|rec
1542|47654|di|pass
1552|41270|di|bpas
1556|72162|da|gsav
1559|72162|da|pass
1567|4719|di|cond
1568|4719|mf|pass
1571|78140|mf|bpas
1576|78140|oi|bout
1580|18573|di|pass
1583|51090|di|cond
1584|51090|di|pass
1587|41270|da|cond
1588|41270|di|pass
1591|100534|di|cond
1592|100534|di|pass
1594|47654|di|cond
1595|47654|di|pass
1596|41270|di|rec
1597|41270|di|pass
1604|47431|mf|cond
1605|47431|di|pass
1606|41270|di|rec
1607|41270|di|pass
1607|53392|mf|rec
1608|53392|mf|pass
1610|51090|di|pass
1616|61262|mf|bpas
1618|85654|di|int
1620|47431|oi|pass
1621|18573|oi|cond
1622|18573|oi|pass
1622|47431|oi|rec
1623|47431|oi|pass
1624|61262|oi|cond
1625|61262|oi|pass
1626|39461|oi|rec
1627|39461|oi|pass
1629|85352|da|dled
1629|61262|oa|drib
1631|85352|da|foul
1631|61262|oa|fsuf
1688|61262|oa|pass
1690|21095|da|lbal
1690|41270|oa|brec
1691|41270|oa|wsho
1692|41270|oa|bout
1724|72162|da|pass
1729|39204|mf|rec
1730|39204|mf|pass
1731|4719|mf|cond
1732|4719|mf|pass
1737|8533|oi|drib
1737|53392|di|dled
1738|8533|oi|pass
1739|39204|oa|cond
1740|39204|oa|wsho
1742|39204|oa|bout
1765|19928|da|pass
1768|21095|mf|lbal
1768|39461|mf|brec
1769|39461|mf|bpas
1771|78140|di|pass
1772|4719|mf|brec
1772|100534|mf|lbal
1773|4719|mf|pass
1774|41733|mf|brec
1775|41733|mf|pass
1776|39204|mf|bpas
1777|9809|mf|int
1778|39204|mf|bpas
1780|39204|oi|bout
1791|9809|mf|pass
1796|12297|mf|foul
1796|53392|mf|fsuf
1800|9809|di|pass
1800|41270|di|rec
1801|41270|di|pass
1804|61262|di|cond
1805|61262|mf|pass
1807|18573|mf|cond
1808|18573|mf|pass
1812|61262|mf|rec
1813|61262|mf|pass
1813|18573|mf|rec
1814|18573|mf|pass
1815|39461|mf|cond
1816|39461|mf|pass
1824|51090|mf|bpas
1826|4719|di|pass
1828|72162|da|gsav
1832|72162|da|pass
1838|85352|di|bpas
1841|9809|mf|brec
1846|9809|mf|pass
1847|39461|mf|cond
1848|39461|mf|pass
1852|12297|mf|dled
1852|47431|mf|drib
1854|47431|di|pass
1858|41270|di|bpas
1862|72162|da|gsav
1879|72162|da|pass
1883|4719|mf|pass
1885|8533|oa|fsuf
1885|47654|da|foul
1918|8533|oa|bpas
1920|39461|da|clea
1923|41733|oi|pass
1923|4719|oa|rec
1924|4719|oa|pass
1925|85654|oi|rec
1926|85654|oi|pass
1926|41733|oi|rec
1927|41733|oi|pass
1930|12297|oa|bpas
1931|19928|da|gsav
1933|19928|da|pass
1936|61262|mf|rec
1937|61262|mf|pass
1940|47431|mf|rec
1941|47431|oi|pass
1948|41733|da|foul
1948|18573|oa|fsuf
2002|61262|oa|bpas
2005|41733|da|clea
2006|41733|da|bout
2025|47431|oa|pass
2027|85352|da|lbal
2027|100534|oa|brec
2028|100534|oa|bpas
2032|8533|da|int
2033|8533|da|brec
2034|8533|da|pass
2035|21095|da|cond
2036|21095|da|pass
2036|58877|da|rec
2037|58877|da|pass
2045|21095|oi|bpas
2047|9809|da|pass
2050|47431|di|brec
2053|47431|di|pass
2056|100534|di|cond
2057|100534|di|pass
2058|47654|di|rec
2059|47654|mf|pass
2066|18573|mf|cond
2067|18573|oi|pass
2071|39461|oa|pass
2073|18573|oa|cond
2074|18573|oa|pass
2075|61262|oi|cond
2076|61262|oi|pass
2079|18573|oa|cond
2080|18573|oi|pass
2085|39461|oa|bpas
2086|85352|da|brec
2088|39461|oa|bout
2114|72162|da|bpas
2118|9809|mf|pass
2119|100534|mf|brec
2120|100534|mf|pass
2122|19928|da|rec
2123|19928|da|pass
2125|41270|di|rec
2126|41270|di|pass
2131|18573|di|cond
2132|18573|mf|pass
2136|85654|mf|dled
2136|61262|mf|drib
2140|39204|di|foul
2140|61262|oi|fsuf
2172|47654|oi|pass
2173|18573|oa|cond
2174|18573|oa|pass
2180|41270|oi|rec
2181|41270|oi|wsho
2181|85352|di|gsav
2185|41733|mf|bout
2190|61262|mf|pass
2191|41270|mf|cond
2192|41270|mf|pass
2193|61262|mf|cond
2194|61262|mf|pass
2195|47431|oi|cond
2196|47431|mf|pass
