_ts|player_id|place|move
1|27250|mf|pass
1|61278|mf|cond
2|61278|mf|pass
5|51090|di|bpas
8|60914|di|clea
11|44324|di|brec
14|15780|oi|int
15|15780|mf|brec
16|15780|oi|pass
16|61262|oi|cond
17|61262|oi|pass
18|15780|oi|cond
19|15780|oi|pass
21|100534|oi|lbal
22|42564|di|lbal
24|53645|oi|pass
24|100534|oi|rec
25|100534|oi|pass
29|44324|da|foul
29|53645|oa|fsuf
101|61278|oa|bpas
105|73678|da|brec
106|73678|da|clea
111|15780|di|brec
115|15780|di|pass
120|61278|oi|rec
121|61278|oa|pass
121|53645|oa|rec
122|53645|oa|pass
123|100534|oa|cond
124|100534|oa|wsho
124|67527|da|gsav
127|27250|oa|pass
127|47654|oa|rec
128|47654|oa|wsho
128|52775|da|gsav
130|52775|da|bout
150|61278|oa|bpas
154|67527|da|clea
157|67527|da|pass
159|83465|mf|lbal
160|39563|mf|pass
164|15780|di|brec
171|15780|mf|bpas
177|10995|da|gsav
184|10995|da|pass
184|52775|di|rec
185|52775|di|pass
186|83465|mf|bpas
186|47654|mf|int
189|83465|mf|bout
189|37880|mf|brec
190|15780|mf|pass
191|47654|mf|cond
192|47654|mf|pass
194|15780|di|cond
195|15780|mf|pass
197|41270|di|cond
198|41270|mf|pass
201|39563|mf|cond
202|39563|mf|pass
204|47654|mf|cond
205|47654|mf|pass
206|15780|mf|cond
207|15780|mf|pass
214|44324|da|brec
214|53645|oa|lbal
216|44324|da|brec
221|42564|di|lbal
221|15780|oi|brec
223|15780|oi|bout
237|44324|di|pass
239|42564|mf|drib
239|47654|mf|dled
241|42564|mf|lbal
241|100534|mf|brec
242|100534|mf|brec
243|41270|mf|brec
245|100534|di|clea
247|83465|oi|brec
248|83465|oi|pass
251|37880|mf|cond
252|37880|mf|pass
253|44324|mf|cond
254|44324|mf|pass
256|52775|di|rec
257|52775|di|pass
260|10995|da|bpas
262|41270|mf|pass
263|47654|mf|brec
264|47654|mf|pass
264|51090|mf|rec
265|51090|mf|pass
267|39563|mf|cond
268|39563|mf|pass
272|56069|mf|brec
272|47654|mf|lbal
274|56069|oi|brec
276|56069|oi|pass
284|83465|oa|lbal
