_ts|player_id|place|move
1|46198|mf|pass
1|37055|mf|rec
2|37055|mf|pass
4|34703|mf|bpas
7|28146|di|pass
10|42564|di|bpas
11|46198|mf|pass
11|34703|mf|rec
12|34703|mf|pass
16|46198|mf|bpas
17|56069|di|int
18|83465|mf|pass
20|21091|mf|brec
21|21091|mf|pass
25|73678|oa|cond
26|73678|oa|wsho
27|73678|oa|bout
50|7810|da|pass
53|28146|mf|lbal
53|45034|mf|brec
56|40560|di|brec
57|40560|di|pass
59|10995|da|rec
60|10995|da|pass
64|21091|mf|bpas
65|13139|mf|int
67|13139|mf|bout
77|27671|mf|pass
77|83465|oi|rec
78|83465|oi|pass
79|73678|oi|rec
80|73678|oi|pass
81|27671|oi|rec
82|27671|oi|pass
87|28103|da|foul
87|73678|oa|fsuf
139|21091|oa|bpas
142|38454|da|clea
143|28103|da|brec
145|46198|di|rec
146|46198|di|pass
148|13139|mf|lbal
148|73678|mf|brec
150|73678|mf|pass
151|52775|mf|rec
152|52775|mf|pass
157|73678|mf|bpas
158|13139|mf|int
159|60914|mf|pass
160|83465|oi|rec
161|83465|oi|pass
163|73678|oi|rec
164|73678|oi|pass
169|83465|oa|bpas
171|38462|da|clea
172|38462|da|bout
202|28146|oa|bpas
208|46197|da|fsuf
208|27671|oa|foul
234|7810|da|pass
239|13139|oi|bpas
241|40560|da|clea
243|52775|da|clea
244|21091|da|bout
252|28103|oa|pass
254|13139|oa|rec
255|13139|oa|pass
257|28103|oi|lbal
257|27671|di|brec
259|27671|di|bout
267|28103|oa|pass
271|13139|oa|lbal
271|27671|da|lbal
273|13139|oa|lbal
274|60914|da|clea
276|52775|da|clea
278|21091|di|brec
279|21091|di|pass
282|73678|di|cond
283|73678|di|pass
286|83465|mf|cond
287|83465|mf|pass
288|21091|mf|rec
289|21091|mf|pass
290|73678|mf|rec
291|73678|mf|pass
304|38454|da|foul
304|83465|oa|fsuf
378|28146|oa|bpas
380|45034|da|clea
383|45034|da|bout
402|27671|oa|pass
404|21091|oa|lbal
405|21091|oa|bout
418|28103|da|pass
418|34703|di|rec
419|34703|di|pass
424|28103|da|bpas
425|28146|mf|int
427|34703|di|bpas
428|28146|mf|int
429|46198|mf|brec
430|60914|mf|brec
431|60914|mf|pass
432|27671|mf|bpas
433|13139|mf|int
434|46198|mf|brec
435|46198|mf|pass
436|45034|mf|rec
437|45034|mf|pass
438|17347|mf|cond
439|17347|mf|pass
445|45034|oi|bpas
447|45034|oa|bout
486|10995|da|pass
491|13139|mf|lbal
491|73678|mf|brec
492|73678|mf|pass
493|83465|oi|rec
494|83465|oi|pass
496|28103|di|int
496|73678|oi|bpas
498|28103|di|bout
505|27671|oi|pass
512|73678|oa|bpas
515|73678|oa|bout
539|7810|da|bpas
