_ts|player_id|place|move
1|37265|mf|pass
1|42565|mf|rec
2|42565|mf|pass
6|33190|mf|cond
7|33190|mf|pass
7|122779|mf|rec
8|122779|mf|pass
10|37269|di|rec
11|37269|di|pass
13|48853|di|rec
14|48853|di|pass
16|118749|mf|cond
17|118749|mf|pass
20|37269|mf|bpas
23|80480|di|brec
23|37265|oi|lbal
24|80480|di|clea
25|77711|di|brec
26|77711|di|lbal
26|48852|oi|brec
28|48852|mf|brec
29|48852|mf|pass
35|48853|di|rec
36|48853|di|pass
38|118749|di|rec
39|118749|di|pass
42|48853|mf|cond
43|48853|mf|pass
45|118749|mf|rec
46|118749|mf|pass
48|122779|mf|rec
49|122779|mf|pass
51|42565|oi|bpas
52|42565|oi|bout
72|131882|di|pass
74|3273|mf|cond
75|3273|mf|pass
77|100887|mf|lbal
78|118749|mf|brec
83|48853|di|rec
84|48853|da|pass
86|33148|da|bpas
88|80480|di|brec
88|37265|oi|lbal
89|80480|di|clea
90|80480|mf|bout
93|48852|mf|pass
100|48853|di|rec
101|48853|di|pass
102|33148|di|rec
103|33148|di|pass
105|37269|di|rec
106|37269|di|pass
111|122779|mf|rec
112|122779|oi|pass
114|59115|di|lbal
114|105835|oi|lbal
116|105835|oi|pass
118|37192|da|int
118|122779|oa|bpas
119|37192|da|clea
122|37192|di|bout
134|122779|oi|pass
138|83531|mf|cond
139|83531|mf|pass
143|48853|mf|cond
144|48853|mf|pass
145|48852|oa|bpas
147|80480|da|brec
148|80480|da|bpas
153|48853|di|brec
157|3273|oi|foul
157|48853|di|fsuf
166|48853|di|pass
168|33148|da|rec
169|33148|da|pass
171|37269|di|cond
172|37269|di|pass
173|122779|mf|rec
174|122779|mf|pass
177|37269|mf|rec
178|37269|mf|pass
181|48852|oi|bpas
183|154685|di|pass
184|13867|di|brec
185|13867|di|pass
190|77711|oi|bpas
195|33148|da|gsav
202|33148|da|pass
203|48853|di|rec
204|48853|di|pass
211|118749|di|cond
212|118749|di|pass
213|37269|mf|rec
214|37269|mf|pass
214|122779|mf|rec
215|122779|mf|pass
217|105835|oi|cond
218|105835|mf|pass
219|33190|mf|rec
220|33190|mf|pass
221|42565|mf|rec
222|42565|mf|pass
223|37269|mf|rec
224|37269|mf|pass
227|48853|mf|rec
228|48853|mf|pass
234|37265|oi|cond
235|37265|oi|pass
239|100887|da|brec
239|122779|oa|lbal
240|122779|oa|bout
248|131897|da|pass
251|80480|da|bpas
253|83531|oi|pass
254|48852|mf|brec
255|48852|mf|pass
255|37269|mf|rec
256|37269|mf|pass
258|42565|mf|cond
259|42565|mf|pass
260|48852|mf|cond
261|48852|mf|pass
264|118749|mf|rec
265|118749|mf|pass
268|37269|mf|bpas
269|100887|di|int
270|100887|di|brec
273|59115|mf|bpas
278|33148|da|pass
281|33148|da|bpas
283|80480|mf|drib
283|37265|mf|dled
284|80480|mf|pass
286|40539|mf|bpas
288|48852|mf|brec
289|13867|mf|dled
289|48852|mf|drib
290|13867|mf|foul
290|48852|mf|fsuf
309|48852|mf|pass
311|83531|mf|rec
312|83531|mf|pass
312|37269|mf|rec
313|37269|mf|pass
314|122779|oi|cond
315|122779|oi|pass
318|33190|oi|bpas
319|131882|da|clea
320|122779|oa|brec
337|131897|da|pass
337|80480|di|rec
338|80480|di|pass
338|40539|da|rec
339|40539|da|pass
340|131897|da|cond
341|131897|da|pass
343|131882|di|rec
344|131882|di|pass
348|59115|mf|fsuf
348|122779|mf|foul
357|154685|mf|pass
358|131882|mf|rec
359|131882|mf|pass
361|154685|di|rec
362|154685|di|pass
365|131897|da|rec
366|131897|da|pass
369|3273|mf|rec
370|3273|mf|pass
373|13867|mf|lbal
373|42565|mf|brec
374|37269|mf|pass
376|122779|mf|brec
381|122779|mf|pass
384|37269|di|rec
385|37269|di|pass
389|33148|da|bpas
392|80480|mf|fsuf
392|48852|mf|foul
409|80480|mf|pass
412|3273|oi|brec
412|48853|di|lbal
413|100887|oi|pass
414|13867|oi|bpas
416|48853|da|pass
417|122779|di|rec
418|122779|di|pass
419|105835|mf|rec
420|105835|mf|pass
422|42565|mf|brec
425|33190|mf|bpas
427|154685|di|pass
428|13867|mf|brec
431|48853|di|brec
432|48853|di|pass
435|33148|da|cond
436|33148|da|pass
438|118749|di|cond
439|118749|di|pass
442|48852|di|rec
443|48852|di|pass
444|83531|mf|rec
445|83531|mf|pass
446|33190|mf|cond
447|33190|mf|pass
452|122779|mf|cond
453|122779|oi|pass
455|105835|oi|cond
456|105835|mf|pass
458|33190|mf|rec
459|33190|mf|pass
460|37265|oi|cond
461|37265|oi|pass
467|33190|oi|rec
468|33190|mf|pass
470|37269|mf|rec
471|37269|mf|pass
474|118749|mf|bpas
477|131897|da|gsav
478|131897|da|pass
480|37192|di|cond
481|37192|di|pass
484|80480|mf|bpas
488|48853|da|clea
489|48853|di|bout
503|80480|oi|pass
504|77711|oa|lbal
504|48852|da|brec
506|48852|da|bout
519|80480|oa|pass
520|13867|oa|rec
521|13867|oa|pass
522|80480|oi|rec
523|80480|oi|pass
526|37192|oi|cond
527|37192|mf|pass
528|154685|mf|cond
529|154685|mf|pass
532|131882|mf|bpas
535|122779|di|int
536|37269|di|brec
537|37269|di|pass
540|118749|mf|pass
540|122779|mf|rec
541|122779|mf|pass
543|37269|di|cond
544|37269|di|pass
548|48853|di|cond
549|48853|di|pass
551|48852|mf|cond
552|48852|mf|pass
555|48853|di|rec
556|48853|di|pass
560|118749|mf|cond
561|118749|mf|pass
561|42565|mf|rec
562|42565|mf|pass
563|122779|mf|rec
564|122779|mf|pass
566|37269|mf|cond
567|37269|mf|pass
572|48853|mf|rec
573|48853|mf|pass
574|83531|mf|bpas
575|13867|mf|int
576|37192|di|brec
577|37192|di|pass
577|77711|mf|bpas
580|48853|mf|foul
592|40539|mf|pass
592|154685|mf|cond
593|154685|mf|pass
595|131882|mf|lbal
596|131882|mf|bout
607|122779|mf|pass
611|37269|da|rec
612|37269|da|pass
615|33148|da|rec
616|33148|da|pass
618|48853|di|cond
619|48853|di|pass
621|37269|mf|rec
622|37269|mf|pass
625|122779|mf|rec
626|122779|oi|pass
632|105835|mf|cond
633|105835|mf|pass
634|48853|mf|rec
635|48853|mf|pass
638|48852|oi|rec
639|48852|oi|pass
642|37269|mf|cond
643|37269|mf|pass
645|33190|oi|cond
646|33190|oi|pass
649|42565|oi|rec
650|42565|oi|pass
651|83531|oa|rec
652|83531|oa|pass
654|37265|oa|cond
655|37265|oa|pass
656|40539|da|dled
656|83531|oa|drib
658|131897|da|lbal
658|83531|oa|bpas
659|59115|da|clea
660|105835|oa|pass
660|37265|oa|cond
661|37265|oa|goal
727|3273|mf|pass
727|13867|mf|rec
728|13867|mf|pass
728|131882|mf|cond
729|131882|mf|pass
732|100887|oi|drib
732|37269|di|dled
735|100887|oa|pass
737|131882|oi|bpas
740|3273|oa|lbal
740|48853|da|brec
742|80480|oi|lbal
743|83531|di|brec
743|33190|di|cond
744|33190|di|pass
749|37265|mf|rec
750|37265|oi|pass
750|42565|oi|rec
751|42565|oi|pass
753|83531|mf|cond
754|83531|mf|pass
754|48852|oi|cond
755|48852|oi|pass
756|42565|mf|rec
757|42565|mf|pass
760|37192|di|int
760|33190|oi|bpas
761|37192|mf|bout
767|48852|mf|pass
769|48853|mf|rec
770|48853|mf|pass
771|83531|mf|rec
772|83531|mf|pass
775|118749|mf|cond
776|118749|mf|pass
776|105835|mf|rec
777|105835|mf|pass
778|118749|mf|rec
779|118749|mf|pass
780|48853|mf|cond
781|48853|mf|pass
782|48852|mf|rec
783|48852|mf|pass
785|59115|di|dled
785|37265|oi|drib
788|37265|oi|pass
790|33190|oa|rec
791|33190|oa|goal
841|13867|mf|pass
841|3273|mf|rec
842|3273|mf|pass
843|13867|mf|cond
844|13867|oi|pass
845|100887|oi|lbal
845|118749|di|lbal
847|3273|oi|pass
849|13867|oi|cond
850|13867|oi|pass
850|131882|mf|rec
851|131882|mf|pass
852|37192|oi|bpas
852|83531|di|int
855|37269|di|brec
859|122779|di|rec
860|122779|di|pass
862|42565|di|rec
863|42565|mf|pass
865|37265|oi|bpas
866|131897|da|brec
867|131897|da|pass
867|40539|di|rec
868|40539|di|pass
870|131897|da|bpas
876|48852|da|brec
877|131897|oi|bout
885|48852|mf|pass
886|48853|da|rec
887|48853|da|pass
890|33148|da|rec
891|33148|da|pass
896|122779|mf|bpas
897|100887|mf|bpas
897|42565|mf|int
903|131882|mf|lbal
903|105835|mf|lbal
903|42565|mf|rec
904|42565|mf|pass
907|37192|mf|foul
907|33190|mf|fsuf
929|118749|mf|pass
931|37269|mf|rec
932|37269|mf|pass
932|42565|mf|rec
933|42565|mf|pass
935|37269|mf|cond
936|37269|mf|pass
938|33148|di|cond
939|33148|di|pass
943|48853|mf|rec
944|48853|mf|pass
945|48852|mf|rec
946|48852|mf|pass
946|37265|oi|rec
947|37265|oi|pass
949|48852|mf|rec
950|48852|mf|pass
951|42565|oi|rec
952|42565|mf|pass
954|122779|oa|bpas
955|131882|da|clea
956|131882|da|bout
1001|118749|oa|pass
1002|105835|oa|bpas
1003|131882|da|brec
1004|37192|da|brec
1005|154685|da|clea
1006|33190|oa|bpas
1009|131897|da|gsav
1015|131897|da|pass
1016|13867|mf|bpas
1017|13867|di|bout
1030|48852|mf|pass
1034|77711|di|dled
1034|37265|oi|drib
1035|37265|oi|bpas
1035|80480|di|brec
1036|37265|oi|drib
1037|83531|oi|pass
1037|48852|mf|rec
1038|48852|mf|pass
1040|37269|mf|rec
1041|37269|mf|pass
1042|118749|mf|cond
1043|118749|mf|pass
1046|122779|oi|cond
1047|122779|oi|pass
1052|118749|mf|rec
1053|118749|mf|pass
1055|48853|mf|cond
1056|48853|mf|pass
1060|37265|mf|bpas
1061|80480|di|brec
1062|37192|di|rec
1063|37192|di|pass
1063|77711|di|rec
1064|77711|di|pass
1068|3273|mf|lbal
1068|48853|mf|brec
1070|83531|di|brec
1075|118749|di|rec
1076|118749|di|pass
1078|37269|mf|cond
1079|37269|mf|pass
1081|122779|mf|cond
1082|122779|mf|pass
1085|37269|di|cond
1086|37269|di|pass
1089|48853|di|cond
1090|48853|di|pass
1091|48852|mf|rec
1092|48852|mf|pass
1095|48853|mf|rec
1096|48853|di|pass
1098|33148|di|rec
1099|33148|di|pass
1101|48853|di|rec
1102|48853|di|pass
1105|83531|mf|cond
1106|83531|mf|pass
1106|48853|di|rec
1107|48853|di|pass
1109|33148|di|cond
1110|33148|di|pass
1115|37269|di|bpas
1117|131882|mf|bpas
1119|105835|mf|bpas
1120|59115|mf|brec
1120|33190|mf|lbal
1121|100887|mf|pass
1122|3273|oi|brec
1123|3273|oi|pass
1125|77711|oi|cond
1126|77711|oi|wsho
1127|77711|oa|bout
1171|33148|da|pass
1171|122779|mf|cond
1172|122779|mf|pass
1172|105835|mf|rec
1173|105835|mf|pass
1174|37269|mf|cond
1175|37269|mf|pass
1179|83531|mf|bpas
1180|80480|di|brec
1180|37265|oi|lbal
1182|77711|mf|bpas
1186|83531|mf|pass
1188|48853|di|cond
1189|48853|di|pass
1192|33148|da|cond
1193|33148|da|pass
1197|122779|mf|rec
1198|122779|mf|pass
1199|33190|mf|bpas
1200|154685|di|int
1200|122779|mf|brec
1201|13867|mf|brec
1203|59115|mf|bpas
1203|42565|mf|int
1207|77711|mf|pass
1210|80480|mf|bpas
1214|37269|di|clea
1218|131882|mf|fsuf
1218|33190|mf|foul
1252|77711|oi|bpas
1256|77711|oi|pass
1256|118749|da|clea
1257|154685|oi|brec
1258|122779|di|brec
1259|77711|oi|dled
1259|122779|di|drib
1262|33190|mf|rec
1263|33190|di|pass
1265|83531|di|rec
1266|83531|di|pass
1270|37265|mf|rec
1271|37265|oi|pass
1274|42565|oi|bpas
1276|131897|da|gsav
1280|131897|da|pass
1281|80480|da|rec
1282|80480|da|pass
1285|40539|da|drib
1285|37265|oa|dled
1286|40539|da|pass
1288|80480|da|cond
1289|80480|da|pass
1291|77711|di|rec
1292|77711|mf|pass
1292|59115|di|rec
1293|59115|di|pass
1294|37192|di|cond
1295|37192|di|pass
1296|13867|mf|rec
1297|13867|mf|pass
1300|59115|mf|cond
1301|59115|mf|pass
1310|100887|mf|rec
1311|100887|oa|pass
1312|77711|oi|rec
1313|77711|oi|wsho
1317|77711|oa|bout
1347|33148|da|bpas
1350|33148|oi|bout
1356|80480|di|pass
1356|37192|di|rec
1357|37192|di|pass
1358|80480|di|bpas
1361|37269|mf|brec
1361|105835|mf|rec
1362|105835|mf|pass
1363|42565|mf|rec
1364|42565|mf|pass
1365|33190|oi|cond
1366|33190|oi|pass
1369|37265|oi|rec
1370|37265|oi|pass
1371|33190|oi|rec
1372|33190|oi|pass
1373|37265|oi|rec
1374|37265|oi|pass
1375|42565|oi|rec
1376|42565|oi|pass
1376|48852|oi|rec
1377|48852|oi|pass
1377|33190|oi|rec
1378|33190|oi|pass
1381|48852|oa|cond
1382|48852|oa|pass
1384|42565|oa|cond
1385|42565|oa|wsho
1387|42565|oa|bout
1396|131897|da|pass
1396|131882|di|cond
1397|131882|mf|pass
1399|100887|mf|lbal
1400|118749|mf|pass
1402|83531|mf|brec
1402|118749|mf|cond
1403|118749|mf|pass
1404|83531|mf|cond
1405|83531|mf|pass
1405|33190|mf|rec
1406|33190|mf|pass
1407|83531|mf|rec
1408|83531|mf|pass
1408|48852|mf|rec
1409|48852|mf|pass
1410|118749|mf|rec
1411|118749|mf|pass
1412|48853|di|rec
1413|48853|di|pass
1415|37269|mf|cond
1416|37269|mf|pass
1417|122779|mf|rec
1418|122779|mf|pass
1421|37269|mf|rec
1422|37269|mf|pass
1425|118749|di|rec
1426|118749|di|pass
1431|37269|mf|cond
1432|37269|mf|pass
1435|48852|mf|rec
1436|48852|mf|pass
1440|48853|di|cond
1441|48853|mf|pass
1445|83531|oi|cond
1446|83531|oi|pass
1448|33190|oa|bpas
1449|80480|da|int
1450|59115|da|brec
1452|59115|da|pass
1452|13867|di|rec
1453|13867|di|pass
1454|77711|di|bpas
1454|83531|mf|int
1456|83531|oi|bout
1470|80480|di|bpas
1475|37269|di|brec
1476|33148|di|rec
1477|33148|di|pass
1482|48853|di|cond
1483|48853|di|pass
1486|37269|di|cond
1487|37269|di|pass
1488|118749|mf|rec
1489|118749|mf|pass
1490|37269|di|rec
1491|37269|di|pass
1492|122779|mf|bpas
1493|122779|mf|bout
1503|131882|mf|pass
1505|3273|oi|lbal
1509|37269|di|brec
1510|33148|da|rec
1511|33148|da|pass
1512|118749|di|rec
1513|118749|di|pass
1517|48852|mf|cond
1518|48852|mf|pass
1526|80480|da|dled
1526|37265|oa|drib
1528|80480|da|clea
1528|37265|oa|bpas
1530|77711|da|brec
1531|77711|da|pass
1535|3273|mf|rec
1536|3273|mf|pass
1540|131882|di|rec
1541|131882|mf|pass
1545|100887|oa|bpas
1548|100887|oa|bout
1585|33148|da|pass
1588|37269|di|cond
1589|37269|di|pass
1591|122779|mf|rec
1592|122779|mf|pass
1595|37269|di|cond
1596|37269|di|pass
1598|118749|di|cond
1599|118749|di|pass
1605|48853|di|rec
1606|48853|mf|pass
1607|48852|mf|bpas
1608|80480|mf|int
1608|37192|mf|rec
1609|80480|mf|pass
1609|37192|mf|pass
1610|13867|mf|bpas
1610|33190|mf|int
1613|83531|mf|pass
1613|118749|mf|rec
1614|118749|mf|pass
1617|59115|mf|lbal
1617|105835|mf|brec
1618|105835|mf|pass
1620|59115|mf|foul
1620|83531|mf|fsuf
1649|42565|mf|pass
1650|48853|mf|rec
1651|48853|mf|pass
1653|48852|mf|cond
1654|48852|mf|pass
1655|118749|mf|rec
1656|118749|mf|pass
1657|48852|mf|rec
1658|48852|mf|pass
1660|33148|di|cond
1661|33148|di|pass
1664|37269|mf|rec
1665|37269|mf|pass
1668|42565|mf|cond
1669|42565|mf|pass
1672|37269|mf|cond
1673|37269|mf|pass
1674|48853|di|rec
1675|48853|di|pass
1680|33148|da|bpas
1682|154685|mf|pass
1683|37192|mf|lbal
1683|83531|mf|pass
1683|42565|mf|rec
1684|42565|mf|pass
1685|33190|mf|rec
1686|33190|mf|pass
1690|48853|di|bpas
1697|48852|oa|bout
1707|80480|da|bpas
1710|33190|oi|int
1711|33190|oi|pass
1711|48852|oi|rec
1712|48852|oi|pass
1714|83531|mf|cond
1715|83531|mf|pass
1715|42565|mf|rec
1716|42565|mf|pass
1717|118749|oi|bpas
1718|40539|di|int
1719|13867|di|rec
1720|13867|di|pass
1723|100887|mf|cond
1724|100887|mf|pass
1724|3273|mf|rec
1725|3273|mf|pass
1729|131882|mf|rec
1730|131882|mf|pass
1730|100887|oi|rec
1731|100887|oi|pass
1731|131882|mf|rec
1732|131882|oi|pass
1734|13867|mf|cond
1735|13867|mf|pass
1737|80480|mf|bpas
1739|77711|oi|brec
1739|37265|di|lbal
1743|77711|oi|bpas
1745|77711|oa|bout
1777|33148|da|bpas
1782|33148|mf|bout
1791|131882|mf|pass
1792|100887|mf|rec
1793|100887|mf|pass
1794|154685|mf|rec
1795|154685|mf|pass
1795|59115|mf|cond
1796|59115|mf|pass
1798|40539|di|rec
1799|40539|di|pass
1799|59115|di|cond
1800|59115|di|pass
1806|131897|da|cond
1807|131897|da|pass
1810|40539|da|cond
1811|40539|da|pass
1814|59115|di|bpas
1819|48852|di|int
1821|33148|da|gsav
1824|83531|di|rec
1825|83531|mf|pass
1827|42565|mf|rec
1828|42565|mf|pass
1832|105835|oi|cond
1833|105835|oi|pass
1834|33190|oi|bpas
1835|131882|da|int
1837|59115|di|lbal
1837|33190|oi|brec
1839|33190|oa|pass
1841|59115|da|lbal
1841|105835|oa|lbal
1843|105835|oa|pass
1844|122779|oi|rec
1845|122779|oi|pass
1846|42565|oi|bpas
1848|131882|da|brec
1850|131882|da|bpas
1852|37269|mf|pass
1853|42565|mf|rec
1854|42565|mf|pass
1857|118749|mf|brec
1857|37269|mf|rec
1858|37269|mf|pass
1863|48853|di|cond
1864|48853|di|pass
1865|118749|di|cond
1866|118749|di|pass
1869|37269|mf|rec
1870|37269|mf|pass
1873|118749|di|rec
1874|118749|di|pass
1877|48853|di|cond
1878|48853|di|pass
1880|118749|mf|cond
1881|118749|mf|pass
1882|48853|di|rec
1883|48853|di|pass
1885|37269|mf|rec
1886|37269|mf|pass
1886|42565|mf|rec
1887|42565|mf|pass
1888|37269|mf|cond
1889|37269|mf|pass
1891|48853|di|cond
1892|48853|di|pass
1895|118749|mf|rec
1896|118749|mf|pass
1898|3273|mf|foul
1898|42565|mf|fsuf
1900|42565|mf|pass
1901|83531|mf|rec
1902|83531|mf|pass
1903|33190|mf|cond
1904|33190|mf|pass
1906|37269|mf|cond
1907|37269|mf|pass
1908|83531|mf|rec
1909|83531|mf|pass
1910|118749|mf|rec
1911|118749|mf|pass
1912|122779|oi|rec
1913|122779|oi|pass
1913|33190|oi|rec
1914|33190|oi|pass
1918|131882|da|dled
1918|122779|oa|drib
1920|122779|oa|bpas
1921|154685|da|brec
1923|122779|oa|wsho
1923|131882|da|gsav
1927|131882|da|bout
1968|118749|oa|bpas
1971|3273|da|clea
1972|100887|di|pass
1975|77711|di|brec
1976|77711|di|bpas
1982|100887|oi|foul
1982|37269|di|fsuf
2014|33148|di|pass
2023|105835|oi|rec
2024|105835|oa|pass
2025|122779|oi|cond
2026|122779|oi|pass
2028|118749|mf|cond
2029|118749|mf|pass
2030|37269|mf|rec
2031|37269|mf|pass
2035|33148|di|bpas
2038|100887|mf|brec
2042|100887|oi|pass
2046|77711|oi|drib
2046|42565|da|dled
2047|77711|oa|pass
2050|100887|oa|brec
2050|122779|da|lbal
2053|122779|da|brec
2055|122779|da|bpas
2056|131882|oi|int
2057|100887|oi|brec
2060|100887|oi|pass
2061|131882|oa|cond
2062|131882|oa|pass
2063|3273|oa|brec
2063|48853|da|lbal
2064|3273|oa|goal
2121|33190|mf|pass
2121|37265|mf|rec
2122|37265|mf|pass
2123|37269|di|rec
2124|37269|di|pass
2126|83531|mf|rec
2127|83531|mf|pass
2128|37269|mf|cond
2129|37269|mf|pass
2131|48852|oi|rec
2132|48852|oi|pass
2132|42565|oi|rec
2133|42565|oi|pass
2134|48852|mf|cond
2135|48852|mf|pass
2136|42565|mf|bpas
2139|131897|da|gsav
2140|131897|da|pass
2146|40539|da|rec
2147|40539|da|pass
2147|154685|di|rec
2147|131882|mf|rec
2148|131882|mf|pass
2148|154685|di|pass
2149|59115|di|cond
2150|59115|di|pass
2153|131882|mf|brec
2153|122779|mf|lbal
2156|100887|mf|drib
2156|48853|di|dled
2159|100887|oi|pass
2160|3273|oa|rec
2161|3273|oa|wsho
2161|33148|da|gsav
2165|122779|da|brec
2167|122779|da|bpas
2168|131882|mf|int
2170|33190|mf|bpas
2172|80480|mf|int
2173|80480|mf|pass
2174|59115|mf|brec
2176|131882|mf|cond
2177|131882|mf|pass
2180|13867|mf|rec
2181|13867|mf|pass
2181|131882|mf|rec
2182|131882|mf|pass
2184|13867|mf|rec
2185|13867|mf|pass
2185|59115|mf|cond
2186|59115|mf|pass
2188|154685|mf|bpas
2191|83531|mf|bpas
2198|40539|di|pass
2198|154685|di|rec
2199|154685|di|pass
2200|131882|mf|lbal
2201|131882|mf|bout
2209|122779|mf|pass
2212|37269|di|cond
2213|37269|di|pass
2215|118749|mf|cond
2216|118749|mf|pass
2218|40539|di|int
2218|42565|mf|bpas
2221|42565|mf|pass
2224|48852|oa|rec
2225|48852|oa|wsho
2225|80480|da|gsav
2226|80480|da|bout
2269|118749|oa|bpas
2271|3273|da|clea
2272|100887|di|brec
2279|100887|mf|bpas
2282|59115|oi|lbal
2282|48853|di|int
2284|37269|di|brec
2290|33148|da|rec
2291|33148|da|pass
2294|48853|di|rec
2295|48853|di|pass
2297|37269|di|rec
2298|37269|di|pass
2304|122779|mf|rec
2305|122779|mf|pass
2306|83531|mf|rec
2307|83531|mf|pass
2307|37269|mf|rec
2308|37269|mf|pass
2309|83531|mf|rec
2310|83531|mf|pass
2312|122779|oi|cond
2313|122779|oi|pass
2314|105835|oi|cond
2315|105835|oi|pass
2317|83531|mf|cond
2318|83531|mf|pass
2320|33190|oi|rec
2321|33190|oi|pass
2324|122779|oa|bpas
2327|80480|da|clea
2332|80480|da|brec
2332|37265|oa|lbal
2334|80480|da|bout
2343|48852|oa|pass
2345|42565|oi|bpas
2346|77711|da|brec
2347|77711|da|bpas
2350|48853|mf|pass
2351|37269|mf|brec
2351|118749|mf|rec
2352|118749|mf|pass
2352|83531|mf|rec
2353|83531|mf|pass
2355|122779|oi|cond
2356|122779|oi|pass
2363|33190|oi|bpas
2364|100887|di|int
2365|100887|di|brec
2371|131882|mf|bpas
2374|3273|oi|foul
