_ts|player_id|place|move
1|10866|mf|pass
1|20319|mf|rec
2|20319|mf|pass
3|14503|di|cond
4|14503|di|pass
5|27375|di|cond
6|27375|di|pass
8|66806|di|cond
9|66806|di|pass
11|39476|di|rec
12|39476|di|pass
17|66806|di|bpas
20|50369|di|brec
20|28130|oi|lbal
21|50369|di|clea
23|50369|mf|bout
32|27375|mf|pass
36|20319|mf|bpas
38|27701|di|bpas
39|14503|mf|bpas
42|50369|mf|bpas
44|60025|mf|lbal
44|66806|mf|brec
45|66806|mf|pass
46|14503|mf|brec
47|14503|mf|bpas
51|48844|da|pass
52|48844|da|gsav
54|48844|da|pass
56|27300|di|cond
57|27300|di|pass
59|42738|mf|cond
60|42738|mf|pass
62|66733|mf|rec
63|66733|mf|pass
63|42738|mf|rec
64|42738|mf|pass
64|66733|mf|rec
65|66733|mf|pass
66|27701|mf|bpas
67|10866|mf|int
69|39476|di|clea
72|27300|mf|pass
76|62914|mf|lbal
76|14503|mf|brec
77|14503|mf|clea
82|42738|mf|pass
82|62914|oi|rec
83|62914|oi|pass
84|66733|oi|rec
85|66733|oi|pass
85|59380|oi|rec
86|59380|oi|pass
87|39476|da|int
87|62914|oi|bpas
88|39476|da|brec
89|39476|da|clea
91|39476|da|bout
103|42738|oa|pass
105|39476|da|brec
105|60025|oa|lbal
106|10866|da|bpas
107|60025|oa|brec
109|60025|oa|bout
120|40868|da|pass
122|10866|di|bpas
124|60025|mf|bpas
127|66733|oi|pass
127|40868|di|bpas
129|60025|oi|brec
129|62914|oi|rec
130|62914|oi|pass
130|60025|oi|cond
131|60025|oi|pass
132|66806|da|brec
132|59380|oa|lbal
133|39476|da|brec
134|40868|da|bpas
137|60025|oi|int
143|40868|da|pass
144|39471|di|cond
145|39471|di|pass
149|27375|di|bpas
153|42824|mf|bpas
155|48353|mf|pass
158|27375|mf|bpas
162|48844|da|gsav
165|48844|da|pass
166|27701|di|cond
167|27701|di|pass
169|42738|mf|cond
170|42738|mf|pass
173|27701|mf|cond
174|27701|mf|pass
182|12204|di|rec
183|12204|mf|pass
184|27300|mf|cond
185|27300|mf|pass
187|12204|mf|cond
188|12204|mf|pass
194|27701|mf|rec
195|27701|mf|pass
201|12204|di|rec
202|12204|di|pass
206|27300|di|cond
207|27300|di|pass
212|66733|mf|pass
213|42738|mf|rec
214|42738|mf|pass
215|27701|mf|cond
216|27701|mf|pass
217|42738|oi|cond
218|42738|oi|pass
219|62914|oa|bpas
220|66806|da|clea
222|39476|da|brec
222|60025|oa|lbal
223|10866|da|brec
227|10866|mf|fsuf
227|27701|mf|foul
242|39476|di|pass
242|14503|di|cond
243|14503|di|pass
246|39471|mf|rec
247|39471|mf|pass
249|48353|oi|cond
250|48353|oi|wsho
250|48844|da|gsav
254|48844|da|gsav
262|48844|da|pass
264|42738|di|cond
265|42738|mf|pass
268|60025|mf|cond
269|60025|mf|pass
269|27701|mf|rec
270|27701|mf|pass
272|60025|mf|cond
273|60025|mf|pass
273|42738|mf|cond
274|42738|mf|pass
277|60025|mf|rec
278|60025|mf|pass
284|66733|oa|rec
285|66733|oa|pass
288|50369|oa|rec
289|50369|oa|goal
289|66806|da|lbal
347|20319|mf|pass
348|14503|mf|cond
349|14503|mf|pass
349|39471|mf|cond
350|39471|mf|pass
350|40868|oi|cond
351|40868|oi|pass
352|10866|oa|cond
353|10866|oa|pass
353|39471|oa|rec
354|39471|oa|wsho
355|39471|oa|bout
388|48844|da|bpas
395|14503|mf|bpas
396|39471|mf|brec
396|42824|mf|bpas
397|39471|mf|pass
399|20319|mf|brec
401|42738|mf|bpas
403|39476|di|pass
406|40868|mf|rec
407|40868|mf|pass
410|14503|di|cond
411|14503|di|pass
415|27375|mf|rec
416|27375|mf|pass
418|28130|oa|lbal
420|28130|oa|bout
437|48844|da|pass
441|27300|da|cond
442|27300|di|pass
447|12204|di|cond
448|12204|di|pass
448|50369|mf|rec
449|50369|mf|pass
452|12204|di|cond
453|12204|di|pass
457|27300|di|rec
458|27300|mf|pass
461|42738|mf|cond
462|42738|mf|pass
462|27701|mf|rec
463|27701|mf|pass
464|60025|mf|rec
465|60025|mf|pass
466|27701|mf|rec
467|27701|mf|pass
468|39471|mf|foul
468|60025|mf|fsuf
501|27701|mf|pass
504|10866|di|brec
504|66733|oi|lbal
505|10866|di|bout
520|42738|oi|pass
522|62914|oa|bpas
525|20319|mf|pass
528|27375|di|brec
532|27375|mf|pass
537|48353|oi|drib
537|59380|di|dled
539|48353|oi|pass
542|10866|oi|cond
543|10866|oi|pass
546|14503|oi|cond
547|14503|oi|pass
557|48353|oa|lbal
557|60025|da|brec
559|48353|oa|dled
559|60025|da|drib
561|48353|oa|lbal
561|60025|da|lbal
562|60025|di|bout
588|20319|oi|pass
588|10866|oi|cond
589|10866|oi|pass
593|27375|oi|fsuf
593|59380|di|foul
651|40868|oi|wsho
651|42824|da|gsav
655|48353|mf|pass
659|39476|mf|bpas
664|42738|da|clea
667|20319|oa|foul
667|42738|da|fsuf
704|48844|da|bpas
708|27375|mf|brec
708|50369|mf|bpas
711|27375|mf|pass
715|28130|oi|bpas
716|48353|oi|bout
732|50369|di|pass
736|27375|mf|foul
736|59380|mf|fsuf
751|60025|mf|pass
751|50369|mf|rec
752|50369|mf|pass
754|60025|mf|rec
755|60025|mf|pass
757|66806|di|brec
757|62914|oi|lbal
758|66806|di|fsuf
758|62914|oi|foul
762|66806|di|pass
765|48332|da|cond
766|48332|da|pass
768|39476|di|cond
769|39476|di|pass
770|14503|di|rec
771|14503|di|pass
775|48332|da|cond
776|48332|da|pass
783|66806|di|rec
784|66806|mf|pass
787|14503|di|cond
788|14503|di|pass
795|66806|di|cond
796|66806|mf|pass
798|48353|mf|rec
799|48353|mf|pass
801|14503|mf|rec
802|14503|mf|pass
804|39476|mf|rec
805|39476|mf|pass
806|14503|mf|cond
807|14503|mf|pass
807|39471|mf|rec
808|39471|mf|pass
808|48353|mf|cond
809|48353|mf|pass
814|14503|mf|cond
815|14503|mf|pass
816|48353|mf|cond
817|48353|mf|pass
819|27375|oi|bpas
821|12204|da|int
823|28130|oa|foul
823|12204|da|fsuf
855|48844|da|bpas
858|27375|mf|brec
858|59380|mf|lbal
859|27375|mf|clea
861|27375|di|bout
879|50369|oi|bpas
881|66806|da|brec
881|62914|oa|lbal
882|66806|da|clea
883|66806|da|bout
894|50369|oa|pass
899|42824|oi|cond
900|42824|oi|pass
904|50369|oa|bpas
909|10866|da|brec
914|10866|da|lbal
918|42738|oi|brec
919|66806|da|fsuf
919|42738|oa|bpas
932|39476|da|pass
935|39471|da|bpas
938|39471|mf|bout
962|50369|mf|pass
962|42824|mf|rec
963|42824|di|pass
963|12204|di|rec
964|12204|di|pass
965|48844|da|bpas
968|14503|mf|bpas
971|42824|mf|bpas
973|14503|mf|int
974|14503|mf|brec
976|14503|mf|lbal
976|66733|mf|brec
977|66733|mf|brec
988|66733|oi|pass
991|60025|mf|cond
992|60025|mf|pass
993|59380|oi|rec
994|59380|oi|pass
994|62914|oi|rec
995|62914|oi|pass
998|66806|da|brec
998|59380|oa|lbal
999|66806|da|bout
1017|50369|oa|pass
1019|62914|oa|cond
1020|62914|oa|pass
1024|66733|oi|cond
1025|66733|oi|pass
1026|27701|oi|cond
1027|27701|oi|pass
1028|60025|oi|rec
1029|60025|oi|wsho
1029|48332|da|gsav
1033|48332|da|gsav
1038|48332|da|pass
1040|39476|di|rec
1041|39476|di|pass
1046|40868|di|cond
1047|40868|mf|pass
1047|14503|mf|cond
1048|14503|mf|pass
1050|39476|di|rec
1051|39476|di|pass
1058|40868|mf|cond
1059|40868|mf|pass
1066|39476|di|rec
1067|39476|mf|pass
1069|39471|mf|rec
1070|39471|mf|pass
1072|14503|mf|rec
1073|14503|mf|pass
1076|27375|oi|cond
1077|27375|oi|pass
1081|48353|mf|rec
1082|48353|mf|pass
1084|66806|mf|rec
1085|66806|mf|pass
1086|39476|mf|rec
1087|39476|mf|pass
1090|39471|mf|rec
1091|39471|mf|pass
1093|40868|oi|cond
1094|40868|oi|pass
1096|10866|mf|rec
1097|10866|mf|pass
1097|14503|mf|rec
1098|14503|mf|pass
1107|39476|mf|bpas
1110|12204|da|brec
1110|20319|oa|lbal
1111|12204|da|clea
1115|59380|da|bout
1123|27375|oa|pass
1123|48353|oi|rec
1124|48353|oi|pass
1124|27375|oi|cond
1125|27375|oi|pass
1128|48353|mf|cond
1129|48353|mf|pass
1131|14503|mf|rec
1132|14503|oi|pass
1133|10866|oi|bpas
1135|42738|di|int
1136|60025|di|pass
1136|42738|di|cond
1137|42738|di|pass
1139|27701|di|brec
1139|10866|oi|lbal
1141|66733|di|pass
1142|42738|di|cond
1143|42738|di|pass
1145|42824|di|rec
1146|42824|mf|pass
1149|50369|mf|rec
1150|50369|mf|pass
1158|59380|oa|bpas
1159|48353|da|int
1160|48353|da|brec
1162|59380|oa|foul
1162|48353|da|fsuf
1179|27375|da|pass
1179|66806|da|cond
1180|66806|da|pass
1181|27375|da|cond
1182|27375|di|pass
1183|66806|di|rec
1184|66806|di|pass
1189|27375|di|rec
1190|27375|mf|pass
1194|66806|di|rec
1195|66806|mf|pass
1197|14503|mf|rec
1198|14503|mf|pass
1201|40868|mf|cond
1202|40868|mf|pass
1208|39471|oi|cond
1209|39471|oi|pass
1213|59380|di|lbal
1213|27375|oi|lbal
1215|27375|oi|bpas
1217|50369|di|brec
1218|50369|di|pass
1222|60025|mf|lbal
1222|48353|mf|brec
1224|27375|mf|brec
1225|27375|mf|pass
1225|39471|mf|rec
1226|39471|mf|pass
1227|42824|mf|lbal
1227|48353|mf|lbal
1230|27375|mf|pass
1231|66806|mf|rec
1232|66806|mf|pass
1234|14503|mf|cond
1235|14503|mf|pass
1239|40868|mf|rec
1240|40868|mf|pass
1242|39476|mf|cond
1243|39476|mf|pass
1246|48332|di|rec
1247|48332|di|pass
1253|66806|di|cond
1254|66806|mf|pass
1257|14503|mf|rec
1258|14503|mf|pass
1265|62914|mf|int
1265|66806|mf|bpas
1269|20319|oi|bpas
1270|60025|mf|int
1271|48353|mf|pass
1274|39476|mf|bpas
1278|42738|da|clea
1288|10866|oa|bpas
1291|27300|da|bpas
1295|66806|mf|clea
1298|14503|mf|pass
1304|39471|mf|bpas
1308|39471|oa|bout
1339|48844|da|bpas
1341|27375|mf|pass
1343|20319|mf|brec
1345|20319|mf|pass
1347|27375|mf|bpas
1351|42824|di|clea
1351|12204|di|bout
1355|27375|oi|pass
1357|28130|oi|cond
1358|28130|oi|pass
1361|14503|mf|cond
1362|14503|mf|pass
1363|39471|mf|bpas
1366|39471|oa|bout
1395|48844|da|bpas
1399|20319|mf|brec
1402|27701|di|brec
1402|20319|oi|lbal
1404|27701|di|brec
1405|27701|di|pass
1407|66733|mf|bpas
1408|14503|mf|int
1409|27701|di|bpas
1410|14503|mf|int
1412|20319|oa|brec
1413|20319|oa|pass
1416|10866|oi|rec
1417|10866|oi|pass
1421|48353|oi|cond
1422|48353|oi|pass
1429|42824|di|dled
1429|10866|oi|drib
1430|10866|oa|pass
1437|40868|oi|cond
1438|40868|oi|pass
1439|14503|mf|rec
1440|14503|mf|pass
1442|60025|mf|dled
1442|39476|mf|drib
1444|39476|oi|pass
1446|27300|di|brec
1446|27375|oi|lbal
1449|27701|di|pass
1450|60025|di|brec
1455|59380|oi|drib
1455|28130|di|dled
1459|59380|oa|lbal
1459|66806|da|brec
1460|66806|da|brec
1461|66806|da|pass
1464|28130|di|rec
1465|28130|di|pass
1470|48353|mf|bpas
1474|48844|da|gsav
1477|48844|da|pass
1480|27701|di|rec
1481|27701|di|pass
1482|60025|mf|rec
1483|60025|mf|pass
1483|62914|mf|rec
1484|62914|mf|pass
1487|60025|mf|rec
1488|60025|mf|pass
1489|42824|mf|cond
1490|42824|mf|pass
