_ts|player_id|place|move
0|59741|mf|pass
0|14664|mf|rec
1|14664|mf|pass
3|14516|mf|bpas
7|27300|di|brec
7|57001|oi|lbal
9|27701|mf|pass
9|66733|mf|cond
10|66733|mf|pass
12|60025|mf|brec
13|19523|di|brec
13|60025|mf|bpas
14|19523|mf|bout
19|42738|mf|pass
24|27300|di|rec
25|27300|di|pass
27|12204|di|cond
28|12204|di|pass
31|50369|mf|bpas
32|59741|mf|int
33|59741|mf|lbal
33|50369|mf|lbal
36|59741|mf|brec
43|50369|mf|pass
46|12204|di|cond
47|12204|di|pass
48|27300|di|rec
49|27300|di|pass
49|27701|mf|cond
50|27701|mf|pass
51|42738|mf|rec
52|42738|mf|pass
54|27701|mf|bpas
59|27701|oa|bout
80|12056|da|bpas
84|27701|mf|pass
85|50369|mf|rec
86|50369|mf|pass
87|59380|mf|rec
88|59380|mf|pass
89|80226|mf|int
90|80226|mf|brec
90|60025|mf|bpas
93|80226|mf|lbal
94|80226|mf|bout
101|50369|mf|pass
103|60025|mf|rec
104|60025|mf|pass
107|14516|di|clea
107|62914|oi|lbal
109|52068|di|brec
109|43274|di|rec
110|43274|di|pass
110|28111|di|rec
111|28111|di|pass
111|43274|di|rec
112|43274|di|pass
114|28111|di|bpas
118|27300|di|clea
125|28111|mf|pass
129|52068|mf|rec
130|52068|mf|pass
132|14516|di|cond
133|14516|di|pass
137|28301|mf|rec
138|28301|mf|pass
138|14664|mf|rec
139|14664|mf|pass
139|28301|mf|rec
140|28301|mf|pass
144|52068|di|cond
145|52068|di|pass
149|14516|di|rec
150|14516|di|pass
153|52068|di|bpas
159|52068|oa|bout
179|42738|da|pass
182|60025|di|bpas
186|14516|di|brec
190|14516|di|pass
190|52068|di|rec
191|52068|di|pass
191|14516|di|rec
192|14516|di|pass
197|28301|mf|bpas
204|48844|da|brec
206|48844|da|pass
209|12204|da|rec
210|12204|di|pass
212|50369|di|cond
213|50369|di|pass
215|42824|di|rec
216|42824|di|pass
220|27701|mf|cond
221|27701|mf|pass
222|42738|mf|cond
223|42738|mf|pass
225|27300|mf|cond
226|27300|mf|pass
229|12204|di|rec
230|12204|mf|pass
233|60025|mf|rec
234|60025|mf|pass
239|57001|mf|brec
239|59380|mf|lbal
240|57001|mf|bout
252|50369|mf|pass
253|27701|mf|bpas
255|19523|di|brec
256|19523|di|pass
259|12056|da|cond
260|12056|da|pass
263|28111|di|bpas
264|42738|oi|int
266|42738|oi|bout
279|28111|di|pass
283|28301|mf|cond
284|28301|mf|pass
287|14664|mf|rec
288|14664|mf|pass
293|80226|mf|cond
294|80226|mf|pass
297|50369|di|brec
297|59741|oi|lbal
298|12204|di|brec
300|60025|mf|lbal
