_ts|player_id|place|move
1|12273|mf|pass
1|40720|mf|rec
2|40720|mf|pass
3|59351|mf|cond
4|59351|di|pass
5|32284|di|rec
6|32284|di|pass
8|151883|di|bpas
10|12204|di|pass
12|50369|mf|brec
15|50369|mf|pass
17|60025|oi|rec
18|60025|mf|pass
21|27701|mf|bpas
23|32284|di|lbal
25|32284|di|bout
36|50369|oa|bpas
39|59351|da|lbal
39|62914|oa|brec
41|151883|da|bpas
41|62914|oa|bpas
43|12204|mf|pass
44|50369|oi|bpas
50|50369|oa|bout
69|42864|da|bpas
75|66733|mf|pass
77|42738|mf|bpas
79|55407|mf|pass
81|33668|oi|lbal
81|27701|di|pass
82|27300|di|rec
83|27300|di|pass
86|55407|mf|foul
86|66733|mf|fsuf
98|27701|mf|pass
102|66733|mf|fsuf
103|55407|mf|foul
128|42738|mf|pass
128|27300|mf|rec
129|27300|di|pass
132|12204|di|cond
133|12204|di|pass
135|27300|di|cond
136|27300|di|pass
137|42738|mf|rec
138|42738|mf|pass
143|59351|mf|brec
143|60025|mf|lbal
145|55407|di|pass
147|12273|mf|lbal
150|27300|di|pass
154|48844|da|rec
155|48844|da|pass
157|77064|mf|cond
158|77064|mf|pass
159|62914|oi|rec
160|62914|oi|pass
160|77064|oi|rec
161|77064|oi|pass
164|60025|oi|rec
165|60025|oi|pass
166|48863|di|brec
169|48863|di|lbal
169|77064|oi|lbal
175|77064|oi|pass
177|151883|di|brec
177|60025|oi|bpas
178|151883|di|clea
187|50369|oi|pass
189|77064|oi|lbal
190|32284|da|bpas
196|27300|mf|pass
199|12204|mf|rec
200|12204|mf|pass
201|27300|di|cond
202|27300|di|pass
203|42738|mf|rec
204|42738|mf|pass
205|27300|di|cond
206|27300|di|pass
210|12204|di|cond
211|12204|mf|pass
214|42738|mf|rec
215|42738|mf|pass
218|55407|mf|dled
218|66733|mf|drib
224|55407|da|foul
224|66733|oa|fsuf
297|60025|oa|bpas
300|42864|da|gsav
307|77064|oa|bpas
308|151883|da|clea
311|27701|oi|pass
313|50369|mf|cond
314|50369|mf|pass
316|66733|oi|cond
317|66733|oi|pass
317|42738|mf|cond
318|42738|mf|pass
322|66733|mf|rec
323|66733|mf|pass
329|42824|mf|rec
330|42824|mf|pass
334|42738|mf|bpas
336|43693|di|int
338|43693|di|drib
338|66733|oi|dled
341|43693|mf|bpas
344|27701|di|pass
345|42738|mf|brec
347|40720|mf|dled
347|42738|mf|drib
352|40720|di|foul
352|42738|oi|fsuf
398|66733|oi|wsho
399|32281|da|fsuf
399|66733|oi|bpas
427|42864|da|pass
428|33668|oi|rec
429|33668|oi|pass
430|55407|oi|bpas
433|55407|oa|bout
448|48844|da|pass
451|12204|da|cond
452|12204|da|pass
453|48844|da|rec
454|48844|da|pass
457|27300|di|cond
458|27300|di|pass
458|42738|mf|rec
459|42738|mf|pass
460|27701|mf|rec
461|27701|mf|pass
462|42738|mf|cond
463|42738|mf|pass
465|27300|di|cond
466|27300|di|pass
471|12204|di|cond
472|12204|di|pass
475|27300|di|rec
476|27300|di|pass
480|42738|mf|bpas
483|42738|oa|bout
506|42864|da|pass
510|55407|mf|brec
510|27701|mf|lbal
511|55407|mf|pass
511|40720|oi|rec
512|40720|oi|pass
515|59351|mf|fsuf
515|27701|mf|foul
549|12273|mf|bpas
551|77064|da|clea
555|59351|mf|pass
559|33668|oi|brec
559|62914|di|lbal
560|33668|oi|bpas
561|42738|di|bpas
562|55407|oi|pass
567|33668|oa|lbal
567|62914|da|brec
568|62914|da|bout
587|55407|oa|bpas
590|42824|da|clea
593|62914|di|lbal
596|55407|oi|pass
600|33668|oi|lbal
600|27701|di|brec
601|62914|di|pass
602|27701|di|brec
603|59351|mf|brec
603|27701|di|bpas
604|32281|mf|brec
608|32281|mf|pass
611|151883|mf|rec
612|151883|mf|pass
613|12273|oi|rec
614|12273|oi|pass
615|48863|mf|rec
616|48863|mf|pass
616|32284|mf|rec
617|32284|mf|pass
617|12273|mf|rec
618|12273|mf|pass
619|32284|mf|rec
620|32284|mf|pass
621|12273|mf|rec
622|12273|mf|pass
622|59351|mf|rec
623|59351|mf|pass
624|151883|mf|rec
625|151883|mf|pass
627|12273|mf|rec
628|12273|mf|pass
632|40720|oa|lbal
633|12204|da|clea
635|40720|mf|bout
655|50369|mf|pass
658|151883|mf|int
659|59351|mf|brec
659|77064|mf|lbal
660|59351|mf|pass
662|40720|mf|lbal
662|77064|mf|brec
664|77064|mf|brec
668|42738|mf|cond
669|42738|oi|wsho
669|42864|da|gsav
673|42864|da|gsav
675|42864|da|pass
680|12273|mf|foul
698|42824|mf|pass
700|66733|mf|rec
701|66733|mf|pass
703|27300|mf|cond
704|27300|mf|pass
706|12204|mf|rec
707|12204|mf|pass
711|60025|mf|rec
712|60025|mf|pass
713|77064|mf|rec
714|77064|mf|pass
716|60025|mf|bpas
719|60025|oa|bout
747|42864|da|pass
752|55407|mf|bpas
756|27300|da|pass
759|50369|di|clea
763|32284|mf|bpas
765|48863|oi|bout
771|50369|di|pass
772|60025|di|rec
772|50369|di|rec
773|60025|di|pass
773|50369|di|pass
774|60025|di|pass
774|27701|di|rec
775|27701|mf|pass
776|60025|di|bpas
777|40720|mf|int
778|40720|mf|brec
780|40720|oi|pass
781|12273|oi|cond
782|12273|oi|wsho
784|12273|oa|bout
797|48844|da|pass
798|27300|di|rec
799|27300|di|pass
802|42738|mf|bpas
