_ts|player_id|place|move
0|99127|mf|pass
0|63793|mf|rec
1|63793|mf|pass
4|34361|di|bpas
5|19419|di|bpas
9|99128|mf|pass
12|39155|mf|int
12|77760|mf|bpas
13|39155|mf|bout
25|77760|mf|bpas
28|106760|da|int
30|106760|da|bpas
31|54102|di|lbal
31|102683|oi|brec
33|54102|mf|brec
34|39155|mf|bpas
34|61960|mf|int
35|61960|mf|pass
37|54102|mf|bpas
37|102683|mf|bpas
39|61960|mf|pass
40|77760|mf|cond
41|77760|mf|pass
42|37084|mf|rec
43|37084|mf|pass
43|99128|mf|rec
44|99128|mf|pass
47|61960|mf|cond
48|61960|mf|pass
50|37084|mf|cond
51|37084|mf|pass
51|34361|mf|cond
52|34361|mf|pass
52|102683|mf|rec
53|102683|mf|pass
55|34361|mf|rec
56|34361|mf|pass
57|102683|mf|cond
58|102683|mf|pass
61|34355|oi|cond
62|34355|oi|pass
63|102683|mf|rec
64|102683|mf|pass
64|63793|mf|rec
65|63793|mf|pass
67|19419|di|int
68|34355|mf|bpas
69|34355|oi|bout
75|76359|di|pass
76|19419|di|rec
77|19419|di|pass
86|9089|da|rec
87|9089|da|pass
90|39155|mf|brec
90|77760|mf|lbal
91|105021|mf|bpas
94|76359|mf|bpas
96|34361|di|bpas
97|19419|di|bpas
100|34355|mf|int
101|63793|oi|brec
102|63793|oi|pass
102|99127|oi|rec
103|99127|oi|wsho
106|19419|da|brec
107|99127|oa|bout
136|9089|da|bpas
138|105021|di|clea
140|61960|mf|clea
142|63793|mf|pass
143|99127|mf|brec
144|99127|mf|bpas
146|15157|mf|int
148|76359|mf|brec
149|88894|mf|cond
150|88894|mf|pass
155|106760|mf|cond
156|106760|mf|pass
163|39155|oa|lbal
178|77760|di|pass
182|106760|oi|lbal
182|37084|di|brec
183|19419|mf|brec
184|19419|mf|pass
186|2051|mf|bpas
191|2051|oi|bout
202|34355|di|bpas
205|76359|mf|brec
206|76359|mf|pass
209|19419|mf|cond
210|19419|mf|pass
215|9089|da|rec
216|9089|di|pass
217|2051|di|rec
218|2051|di|pass
218|19419|di|rec
219|19419|di|pass
221|88894|mf|cond
222|88894|mf|pass
222|76359|mf|cond
223|76359|mf|pass
226|19419|di|rec
227|19419|di|pass
229|55909|di|rec
230|55909|di|pass
231|106760|mf|rec
232|106760|mf|pass
236|55909|di|bpas
239|55909|mf|bout
256|77760|mf|pass
257|61960|mf|cond
258|61960|mf|pass
259|77760|mf|bpas
261|55909|di|int
262|54102|mf|brec
263|54102|mf|lbal
263|77760|mf|brec
264|61960|mf|brec
266|88894|mf|foul
270|37084|mf|pass
272|34355|mf|rec
273|34355|mf|pass
275|61960|mf|rec
276|61960|mf|pass
278|99128|mf|rec
279|99128|mf|pass
280|37084|oi|cond
281|37084|oi|pass
282|99128|mf|rec
283|99128|mf|pass
283|37084|mf|rec
284|37084|mf|pass
285|102683|mf|cond
286|102683|mf|pass
290|34355|oi|bpas
293|34355|oa|bout
316|9089|da|bpas
321|15157|oi|lbal
321|34355|di|brec
322|34355|di|clea
324|34355|di|bout
327|15157|oi|pass
328|2051|oi|rec
329|2051|oi|pass
332|15157|oi|drib
332|34355|di|dled
333|15157|oi|bpas
335|34361|mf|int
336|34361|mf|brec
338|63793|di|bpas
339|39155|oi|int
341|39155|mf|pass
342|54102|mf|brec
344|54102|oi|lbal
344|37084|di|lbal
344|102683|di|brec
347|77760|di|brec
350|77760|mf|pass
352|99127|mf|bpas
355|19419|da|int
357|19419|da|bpas
359|19419|da|bout
371|77760|oa|pass
374|99127|oa|cond
375|99127|oa|pass
376|99128|mf|rec
377|99128|mf|pass
377|102683|oi|cond
378|102683|oi|pass
379|2051|di|pass
379|99127|oi|bpas
380|54102|mf|brec
381|54102|mf|pass
381|2051|di|rec
382|2051|di|pass
385|39155|di|bpas
387|34355|mf|int
388|34355|mf|brec
389|76359|di|foul
389|34355|oi|fsuf
420|34355|oi|bpas
423|9089|da|gsav
424|9089|da|gsav
425|9089|da|pass
430|106760|mf|bpas
433|88894|oi|lbal
433|102683|mf|int
433|77760|di|brec
437|77760|da|clea
437|34355|da|bout
446|106760|oa|pass
450|55909|mf|rec
451|55909|mf|pass
454|76359|mf|cond
455|76359|mf|pass
458|40755|mf|fsuf
458|34361|mf|foul
468|2051|mf|pass
468|54102|mf|cond
469|54102|mf|pass
470|106760|mf|rec
471|106760|mf|pass
473|54102|mf|cond
474|54102|mf|pass
474|2051|mf|rec
475|2051|mf|pass
479|54102|mf|bpas
483|28411|da|brec
489|28411|da|pass
491|99128|da|cond
492|99128|di|pass
496|54102|mf|int
496|102683|mf|bpas
497|102683|mf|bpas
500|102683|mf|pass
502|39155|oi|lbal
502|99128|di|pass
502|102683|di|lbal
508|39155|oa|brec
508|77760|da|lbal
509|39155|oa|bout
531|77760|di|bpas
533|39155|mf|brec
533|37084|mf|lbal
534|39155|mf|pass
535|2051|mf|brec
535|102683|mf|lbal
536|88894|mf|brec
537|88894|mf|pass
537|102683|mf|int
538|54102|mf|pass
538|88894|oi|rec
539|88894|oi|pass
543|19419|mf|rec
544|19419|mf|pass
546|106760|mf|rec
547|106760|oi|pass
550|54102|oi|lbal
551|105021|di|pass
552|37084|mf|brec
553|37084|mf|bpas
556|9089|da|brec
557|9089|da|pass
559|55909|di|rec
560|55909|di|pass
561|2051|di|rec
562|2051|mf|pass
566|106760|mf|bpas
569|34361|di|clea
571|15157|oi|pass
579|40755|oa|rec
580|40755|oi|pass
581|54102|oi|cond
582|54102|oi|pass
584|102683|di|brec
584|2051|oi|lbal
587|61960|mf|brec
588|61960|mf|pass
589|63793|mf|rec
590|63793|mf|pass
597|99127|oi|rec
598|99127|oi|pass
599|76359|da|fsuf
599|37084|oa|bpas
622|9089|da|bpas
628|28411|da|gsav
630|34361|di|cond
630|61960|mf|cond
631|34361|di|pass
631|61960|mf|pass
633|34361|di|cond
634|34361|di|pass
636|63793|mf|bpas
638|15157|mf|int
642|76359|di|brec
643|76359|di|pass
644|2051|di|rec
645|2051|di|pass
646|19419|di|cond
647|19419|di|pass
650|55909|di|rec
651|55909|di|pass
652|106760|mf|rec
653|106760|mf|pass
662|9089|da|cond
663|9089|da|pass
668|88894|mf|bpas
670|102683|mf|int
670|54102|mf|bpas
671|37084|mf|int
672|37084|mf|bout
676|106760|mf|pass
679|55909|di|cond
680|55909|di|pass
683|19419|di|rec
684|19419|di|pass
685|55909|di|cond
686|55909|di|pass
687|106760|mf|rec
688|106760|mf|pass
690|2051|mf|rec
691|2051|mf|pass
693|19419|di|cond
694|19419|di|pass
698|55909|di|rec
699|55909|di|pass
704|54102|mf|cond
705|54102|oi|pass
706|40755|oi|cond
707|40755|oi|wsho
710|40755|oa|bout
746|28411|da|pass
748|99128|di|bpas
749|106760|mf|brec
750|54102|mf|rec
751|54102|mf|pass
753|2051|mf|cond
754|2051|mf|pass
758|19419|di|rec
759|19419|mf|pass
760|76359|mf|bpas
764|15157|oi|bout
781|34355|di|bpas
783|2051|mf|int
784|34361|di|bpas
786|19419|mf|pass
788|76359|mf|bpas
789|63793|mf|pass
790|99127|mf|brec
791|99127|mf|pass
793|99128|mf|cond
794|99128|mf|pass
796|77760|mf|cond
797|77760|mf|pass
798|102683|mf|cond
799|102683|mf|pass
803|99128|mf|bpas
806|9089|da|gsav
808|9089|da|pass
810|55909|di|cond
811|55909|di|pass
812|2051|di|cond
813|2051|di|pass
816|55909|di|cond
817|55909|di|pass
821|19419|di|cond
822|19419|di|pass
826|76359|mf|rec
827|76359|di|pass
829|19419|di|rec
830|19419|di|pass
833|55909|di|rec
834|55909|mf|pass
836|106760|mf|cond
837|106760|mf|pass
837|39155|mf|rec
838|39155|mf|pass
839|54102|mf|bpas
841|105021|di|int
842|105021|di|pass
842|99127|mf|rec
843|99127|mf|pass
844|61960|mf|rec
845|61960|mf|pass
850|34355|di|cond
851|34355|di|pass
855|34361|di|bpas
857|34361|di|bout
876|106760|oi|pass
878|40755|oi|rec
879|40755|oi|pass
883|102683|di|brec
883|106760|oi|lbal
886|37084|mf|brec
888|37084|mf|pass
893|99127|mf|cond
894|99127|mf|pass
896|34355|mf|cond
897|34355|mf|pass
897|61960|mf|rec
898|61960|mf|pass
900|34355|mf|rec
901|34355|mf|pass
901|34361|mf|rec
902|34361|mf|pass
904|61960|di|rec
905|61960|di|pass
908|99128|di|cond
909|99128|di|pass
911|105021|di|bpas
914|76359|di|bpas
