_ts|player_id|place|move
0|99127|mf|pass
0|28392|mf|rec
1|28392|mf|pass
5|34355|mf|cond
6|34355|mf|pass
8|105021|oi|bpas
12|27375|mf|brec
18|27375|oi|pass
22|34352|di|foul
22|10866|oi|fsuf
73|6994|oi|bpas
76|102683|da|clea
77|50343|oi|wsho
77|37084|di|brec
80|50343|oa|bout
98|28411|da|pass
98|99128|di|rec
99|99128|di|pass
99|102683|di|rec
100|102683|di|pass
100|99128|di|rec
101|99128|di|pass
103|102683|di|cond
104|102683|di|pass
107|34352|di|rec
108|34352|mf|pass
109|28392|mf|rec
110|28392|mf|pass
113|34355|mf|bpas
116|48332|da|gsav
120|48332|da|pass
127|40868|di|cond
128|40868|mf|pass
128|6994|mf|rec
129|6994|mf|pass
130|81456|mf|rec
131|81456|mf|pass
131|48353|mf|rec
132|48353|mf|pass
134|27375|mf|cond
135|27375|mf|pass
140|66806|di|cond
141|66806|di|pass
146|48353|di|bpas
148|28130|mf|bpas
148|61960|mf|int
149|34352|mf|pass
150|34355|mf|brec
152|34355|mf|lbal
153|34355|mf|bout
161|27375|mf|pass
166|66806|di|rec
167|66806|di|pass
171|39476|di|cond
172|39476|di|pass
173|66806|di|rec
174|66806|di|pass
175|48353|mf|cond
176|48353|mf|pass
177|28130|mf|cond
178|28130|mf|pass
179|6994|mf|cond
180|6994|mf|pass
183|27375|mf|bpas
185|28392|mf|int
185|37084|mf|bout
190|27375|mf|pass
193|48353|mf|rec
194|48353|di|pass
195|39476|di|rec
196|39476|di|pass
197|40868|mf|cond
198|40868|mf|pass
201|77760|mf|lbal
201|50343|mf|lbal
202|50343|mf|brec
204|50343|mf|bout
220|77760|mf|pass
220|99128|di|rec
221|99128|di|pass
223|61960|di|rec
224|61960|mf|pass
224|34355|mf|rec
225|34355|mf|pass
226|61960|mf|cond
227|61960|mf|pass
230|105021|di|rec
231|105021|di|pass
234|99128|mf|rec
235|99128|mf|pass
236|77760|mf|rec
237|77760|mf|pass
240|37084|oi|lbal
240|40868|di|lbal
241|81456|di|brec
241|37084|oi|pass
241|77760|oi|rec
242|77760|oi|wsho
244|77760|oa|bout
271|48332|da|bpas
275|77760|mf|clea
276|77760|mf|bout
287|40868|mf|pass
290|50343|oi|pass
292|48353|mf|rec
293|48353|mf|pass
295|27375|mf|rec
296|27375|mf|pass
298|81456|mf|rec
299|81456|mf|pass
303|27375|mf|cond
304|27375|mf|pass
305|99127|mf|int
306|81456|mf|bpas
308|99127|oi|pass
314|37084|oi|lbal
314|6994|di|brec
316|6994|di|brec
317|40868|da|rec
318|40868|di|pass
321|48353|mf|bpas
324|105021|di|bpas
329|10866|oa|brec
331|34352|da|brec
333|34352|da|pass
335|102683|di|cond
336|102683|di|pass
338|61960|di|rec
339|61960|di|pass
341|99128|mf|cond
342|99128|mf|pass
343|61960|mf|rec
344|61960|mf|pass
345|102683|mf|rec
346|102683|mf|pass
352|34355|mf|rec
353|34355|oi|pass
354|102683|mf|rec
355|102683|mf|pass
356|61960|mf|rec
357|61960|mf|pass
359|105021|mf|cond
360|105021|mf|pass
362|99128|mf|rec
363|99128|mf|pass
364|61960|mf|rec
365|61960|mf|pass
368|99128|oi|bpas
373|48332|da|brec
383|48332|da|pass
384|66806|da|rec
385|66806|da|pass
388|39476|di|bpas
390|39476|mf|bout
397|77760|mf|pass
401|99128|mf|cond
402|99128|mf|pass
404|34355|mf|rec
405|34355|mf|pass
408|34352|di|rec
409|34352|di|pass
413|99128|mf|cond
414|99128|mf|pass
417|99127|oi|lbal
418|99127|oi|pass
419|37084|oi|cond
420|37084|oi|pass
421|28392|oa|rec
422|28392|oa|wsho
423|28392|oa|bout
456|48332|da|pass
460|10866|mf|brec
460|105021|mf|lbal
461|77760|di|clea
462|77760|di|bout
465|50343|oa|pass
470|40868|oa|lbal
473|40868|oa|bout
498|28411|da|pass
501|34352|di|cond
502|34352|di|pass
504|105021|di|cond
505|105021|di|pass
506|102683|mf|rec
507|102683|mf|pass
511|105021|di|rec
512|105021|mf|pass
514|61960|mf|cond
515|61960|mf|pass
517|34355|mf|bpas
518|27375|mf|int
528|34355|oi|pass
529|34352|mf|rec
530|34352|mf|pass
535|105021|mf|cond
536|105021|mf|pass
539|27375|di|lbal
539|28392|oi|brec
540|28392|oi|bpas
542|28392|oa|bout
566|48332|da|pass
571|99128|mf|int
572|10866|mf|lbal
572|102683|mf|brec
573|102683|mf|bpas
576|39476|da|pass
579|40868|di|bpas
581|102683|oi|pass
582|37084|oi|brec
583|37084|oi|pass
583|77760|mf|rec
584|77760|mf|pass
586|99128|mf|cond
587|99128|mf|pass
588|105021|di|rec
589|105021|di|pass
592|34352|mf|cond
593|34352|mf|pass
595|28392|oi|bpas
596|6994|mf|brec
601|6994|mf|fsuf
601|34352|mf|foul
607|27375|mf|pass
608|81456|mf|cond
609|81456|mf|pass
610|66806|di|cond
611|66806|di|pass
614|39476|di|cond
615|39476|di|pass
618|66806|di|rec
619|66806|mf|pass
622|27375|mf|bpas
622|105021|di|fsuf
652|105021|di|pass
654|34352|di|cond
655|34352|mf|pass
655|34355|mf|rec
656|34355|mf|pass
659|34352|mf|cond
660|34352|mf|pass
666|50343|mf|lbal
666|37084|mf|lbal
669|81456|mf|brec
669|61960|mf|lbal
671|48353|mf|brec
676|50343|oi|drib
676|105021|di|dled
680|50343|oi|wsho
682|50343|oa|bout
704|28411|da|pass
707|99128|di|cond
708|99128|di|pass
711|28411|da|cond
712|28411|da|pass
714|34352|di|rec
715|34352|di|pass
721|28411|da|rec
