_ts|player_id|place|move
1|53515|mf|pass
1|40275|mf|rec
2|40275|mf|pass
4|119772|mf|rec
5|119772|mf|pass
5|43106|di|rec
6|43106|di|pass
6|6685|di|cond
7|6685|di|pass
10|37064|mf|bpas
13|37055|mf|brec
13|119772|mf|pass
13|102578|mf|rec
14|102578|mf|pass
19|6685|di|cond
20|6685|di|pass
25|73698|mf|rec
26|73698|mf|pass
30|6685|mf|cond
31|6685|mf|pass
36|33360|mf|cond
37|33360|mf|pass
37|6685|mf|rec
38|6685|mf|pass
42|49656|di|rec
43|49656|di|pass
50|73698|mf|bpas
53|38454|di|clea
53|40275|oi|brec
55|28103|di|bpas
56|46197|mf|lbal
56|6685|mf|brec
57|6685|mf|pass
57|119772|mf|rec
58|119772|mf|pass
62|49656|di|cond
63|49656|mf|pass
66|102578|mf|rec
67|102578|mf|pass
68|43106|mf|rec
69|43106|mf|pass
72|102578|mf|rec
73|102578|mf|pass
78|40275|mf|rec
79|40275|mf|pass
85|6685|mf|bpas
88|38462|di|clea
92|119772|mf|pass
93|49656|mf|cond
94|49656|mf|pass
98|17347|mf|lbal
98|73698|mf|lbal
102|49656|mf|pass
103|6685|di|cond
104|6685|di|pass
106|33376|da|bpas
110|45034|oi|brec
114|45034|oi|pass
120|17347|mf|rec
121|17347|mf|pass
124|38462|di|rec
125|38462|di|pass
128|38454|di|rec
129|38454|di|pass
130|68353|mf|rec
131|68353|mf|pass
135|28103|mf|rec
136|28103|mf|pass
137|68353|mf|rec
138|68353|mf|pass
138|38454|di|rec
139|38454|di|pass
142|7810|da|cond
143|7810|da|pass
147|38454|di|cond
148|38454|di|pass
149|37055|mf|rec
150|37055|mf|pass
152|38454|di|cond
153|38454|di|pass
154|34703|di|rec
155|34703|di|pass
160|38462|mf|bpas
161|33360|di|bpas
167|13139|oi|pass
169|28103|mf|rec
170|28103|mf|pass
171|37055|oi|rec
172|37055|oi|pass
173|45034|oi|bpas
174|102578|di|brec
177|102578|di|bpas
180|38462|mf|brec
181|38462|mf|fsuf
181|53515|mf|foul
198|34703|di|pass
203|68353|mf|cond
204|68353|mf|pass
207|38454|mf|cond
208|38454|mf|pass
211|17347|mf|rec
212|17347|mf|pass
217|38462|di|cond
218|38462|da|pass
224|38454|di|rec
225|38454|mf|pass
227|28103|mf|rec
228|28103|mf|pass
230|13139|mf|bpas
231|13139|mf|bout
239|33360|mf|pass
246|43106|mf|lbal
247|28103|mf|bpas
249|28103|mf|pass
251|38462|di|brec
253|17347|mf|cond
254|17347|mf|pass
262|46197|oa|bpas
263|49656|da|int
264|49656|da|bout
304|28103|oa|bpas
307|53515|da|clea
309|34703|oi|bpas
311|119772|di|pass
313|40275|mf|bpas
314|34703|mf|int
315|34703|mf|pass
