_ts|player_id|place|move
1|148179|mf|pass
1|83407|mf|rec
2|83407|mf|pass
4|12631|di|rec
5|12631|di|pass
6|98783|di|cond
7|98783|di|pass
14|12625|mf|bpas
18|51507|di|brec
18|148179|oi|lbal
19|51507|di|int
21|37971|di|brec
22|76650|mf|rec
23|76650|mf|pass
25|37971|mf|lbal
26|50947|mf|brec
27|50947|mf|lbal
28|37971|mf|pass
29|74208|mf|cond
30|74208|mf|pass
31|45268|mf|rec
32|45268|mf|pass
33|37748|mf|cond
34|37748|mf|pass
37|74208|mf|bpas
40|12625|di|int
42|37971|oi|pass
46|101188|oa|bpas
49|50947|da|clea
52|42774|oi|pass
54|76650|oi|bpas
59|98780|da|lbal
59|101188|oa|brec
63|101188|oa|bout
91|58966|da|pass
96|20695|mf|brec
96|101188|mf|lbal
97|20695|mf|bpas
98|101188|mf|brec
100|101188|mf|bout
110|98780|mf|pass
113|50947|mf|rec
114|50947|mf|pass
116|98783|di|cond
117|98783|di|pass
118|12631|mf|cond
119|12631|mf|pass
124|98783|mf|drib
124|19927|mf|dled
125|98783|mf|pass
126|42774|mf|brec
127|42774|mf|bpas
127|49195|mf|lbal
129|98783|mf|pass
130|45268|mf|brec
130|50947|mf|pass
131|45268|mf|pass
131|98783|mf|lbal
132|19927|mf|pass
132|37971|mf|rec
133|37971|mf|pass
133|76650|oi|cond
134|76650|oi|pass
134|37971|oi|cond
135|37971|oi|pass
141|101188|oi|rec
142|101188|oa|pass
143|37971|oi|bpas
144|12625|da|clea
147|83407|di|brec
149|83407|mf|lbal
149|42774|mf|lbal
151|83409|di|pass
152|12625|di|cond
153|12625|di|pass
155|98780|di|rec
156|98780|di|pass
158|20695|mf|rec
159|20695|mf|pass
160|98780|di|cond
161|98780|di|pass
162|12625|di|rec
163|12625|di|pass
166|83409|di|rec
167|83409|di|pass
173|12625|di|bpas
175|12625|oi|bout
179|101188|di|pass
179|40784|da|cond
180|40784|da|pass
180|101188|di|cond
181|101188|di|pass
182|40784|da|rec
183|40784|da|pass
191|51507|di|bpas
199|12631|da|pass
200|98783|da|cond
201|98783|da|pass
203|45268|oi|brec
204|83409|di|lbal
205|98783|di|pass
207|49195|mf|lbal
209|40784|mf|brec
209|37971|mf|cond
210|37971|mf|pass
212|74208|mf|bpas
216|83409|mf|foul
216|45268|mf|fsuf
239|74208|oi|pass
239|19927|oi|rec
240|19927|oi|pass
240|74208|oi|rec
241|74208|oi|pass
242|37748|mf|cond
243|37748|mf|pass
244|45268|oi|cond
245|45268|oi|pass
247|37748|mf|rec
248|37748|mf|pass
252|51507|mf|cond
253|51507|mf|pass
254|40784|mf|cond
255|40784|mf|pass
259|45268|oa|lbal
260|45268|oa|bout
276|12631|da|pass
280|83407|mf|lbal
280|42774|mf|brec
282|45268|oi|bpas
284|83409|di|brec
285|83409|di|pass
286|49195|mf|brec
287|74208|oi|brec
289|74208|oi|pass
289|37971|oi|rec
290|37971|oi|pass
290|19927|oi|rec
291|19927|oi|pass
293|74208|oi|lbal
294|98783|di|brec
295|98783|di|pass
296|12631|da|bpas
300|40784|mf|brec
302|40784|mf|pass
303|42774|mf|cond
304|42774|mf|pass
304|40784|di|rec
305|40784|di|pass
307|37971|mf|cond
308|37971|mf|pass
309|101188|mf|rec
310|101188|mf|pass
312|37971|mf|cond
313|37971|mf|pass
314|42774|mf|rec
