_ts|player_id|place|move
0|42493|mf|pass
0|20113|mf|rec
1|20113|mf|pass
5|10625|mf|cond
6|10625|mf|pass
7|7313|mf|rec
8|7313|mf|pass
11|37641|di|cond
12|37641|di|pass
13|17172|di|cond
14|17172|di|pass
15|61170|mf|rec
16|61170|mf|pass
22|10625|mf|bpas
27|19419|da|brec
29|19419|da|bpas
31|19419|da|bout
36|40002|oi|pass
37|10625|mf|rec
38|10625|mf|pass
41|7313|mf|bpas
45|7313|oa|bout
53|15749|da|pass
54|7645|da|cond
55|7645|di|pass
57|56979|di|rec
58|56979|di|pass
58|1814|mf|rec
59|1814|mf|pass
61|7645|di|cond
62|7645|di|pass
62|1814|di|cond
63|1814|di|pass
64|7645|di|cond
65|7645|di|pass
67|12745|mf|rec
68|12745|mf|pass
69|1814|di|rec
70|1814|di|pass
77|19419|di|bpas
80|37641|di|pass
81|18102|di|brec
83|9047|oi|foul
83|18102|di|fsuf
102|7313|di|pass
102|10625|di|rec
103|10625|di|pass
104|7313|di|cond
105|7313|di|pass
107|37641|da|rec
108|37641|da|pass
110|18102|di|cond
111|18102|mf|pass
113|42493|mf|bpas
115|42493|oi|bout
130|9047|di|bpas
132|20113|mf|pass
132|18102|mf|rec
133|18102|mf|pass
133|20113|mf|rec
134|20113|mf|pass
135|7313|mf|brec
136|7313|mf|pass
136|10625|mf|rec
137|10625|mf|pass
137|18102|mf|rec
138|18102|mf|pass
139|37641|di|rec
140|37641|di|pass
143|17172|di|rec
144|17172|di|pass
146|37641|di|cond
147|37641|di|pass
150|7313|mf|rec
151|7313|mf|pass
155|45156|mf|cond
156|45156|mf|pass
159|40002|oa|bpas
160|7645|da|clea
163|7645|da|bout
170|40002|oa|pass
175|10625|mf|cond
176|10625|mf|pass
177|17172|mf|rec
178|17172|mf|pass
180|7313|mf|rec
181|7313|mf|pass
183|50175|di|brec
183|20113|oi|lbal
184|19419|di|brec
185|19419|di|pass
186|40755|mf|cond
187|40755|mf|pass
191|103955|mf|drib
191|37641|mf|dled
193|103955|oi|wsho
197|103955|oa|bout
209|21155|da|bpas
211|13017|mf|pass
211|1814|mf|rec
212|1814|mf|pass
213|13017|mf|brec
216|13017|mf|pass
220|9047|di|rec
221|9047|di|pass
224|19419|di|rec
225|19419|di|pass
226|7645|di|rec
227|7645|di|pass
229|1814|mf|rec
230|1814|mf|pass
230|12745|mf|rec
231|12745|mf|pass
233|40755|mf|bpas
235|10625|mf|int
240|21155|da|brec
245|21155|da|pass
246|17172|da|rec
247|17172|da|pass
249|61170|di|cond
250|61170|di|pass
251|37641|di|cond
252|37641|di|pass
254|7313|mf|rec
255|7313|mf|pass
259|18102|mf|cond
260|18102|mf|pass
260|7313|mf|rec
261|7313|mf|pass
263|50175|mf|lbal
263|18102|mf|lbal
266|37641|mf|pass
267|18102|mf|bpas
269|50175|oi|lbal
271|17172|di|lbal
272|17172|di|bout
282|9047|oi|pass
285|40755|oa|rec
286|40755|oa|pass
286|50175|oa|rec
287|50175|oa|pass
290|103955|oa|lbal
290|37641|da|lbal
291|103955|oa|pass
291|56979|oi|cond
292|56979|oi|wsho
292|21155|da|gsav
303|40755|oa|pass
306|50175|oa|bpas
308|37641|da|pass
309|18102|da|brec
309|7313|da|rec
310|7313|da|pass
310|18102|da|rec
311|18102|da|pass
315|42493|di|rec
316|42493|di|pass
316|20113|da|cond
317|20113|da|pass
322|40002|di|rec
323|40002|mf|pass
330|45156|oi|cond
331|45156|oi|pass
333|17172|mf|rec
334|17172|mf|pass
336|10625|mf|rec
337|10625|mf|pass
338|7313|mf|bpas
342|15749|da|gsav
352|15749|da|pass
353|19419|di|cond
354|19419|di|pass
357|40755|mf|brec
357|37641|mf|lbal
359|17172|di|pass
360|18102|mf|brec
361|18102|mf|pass
362|10625|mf|rec
363|10625|mf|pass
366|40002|di|rec
367|40002|di|pass
374|10625|di|cond
375|10625|mf|pass
375|61170|di|rec
376|61170|di|pass
381|37641|di|cond
382|37641|di|pass
382|61170|di|rec
383|61170|di|pass
384|10625|di|rec
385|10625|di|pass
386|17172|di|rec
387|17172|di|pass
389|61170|mf|cond
390|61170|mf|pass
391|10625|mf|cond
392|10625|mf|pass
395|45156|mf|cond
396|45156|mf|pass
397|10625|mf|rec
398|10625|mf|pass
399|61170|mf|cond
400|61170|mf|pass
402|7313|mf|rec
403|7313|mf|pass
408|10625|mf|rec
409|10625|mf|pass
409|42493|oi|rec
410|42493|oi|pass
412|12745|di|lbal
412|45156|oi|lbal
415|1814|di|lbal
415|45156|oi|lbal
418|10625|mf|pass
420|42493|oi|rec
421|42493|oi|pass
421|7313|mf|rec
422|7313|mf|pass
425|10625|mf|rec
426|10625|mf|pass
429|20113|oi|rec
430|20113|oi|pass
434|18102|oa|cond
435|18102|oi|pass
439|45156|oa|rec
440|45156|oa|pass
441|10625|oi|bpas
442|56979|di|int
445|61170|oi|pass
