_ts|player_id|place|move
1|5155|mf|pass
1|44989|mf|rec
2|44989|mf|pass
3|15208|di|cond
4|15208|di|pass
5|44989|mf|bpas
7|76650|oi|bpas
10|40691|di|clea
11|27334|mf|pass
12|74208|mf|bpas
15|38392|di|bpas
18|40784|di|brec
19|37915|da|rec
20|37915|da|pass
23|90152|da|bpas
30|20388|di|brec
33|20388|di|pass
33|40691|di|rec
34|40691|di|pass
37|38392|mf|cond
38|38392|mf|pass
42|40691|mf|bpas
44|27334|da|clea
46|27334|di|bout
51|41316|oi|pass
55|15208|mf|rec
56|15208|mf|pass
61|38392|mf|cond
62|38392|mf|pass
63|40691|mf|rec
64|40691|mf|pass
68|15207|mf|cond
69|15207|mf|pass
70|40691|mf|cond
71|40691|mf|pass
78|38392|mf|rec
79|38392|mf|pass
80|40691|mf|rec
81|40691|mf|pass
83|15207|mf|rec
84|15207|mf|pass
85|40691|mf|cond
86|40691|mf|pass
89|38392|mf|cond
90|38392|mf|pass
93|44989|mf|cond
94|44989|mf|pass
97|40691|mf|bpas
98|37915|da|gsav
106|37915|da|pass
107|90152|da|cond
108|90152|di|pass
110|27341|di|cond
111|27341|di|pass
111|90152|di|rec
112|90152|di|pass
118|37915|da|bpas
121|14075|mf|lbal
121|15207|mf|brec
122|15207|mf|pass
125|55634|oi|brec
126|90152|da|clea
128|55634|oi|bpas
130|44989|oa|wsho
130|27341|da|gsav
131|55634|oi|bpas
132|27341|di|bpas
137|40691|di|brec
139|40691|di|pass
139|15208|mf|rec
140|15208|mf|pass
146|38392|mf|rec
147|38392|mf|pass
148|40691|mf|rec
149|40691|mf|pass
151|15207|mf|rec
152|15207|mf|pass
154|40691|mf|rec
155|40691|mf|pass
160|38392|mf|rec
161|38392|mf|pass
163|37605|oi|rec
164|37605|oi|pass
164|44989|oi|rec
165|44989|oi|pass
165|37605|oi|rec
166|37605|oi|pass
167|41316|mf|rec
168|41316|mf|pass
169|15208|mf|cond
170|15208|mf|pass
173|38392|mf|bpas
175|90152|di|int
179|55634|oi|pass
180|44989|mf|rec
181|44989|mf|pass
184|27334|da|brec
184|37605|oa|lbal
185|27334|da|bout
194|41316|oa|bpas
195|27341|da|int
196|27341|da|bout
205|41316|oa|bpas
207|90152|da|clea
214|40691|mf|brec
214|20388|di|rec
215|20388|di|pass
220|40691|di|cond
221|40691|mf|pass
225|15207|mf|cond
226|15207|mf|pass
228|38392|mf|rec
229|38392|mf|pass
234|40691|mf|cond
235|40691|mf|pass
235|15208|mf|rec
236|15208|mf|pass
237|40691|mf|cond
238|40691|mf|pass
240|44989|mf|cond
241|44989|mf|pass
242|38392|mf|rec
243|38392|mf|pass
246|15207|mf|rec
247|15207|oi|pass
250|37971|da|brec
250|55634|oa|bpas
252|37915|da|bpas
256|37915|mf|bout
269|15207|mf|pass
272|40691|mf|cond
273|40691|mf|pass
273|39816|mf|rec
274|39816|mf|pass
277|40691|mf|cond
278|40691|mf|pass
279|20388|di|rec
280|20388|di|pass
282|38392|di|rec
283|38392|di|pass
286|20388|da|bpas
287|14075|mf|brec
287|55634|mf|lbal
291|76650|mf|lbal
291|40691|mf|brec
293|15207|mf|pass
294|55634|mf|brec
295|14075|mf|foul
295|55634|mf|fsuf
311|15207|mf|bpas
314|40784|di|brec
314|27341|di|rec
315|27341|di|pass
317|14075|di|bpas
319|38392|mf|pass
321|39816|mf|brec
322|39816|mf|pass
322|15207|oi|rec
323|15207|oi|pass
324|5155|oi|lbal
325|40784|da|clea
329|41316|mf|pass
329|39816|oi|rec
330|39816|oi|pass
330|15208|mf|rec
331|15208|mf|pass
331|5155|oi|rec
332|5155|oi|pass
333|39816|oi|bpas
334|37915|da|brec
350|37915|da|pass
350|40784|di|rec
351|40784|di|pass
353|27341|di|rec
354|27341|di|pass
354|74208|mf|rec
355|74208|mf|pass
355|27341|di|rec
356|27341|di|pass
360|37971|mf|rec
361|37971|mf|pass
363|37852|mf|rec
364|37852|mf|pass
364|14075|mf|rec
365|14075|mf|pass
367|40784|mf|cond
368|40784|di|pass
371|27341|di|bpas
378|41316|da|brec
379|41316|da|pass
382|5155|mf|bpas
384|40784|mf|brec
385|74208|mf|cond
386|74208|mf|pass
388|90152|di|rec
389|90152|di|pass
396|14075|oi|bpas
399|41316|da|clea
400|15207|di|clea
401|74208|oi|pass
402|27341|mf|brec
403|27341|mf|pass
403|37852|oi|rec
404|37852|oi|pass
409|76650|oa|bpas
412|15207|da|int
414|37852|oa|pass
415|19927|oa|cond
416|19927|oa|wsho
418|19927|oa|bout
449|20388|da|bpas
453|40784|mf|pass
455|74208|mf|bpas
457|44989|mf|foul
478|37852|mf|pass
479|90152|mf|bpas
482|90152|mf|bout
487|41316|di|pass
490|15208|mf|rec
491|15208|mf|pass
491|38392|da|cond
492|38392|da|pass
494|37605|mf|bpas
495|27341|mf|pass
495|27334|mf|cond
496|27334|mf|pass
497|27341|mf|brec
497|90152|mf|rec
498|90152|di|pass
504|37915|da|rec
505|37915|da|pass
505|40784|di|cond
506|40784|di|pass
508|27341|di|rec
509|27341|di|pass
514|37852|mf|rec
515|37852|mf|pass
517|74208|mf|lbal
517|44989|mf|brec
518|44989|mf|bout
526|27334|mf|pass
526|90152|di|rec
527|90152|di|pass
533|40784|di|cond
534|40784|mf|pass
535|76650|mf|cond
536|76650|mf|pass
538|14075|mf|bpas
544|20388|da|gsav
548|20388|da|pass
549|40691|di|rec
550|40691|di|pass
551|15208|di|cond
552|15208|di|pass
556|38392|di|cond
557|38392|di|pass
560|40691|di|cond
561|40691|di|pass
562|15207|mf|rec
563|15207|mf|pass
565|55634|oi|cond
566|55634|oi|pass
568|37605|oa|bpas
570|40784|da|clea
572|74208|di|clea
576|39816|oi|pass
579|15208|mf|brec
579|38392|mf|rec
580|38392|mf|pass
586|15208|mf|bpas
587|15208|mf|bout
595|27334|mf|pass
596|90152|di|rec
597|90152|di|pass
602|40784|di|rec
603|40784|di|pass
606|27341|di|cond
607|27341|mf|pass
609|90152|mf|cond
610|90152|mf|pass
616|19927|oa|rec
617|19927|oa|pass
619|37852|oa|bpas
622|15207|da|int
623|15207|da|pass
624|39816|di|brec
625|39816|di|bpas
626|39816|mf|bout
632|27334|mf|pass
634|90152|mf|rec
635|90152|mf|pass
641|40784|mf|cond
642|40784|mf|pass
646|76650|oa|bpas
649|38392|da|int
651|40691|da|clea
653|5155|mf|bpas
654|14075|mf|brec
655|14075|mf|pass
657|37971|oi|rec
658|37971|oi|pass
660|14075|oi|bpas
662|15207|da|int
664|15208|di|brec
666|55634|mf|rec
667|55634|mf|pass
669|15207|di|rec
670|15207|di|pass
673|20388|da|bpas
675|40784|di|bpas
679|15208|mf|pass
680|37605|mf|cond
681|37605|mf|pass
683|74208|di|foul
683|44989|oi|fsuf
715|44989|oi|pass
717|90152|da|lbal
717|38392|oa|brec
719|38392|oa|goal
781|76650|mf|pass
784|19927|mf|brec
785|27334|di|clea
786|27334|di|bout
791|37605|oi|pass
792|15208|mf|cond
793|15208|mf|pass
800|38392|mf|cond
801|38392|mf|pass
802|27341|di|lbal
802|39816|oi|lbal
805|37605|mf|pass
807|5155|oi|lbal
808|27334|di|clea
809|27334|di|bout
821|41316|oi|pass
823|15208|mf|rec
824|15208|mf|pass
825|37852|di|int
825|41316|oi|bpas
826|74208|mf|brec
827|37852|di|lbal
827|37605|oi|brec
829|37605|oi|bout
842|27334|mf|bpas
844|74208|mf|lbal
844|41316|mf|brec
845|41316|mf|pass
845|44989|mf|rec
846|44989|mf|pass
847|37605|mf|lbal
848|74208|mf|lbal
848|37605|mf|brec
852|40784|di|brec
852|15208|mf|bpas
857|37915|da|pass
858|27341|mf|rec
859|27341|mf|pass
859|37852|mf|rec
860|37852|mf|pass
861|74208|mf|bpas
862|41316|mf|bpas
864|90152|di|pass
869|14075|di|cond
870|14075|mf|pass
871|76650|mf|rec
872|76650|mf|pass
873|27341|mf|rec
874|27341|mf|pass
876|90152|mf|cond
877|90152|mf|pass
878|74208|mf|cond
879|74208|mf|pass
883|37852|oi|cond
884|37852|oi|pass
884|27334|oa|cond
885|27334|oa|pass
888|74208|oa|bpas
890|38392|da|clea
891|27341|oi|int
894|27341|oa|lbal
894|41316|da|lbal
896|27341|oa|brec
900|27341|oa|bout
927|20388|da|pass
928|38392|da|rec
929|38392|da|pass
930|20388|da|bpas
933|90152|mf|brec
933|5155|mf|lbal
934|90152|mf|clea
935|5155|mf|brec
936|27334|di|brec
938|37915|da|rec
939|37915|da|pass
942|40784|di|rec
943|40784|da|pass
944|37915|da|bpas
948|37971|mf|bpas
948|15207|mf|bpas
952|38392|mf|pass
954|15208|mf|brec
955|15208|mf|pass
956|20388|di|rec
957|20388|di|pass
959|38392|di|cond
960|38392|di|pass
961|44989|mf|rec
962|44989|mf|pass
963|40691|di|rec
964|40691|di|pass
965|20388|da|rec
966|20388|da|pass
969|15207|mf|cond
970|15207|mf|pass
975|15208|mf|rec
976|15208|mf|pass
983|20388|di|cond
984|20388|di|pass
991|38392|di|cond
992|38392|mf|pass
993|5155|mf|cond
994|5155|mf|pass
996|41316|oi|rec
997|41316|oi|pass
998|37605|oi|lbal
1000|37605|oi|bout
1011|27334|di|pass
1012|74208|mf|brec
1012|41316|mf|lbal
1013|74208|mf|bpas
1014|15208|mf|pass
1015|44989|mf|bpas
1016|44989|mf|bout
1026|27334|mf|bpas
1030|41316|mf|int
1031|41316|mf|bout
1034|27334|mf|pass
1037|19927|mf|lbal
1037|15208|mf|brec
1039|15208|mf|bout
1044|27334|mf|pass
1046|74208|mf|drib
1046|37605|mf|dled
1047|74208|mf|drib
1047|15208|di|dled
1049|74208|oi|drib
1049|38392|mf|dled
1051|74208|oi|drib
1051|39816|di|dled
1052|74208|oi|bpas
1056|40784|mf|pass
1056|15207|di|clea
1059|14075|oi|bpas
1065|20388|da|gsav
1067|20388|da|pass
1069|15207|di|cond
1070|15207|di|pass
1073|39816|mf|cond
1074|39816|mf|pass
1077|38392|di|rec
1078|38392|mf|pass
1079|41316|mf|cond
1080|41316|mf|pass
1080|37605|mf|rec
1081|37605|mf|pass
1081|41316|mf|rec
1082|41316|mf|pass
1084|37852|mf|foul
1084|44989|mf|fsuf
1098|44989|mf|pass
1098|38392|di|rec
1099|38392|di|pass
1103|40691|di|rec
1104|40691|mf|pass
1107|15207|mf|rec
1108|15207|mf|pass
1109|40691|mf|rec
1110|40691|mf|pass
1110|55634|oi|rec
1111|55634|oi|pass
1112|15207|mf|rec
1113|15207|mf|pass
1117|40691|mf|bpas
1118|27334|di|pass
1120|37852|mf|brec
1121|37852|mf|lbal
1121|41316|mf|brec
1126|41316|mf|bout
1131|27334|mf|pass
1134|74208|mf|cond
1135|74208|mf|pass
1138|27334|di|bpas
1140|38392|mf|bpas
1141|74208|mf|pass
1144|37852|mf|lbal
1144|41316|mf|brec
1145|37605|mf|brec
1146|37605|mf|pass
1146|15208|mf|cond
1147|15208|mf|pass
1147|44989|mf|cond
1148|44989|mf|pass
1149|41316|mf|rec
1150|41316|mf|pass
1151|27341|mf|foul
1151|5155|mf|fsuf
1175|44989|mf|pass
1176|40691|mf|rec
1177|40691|mf|pass
1178|15207|mf|rec
1179|15207|mf|pass
1180|37971|di|brec
1181|55634|mf|lbal
1182|40784|di|pass
1183|27341|di|rec
1184|27341|di|pass
1186|90152|di|cond
1187|90152|di|pass
1188|27334|mf|rec
1189|27334|mf|pass
1191|37852|mf|bpas
1192|37852|oi|bout
1209|41316|di|bpas
1213|5155|mf|bpas
1214|14075|mf|brec
1215|14075|mf|drib
1215|55634|mf|dled
1217|14075|mf|bpas
1221|14075|mf|pass
1221|40691|mf|int
1222|37971|mf|bpas
1226|37971|oa|bout
1234|20388|da|pass
1240|15207|di|rec
1241|15207|di|pass
1249|20388|da|rec
1250|20388|da|pass
1250|15208|di|rec
1251|15208|di|pass
1253|20388|da|rec
1254|20388|da|pass
1258|40691|di|bpas
1261|40691|mf|bout
1277|14075|mf|bpas
1282|40691|di|brec
1285|40691|di|pass
1287|38392|di|cond
1288|38392|di|pass
1289|44989|mf|rec
1290|44989|mf|pass
1291|38392|di|rec
1292|38392|di|pass
1296|40691|di|bpas
1297|40691|oi|bout
1301|27334|mf|pass
1303|27341|mf|cond
1304|27341|mf|pass
1307|40784|di|rec
1308|40784|di|pass
1313|14075|mf|cond
1314|14075|mf|pass
1315|37971|mf|rec
1316|37971|mf|pass
1317|27341|mf|rec
1318|27341|mf|pass
1320|40784|di|cond
1321|40784|di|pass
1324|90152|mf|bpas
1324|38392|di|fsuf
1341|38392|di|pass
1342|41316|mf|bpas
1343|27334|di|int
1345|27334|di|brec
1346|27334|di|pass
1346|90152|di|rec
1347|90152|di|pass
1350|27341|di|cond
1351|27341|di|pass
1361|40784|da|cond
1362|40784|di|pass
1366|27334|mf|rec
1367|27334|mf|pass
1371|37852|mf|bpas
1374|38392|di|brec
1375|15208|mf|rec
1376|15208|mf|pass
1376|39816|di|rec
1377|39816|di|pass
1378|40691|di|rec
1379|40691|di|pass
1380|55634|mf|rec
1381|55634|mf|pass
1386|15207|mf|cond
1387|15207|mf|pass
1388|39816|mf|rec
1389|39816|mf|pass
1389|15207|mf|rec
1390|15207|mf|pass
1393|15208|mf|rec
1394|15208|mf|pass
1395|37605|mf|bpas
1396|27341|mf|int
1400|27341|mf|brec
1402|27341|mf|bpas
1407|38392|di|brec
1408|20388|da|rec
1409|20388|da|pass
1412|15207|di|rec
1413|15207|mf|pass
1414|39816|mf|rec
1415|39816|mf|pass
1420|37605|oi|rec
1421|37605|oi|pass
1422|15207|oi|cond
1423|15207|oi|pass
1424|37605|oa|cond
1425|37605|oi|pass
1426|39816|oi|rec
1427|39816|oi|pass
1427|55634|oi|cond
1428|55634|oi|pass
1428|15207|oi|cond
1429|15207|oi|pass
1430|5155|oa|lbal
1431|37915|da|gsav
1432|37915|da|gsav
1452|37915|da|bpas
1456|38392|di|pass
1459|41316|da|brec
1461|20388|da|rec
1462|20388|da|pass
1463|40691|di|cond
1464|40691|di|pass
1466|38392|di|rec
1467|38392|di|pass
1473|15208|di|cond
1474|15208|mf|pass
1475|39816|mf|cond
1476|39816|mf|pass
1476|15208|mf|rec
1477|15208|mf|pass
1481|40691|mf|cond
1482|40691|mf|pass
1485|37605|mf|rec
1486|37605|mf|pass
1488|15208|mf|rec
1489|15208|mf|pass
1490|39816|oi|bpas
1493|14075|da|fsuf
1493|55634|oa|foul
1525|37915|da|pass
1533|90152|di|rec
1534|90152|di|pass
1534|37852|mf|cond
1535|37852|mf|pass
1538|27334|mf|bpas
1542|27334|mf|brec
1542|5155|mf|lbal
1543|41316|mf|int
1546|27341|mf|pass
1549|14075|mf|rec
1550|14075|mf|pass
1551|27341|mf|rec
1552|27341|mf|pass
1552|40784|di|rec
1553|40784|di|pass
1554|27341|mf|rec
1555|27341|mf|pass
1557|37971|mf|cond
1558|37971|mf|pass
1558|27341|mf|rec
1559|27341|mf|pass
1562|40784|di|rec
1563|40784|mf|pass
1565|76650|mf|cond
1566|76650|mf|pass
1567|40784|di|rec
1568|40784|di|pass
1574|37915|da|cond
1575|37915|da|pass
1579|27334|oi|brec
1579|41316|di|lbal
1580|27334|oi|bpas
1581|41316|di|clea
1582|27334|oi|pass
1583|37852|oi|lbal
1583|41316|di|brec
1586|41316|mf|bout
1596|27334|mf|pass
1597|90152|mf|cond
1598|90152|mf|pass
1603|37971|mf|bpas
1607|41316|da|gsav
1610|20388|da|pass
1614|15207|di|cond
1615|15207|mf|pass
1618|15208|mf|rec
1619|15208|mf|pass
1622|15207|mf|cond
1623|15207|mf|pass
1626|15208|mf|rec
1626|39816|mf|rec
1627|15208|mf|pass
1627|39816|mf|pass
1631|37605|oi|cond
1632|37605|oi|pass
1635|41316|mf|rec
1636|41316|mf|pass
1640|38392|mf|rec
1641|38392|mf|pass
1649|15207|mf|cond
1650|15207|mf|pass
1651|27341|di|brec
1651|44989|oi|lbal
