_ts|player_id|place|move
1|59794|mf|pass
1|99332|mf|rec
2|99332|mf|pass
5|34296|mf|cond
6|34296|mf|pass
8|99336|mf|cond
9|99336|mf|pass
14|34285|di|rec
15|34285|di|pass
18|27334|di|lbal
18|50105|oi|lbal
20|50105|oi|pass
20|59794|oi|rec
21|59794|oi|pass
22|99332|oa|bpas
24|40784|da|clea
25|34296|oi|wsho
27|90152|da|brec
27|59794|oa|lbal
29|40784|da|brec
30|74208|di|rec
31|74208|di|pass
33|37971|mf|bpas
33|50105|mf|int
39|27341|di|pass
40|40784|di|rec
41|40784|di|pass
43|27341|di|rec
44|27341|di|pass
48|90152|di|cond
49|90152|di|pass
50|40784|mf|cond
51|40784|mf|pass
54|14075|mf|bpas
56|34291|mf|pass
57|59794|mf|bpas
58|74208|mf|lbal
59|59794|mf|brec
62|90152|di|brec
62|59794|oi|lbal
64|90152|di|brec
66|90152|di|bpas
68|81918|mf|int
70|81918|mf|bout
76|27334|mf|pass
77|90152|di|rec
78|90152|di|pass
79|27341|mf|cond
80|27341|mf|pass
82|37971|mf|rec
83|37971|mf|pass
85|14075|mf|cond
86|14075|mf|pass
88|27341|mf|rec
89|27341|mf|pass
92|74208|mf|rec
93|74208|mf|pass
95|40784|mf|rec
96|40784|mf|pass
98|14075|mf|cond
99|14075|mf|pass
101|19927|oi|bpas
103|99336|di|int
112|14075|oi|pass
112|37852|oi|cond
113|37852|oi|pass
115|14075|oi|cond
116|14075|oi|pass
116|40784|mf|rec
117|40784|mf|pass
118|27341|mf|cond
119|27341|mf|pass
119|74208|mf|rec
120|74208|mf|pass
121|90152|mf|rec
122|90152|mf|pass
124|34296|mf|pass
124|27334|mf|bpas
125|81918|mf|pass
126|50105|mf|brec
127|50105|mf|pass
130|81918|oi|bpas
131|90152|di|clea
132|90152|di|bout
149|81918|oi|pass
150|50105|oi|bpas
150|27341|da|fsuf
178|37915|da|pass
182|90152|da|rec
183|90152|di|pass
187|40784|di|cond
188|40784|di|pass
190|37852|mf|cond
191|37852|mf|pass
192|14075|mf|cond
193|14075|mf|pass
195|37852|mf|cond
196|37852|mf|pass
197|76650|oi|rec
198|76650|oi|pass
199|37852|oi|bpas
200|81918|da|int
205|19927|oa|lbal
208|19927|oa|bout
224|81918|di|pass
225|99332|di|rec
226|99332|di|pass
230|59794|mf|fsuf
230|27341|mf|foul
242|34285|mf|bpas
242|40784|di|fsuf
254|90152|di|pass
255|40784|di|rec
256|40784|di|pass
257|27341|di|rec
258|27341|di|pass
259|14075|mf|cond
260|14075|mf|pass
261|37971|mf|rec
262|37971|mf|pass
264|40784|di|cond
265|40784|di|pass
269|90152|di|rec
270|90152|mf|pass
274|40784|mf|rec
275|40784|mf|pass
276|76650|mf|bpas
277|99336|mf|brec
278|99336|mf|pass
278|82533|mf|rec
279|82533|mf|pass
279|99336|di|pass
281|119572|mf|pass
282|59794|mf|rec
283|59794|mf|pass
285|50105|mf|bpas
285|90152|di|int
291|81918|oi|lbal
292|27334|di|bpas
295|34285|mf|pass
295|34296|mf|rec
296|34296|mf|pass
298|34285|mf|cond
299|34285|mf|pass
299|34296|mf|cond
300|34296|mf|pass
301|119572|mf|cond
302|119572|mf|pass
305|99336|mf|rec
306|99336|mf|pass
309|82533|mf|rec
310|82533|mf|pass
312|119572|mf|cond
313|119572|mf|pass
316|34291|di|bpas
319|50105|oi|lbal
319|27334|di|brec
320|27334|di|clea
322|27341|mf|pass
323|59794|oi|lbal
323|14075|di|brec
323|27341|di|cond
324|27341|di|pass
327|74208|mf|cond
328|74208|mf|pass
329|27341|mf|cond
330|27341|mf|pass
331|74208|mf|cond
332|74208|mf|pass
333|37852|mf|rec
334|37852|mf|pass
338|27334|mf|cond
339|27334|oi|pass
340|37852|oi|rec
341|37852|mf|pass
341|76650|oi|rec
342|76650|oi|pass
345|27334|oa|bpas
347|34291|da|clea
349|76650|oa|wsho
349|119572|da|gsav
354|81918|da|bpas
356|27341|mf|pass
356|74208|mf|cond
357|74208|mf|pass
359|27341|mf|rec
360|27341|mf|pass
360|19927|oi|rec
361|19927|oi|pass
361|76650|oi|rec
362|76650|oi|pass
363|37971|oi|cond
364|37971|oi|pass
366|37852|oa|bpas
368|34302|da|clea
371|82533|di|fsuf
371|14075|oi|foul
451|34291|di|pass
452|99336|mf|bpas
453|27334|di|brec
454|27334|di|pass
455|27341|di|rec
456|27341|di|pass
457|37971|mf|rec
458|37971|di|pass
458|40784|di|rec
459|40784|di|pass
461|27341|di|cond
462|27341|di|pass
467|90152|di|rec
468|90152|mf|pass
469|27341|di|rec
470|27341|di|pass
473|40784|di|cond
474|40784|mf|pass
475|37971|mf|cond
476|37971|mf|pass
476|40784|di|cond
477|40784|di|pass
482|14075|mf|rec
483|14075|mf|pass
483|37852|mf|rec
484|37852|mf|pass
486|27341|mf|rec
487|27341|mf|pass
489|27334|oi|cond
490|27334|oi|pass
490|74208|oi|cond
491|74208|oi|pass
492|81918|di|dled
492|27334|oi|drib
495|34296|da|dled
495|27334|oa|drib
498|34302|da|gsav
502|34302|da|pass
505|59794|mf|bpas
510|90152|di|pass
511|27341|di|brec
514|37971|mf|rec
515|37971|mf|pass
515|74208|di|rec
516|74208|di|pass
516|27334|mf|cond
517|27334|mf|pass
519|37852|mf|rec
520|37852|mf|pass
521|76650|oi|rec
522|76650|oi|pass
526|34296|da|foul
526|37852|oa|fsuf
583|37852|oa|pass
584|19927|oa|rec
585|19927|oa|wsho
587|19927|oa|bout
609|34302|da|pass
611|59794|mf|brec
611|40784|mf|lbal
611|14075|mf|brec
612|14075|di|pass
613|27341|di|cond
614|27341|di|pass
614|74208|mf|rec
615|74208|mf|pass
619|27334|di|bpas
626|34285|da|foul
671|37852|oa|bpas
675|34302|da|gsav
680|99336|di|lbal
680|37971|oi|brec
681|99336|di|lbal
685|27341|mf|pass
686|27334|di|rec
687|27334|di|pass
688|27341|mf|cond
689|27341|mf|pass
692|90152|mf|cond
693|90152|mf|pass
695|74208|mf|cond
696|74208|mf|pass
696|90152|mf|rec
697|90152|mf|pass
697|27341|mf|cond
698|27341|mf|pass
699|37971|mf|rec
700|37971|mf|pass
702|119572|di|lbal
702|74208|oi|lbal
708|37852|oi|pass
708|74208|oi|cond
709|74208|oi|pass
713|37852|oa|bpas
714|34296|da|brec
715|34296|da|pass
716|81918|da|rec
717|81918|da|pass
720|99332|mf|pass
722|99336|di|rec
723|99336|di|pass
728|99332|mf|rec
729|99332|mf|pass
729|99336|mf|cond
730|99336|mf|pass
732|99332|mf|cond
733|99332|mf|pass
737|34296|mf|rec
738|34296|mf|pass
739|34285|mf|cond
740|34285|mf|pass
742|119572|mf|rec
743|119572|mf|pass
747|34291|mf|rec
748|34291|mf|pass
748|119572|mf|rec
749|119572|mf|pass
750|34291|mf|rec
751|34291|mf|pass
753|119572|di|cond
754|119572|di|pass
756|34285|di|rec
757|34285|di|pass
758|119572|di|rec
759|119572|di|pass
763|34291|mf|bpas
765|34291|mf|bout
777|27334|mf|pass
779|27341|mf|rec
780|27341|mf|pass
785|40784|di|rec
786|40784|mf|pass
787|37971|mf|rec
788|37971|mf|pass
789|40784|di|rec
790|40784|mf|pass
791|90152|mf|rec
792|90152|mf|pass
793|74208|mf|cond
794|74208|mf|pass
794|27341|mf|rec
795|27341|mf|pass
797|27334|oi|rec
798|27334|oi|pass
802|81918|da|foul
802|37852|oa|fsuf
872|37852|oa|bpas
873|99332|da|clea
876|37971|oa|wsho
876|34302|da|gsav
885|34302|da|bout
906|37852|oa|bpas
907|34296|da|clea
910|34296|da|bout
915|37852|oa|pass
916|74208|oa|rec
917|74208|oa|pass
918|37852|oa|cond
919|37852|oa|pass
920|27334|oa|cond
