_ts|player_id|place|move
1|85388|mf|pass
1|49013|mf|rec
2|49013|mf|pass
3|28495|mf|rec
4|28495|mf|pass
9|27341|mf|brec
9|90714|mf|lbal
10|27341|mf|brec
11|27341|mf|pass
11|74208|mf|rec
12|74208|mf|pass
13|27334|mf|rec
14|27334|mf|pass
15|37852|mf|bpas
16|112991|di|brec
17|112991|di|pass
18|149879|di|bpas
19|37852|oi|int
20|28495|di|pass
30|13262|da|bpas
33|14075|mf|brec
33|26900|mf|lbal
34|14075|mf|pass
35|27334|mf|brec
36|27334|mf|pass
36|74208|mf|rec
37|74208|mf|pass
38|37852|mf|cond
39|37852|mf|pass
43|90714|di|brec
43|27334|oi|lbal
45|90714|di|brec
46|90714|di|pass
47|149879|di|cond
48|149879|mf|pass
50|85388|mf|lbal
52|85388|mf|bout
65|27334|mf|pass
71|28495|oi|foul
71|74208|di|fsuf
78|90152|di|pass
79|27341|di|cond
80|27341|di|pass
82|51507|di|rec
83|51507|di|pass
83|14075|mf|rec
84|14075|mf|pass
88|51507|di|cond
89|51507|di|pass
90|44346|mf|rec
91|44346|mf|pass
91|37971|mf|cond
92|37971|mf|pass
92|37852|oi|rec
93|37852|oi|pass
94|74208|oi|cond
95|74208|oi|pass
98|27334|oi|bpas
100|10594|da|int
101|49507|di|brec
108|49507|oi|bpas
109|14075|di|brec
112|37971|di|bpas
114|116120|mf|int
115|116120|mf|brec
116|116120|mf|bpas
116|37971|mf|int
117|37971|mf|bout
133|49507|mf|pass
138|26900|oa|lbal
138|14075|da|brec
140|14075|da|bpas
141|14075|di|bout
155|49507|oi|bpas
158|85388|oa|lbal
158|51507|da|brec
159|51507|da|clea
163|51507|da|bout
182|90714|oa|bpas
185|51507|da|clea
188|51507|mf|bout
195|90714|oi|pass
196|49507|oi|cond
197|49507|oi|pass
199|49013|oi|bpas
199|37852|di|int
201|27341|di|bpas
203|49013|oi|int
204|49013|oi|drib
204|74208|di|dled
205|49013|oi|brec
206|49013|oi|bpas
208|27334|da|int
209|27334|di|pass
210|37852|di|rec
211|37852|di|pass
212|116120|mf|dled
212|74208|mf|drib
214|74208|di|pass
216|37971|mf|rec
217|37971|mf|pass
221|19927|oi|cond
222|19927|oi|pass
224|37971|oa|bpas
225|10594|da|int
226|10594|da|bout
250|37852|oa|pass
252|44346|oa|rec
253|44346|oa|wsho
255|44346|oa|bout
271|13262|da|pass
272|28495|di|cond
273|28495|di|pass
274|116120|di|cond
275|116120|mf|pass
280|149879|mf|bpas
281|90152|di|pass
282|74208|di|brec
283|74208|di|pass
285|27334|di|bpas
291|149879|di|brec
293|149879|di|lbal
293|37852|oi|lbal
296|149879|di|pass
304|112991|da|cond
305|112991|mf|pass
306|28495|mf|rec
307|28495|mf|pass
311|49013|mf|cond
312|49013|oi|pass
313|28495|mf|rec
314|28495|mf|pass
318|49507|oi|bpas
320|27341|da|clea
324|14075|da|brec
325|27341|da|bpas
329|116120|mf|brec
330|10594|mf|cond
331|10594|mf|pass
334|28495|mf|rec
335|28495|mf|pass
335|49013|oi|rec
336|49013|oi|pass
336|28495|mf|rec
337|28495|mf|pass
339|116120|oi|rec
340|116120|oi|pass
343|49507|oa|rec
344|49507|oa|pass
347|26900|oa|lbal
348|90152|da|clea
351|28495|oi|pass
352|149879|mf|cond
353|149879|mf|pass
354|28495|mf|rec
355|28495|mf|pass
355|116120|mf|rec
356|116120|mf|pass
356|28495|mf|rec
357|28495|mf|pass
357|26900|mf|rec
358|26900|mf|pass
360|28495|mf|rec
361|28495|mf|pass
362|49013|mf|cond
363|49013|mf|pass
364|28495|mf|rec
365|28495|mf|pass
366|116120|mf|rec
367|116120|mf|pass
367|10594|mf|rec
368|10594|mf|pass
370|112991|mf|cond
371|112991|mf|pass
374|28495|mf|bpas
377|37915|da|gsav
384|37915|da|pass
388|90152|di|rec
389|90152|di|pass
390|44346|mf|rec
391|44346|mf|pass
391|37852|mf|cond
392|37852|mf|pass
395|44346|oi|lbal
395|10594|di|brec
396|10594|da|bout
404|27334|oa|bpas
406|112991|da|int
407|37852|oi|pass
408|27334|oa|cond
409|27334|oa|pass
411|37852|oi|rec
412|37852|oi|pass
413|44346|oi|bpas
416|90714|da|int
417|90714|da|brec
421|90714|da|bpas
422|37852|oa|int
441|149879|da|pass
443|27334|oi|lbal
443|85388|di|brec
444|85388|di|pass
446|27341|mf|foul
446|49013|mf|fsuf
458|28495|mf|pass
459|112991|di|rec
460|112991|di|pass
463|10594|mf|bpas
465|37852|mf|brec
466|44346|mf|cond
467|44346|mf|pass
468|74208|mf|bpas
470|10594|di|int
472|10594|di|pass
475|116120|mf|cond
476|116120|mf|pass
480|26900|mf|cond
481|26900|mf|pass
487|116120|mf|bpas
491|116120|oa|bout
510|37915|da|pass
518|90152|da|cond
519|90152|mf|pass
520|37852|oi|cond
521|37852|mf|pass
522|27334|oi|rec
523|27334|oi|pass
525|37852|mf|rec
526|37852|mf|pass
529|74208|oi|bpas
530|112991|di|int
534|49013|mf|bpas
536|49013|mf|bout
540|90152|mf|pass
544|51507|di|rec
545|51507|mf|pass
