_ts|player_id|place|move
0|69600|mf|pass
1|55634|mf|rec
2|55634|mf|pass
3|15207|di|rec
4|15207|di|pass
4|44989|mf|rec
5|44989|mf|pass
5|15207|di|cond
6|15207|di|pass
7|40691|di|cond
8|40691|di|pass
15|17127|di|rec
16|17127|mf|pass
18|15207|mf|rec
19|15207|mf|pass
20|17127|mf|rec
21|17127|mf|pass
23|69140|mf|rec
24|69140|mf|pass
26|17127|mf|bpas
28|50117|di|pass
30|88746|di|bpas
34|20578|mf|brec
34|69140|mf|pass
34|15208|mf|lbal
36|149828|mf|brec
38|104512|mf|bpas
40|44989|mf|brec
41|37605|oi|bpas
44|86813|di|bpas
45|15208|oi|bpas
50|28549|da|brec
54|28549|da|bpas
59|17127|di|bpas
60|50117|mf|pass
63|104512|mf|bpas
64|15208|mf|int
66|20578|mf|bpas
70|17127|di|clea
76|149828|oa|foul
76|17127|da|fsuf
87|20388|di|pass
90|17127|di|rec
91|17127|di|pass
95|15207|di|rec
96|15207|mf|pass
99|17127|mf|rec
100|17127|mf|pass
102|15207|mf|rec
103|15207|mf|pass
107|44989|mf|cond
108|44989|mf|pass
109|40691|mf|rec
110|40691|mf|pass
111|15207|mf|rec
112|15207|mf|pass
117|37605|mf|rec
118|37605|mf|pass
121|40691|mf|cond
122|40691|mf|pass
126|51498|di|brec
126|15208|oi|lbal
127|44336|di|brec
130|17127|mf|brec
130|37605|mf|cond
131|37605|mf|pass
134|44989|mf|rec
135|44989|mf|pass
135|15208|oi|rec
136|15208|oi|pass
137|40691|mf|rec
138|40691|mf|pass
143|50117|da|fsuf
143|15207|mf|bpas
164|28549|di|bpas
166|17127|di|pass
166|15207|di|rec
167|15207|di|pass
170|40691|di|brec
171|40691|di|pass
174|20388|da|bpas
176|20388|oi|bout
194|86813|di|bpas
197|15208|mf|pass
199|69600|mf|brec
200|149786|mf|brec
200|20578|mf|rec
201|20578|mf|pass
203|50117|di|rec
204|50117|di|pass
207|104512|mf|cond
208|104512|mf|pass
210|82752|mf|rec
211|82752|mf|pass
213|88746|mf|bpas
214|20388|da|pass
215|20388|da|gsav
216|20388|da|pass
222|69600|di|cond
223|69600|mf|pass
228|44989|mf|rec
229|44989|mf|pass
232|17127|mf|cond
233|17127|mf|pass
235|40691|mf|rec
236|40691|mf|pass
237|69600|oi|rec
238|69600|oi|pass
239|44989|oi|rec
240|44989|oi|pass
242|15208|mf|cond
243|15208|oi|pass
245|40691|mf|rec
246|40691|mf|pass
249|37605|mf|cond
250|37605|mf|pass
251|15207|oi|rec
252|15207|oi|pass
254|44989|oi|cond
255|44989|oi|pass
259|15207|oi|bpas
260|28549|da|pass
261|28549|da|gsav
271|28549|da|pass
275|104512|oi|brec
275|69140|di|lbal
276|104512|mf|bpas
277|40691|di|pass
279|37605|mf|lbal
280|51498|mf|pass
281|149786|mf|brec
282|88746|mf|bpas
287|17127|di|brec
288|17127|di|pass
290|15207|mf|rec
291|15207|mf|pass
292|17127|di|rec
293|17127|di|pass
295|15207|di|rec
296|15207|di|pass
300|40691|mf|bpas
301|44336|mf|int
312|41316|mf|pass
314|86813|di|brec
314|69600|oi|lbal
316|51498|mf|brec
317|86813|di|bpas
321|40691|mf|clea
322|40691|mf|bout
334|86813|mf|pass
339|149828|oa|bpas
340|40691|da|clea
341|40691|da|clea
345|15208|di|pass
348|55634|mf|brec
349|55634|mf|pass
350|69600|mf|cond
351|69600|mf|pass
353|51498|mf|dled
353|44989|mf|drib
354|51498|mf|foul
354|44989|mf|fsuf
368|44989|mf|pass
368|15207|mf|rec
369|15207|mf|pass
372|44989|mf|cond
373|44989|mf|pass
375|69140|oi|cond
376|69140|oi|pass
383|17127|di|cond
384|17127|mf|pass
385|15207|mf|rec
386|15207|mf|pass
392|17127|mf|cond
393|17127|mf|pass
395|37605|oi|rec
396|37605|oi|pass
398|69140|oi|bpas
400|28549|da|pass
401|28549|da|gsav
402|28549|da|bpas
406|40691|mf|brec
412|40691|mf|pass
413|15207|mf|cond
414|15207|mf|pass
417|17127|mf|cond
418|17127|mf|pass
420|15208|mf|cond
421|15208|mf|pass
424|55634|oi|lbal
426|55634|oa|bout
443|28549|da|bpas
445|149828|mf|foul
445|17127|mf|fsuf
456|15207|di|pass
461|40691|di|rec
462|40691|di|pass
468|17127|mf|cond
469|17127|mf|pass
470|37605|mf|rec
471|37605|mf|pass
473|69140|mf|rec
474|69140|mf|pass
475|20388|da|rec
476|20388|da|pass
478|40691|di|cond
479|40691|di|pass
480|44989|mf|cond
481|44989|mf|pass
482|41316|mf|rec
483|41316|mf|pass
488|40691|di|rec
489|40691|di|pass
491|44989|mf|rec
492|44989|mf|pass
492|37605|mf|rec
493|37605|mf|pass
494|55634|mf|cond
495|55634|mf|pass
498|69140|oi|bpas
500|50117|da|clea
502|104512|di|brec
502|69140|oi|lbal
503|104512|di|brec
504|104512|di|pass
509|20388|da|lbal
510|149828|oa|wsho
510|20388|da|gsav
512|20388|da|bout
541|82752|oa|bpas
544|17127|da|clea
545|44336|oi|pass
549|86813|mf|bpas
549|15207|da|fsuf
586|17127|di|pass
588|15207|mf|rec
589|15207|mf|pass
594|37605|mf|bpas
596|44336|di|brec
602|149828|oi|lbal
602|17127|di|brec
604|15207|di|brec
605|41316|di|rec
606|41316|di|pass
608|20388|da|bpas
611|50117|mf|brec
612|50117|mf|pass
614|88746|mf|cond
615|88746|mf|pass
621|104512|oi|bpas
625|17127|da|brec
626|104512|oa|bout
662|20388|da|pass
667|40691|di|cond
668|40691|mf|pass
671|15207|mf|cond
672|15207|mf|pass
678|17127|mf|cond
679|17127|mf|pass
681|37605|mf|rec
682|37605|mf|pass
685|44989|mf|bpas
689|104512|di|clea
690|104512|da|bout
703|69140|oa|bpas
707|28549|da|gsav
717|28549|da|bpas
721|41316|di|clea
723|149828|oi|bpas
726|40691|di|pass
728|17127|da|bpas
732|17127|mf|bout
733|88746|mf|pass
735|50117|di|rec
736|50117|di|pass
739|28549|da|rec
740|28549|da|pass
745|44336|mf|brec
745|41316|mf|lbal
749|41316|da|brec
764|20388|da|rec
765|20388|da|pass
767|40691|da|rec
768|40691|da|pass
770|15207|di|rec
771|15207|di|pass
774|15208|mf|rec
775|15208|mf|pass
778|51498|mf|foul
778|37605|mf|fsuf
790|15207|mf|bpas
793|82752|mf|brec
