_ts|player_id|place|move
1|5155|mf|pass
1|55634|mf|rec
2|55634|mf|pass
3|44989|mf|rec
4|44989|mf|pass
7|40691|di|bpas
10|28525|di|clea
11|32644|di|pass
12|58893|di|brec
13|58893|di|pass
17|40232|mf|lbal
17|40691|mf|brec
19|44989|mf|brec
21|55634|oi|bpas
23|20658|di|pass
26|45154|mf|bpas
29|15208|mf|brec
30|15208|mf|pass
30|38392|di|rec
31|38392|di|pass
35|41316|mf|cond
36|41316|mf|pass
38|38392|di|cond
39|38392|di|pass
41|15208|di|cond
42|15208|di|pass
46|40691|mf|bpas
49|40691|oi|bout
63|20658|di|bpas
64|44989|mf|brec
65|15208|mf|cond
66|15208|mf|pass
68|5155|oi|bpas
74|42899|da|brec
76|42899|da|pass
82|58893|di|bpas
87|40691|mf|brec
88|15208|mf|rec
89|15208|mf|pass
91|44989|mf|cond
92|44989|mf|pass
93|100927|oi|cond
94|100927|oi|pass
95|55634|oi|cond
96|55634|oi|pass
99|37605|oi|bpas
100|32644|da|clea
107|38392|di|pass
108|41316|mf|lbal
109|41316|mf|bout
121|20658|mf|pass
122|19054|mf|rec
123|19054|mf|pass
124|20658|mf|rec
125|20658|mf|pass
127|15312|di|bpas
127|44989|mf|int
128|5155|mf|bpas
130|32644|di|lbal
132|58893|di|foul
132|55634|oi|fsuf
199|55634|oi|pass
199|15207|oi|rec
200|15207|oi|pass
200|44989|oi|rec
201|44989|oi|wsho
201|55661|da|gsav
204|38392|mf|bpas
207|39462|mf|pass
211|45154|mf|brec
212|45154|oi|bpas
214|40691|di|clea
215|40232|oa|wsho
222|55661|oa|bout
232|15207|da|pass
233|40691|da|bpas
235|28525|mf|bpas
250|15207|mf|pass
251|5155|mf|rec
252|5155|mf|pass
253|55634|mf|rec
254|55634|mf|pass
255|100927|mf|rec
256|100927|mf|pass
257|15208|mf|rec
258|15208|mf|pass
258|38392|di|rec
259|38392|di|pass
261|41316|mf|rec
262|41316|mf|pass
263|44989|mf|cond
264|44989|mf|pass
267|41316|mf|cond
268|41316|mf|pass
269|38392|di|rec
270|38392|di|pass
274|15208|di|rec
275|15208|mf|pass
276|37605|mf|rec
277|37605|mf|pass
277|41316|mf|rec
278|41316|mf|pass
279|44989|mf|rec
280|44989|mf|pass
284|15208|mf|cond
285|15208|mf|pass
285|100927|mf|rec
286|100927|mf|pass
287|40691|mf|cond
288|40691|mf|pass
290|15207|mf|cond
291|15207|mf|pass
291|37605|oi|rec
292|37605|oi|pass
295|55634|oa|bpas
296|39462|da|int
297|42899|da|gsav
303|42899|da|pass
305|19054|mf|lbal
307|38392|mf|lbal
316|19054|oi|bpas
318|41316|di|int
319|41316|di|pass
324|44989|di|bpas
326|44989|da|bout
349|20658|oa|pass
351|39462|oi|rec
352|39462|oi|pass
355|28525|mf|rec
356|28525|mf|pass
357|32644|mf|rec
358|32644|mf|pass
360|58893|mf|bpas
362|15207|di|pass
364|5155|mf|brec
365|5155|mf|pass
365|55634|mf|rec
366|55634|mf|pass
367|15207|mf|cond
368|15207|mf|pass
369|15208|mf|rec
370|15208|mf|pass
372|44989|mf|cond
373|44989|mf|pass
375|55634|oi|cond
376|55634|oi|pass
377|15207|mf|rec
378|15207|mf|pass
378|44989|mf|rec
379|44989|mf|pass
381|15207|mf|bpas
385|15312|da|clea
386|15312|da|bout
392|55634|oa|pass
392|100927|oa|rec
393|100927|oa|pass
393|55634|oa|rec
394|55634|oa|pass
396|15207|oi|rec
397|15207|oi|pass
400|42899|da|gsav
400|55634|oa|bpas
414|42899|da|bpas
416|41316|mf|brec
417|37605|mf|rec
418|37605|mf|pass
418|44989|mf|cond
419|44989|mf|pass
420|41316|mf|cond
421|41316|mf|pass
423|15208|mf|cond
424|15208|mf|pass
427|37605|oi|rec
428|37605|oi|pass
431|15208|mf|cond
432|15208|mf|pass
433|100927|oi|rec
434|100927|oi|pass
435|15207|mf|cond
436|15207|mf|pass
439|15208|mf|rec
440|15208|mf|pass
441|100927|oi|rec
442|100927|oi|pass
442|55634|oi|cond
443|55634|oi|pass
445|15207|mf|cond
446|15207|mf|pass
447|38392|mf|rec
448|38392|mf|pass
451|41316|mf|rec
452|41316|mf|pass
452|38392|mf|rec
453|38392|mf|pass
456|44989|mf|rec
457|44989|mf|pass
458|38392|mf|rec
459|38392|mf|pass
460|44989|mf|rec
461|44989|mf|pass
464|15208|mf|cond
465|15208|mf|pass
469|15207|oi|rec
470|15207|oi|pass
475|32644|di|int
475|44989|oi|bpas
477|55661|mf|brec
482|19054|oi|drib
482|38392|di|dled
487|19054|oa|bpas
489|15208|da|pass
491|38392|da|brec
493|38392|di|pass
495|100927|di|cond
496|100927|di|pass
499|15207|mf|cond
500|15207|mf|pass
502|15208|mf|cond
503|15208|mf|pass
503|37605|mf|rec
504|37605|mf|pass
506|44989|mf|rec
507|44989|mf|pass
508|15207|oi|rec
509|15207|oi|pass
515|37605|oi|bpas
516|39462|di|int
517|39462|di|bout
521|55634|oi|pass
525|40691|mf|rec
526|40691|mf|pass
527|15207|mf|rec
528|15207|mf|pass
531|15208|mf|rec
532|15208|oi|pass
534|37605|oi|rec
535|37605|oi|pass
537|15208|oi|rec
538|15208|oi|pass
538|55634|oi|rec
539|55634|oi|pass
539|15208|mf|rec
540|15208|mf|pass
542|15312|di|int
542|55634|oi|bpas
544|55661|di|brec
550|19054|mf|fsuf
550|38392|mf|foul
568|32644|di|pass
568|28525|di|rec
569|28525|di|pass
570|20658|mf|rec
571|20658|mf|pass
572|45154|mf|rec
573|45154|mf|pass
575|20658|oi|cond
576|20658|oi|pass
577|40232|oi|rec
578|40232|oi|pass
578|45154|oi|rec
579|45154|oi|pass
582|20658|oa|bpas
585|55634|da|clea
586|55634|di|bout
592|58893|oi|pass
594|32644|mf|rec
595|32644|mf|pass
595|19054|mf|rec
596|19054|mf|pass
598|32644|mf|rec
599|32644|mf|pass
600|55661|oi|rec
601|55661|oi|pass
602|58893|oi|cond
603|58893|oi|pass
606|19054|mf|rec
607|19054|oi|pass
609|39462|oi|cond
610|39462|oi|wsho
610|41316|di|gsav
616|41316|di|bout
654|45154|oa|bpas
657|5155|da|clea
664|45154|oa|bpas
667|20388|da|gsav
671|20388|da|pass
675|15208|di|rec
676|15208|di|pass
677|15207|di|cond
678|15207|di|pass
679|44989|mf|rec
680|44989|mf|pass
688|37605|mf|cond
689|37605|oi|pass
692|20658|di|brec
692|55634|oi|lbal
693|20658|di|brec
694|20658|di|pass
696|45154|di|lbal
697|45154|di|bout
701|41316|oi|pass
703|44989|mf|cond
704|44989|mf|pass
704|100927|mf|rec
705|100927|mf|pass
709|44989|mf|rec
710|44989|mf|pass
712|15207|mf|rec
713|15207|oi|pass
714|15208|mf|rec
715|15208|mf|pass
717|58893|di|int
717|100927|oi|bpas
718|32644|di|pass
719|55661|di|brec
719|100927|oi|lbal
724|58893|di|pass
724|55661|di|rec
725|55661|di|pass
726|28525|di|cond
727|28525|di|pass
730|15312|di|rec
731|15312|di|pass
731|45154|mf|rec
732|45154|mf|pass
734|19054|mf|lbal
734|15208|mf|brec
737|15208|oi|brec
740|15312|di|brec
740|15208|oi|lbal
741|15312|di|bout
747|15208|oi|pass
751|37605|mf|cond
752|37605|oi|pass
753|44989|mf|cond
754|44989|oi|pass
761|15207|oa|bpas
767|15207|oa|bout
782|20658|da|bpas
786|40232|di|int
786|15208|mf|bpas
787|44989|oi|bpas
788|45154|di|int
789|41316|oi|pass
791|15312|di|foul
791|5155|oi|fsuf
847|44989|oi|bpas
851|20658|da|clea
855|55661|di|clea
856|55661|di|bout
864|15207|oi|pass
870|15208|oi|bpas
871|15312|da|clea
872|15312|da|bout
903|44989|oa|bpas
904|40232|da|clea
905|55661|di|brec
913|55661|oi|lbal
913|37605|di|brec
915|38392|di|bout
929|39462|oi|pass
932|15312|mf|cond
933|15312|mf|pass
935|39462|mf|rec
936|39462|mf|pass
939|20658|mf|cond
940|20658|mf|pass
943|28525|di|cond
944|28525|mf|pass
946|58893|mf|rec
947|58893|mf|pass
948|28525|di|rec
949|28525|di|pass
955|42899|da|bpas
958|40691|di|clea
961|15208|mf|brec
966|15207|mf|rec
967|15207|oi|pass
968|15312|da|brec
968|5155|oa|lbal
969|15312|da|brec
972|15312|da|clea
973|15312|da|bout
975|5155|oa|bpas
976|28525|da|int
979|5155|oa|pass
986|37605|oa|rec
987|37605|oi|pass
990|44989|mf|rec
991|44989|mf|pass
991|38392|mf|cond
992|38392|mf|pass
996|40691|mf|rec
997|40691|mf|pass
998|15208|mf|rec
999|15208|mf|pass
1004|44989|mf|brec
1006|44989|oi|bout
1086|20658|di|pass
1090|45154|mf|brec
