_ts|player_id|place|move
1|69600|mf|pass
1|55634|mf|rec
2|55634|mf|pass
2|44989|mf|rec
3|44989|mf|pass
3|15207|mf|cond
4|15207|mf|pass
4|38392|di|rec
5|38392|di|pass
6|44989|mf|rec
7|44989|mf|pass
10|38392|di|rec
11|38392|di|pass
12|17127|di|rec
13|17127|di|pass
16|40691|di|bpas
18|49485|mf|brec
19|49485|mf|pass
20|20360|oi|bpas
21|40691|di|brec
22|40691|di|pass
27|20388|da|rec
28|20388|da|pass
31|38392|di|rec
32|38392|di|pass
34|17127|di|rec
35|17127|di|pass
37|15207|di|rec
38|15207|di|pass
39|44989|mf|cond
40|44989|mf|pass
43|69600|mf|rec
44|69600|mf|pass
46|44989|mf|rec
47|44989|mf|pass
50|17127|di|cond
51|17127|mf|pass
52|38392|di|rec
53|38392|di|pass
54|44989|mf|cond
55|44989|mf|pass
56|69600|mf|rec
57|69600|mf|pass
59|44989|mf|rec
60|44989|mf|pass
64|17127|mf|rec
65|17127|mf|pass
66|38392|di|rec
67|38392|di|pass
69|44989|mf|rec
70|44989|mf|pass
73|41316|oi|bpas
76|41316|oa|bout
96|49478|da|pass
101|68791|di|rec
102|68791|di|pass
105|66905|di|cond
106|66905|di|pass
108|49485|mf|rec
109|49485|mf|pass
111|66905|di|bpas
113|37605|mf|brec
114|37605|mf|bout
118|49485|mf|pass
121|77831|mf|rec
122|77831|mf|pass
128|49478|da|bpas
132|41316|mf|int
133|69600|mf|brec
134|69600|mf|pass
136|15207|mf|bpas
138|14791|mf|fsuf
138|39816|mf|foul
165|14791|mf|bpas
170|20360|oi|foul
170|41316|di|fsuf
178|38392|di|pass
179|17127|di|cond
180|17127|di|pass
184|15207|di|rec
185|15207|mf|pass
187|17127|di|cond
188|17127|di|pass
191|15207|mf|cond
192|15207|mf|pass
195|38392|mf|cond
196|38392|mf|pass
197|44989|mf|cond
198|44989|mf|pass
198|15207|mf|rec
199|15207|mf|pass
202|38392|mf|cond
203|38392|mf|pass
205|17127|mf|rec
206|17127|mf|pass
208|40691|mf|cond
209|40691|mf|pass
209|17127|di|rec
210|17127|di|pass
213|20388|da|rec
214|20388|da|pass
215|15207|di|rec
216|15207|di|pass
217|20388|da|rec
218|20388|da|pass
221|44989|di|rec
222|44989|di|pass
222|69600|mf|rec
223|69600|mf|pass
224|37605|mf|rec
225|37605|mf|pass
227|41316|mf|lbal
228|66905|di|clea
231|66905|da|bout
238|41316|oa|pass
240|44989|oi|rec
241|44989|oi|pass
244|14791|di|brec
244|15207|oi|lbal
245|14791|di|pass
245|45124|di|rec
246|45124|di|pass
249|49485|di|drib
249|37605|oi|dled
250|49485|di|pass
253|49483|mf|cond
254|49483|mf|pass
256|77831|mf|cond
257|77831|mf|pass
259|49483|mf|bpas
261|38392|di|pass
263|15207|mf|brec
264|41316|di|rec
265|41316|di|pass
272|69600|mf|rec
273|69600|mf|pass
278|55634|mf|rec
279|55634|mf|pass
280|38392|mf|cond
281|38392|mf|pass
282|39816|mf|rec
283|39816|mf|pass
286|17127|mf|rec
287|17127|mf|pass
288|38392|mf|cond
289|38392|mf|pass
291|15207|mf|rec
292|15207|mf|pass
294|44989|mf|cond
295|44989|mf|pass
297|40691|oi|cond
298|40691|oi|pass
299|39816|mf|rec
300|39816|mf|pass
302|40691|mf|bpas
303|66905|di|clea
304|33223|mf|lbal
304|44989|mf|brec
308|38392|di|pass
309|17127|di|cond
310|17127|di|pass
312|44989|mf|rec
313|44989|di|pass
316|15207|mf|cond
317|15207|mf|pass
319|39816|mf|rec
320|39816|mf|pass
321|55634|mf|rec
322|55634|mf|pass
323|69600|oi|bpas
324|49485|di|brec
325|49485|di|pass
325|66905|di|rec
326|66905|di|pass
328|49485|da|cond
329|49485|da|pass
330|66905|da|cond
331|66905|da|pass
334|68791|di|rec
335|68791|di|pass
336|49483|di|rec
337|49483|di|pass
338|104953|mf|lbal
340|44989|oi|bpas
341|104953|mf|int
342|104953|di|pass
346|68791|da|bpas
348|38392|mf|pass
350|40691|mf|brec
354|15207|mf|rec
355|15207|mf|pass
355|69600|oi|rec
356|69600|oi|pass
357|37605|oi|cond
358|37605|oi|pass
361|68791|di|int
361|44989|oi|bpas
362|14791|di|brec
363|14791|di|pass
367|49485|di|cond
368|49485|mf|pass
369|33223|mf|cond
370|33223|mf|pass
370|49485|mf|cond
371|49485|mf|pass
371|14791|mf|rec
372|14791|mf|pass
373|49485|mf|rec
374|49485|mf|pass
376|14791|mf|rec
377|14791|mf|pass
383|104953|oa|rec
384|104953|oa|pass
385|33223|oa|rec
386|33223|oa|wsho
387|33223|oa|bout
407|20388|da|pass
407|15207|di|rec
408|15207|di|pass
408|38392|di|rec
409|38392|di|pass
411|20388|da|rec
412|20388|da|pass
416|38392|mf|bpas
418|38392|oi|bout
426|49483|mf|pass
433|68791|di|bpas
437|68791|oi|bout
455|41316|di|bpas
456|49483|mf|brec
456|55634|mf|lbal
457|49483|mf|bpas
458|20360|oi|lbal
458|17127|di|brec
459|17127|di|clea
460|17127|mf|bout
465|49483|mf|pass
465|14791|mf|rec
466|14791|mf|pass
467|49483|mf|rec
468|49483|mf|pass
468|66905|mf|rec
469|66905|mf|pass
475|49485|mf|cond
476|49485|mf|pass
477|45124|mf|rec
478|45124|mf|pass
479|49485|mf|bpas
483|38392|di|pass
486|20388|da|gsav
489|20388|da|pass
492|15207|di|cond
493|15207|di|pass
495|39816|di|cond
496|39816|mf|pass
502|69600|mf|rec
503|69600|oi|pass
505|55634|oa|bpas
506|77831|da|pass
507|49478|da|gsav
510|49478|da|pass
511|49483|di|cond
512|49483|di|pass
514|104953|mf|lbal
514|41316|mf|brec
517|55634|oi|pass
518|41316|mf|brec
518|44989|mf|rec
519|44989|mf|pass
519|39816|mf|cond
520|39816|mf|pass
520|37605|oi|rec
521|37605|oi|pass
522|39816|oi|bpas
523|49485|di|brec
524|49485|di|pass
524|66905|di|rec
525|66905|di|pass
527|14791|mf|bpas
530|20360|mf|foul
530|15207|mf|fsuf
535|15207|mf|pass
535|44989|mf|rec
536|44989|mf|pass
540|49485|di|brec
540|39816|oi|lbal
541|49485|di|brec
543|49485|di|fsuf
543|39816|oi|foul
558|49485|di|pass
558|66905|di|rec
559|66905|di|pass
559|20360|mf|rec
560|20360|mf|pass
562|66905|di|rec
563|66905|di|pass
566|49478|da|cond
567|49478|da|pass
572|68791|di|cond
573|68791|di|pass
574|49483|mf|lbal
575|49483|mf|bout
578|55634|mf|pass
578|44989|mf|rec
579|44989|oi|pass
580|55634|oi|rec
581|55634|oi|pass
584|15207|oi|bpas
585|49478|da|pass
586|49478|da|gsav
587|49478|da|gsav
596|49478|da|pass
599|66905|di|rec
600|66905|di|pass
601|14791|di|cond
602|14791|di|pass
603|66905|di|bpas
606|39816|mf|int
607|40691|mf|brec
608|40691|mf|pass
610|17127|mf|cond
611|17127|mf|pass
611|44989|mf|rec
612|44989|mf|pass
613|39816|mf|cond
614|39816|mf|pass
614|40691|mf|rec
615|40691|mf|pass
619|17127|di|rec
620|17127|di|pass
621|38392|di|rec
622|38392|di|pass
624|17127|di|rec
625|17127|di|pass
628|40691|di|bpas
629|49485|mf|brec
630|49485|mf|pass
630|66905|mf|rec
631|66905|mf|pass
632|77831|mf|bpas
635|15207|mf|brec
636|15207|mf|pass
639|69600|oi|cond
640|69600|oi|pass
643|37605|oa|rec
644|37605|oa|pass
646|39816|oi|rec
647|39816|oi|pass
648|37605|oi|cond
649|37605|oa|pass
651|69600|oa|cond
652|69600|oa|pass
655|55634|oa|pass
655|44989|oa|rec
656|44989|oa|wsho
656|66905|da|gsav
662|41316|oa|pass
663|14791|da|brec
