_ts|player_id|place|move
1|69600|mf|pass
1|55634|mf|rec
2|55634|mf|pass
2|15207|mf|rec
3|15207|mf|pass
4|39816|mf|rec
5|39816|mf|pass
6|17127|di|rec
7|17127|di|pass
11|38392|di|cond
12|38392|di|pass
13|17127|di|cond
14|17127|di|pass
18|38392|di|cond
19|38392|mf|pass
20|17127|di|rec
21|17127|di|pass
22|20388|da|rec
23|20388|da|pass
28|40691|di|bpas
30|27256|di|brec
31|27256|di|pass
33|38533|da|bpas
35|15207|mf|pass
36|69600|oi|bpas
38|19624|mf|pass
38|19921|mf|rec
39|19921|mf|pass
39|19620|di|rec
40|19620|di|pass
44|46525|mf|cond
45|46525|mf|pass
48|14937|mf|rec
49|14937|mf|pass
50|46525|mf|lbal
50|40691|mf|brec
54|37605|mf|brec
55|40691|mf|rec
56|40691|mf|pass
56|17127|di|rec
57|17127|di|pass
59|38392|di|cond
60|38392|di|pass
62|44989|di|rec
63|44989|mf|pass
64|41316|mf|rec
65|41316|mf|pass
67|38392|di|rec
68|38392|di|pass
73|17127|di|cond
74|17127|mf|pass
80|38392|di|cond
81|38392|di|pass
83|17127|di|cond
84|17127|di|pass
86|15207|mf|cond
87|15207|mf|pass
90|38392|mf|rec
91|38392|mf|pass
92|15207|mf|rec
93|15207|mf|pass
94|37605|mf|rec
95|37605|mf|pass
95|39816|mf|cond
96|39816|mf|pass
98|40691|oi|cond
99|40691|oa|pass
101|26904|da|lbal
101|69600|oa|brec
102|69600|oa|bpas
103|18522|da|clea
107|18522|da|bout
114|41316|oa|bpas
115|18522|da|int
116|18522|da|bout
129|44989|oa|pass
130|15207|oa|rec
131|15207|oa|pass
133|44989|oa|bpas
134|44989|oa|bout
158|38533|da|pass
162|27256|di|rec
163|27256|di|pass
165|19921|mf|lbal
165|39816|mf|lbal
170|18522|di|bpas
171|44989|oi|int
172|44989|mf|bout
175|26904|mf|pass
178|19620|mf|lbal
178|44989|mf|brec
180|55634|mf|brec
181|55634|mf|pass
183|39816|mf|cond
184|39816|mf|pass
186|40691|mf|rec
187|40691|mf|pass
193|26904|da|dled
193|69600|oa|drib
194|38530|da|brec
194|69600|oa|lbal
196|26904|da|brec
199|26904|da|pass
200|17743|mf|bpas
203|17127|mf|brec
204|17127|di|pass
207|15207|mf|cond
208|15207|mf|pass
214|40691|oi|bpas
215|18522|di|clea
217|18522|mf|bout
229|40691|mf|bpas
232|27256|da|brec
234|27256|da|pass
234|17743|mf|rec
235|17743|mf|pass
238|14937|mf|rec
239|14937|mf|pass
241|17743|oi|cond
242|17743|oa|wsho
242|20388|da|gsav
248|20388|da|gsav
260|20388|da|pass
261|38392|di|rec
262|38392|di|pass
265|17127|di|rec
266|17127|di|pass
268|40691|di|rec
269|40691|di|pass
272|20388|da|rec
273|20388|da|pass
278|38392|mf|bpas
282|18522|di|brec
286|18522|di|pass
289|46525|di|rec
290|46525|di|pass
290|14937|mf|rec
291|14937|mf|pass
294|46525|mf|rec
295|46525|mf|pass
296|27256|di|rec
297|27256|di|pass
299|18522|di|rec
300|18522|di|pass
307|19620|mf|drib
307|39816|mf|dled
309|19620|mf|pass
310|19921|mf|cond
311|19921|mf|pass
313|26904|mf|cond
314|26904|mf|pass
317|38530|mf|drib
317|69600|mf|dled
319|38530|mf|pass
322|26904|oi|lbal
322|69600|di|lbal
323|26904|oi|brec
324|41316|da|brec
326|26904|oa|bout
342|20388|da|pass
344|37605|mf|lbal
345|46525|mf|brec
347|14937|oi|rec
348|14937|oi|wsho
350|14937|oa|bout
378|20388|da|bpas
382|27256|mf|pass
383|19620|mf|cond
384|19620|mf|pass
384|19921|mf|rec
385|19921|mf|pass
386|19624|mf|brec
387|19624|mf|bpas
388|19624|mf|bout
396|41316|mf|pass
397|38392|di|cond
398|38392|di|pass
400|15207|di|cond
401|15207|di|pass
403|44989|mf|cond
404|44989|di|pass
407|39816|di|rec
408|39816|di|pass
411|38392|di|cond
412|38392|di|pass
414|44989|mf|rec
415|44989|mf|pass
418|19620|oi|brec
418|15207|di|lbal
419|19620|oi|brec
421|19620|oi|pass
424|14937|oa|cond
425|14937|oa|wsho
425|20388|da|gsav
429|15207|da|clea
430|40691|da|brec
435|40691|da|pass
438|55634|mf|bpas
440|18522|di|brec
442|18522|di|pass
447|38533|da|bpas
450|38533|da|lbal
451|39816|oi|wsho
453|39816|oa|bout
473|38533|da|bpas
474|40691|mf|brec
478|40691|mf|bout
492|46525|mf|pass
492|17743|mf|rec
493|17743|mf|pass
494|14937|mf|rec
495|14937|mf|pass
496|19620|mf|cond
497|19620|mf|pass
498|19921|mf|cond
499|19921|mf|pass
499|46525|mf|cond
500|46525|mf|pass
502|27256|di|rec
503|27256|di|pass
504|19921|mf|rec
505|19921|mf|pass
507|18522|mf|cond
508|18522|di|pass
510|19624|mf|rec
511|19624|mf|pass
513|26904|oi|rec
514|26904|oi|pass
519|19624|mf|fsuf
519|55634|mf|foul
536|18522|mf|pass
537|19620|mf|cond
538|19620|mf|pass
543|46525|mf|cond
544|46525|oi|pass
546|19921|mf|rec
547|19921|mf|pass
549|18522|mf|rec
550|18522|mf|pass
550|38530|oi|rec
551|38530|oi|pass
552|19624|oi|cond
553|19624|oi|pass
555|26904|oa|bpas
557|26904|oa|bout
574|20388|da|pass
575|15207|di|rec
576|15207|di|pass
578|37605|mf|rec
579|37605|mf|pass
579|40691|mf|rec
580|40691|mf|pass
586|37605|oi|cond
587|37605|mf|pass
588|55634|oi|rec
589|55634|oi|pass
590|40691|mf|bpas
591|19921|mf|brec
593|55634|oi|pass
593|37605|oi|cond
594|37605|oi|pass
594|55634|oi|rec
595|55634|oi|pass
599|26904|da|foul
599|69600|oa|fsuf
661|55634|oa|goal
705|17743|mf|pass
706|19620|mf|brec
708|41316|di|clea
709|41316|di|bout
716|26904|mf|pass
721|38530|oa|lbal
721|69600|da|brec
722|69600|da|brec
723|69600|da|bpas
725|19624|oi|int
726|19624|oi|brec
727|19624|oi|pass
729|19620|mf|rec
730|19620|mf|pass
733|27256|mf|rec
734|27256|mf|pass
737|19620|mf|cond
738|19620|mf|pass
741|27256|mf|rec
742|27256|mf|pass
747|38530|oa|bpas
751|15207|da|clea
754|41316|da|clea
756|19620|mf|pass
758|19624|oi|bpas
760|38392|di|brec
761|38392|da|clea
763|38392|di|bout
768|26904|oi|bpas
771|15207|da|clea
773|38530|oa|bpas
774|41316|da|clea
775|38530|oa|pass
776|19624|oa|rec
777|19624|oa|pass
778|26904|oa|bpas
781|39816|da|clea
782|26904|oi|pass
784|19620|oi|rec
785|19620|oi|wsho
786|14937|oi|brec
789|69600|di|brec
789|44989|mf|cond
790|44989|mf|pass
791|69600|di|rec
792|69600|di|pass
792|39816|mf|rec
793|39816|mf|pass
794|37605|mf|rec
795|37605|mf|pass
796|55634|mf|bpas
800|27256|da|int
801|27256|da|brec
806|27256|da|bpas
808|17743|mf|lbal
808|38392|mf|brec
809|38392|mf|bpas
810|19624|mf|pass
810|38530|mf|rec
811|38530|mf|pass
813|26904|di|rec
814|26904|di|pass
818|38533|da|bpas
820|41316|mf|pass
822|15207|mf|brec
822|41316|mf|rec
823|41316|mf|pass
826|19620|mf|brec
826|44989|mf|lbal
829|19620|mf|bout
843|41316|mf|bpas
844|18522|di|clea
845|41316|mf|lbal
847|19624|mf|brec
848|19624|mf|bpas
849|17127|di|int
850|17127|mf|brec
854|40691|di|rec
855|40691|mf|pass
856|37605|mf|cond
857|37605|mf|pass
857|39816|mf|rec
858|39816|mf|pass
860|37605|mf|cond
861|37605|mf|pass
862|55634|mf|bpas
863|27256|mf|int
866|19921|di|brec
867|19921|di|pass
868|38533|da|rec
869|38533|da|pass
