_ts|player_id|place|move
1|80146|mf|pass
1|33223|mf|rec
2|33223|mf|pass
3|14791|mf|rec
4|14791|mf|pass
5|49480|di|rec
6|49480|di|pass
6|104953|mf|rec
7|104953|mf|pass
8|49480|di|bpas
9|17152|oi|int
10|49480|di|bpas
11|15517|mf|bpas
13|68791|di|clea
14|66905|di|bout
21|12875|mf|pass
21|20226|oi|rec
22|20226|oi|pass
23|12875|oi|cond
24|12875|mf|pass
24|17152|oi|cond
25|17152|oi|pass
27|20226|oa|drib
28|20226|oa|drib
28|68791|da|dled
29|20226|oa|goal
78|33223|mf|pass
78|45124|mf|rec
79|45124|mf|pass
88|77831|mf|bpas
107|41574|oi|brec
108|41574|oi|pass
110|37070|oi|drib
110|45124|di|dled
112|37070|oa|lbal
114|66905|da|brec
115|66905|da|bpas
115|37070|oa|int
119|12875|oi|foul
119|33223|di|fsuf
128|14791|mf|pass
129|49480|mf|cond
130|49480|mf|pass
134|104953|mf|rec
135|104953|mf|pass
137|49480|mf|cond
138|49480|mf|pass
140|68791|di|cond
141|68791|di|pass
143|66905|mf|cond
144|66905|mf|pass
146|49485|mf|rec
147|49485|mf|pass
148|77831|mf|rec
149|77831|mf|pass
150|49485|mf|cond
151|49485|mf|pass
154|45124|mf|cond
155|45124|mf|pass
158|68791|di|rec
159|68791|mf|pass
161|49480|mf|bpas
166|49480|oa|bout
187|15337|da|bpas
191|17152|mf|lbal
191|49480|mf|brec
192|49480|mf|bpas
193|12875|mf|pass
198|17152|oi|bpas
203|45124|di|brec
204|45124|mf|brec
207|45124|mf|bout
267|37070|mf|pass
268|61770|mf|brec
269|45124|mf|brec
271|45124|mf|pass
273|66905|di|bpas
274|60207|di|brec
274|33223|oi|lbal
275|60207|di|clea
276|33223|oi|brec
279|61770|di|foul
279|45124|oi|fsuf
316|14791|oi|pass
318|68791|oa|bpas
320|68791|oa|bout
338|15337|da|pass
343|50089|da|rec
344|50089|da|pass
344|15337|da|cond
345|15337|da|pass
346|60207|da|rec
347|60207|da|pass
349|17152|mf|brec
349|49480|mf|lbal
350|17152|mf|pass
352|20226|mf|lbal
352|49480|mf|lbal
353|20226|oi|bpas
355|49480|di|brec
356|49480|di|pass
357|104953|mf|bpas
358|41574|oi|int
359|14791|di|bpas
360|14791|di|bout
367|12875|oi|pass
369|41574|oi|cond
370|41574|oi|pass
371|37368|oi|rec
372|37368|oi|pass
374|37070|oi|rec
375|37070|oi|pass
377|61770|oa|cond
378|61770|oa|pass
379|41574|oa|brec
379|66905|da|lbal
380|41574|oa|wsho
384|104953|da|brec
390|104953|da|pass
390|77831|da|rec
391|77831|da|pass
393|12875|mf|lbal
393|33223|mf|lbal
395|12875|mf|lbal
395|49480|mf|lbal
396|49480|mf|brec
398|49480|mf|bout
399|12875|mf|pass
401|17152|oi|rec
402|17152|oi|pass
404|20226|oi|bpas
407|49485|da|clea
409|15517|oi|lbal
409|77831|di|brec
410|77831|di|pass
411|80146|mf|brec
413|104953|mf|cond
414|104953|mf|pass
418|33223|oa|bpas
419|15337|da|gsav
425|15337|da|pass
425|37368|di|rec
426|37368|di|pass
426|37070|di|cond
427|37070|mf|pass
429|41574|mf|rec
430|41574|mf|pass
432|37368|mf|cond
433|37368|mf|pass
434|17152|mf|rec
435|17152|mf|pass
437|12875|mf|rec
438|12875|mf|pass
440|37368|mf|cond
441|37368|mf|pass
443|50089|mf|rec
444|50089|mf|pass
444|37070|mf|rec
445|37070|mf|pass
447|50089|mf|cond
448|50089|mf|pass
448|15517|mf|rec
449|15517|mf|pass
450|50089|di|rec
451|50089|mf|pass
453|60207|di|rec
454|60207|di|pass
454|37368|mf|rec
455|37368|mf|pass
457|60207|di|cond
458|60207|di|pass
461|15337|da|rec
462|15337|da|pass
464|50089|di|cond
465|50089|di|pass
468|37070|mf|cond
469|37070|mf|pass
470|15517|mf|rec
471|15517|mf|pass
472|37368|di|rec
473|37368|mf|pass
475|60207|mf|rec
476|60207|mf|pass
481|37368|di|cond
482|37368|mf|pass
483|61770|mf|cond
484|61770|mf|pass
485|15517|mf|bpas
489|49485|da|brec
490|15517|oa|bout
514|61988|da|bpas
517|80146|oi|lbal
517|60207|di|brec
518|60207|di|clea
519|68791|mf|clea
520|20226|mf|lbal
521|14791|mf|brec
522|66905|mf|bpas
522|41574|mf|int
524|66905|mf|bpas
526|66905|oi|bout
542|37070|di|pass
544|41574|mf|bpas
546|49480|mf|brec
547|49480|mf|pass
555|104953|oi|bpas
557|60207|da|brec
558|50089|da|clea
561|50089|mf|bout
567|49480|mf|pass
569|68791|di|rec
570|68791|di|pass
572|14791|mf|cond
573|14791|mf|pass
578|49485|mf|lbal
578|61770|mf|lbal
580|14791|mf|bpas
580|37070|di|fsuf
597|15337|di|pass
603|60207|mf|bpas
609|61988|da|brec
616|61988|da|pass
619|66905|di|cond
620|66905|di|pass
623|49485|di|bpas
627|33223|oi|bout
633|37070|mf|pass
633|37368|mf|cond
634|37368|mf|pass
635|37070|mf|bpas
636|66905|di|pass
637|14791|mf|brec
638|14791|mf|pass
638|49485|mf|cond
639|49485|mf|pass
640|80146|oi|bpas
642|50089|di|clea
643|50089|di|bout
650|49485|mf|pass
651|66905|mf|rec
652|66905|mf|pass
653|49485|mf|cond
654|49485|mf|pass
657|77831|mf|rec
658|77831|mf|pass
659|80146|oi|cond
660|80146|mf|pass
662|49480|mf|rec
663|49480|mf|pass
664|104953|oi|rec
665|104953|mf|pass
667|77831|mf|rec
668|77831|mf|pass
670|12875|di|fsuf
670|45124|oi|bpas
696|15337|di|bpas
699|15337|oi|bout
706|49480|mf|bpas
709|60207|di|clea
710|60207|mf|bout
716|49480|mf|bpas
719|60207|di|clea
723|80146|oa|bpas
725|50089|da|clea
726|60207|da|clea
728|60207|di|bout
734|49480|oi|pass
736|104953|oa|cond
737|104953|oa|pass
739|49480|oi|bpas
742|15337|da|gsav
744|15337|da|pass
746|37070|di|cond
747|37070|mf|pass
750|37368|mf|rec
751|37368|mf|pass
752|50089|di|cond
753|50089|di|pass
753|37368|mf|cond
754|37368|mf|pass
757|60207|di|rec
758|60207|di|pass
762|37368|di|cond
763|37368|mf|pass
764|17152|mf|rec
765|17152|mf|pass
766|60207|di|rec
767|60207|di|pass
769|50089|di|bpas
772|49480|di|pass
773|68791|di|brec
774|68791|di|pass
774|77831|mf|rec
775|77831|mf|pass
777|49480|mf|bpas
780|60207|di|clea
781|60207|di|bout
801|49480|oi|pass
803|33223|oi|cond
804|33223|oi|pass
804|49480|oi|rec
805|49480|oi|pass
807|104953|mf|cond
808|104953|mf|pass
810|66905|mf|cond
811|66905|mf|pass
816|49485|mf|rec
817|49485|oi|pass
819|14791|mf|rec
820|14791|mf|pass
822|66905|mf|rec
823|66905|mf|pass
824|68791|mf|cond
825|68791|mf|pass
826|49480|mf|cond
827|49480|mf|pass
830|12875|di|dled
830|80146|oi|drib
833|80146|oa|pass
838|49485|oa|rec
839|49485|oa|pass
841|14791|mf|cond
842|14791|mf|pass
844|66905|mf|rec
845|66905|mf|pass
848|80146|oi|rec
849|80146|oi|pass
851|49480|oa|bpas
853|15337|da|gsav
856|15337|da|pass
859|37368|mf|bpas
861|68791|mf|brec
862|68791|mf|pass
863|77831|mf|bpas
865|37368|mf|lbal
865|45124|mf|brec
868|77831|mf|pass
868|14791|mf|rec
869|14791|mf|pass
869|104953|mf|rec
870|104953|mf|pass
870|80146|oi|cond
871|80146|oi|pass
871|104953|mf|rec
872|104953|mf|pass
874|49480|mf|cond
875|49480|oi|pass
879|104953|oi|bpas
882|15337|da|pass
883|15337|da|gsav
885|15337|da|brec
886|15337|da|bpas
888|15337|mf|bout
907|49480|mf|pass
912|60207|da|brec
912|80146|oa|lbal
913|60207|da|bout
931|49480|oa|pass
933|33223|oa|lbal
934|33223|oa|bout
960|15337|da|bpas
964|41574|oi|lbal
964|68791|mf|brec
965|68791|di|clea
966|17152|oi|brec
966|49480|di|lbal
967|17152|oi|bpas
967|66905|di|fsuf
991|61988|di|pass
994|60207|di|lbal
994|33223|oi|brec
995|33223|oi|bpas
997|50089|da|clea
999|15337|da|brec
999|80146|oa|lbal
1000|15337|da|gsav
1003|17152|da|brec
1003|77831|oa|lbal
1004|17152|da|bout
1007|104953|oa|pass
1010|49480|oi|cond
1011|49480|oi|pass
1014|104953|oi|cond
1015|104953|oa|pass
1017|49480|oi|bpas
1023|37070|da|brec
1026|37070|da|bpas
1032|49480|mf|brec
1033|49480|mf|pass
1038|15517|di|lbal
1038|104953|oi|lbal
1041|104953|oi|pass
1043|49480|mf|rec
1044|49480|oi|pass
1045|80146|oa|lbal
1047|60207|da|fsuf
1047|80146|oa|foul
1084|15337|da|pass
1084|17152|mf|cond
1085|17152|mf|pass
1086|37368|mf|bpas
1087|66905|di|int
