_ts|player_id|place|move
1|14664|mf|pass
1|37352|mf|rec
2|37352|mf|pass
4|28301|di|bpas
7|66806|di|fsuf
7|12303|oi|foul
25|27375|di|pass
26|66806|di|rec
27|66806|di|pass
31|48353|mf|rec
32|48353|mf|pass
33|27375|mf|rec
34|27375|mf|pass
35|48353|mf|rec
36|48353|mf|pass
39|39476|di|rec
40|39476|di|pass
41|40868|mf|rec
42|40868|mf|pass
46|6994|mf|cond
47|6994|mf|pass
51|66806|di|rec
52|66806|mf|pass
52|27375|mf|cond
53|27375|mf|pass
54|66806|mf|cond
55|66806|di|pass
57|52068|mf|int
58|28130|mf|bpas
60|6994|mf|pass
64|39471|mf|bpas
66|19523|di|brec
67|19523|di|pass
72|12056|da|rec
73|12056|da|pass
73|19523|di|rec
74|19523|di|pass
76|52068|di|cond
77|52068|di|pass
77|28111|di|rec
78|28111|di|pass
79|52068|di|cond
80|52068|di|pass
80|14664|mf|rec
81|14664|mf|pass
82|52068|di|cond
83|52068|di|pass
86|14664|di|rec
87|14664|mf|pass
90|28111|mf|bpas
92|66806|di|brec
93|28130|mf|cond
94|28130|mf|pass
95|10866|mf|rec
96|10866|mf|pass
97|6994|mf|cond
98|6994|mf|pass
101|50343|mf|rec
102|50343|oi|pass
103|40868|oi|cond
104|40868|mf|pass
108|50343|oa|bpas
110|12450|da|clea
113|50343|oi|pass
116|40868|oi|bpas
117|12056|da|gsav
125|12056|da|pass
126|12450|di|rec
127|12450|di|pass
130|28301|di|rec
131|28301|di|pass
132|80226|mf|rec
133|80226|mf|pass
134|28301|di|cond
135|28301|mf|pass
139|14664|di|rec
140|14664|di|pass
146|19523|di|rec
147|19523|mf|pass
152|37352|mf|cond
153|37352|mf|pass
153|28111|mf|rec
154|28111|mf|pass
156|19523|mf|rec
157|19523|mf|pass
158|28111|mf|rec
159|28111|mf|pass
162|48353|mf|dled
162|28301|mf|drib
165|28301|mf|pass
168|6994|di|dled
168|37352|oi|drib
169|37352|oi|pass
171|28301|oa|bpas
173|28301|oa|bout
189|48332|da|pass
190|66806|da|cond
191|66806|da|pass
199|39476|da|rec
200|39476|di|pass
203|66806|di|cond
204|66806|di|pass
204|27375|di|rec
205|27375|di|pass
209|66806|di|rec
210|66806|di|pass
212|28130|mf|lbal
213|52068|mf|bpas
216|10866|oi|bpas
219|19523|di|foul
219|39471|oi|fsuf
267|39471|oi|bpas
271|80226|da|fsuf
271|27375|oa|foul
289|12056|da|pass
293|14664|di|cond
294|14664|mf|pass
295|80226|mf|rec
296|80226|mf|pass
296|14664|mf|rec
297|14664|mf|pass
298|12450|mf|rec
299|12450|mf|pass
301|52068|mf|rec
302|52068|mf|pass
305|19523|mf|rec
306|19523|mf|pass
307|52068|mf|rec
308|52068|mf|pass
312|28111|mf|rec
313|28111|mf|pass
316|19523|mf|rec
317|19523|mf|pass
318|28301|mf|lbal
319|50343|mf|brec
322|50343|mf|pass
322|6994|mf|rec
323|6994|mf|pass
323|40868|mf|cond
324|40868|mf|pass
328|6994|mf|lbal
328|12303|mf|brec
329|12303|mf|brec
332|12303|oi|pass
337|43274|oi|cond
338|43274|oa|pass
340|14664|oa|lbal
342|14664|oa|bout
377|48332|da|pass
381|40868|mf|cond
382|40868|mf|pass
384|50343|oi|lbal
385|50343|oi|bout
394|80226|di|bpas
396|40868|mf|brec
396|12303|mf|lbal
397|40868|mf|pass
399|39471|mf|brec
481|52068|mf|brec
483|48332|da|brec
485|48332|da|pass
488|66806|di|cond
489|66806|di|pass
491|39476|di|rec
492|39476|di|pass
501|40868|oa|lbal
501|80226|da|brec
502|80226|da|pass
503|12450|da|rec
504|12450|da|pass
505|80226|da|rec
506|80226|da|pass
507|52068|di|rec
508|52068|di|pass
508|28301|di|rec
509|28301|di|pass
510|12303|mf|rec
511|12303|mf|pass
512|43274|mf|bpas
513|39476|mf|brec
514|12303|mf|bpas
519|66806|da|clea
520|66806|da|bout
551|37352|oa|bpas
554|39471|da|clea
556|39471|di|bout
558|37352|oi|pass
559|28301|oi|rec
560|28301|oi|pass
563|37352|oa|bpas
565|39476|da|clea
569|39476|mf|bout
578|80226|mf|pass
579|28301|mf|rec
580|28301|mf|pass
580|14664|mf|rec
581|14664|mf|pass
583|52068|mf|rec
584|52068|mf|pass
585|28111|mf|rec
586|28111|mf|pass
590|43274|oi|bpas
591|28130|di|int
593|6994|di|brec
594|6994|di|brec
596|6994|da|bout
705|43274|oi|bpas
707|48332|da|brec
708|48332|da|pass
717|39476|da|rec
718|39476|di|pass
719|27375|di|rec
720|27375|di|pass
723|66806|di|bpas
725|28111|mf|pass
726|52068|mf|brec
728|27375|di|bpas
729|28111|mf|pass
732|28301|mf|lbal
733|81456|mf|brec
734|81456|mf|pass
738|10866|mf|bpas
740|80226|di|int
741|37352|di|brec
743|37352|mf|pass
744|12303|mf|rec
745|12303|mf|pass
753|14664|oa|bpas
755|48332|da|gsav
773|48332|da|pass
774|10866|mf|cond
775|10866|oi|pass
779|50343|oi|rec
780|50343|oi|pass
782|48353|oi|cond
783|48353|mf|pass
784|27375|oa|rec
785|27375|oa|pass
785|28130|oa|cond
786|28130|oa|wsho
786|12056|da|gsav
787|12056|da|gsav
814|12056|da|pass
816|80226|mf|rec
817|80226|mf|pass
818|12450|di|rec
819|12450|di|pass
819|19523|mf|cond
820|19523|mf|pass
822|28111|mf|cond
823|28111|mf|pass
826|52068|mf|cond
827|52068|mf|pass
831|12450|mf|cond
832|12450|mf|pass
837|37352|mf|cond
838|37352|mf|pass
840|80226|oi|rec
841|80226|oi|pass
841|28301|mf|rec
842|28301|mf|pass
842|14664|oi|rec
843|14664|oi|pass
844|28301|mf|rec
845|28301|mf|pass
847|52068|mf|cond
848|52068|mf|pass
851|28111|oi|rec
852|28111|mf|pass
853|43274|oi|rec
854|43274|oi|pass
854|12303|oi|rec
855|12303|oi|pass
857|43274|oa|lbal
859|66806|da|clea
860|28301|mf|pass
862|52068|mf|rec
863|52068|mf|pass
863|28301|mf|cond
864|28301|mf|pass
868|80226|mf|rec
869|80226|mf|pass
870|14664|oi|rec
871|14664|oi|pass
872|39476|di|lbal
872|12303|oi|brec
873|12303|oi|pass
873|43274|oa|rec
874|43274|oa|wsho
881|43274|oa|bout
887|27375|da|pass
888|28130|di|cond
889|28130|di|pass
891|27375|di|rec
892|27375|da|pass
894|48353|di|cond
895|48353|di|pass
897|6994|mf|bpas
899|28111|mf|brec
902|28130|mf|foul
902|28111|mf|fsuf
921|28111|mf|pass
921|19523|mf|rec
922|19523|mf|pass
922|28301|mf|rec
923|28301|mf|pass
923|28111|mf|rec
924|28111|mf|pass
925|52068|mf|rec
926|52068|mf|pass
927|19523|di|cond
928|19523|di|pass
931|12450|mf|lbal
932|50343|mf|brec
937|50343|oi|pass
939|10866|oi|rec
939|81456|oi|cond
940|81456|oi|pass
940|10866|oi|pass
940|48353|oi|rec
941|48353|oi|pass
946|28130|oa|bpas
950|28130|oa|bout
973|80226|da|pass
977|12303|di|bpas
981|66806|di|pass
983|48332|da|gsav
984|48332|da|brec
986|48332|di|bout
1176|37352|mf|bpas
1181|48332|da|brec
1184|48332|da|pass
1187|66806|da|cond
1188|66806|di|pass
1190|48353|di|cond
1191|48353|di|pass
1199|6994|mf|cond
1200|6994|di|pass
1203|66806|di|rec
1204|66806|di|pass
1210|39476|mf|rec
1211|39476|mf|pass
1217|40868|oa|lbal
1217|80226|da|fsuf
1229|12056|da|pass
1236|12450|di|rec
1237|12450|di|pass
1237|80226|di|rec
1238|80226|di|pass
1241|12450|di|bpas
1246|12450|oi|bout
1267|40868|di|pass
1269|10866|mf|rec
1270|10866|mf|pass
1273|50343|mf|rec
1274|50343|mf|pass
1280|27375|mf|rec
1281|27375|mf|pass
1281|48353|mf|cond
1282|48353|mf|pass
1283|66806|mf|cond
1284|66806|mf|pass
1286|39476|mf|rec
1287|39476|mf|pass
1289|50343|oi|lbal
1289|52068|di|brec
1290|12450|di|pass
1293|80226|di|rec
1294|80226|di|pass
1295|12056|da|gsav
1300|12056|da|pass
1303|80226|di|cond
1304|80226|di|pass
1306|28301|mf|cond
1307|28301|mf|pass
1308|14664|mf|cond
1309|14664|mf|pass
1312|28111|mf|cond
1313|28111|oi|pass
1319|48353|di|brec
1319|43274|oi|lbal
1322|81456|di|brec
1323|81456|di|bpas
1324|19523|mf|pass
1328|52068|mf|rec
1329|52068|mf|pass
1330|12303|mf|rec
1331|12303|mf|pass
1332|37352|oi|rec
1333|37352|oi|pass
1335|48353|di|lbal
1335|14664|oi|lbal
1337|66806|di|dled
1337|14664|oi|drib
1339|14664|oa|pass
1343|12303|oa|lbal
1346|12303|oa|bout
1455|101121|da|pass
1459|28301|mf|brec
1460|6994|mf|bpas
1461|28301|mf|bpas
1462|28301|mf|bout
1468|27375|mf|pass
1473|10866|mf|fsuf
1473|28301|mf|foul
1495|6994|mf|bpas
1497|28301|da|clea
1499|52068|di|clea
1502|81456|oi|brec
1502|80226|di|clea
1504|81456|oi|brec
1504|52068|di|lbal
1506|40868|mf|bpas
1506|19523|da|fsuf
1534|12056|da|pass
1536|80226|mf|cond
1537|80226|mf|pass
1540|12450|di|cond
1541|12450|di|pass
1547|19523|di|rec
1548|19523|mf|pass
1552|66806|di|lbal
1552|12303|oi|brec
1554|12303|oi|bout
1571|27375|di|pass
1574|81456|mf|bpas
1575|52068|mf|brec
