_ts|player_id|place|move
1|42173|mf|pass
6|104475|mf|foul
6|148179|mf|fsuf
48|12631|mf|pass
51|42173|oa|rec
52|42173|oa|wsho
52|34302|da|gsav
55|34302|da|gsav
60|34302|da|pass
61|50105|mf|rec
62|50105|mf|pass
64|104475|mf|bpas
66|98780|mf|pass
68|20695|mf|brec
68|50947|mf|rec
69|50947|mf|pass
72|42173|oi|bpas
73|99336|di|int
75|49195|oi|lbal
76|49195|oi|bout
80|99336|di|pass
83|55209|di|rec
84|55209|di|pass
86|119572|di|cond
87|119572|di|pass
89|59794|mf|lbal
89|12625|mf|brec
91|83409|mf|brec
92|49195|mf|rec
93|49195|mf|pass
93|12631|mf|cond
94|12631|mf|pass
97|49195|mf|bpas
98|99332|mf|brec
99|99332|mf|pass
100|99336|mf|rec
101|99336|mf|pass
105|55209|mf|rec
106|55209|mf|pass
109|119572|mf|rec
110|119572|mf|pass
111|34291|di|cond
112|34291|di|pass
114|34285|di|bpas
117|98780|mf|int
119|81918|mf|bpas
123|98780|mf|brec
124|98780|mf|pass
127|42173|mf|bpas
129|104475|mf|brec
131|81918|mf|bpas
134|58966|da|gsav
137|58966|da|pass
142|12631|mf|cond
143|12631|mf|pass
145|98783|di|cond
146|98783|di|pass
148|58966|da|cond
149|58966|da|pass
151|12625|di|rec
152|12625|di|pass
155|50947|di|bpas
158|34291|di|brec
158|148179|oi|lbal
159|34291|di|pass
161|81918|da|bpas
164|83409|mf|bpas
166|119572|di|brec
167|119572|di|pass
174|55209|mf|bpas
177|55209|oi|bout
192|12631|di|pass
194|49195|di|cond
195|49195|di|pass
196|12631|di|rec
197|12631|di|pass
199|98783|da|bpas
200|34291|mf|pass
202|50105|mf|lbal
204|50105|mf|lbal
204|12625|di|pass
204|83409|mf|lbal
207|50947|di|brec
208|50947|di|pass
209|58966|da|bpas
212|34291|mf|lbal
212|148179|mf|brec
217|42173|oi|pass
219|49195|oa|bpas
220|34285|da|clea
225|104475|di|brec
227|104475|di|pass
228|50105|mf|rec
229|50105|mf|pass
231|81918|di|rec
232|81918|di|pass
242|59794|oa|bpas
246|58966|da|clea
248|98780|da|brec
249|98780|da|pass
251|20695|di|bpas
253|34291|mf|int
255|119572|mf|bpas
257|50947|mf|int
258|50947|mf|bout
270|99336|mf|pass
271|119572|mf|bpas
272|50947|mf|int
273|50947|oi|bout
289|99336|mf|pass
292|99332|mf|bpas
297|12625|di|clea
300|50947|mf|pass
302|34291|mf|fsuf
302|148179|mf|lbal
331|34285|mf|pass
332|34291|mf|cond
333|34291|mf|pass
336|59794|oa|brec
336|12625|da|lbal
338|98783|da|clea
340|104475|oi|lbal
340|20695|di|brec
341|59794|oi|lbal
341|20695|di|pass
341|83409|di|brec
342|59794|oi|brec
