_ts|player_id|place|move
1|59794|mf|pass
3|40772|mf|brec
3|99332|mf|lbal
4|40772|mf|pass
5|52156|mf|brec
6|34296|mf|brec
6|52156|mf|bpas
6|81048|mf|lbal
10|34296|mf|pass
13|50105|mf|cond
14|50105|mf|pass
16|34285|di|rec
17|34285|di|pass
20|104475|di|cond
21|104475|di|pass
23|99336|mf|rec
24|99336|mf|pass
24|104475|mf|rec
25|104475|mf|pass
25|99336|mf|rec
26|99336|mf|pass
28|34291|di|bpas
29|81048|oi|int
30|81048|oi|bout
36|99336|di|pass
36|104475|di|cond
37|104475|di|pass
44|34285|da|rec
45|34285|di|pass
48|99334|mf|rec
49|99334|mf|pass
50|34296|mf|bpas
51|68312|mf|int
53|104475|di|pass
53|59794|mf|rec
54|59794|mf|pass
55|99336|mf|rec
56|99336|mf|pass
59|55209|mf|rec
60|55209|mf|pass
60|104475|mf|cond
61|104475|mf|pass
61|59794|mf|cond
62|59794|mf|pass
62|55209|mf|cond
63|55209|mf|pass
66|104475|mf|cond
67|104475|mf|pass
69|55209|oi|cond
70|55209|oi|pass
75|99334|oi|cond
76|99334|oi|pass
76|50105|mf|cond
77|50105|mf|pass
78|34296|mf|cond
79|34296|mf|pass
83|34285|mf|bpas
87|69305|di|pass
91|84450|mf|lbal
95|99334|mf|pass
96|34285|mf|rec
97|34285|mf|pass
100|34291|di|rec
101|34291|di|pass
103|99336|mf|cond
104|99336|mf|pass
108|55209|mf|rec
109|55209|mf|pass
110|34291|di|rec
111|34291|di|pass
114|34302|da|cond
115|34302|da|pass
118|34285|di|cond
119|34285|di|pass
122|21123|mf|brec
122|34296|mf|lbal
123|34296|mf|lbal
125|81048|oi|drib
125|34291|di|dled
126|81048|oi|brec
130|81048|oa|pass
130|68312|oa|rec
131|68312|oa|wsho
131|34302|da|gsav
133|84450|oa|wsho
133|34291|da|gsav
138|52156|oa|foul
138|34296|da|fsuf
173|34302|da|bpas
176|119471|di|brec
176|99332|oi|lbal
177|119471|di|pass
180|27335|di|clea
181|27335|mf|bout
203|99334|mf|bpas
205|40772|di|brec
206|40772|di|bpas
207|34296|oi|wsho
209|34296|oa|bout
242|11973|da|pass
246|81048|mf|brec
246|34296|mf|lbal
247|81048|mf|bpas
248|99336|di|brec
249|99336|mf|bpas
252|119471|di|bpas
254|21123|mf|lbal
254|50105|mf|brec
256|119471|di|pass
259|27335|di|cond
260|27335|di|pass
262|68312|mf|bpas
263|34291|mf|brec
265|34285|mf|rec
266|34285|mf|pass
268|99332|oi|bpas
270|19160|di|pass
272|84450|mf|rec
273|84450|mf|pass
275|21123|mf|brec
280|69305|mf|cond
281|69305|mf|pass
281|52156|mf|rec
282|52156|mf|pass
284|69305|mf|cond
285|69305|mf|pass
286|19160|di|rec
287|19160|di|pass
292|11973|da|bpas
297|84450|oi|lbal
297|99334|di|brec
299|50105|mf|pass
300|34285|di|bpas
303|27335|mf|brec
304|27335|mf|pass
306|84450|mf|bpas
308|104475|di|int
310|68312|oi|lbal
310|99334|di|brec
311|99334|di|bout
317|27335|oi|pass
318|84450|oa|rec
319|84450|oa|pass
321|27335|oa|rec
322|27335|oa|pass
325|68312|oa|cond
326|68312|oi|goal
385|59794|mf|pass
386|99332|mf|brec
390|21123|mf|foul
390|99334|mf|fsuf
402|50105|mf|pass
402|99334|mf|cond
403|99334|mf|pass
404|34285|di|cond
405|34285|di|pass
408|104475|mf|cond
409|104475|mf|pass
411|55209|oi|cond
412|55209|oi|pass
415|99336|oa|bpas
417|19160|da|clea
418|104475|oi|pass
419|34296|oi|rec
420|34296|oi|pass
424|104475|mf|rec
425|104475|mf|pass
430|52156|da|brec
430|99336|oa|lbal
431|52156|da|brec
436|52156|di|fsuf
436|99336|oi|foul
451|40772|di|pass
451|68312|mf|rec
452|68312|mf|pass
453|40772|mf|rec
454|40772|di|pass
456|19160|di|rec
457|19160|di|pass
461|11973|da|bpas
465|50105|mf|pass
466|99332|oi|rec
467|99332|oi|pass
468|34296|mf|cond
469|34296|mf|pass
472|68312|mf|foul
472|104475|mf|fsuf
480|99332|mf|pass
480|34296|mf|cond
481|34296|mf|pass
482|99334|oi|cond
483|99334|oi|pass
