_ts|player_id|place|move
0|37036|mf|pass
1|41071|mf|rec
2|41071|mf|pass
2|183059|di|rec
3|183059|di|pass
8|37197|di|bpas
11|13262|da|gsav
15|13262|da|pass
20|112991|da|rec
21|112991|di|pass
25|28495|mf|cond
26|28495|mf|pass
27|149959|mf|rec
28|149959|mf|pass
30|149879|mf|rec
31|149879|mf|pass
32|149959|mf|cond
33|149959|mf|pass
34|28495|di|cond
35|28495|di|pass
37|116120|mf|cond
38|116120|mf|pass
41|18427|mf|foul
41|49507|mf|fsuf
62|49507|mf|pass
63|28495|mf|bpas
66|37197|di|clea
67|49507|oi|bpas
69|36803|di|brec
71|36803|di|bpas
74|49529|di|lbal
74|125945|oi|brec
75|125945|oi|pass
76|36803|di|lbal
76|85388|oi|brec
77|85388|oi|pass
80|90714|oi|brec
81|90714|oi|pass
82|49507|mf|cond
83|49507|mf|pass
88|149959|mf|cond
89|149959|mf|pass
90|49507|mf|cond
91|49507|mf|pass
94|85388|oi|lbal
95|37197|di|clea
97|37197|di|pass
99|37036|di|bpas
101|116120|mf|pass
103|28495|mf|bpas
105|28495|mf|bout
116|155084|mf|pass
121|41071|oi|bpas
123|112991|da|bpas
128|183059|di|clea
129|183059|mf|bout
136|149879|mf|pass
138|149959|mf|rec
139|149959|mf|pass
141|116120|mf|rec
142|116120|mf|pass
142|125945|mf|rec
143|125945|mf|pass
143|116120|mf|cond
144|116120|mf|pass
146|49507|mf|cond
147|49507|mf|pass
148|116120|mf|cond
149|116120|mf|pass
153|112991|mf|bpas
158|155084|di|bpas
160|28495|oi|pass
162|49013|oi|cond
163|49013|oa|wsho
163|111674|da|gsav
166|111674|da|gsav
181|111674|da|bpas
183|41071|mf|lbal
183|149879|mf|brec
184|149879|mf|clea
185|155084|mf|pass
186|155084|mf|bout
186|155072|mf|brec
189|149879|mf|bpas
193|37197|di|brec
195|111674|da|bpas
198|116120|mf|pass
202|13262|da|gsav
203|13262|da|pass
205|149959|di|cond
206|149959|di|pass
208|116120|di|cond
209|116120|mf|pass
212|28495|mf|bpas
216|183059|da|clea
218|36803|da|clea
218|125945|oi|lbal
222|49529|di|lbal
223|116120|mf|bpas
224|37036|di|int
225|37036|di|lbal
225|28495|oi|lbal
226|155072|di|brec
226|36803|di|rec
227|36803|di|pass
227|37036|mf|rec
228|37036|mf|pass
229|155072|mf|rec
230|155072|mf|pass
231|41071|mf|rec
232|41071|mf|pass
236|18427|oi|cond
237|18427|oi|pass
237|49529|oa|rec
238|49529|oa|pass
243|18427|oi|lbal
243|90714|di|brec
245|36803|mf|lbal
245|90714|mf|lbal
246|156604|mf|bout
255|49507|mf|pass
256|112991|mf|rec
257|112991|mf|pass
261|28495|mf|rec
262|28495|mf|pass
263|116120|mf|rec
264|116120|mf|pass
267|28495|mf|cond
268|28495|mf|pass
270|149959|mf|rec
271|149959|mf|pass
271|149879|mf|rec
272|149879|mf|pass
275|149959|mf|rec
276|149959|mf|pass
279|28495|mf|bpas
282|155084|da|brec
282|85388|oa|lbal
283|155084|da|clea
286|37197|da|pass
287|183059|da|brec
289|183059|da|bpas
292|41071|mf|lbal
292|149959|mf|brec
294|116120|mf|pass
296|13262|da|gsav
297|13262|da|pass
302|112991|di|cond
303|112991|mf|pass
304|49507|mf|rec
305|49507|mf|pass
308|112991|mf|cond
309|112991|mf|pass
310|28495|mf|rec
311|28495|mf|pass
313|116120|mf|cond
314|116120|mf|pass
317|18427|mf|lbal
317|125945|mf|lbal
319|116120|mf|pass
324|90714|oi|bpas
325|156604|da|int
325|49507|oa|brec
328|49507|oa|bout
341|156604|da|pass
345|18427|di|bpas
347|49507|mf|brec
348|49507|mf|pass
350|149959|mf|cond
351|149959|mf|pass
352|28495|mf|rec
353|28495|mf|pass
355|149959|mf|rec
356|149959|mf|pass
358|49507|mf|rec
359|49507|mf|pass
363|28495|mf|bpas
367|183059|da|brec
370|183059|da|pass
373|37036|mf|bpas
373|149959|mf|bpas
376|149879|mf|pass
382|85388|oa|brec
384|183059|da|dled
384|85388|oa|drib
386|85388|oa|bpas
387|155084|da|clea
388|155084|da|bout
414|49013|oa|bpas
416|111674|da|fsuf
416|28495|oa|foul
457|111674|da|pass
460|18427|mf|brec
460|49507|mf|lbal
461|18427|mf|pass
463|41071|mf|lbal
463|116120|mf|brec
464|49507|di|brec
466|28495|di|cond
467|28495|di|pass
471|149879|di|cond
472|149879|mf|pass
479|85388|oa|bpas
481|156604|da|int
482|155084|da|clea
483|155084|da|lbal
484|125945|oi|pass
484|116120|oa|rec
485|116120|oa|wsho
486|116120|oa|bout
588|111674|da|bpas
592|41071|mf|lbal
592|149879|mf|brec
593|149879|mf|clea
595|37036|mf|bpas
595|125945|mf|bpas
597|37036|mf|bpas
600|37036|oa|bout
610|13262|da|pass
611|149959|di|rec
612|149959|di|pass
615|28495|di|cond
616|28495|di|pass
619|125945|mf|rec
620|125945|mf|pass
623|49507|mf|rec
624|49507|mf|pass
