_ts|player_id|place|move
1|42493|mf|pass
1|20113|mf|rec
2|20113|mf|pass
2|10625|mf|rec
3|10625|mf|pass
3|7313|mf|rec
4|7313|mf|pass
5|10625|mf|cond
6|10625|mf|pass
8|17172|di|rec
9|17172|di|pass
13|18102|di|cond
14|18102|di|pass
16|4126|da|cond
17|4126|da|pass
19|10625|di|rec
20|10625|di|pass
20|7313|mf|rec
21|7313|mf|pass
24|10625|di|rec
25|10625|mf|pass
26|11527|mf|rec
27|11527|mf|pass
29|77760|mf|fsuf
29|7313|mf|bpas
46|99128|di|pass
46|34352|mf|rec
47|34352|mf|pass
50|34355|mf|rec
51|34355|mf|pass
53|102683|mf|cond
54|102683|mf|pass
56|34355|mf|rec
57|34355|mf|pass
58|105021|di|rec
59|105021|di|pass
63|99128|di|rec
64|99128|mf|pass
67|99127|mf|bpas
69|20113|mf|int
74|37084|mf|pass
76|102683|mf|cond
77|102683|mf|pass
80|34355|mf|rec
81|34355|mf|pass
83|28392|mf|cond
84|28392|mf|pass
84|102683|mf|rec
85|102683|mf|pass
87|28392|mf|cond
88|28392|mf|pass
88|102683|mf|rec
89|102683|mf|pass
89|37084|mf|rec
90|37084|mf|pass
92|28392|mf|cond
93|28392|oi|wsho
93|4126|da|gsav
98|4126|da|gsav
100|4126|da|pass
101|10625|di|rec
102|10625|di|pass
102|7313|mf|cond
103|7313|mf|pass
104|11527|mf|rec
105|11527|mf|pass
107|18102|di|rec
108|18102|di|pass
108|40002|mf|rec
109|40002|mf|pass
111|18102|di|rec
112|18102|di|pass
118|4126|da|cond
119|4126|da|pass
120|17172|da|rec
121|17172|da|pass
128|4126|di|bpas
132|105021|di|pass
133|34352|di|clea
136|11527|mf|int
137|61960|mf|pass
139|34355|mf|brec
141|34355|mf|bpas
142|45156|mf|int
143|45156|mf|bout
152|34355|mf|pass
154|34352|di|cond
155|34352|di|pass
166|99128|da|cond
167|99128|mf|pass
168|77760|mf|cond
169|77760|mf|pass
169|37084|mf|rec
170|37084|mf|pass
171|99128|di|bpas
173|7313|mf|int
175|61960|di|pass
175|102683|di|cond
176|102683|mf|pass
177|34352|di|bpas
181|18102|mf|clea
183|18102|mf|bout
197|77760|mf|pass
199|99128|mf|rec
200|99128|mf|pass
203|34355|mf|lbal
204|45156|mf|brec
205|45156|mf|drib
205|34355|mf|dled
208|45156|oi|bpas
210|105021|di|brec
210|42493|oi|lbal
211|102683|di|brec
212|102683|di|pass
215|34355|di|cond
216|34355|mf|pass
216|28392|mf|cond
217|28392|mf|pass
222|77760|mf|bpas
225|11527|mf|int
231|37084|mf|pass
232|28392|mf|cond
233|28392|mf|pass
235|37084|mf|cond
236|37084|mf|pass
238|61960|mf|cond
239|61960|mf|pass
239|77760|mf|rec
240|77760|mf|pass
241|61960|mf|cond
242|61960|mf|pass
244|37084|mf|cond
245|37084|mf|pass
248|61960|mf|pass
249|99128|di|rec
250|99128|di|pass
251|34352|di|rec
