_ts|player_id|place|move
1|42493|mf|pass
1|59046|mf|cond
2|59046|mf|pass
3|7313|mf|cond
4|7313|mf|pass
5|18102|di|cond
6|18102|di|pass
7|28277|di|rec
8|28277|di|pass
9|18102|di|rec
10|18102|mf|pass
14|20113|mf|bpas
15|151883|di|clea
17|59351|di|bout
24|42493|oi|bpas
25|107013|oi|pass
26|48863|di|bpas
27|18102|mf|bpas
32|59351|di|fsuf
32|42493|oi|foul
46|151883|di|pass
50|55407|di|cond
51|55407|mf|pass
52|33668|oi|bpas
54|28277|di|brec
54|61170|mf|rec
55|61170|mf|pass
58|55407|mf|lbal
58|59046|mf|lbal
59|59046|mf|brec
60|40002|mf|bout
66|55407|mf|pass
71|48863|di|cond
72|48863|di|pass
73|151883|mf|cond
74|151883|mf|pass
79|77992|oi|lbal
79|18102|di|lbal
82|40720|oi|pass
83|33668|oi|rec
84|33668|oi|pass
88|55407|oi|lbal
88|40002|di|lbal
89|55407|oi|brec
90|55407|oi|bout
102|40002|di|pass
105|28277|di|cond
106|28277|di|pass
107|20113|mf|cond
108|20113|mf|pass
113|59351|di|brec
113|42493|oi|lbal
116|43693|di|brec
117|43693|mf|wsho
117|4126|da|gsav
118|4126|da|gsav
133|4126|da|pass
135|28277|di|brec
137|28277|di|bout
172|55407|oi|bpas
174|17172|di|brec
176|17172|mf|pass
179|59046|oi|bpas
182|33668|mf|brec
182|61170|mf|lbal
185|40720|mf|brec
186|40720|mf|fsuf
186|40002|mf|foul
197|43693|mf|pass
198|32281|di|cond
199|32281|di|pass
201|7313|mf|int
202|43693|mf|bpas
202|7313|mf|brec
207|33668|mf|foul
207|7313|mf|fsuf
223|7313|mf|pass
230|61170|mf|cond
231|61170|mf|pass
234|17172|mf|rec
235|17172|mf|pass
238|61170|mf|rec
239|61170|mf|pass
240|17172|mf|cond
241|17172|mf|pass
244|43693|mf|lbal
244|59046|oi|lbal
245|59046|mf|pass
246|17172|mf|bpas
250|151883|di|brec
251|48863|di|rec
252|48863|di|pass
254|151883|di|bpas
258|18102|mf|brec
262|18102|di|pass
262|107013|mf|rec
263|107013|mf|pass
264|20113|mf|rec
265|20113|mf|pass
266|107013|mf|bpas
268|77992|mf|int
272|39336|mf|foul
272|18102|mf|fsuf
291|18102|mf|pass
292|17172|mf|rec
293|17172|mf|pass
295|28277|mf|cond
296|28277|mf|pass
298|17172|mf|cond
299|17172|mf|pass
303|18102|mf|rec
304|18102|mf|pass
307|107013|oi|cond
308|107013|oi|pass
310|18102|mf|rec
311|18102|mf|pass
313|17172|mf|rec
314|17172|mf|pass
316|40002|mf|rec
317|40002|mf|pass
322|17172|mf|lbal
323|39336|mf|fsuf
323|17172|mf|foul
366|43693|mf|pass
368|33668|oa|cond
368|40720|oi|rec
369|33668|oi|pass
369|40720|oi|pass
372|55407|oi|cond
373|55407|oi|pass
376|33668|oi|cond
377|33668|oi|pass
381|55407|oi|fsuf
381|61170|di|foul
412|39336|oi|bpas
415|4126|da|gsav
418|48863|oa|wsho
418|107013|da|gsav
422|48863|oa|brec
422|18102|da|lbal
423|48863|oa|wsho
423|4126|da|gsav
425|4126|da|gsav
480|4126|da|pass
480|18102|di|rec
481|18102|di|pass
483|39336|oi|foul
483|7313|di|fsuf
489|7313|di|pass
490|18102|mf|rec
491|18102|mf|pass
491|7313|di|rec
492|7313|di|pass
495|18102|mf|bpas
498|32281|di|clea
501|59046|oi|bpas
502|77992|di|int
503|20113|oi|pass
504|107013|oi|bpas
505|77992|di|int
506|107013|oi|brec
507|59351|di|bpas
510|18102|oi|pass
511|7313|mf|rec
512|7313|mf|pass
514|28277|mf|rec
515|28277|mf|pass
516|18102|mf|cond
517|18102|mf|pass
517|20113|mf|rec
518|20113|mf|pass
521|7313|mf|cond
522|7313|mf|pass
524|18102|mf|cond
525|18102|mf|pass
526|42493|oi|rec
527|42493|oi|pass
529|107013|oa|bpas
533|55407|da|clea
536|55407|da|clea
539|55407|di|bout
549|40002|oa|pass
551|59046|oa|bpas
553|55407|da|clea
555|55407|di|bout
561|40002|oi|pass
565|42493|oa|bpas
569|151883|da|clea
573|33668|di|bpas
579|4126|di|brec
580|4126|di|pass
580|28277|di|rec
581|28277|di|pass
582|18102|mf|cond
583|18102|mf|pass
584|107013|mf|rec
585|107013|mf|pass
587|18102|mf|cond
588|18102|mf|pass
591|17172|mf|rec
592|17172|mf|pass
596|43693|di|foul
596|61170|oi|fsuf
628|7313|oi|bpas
630|33668|da|clea
634|39336|di|brec
638|39336|mf|bpas
640|61170|di|pass
