_ts|player_id|place|move
1|37352|mf|pass
1|14664|mf|rec
2|14664|mf|pass
2|28301|mf|rec
3|28301|mf|pass
8|57001|oi|foul
13|119504|di|pass
14|78412|mf|rec
15|78412|mf|pass
15|78409|di|rec
16|78409|di|pass
19|119504|mf|rec
20|119504|mf|pass
24|157996|di|rec
25|157996|di|pass
26|80447|di|rec
27|80447|di|pass
28|157996|di|cond
29|157996|mf|pass
30|78409|mf|rec
31|78409|mf|pass
35|157996|mf|bpas
38|80226|di|bpas
41|80226|da|bout
45|83090|oa|pass
46|49657|oa|cond
47|49657|oa|pass
52|52068|da|lbal
52|83090|oa|lbal
53|83090|oa|brec
54|49657|oa|bout
60|80226|di|pass
64|37352|di|lbal
65|37352|mf|bout
69|78407|mf|pass
71|80447|di|rec
72|80447|di|pass
74|37121|mf|cond
75|37121|mf|pass
82|157996|mf|rec
83|157996|mf|pass
86|83090|oi|bpas
88|12056|da|gsav
89|12056|da|pass
93|80226|di|rec
94|80226|di|pass
97|37352|mf|lbal
97|78407|mf|brec
98|78407|mf|brec
99|80226|di|brec
99|78407|oi|lbal
101|80226|di|bout
109|78407|mf|pass
109|49657|mf|rec
110|49657|mf|pass
110|78407|mf|rec
111|78407|mf|pass
111|158206|oi|cond
112|158206|oi|pass
113|83090|oi|bpas
114|80226|di|int
115|80226|di|brec
116|80226|di|pass
118|14664|di|bpas
120|80447|mf|int
121|80447|mf|bout
128|80226|oi|pass
131|28301|mf|rec
132|28301|mf|pass
134|14516|mf|cond
135|14516|mf|pass
136|52068|mf|cond
137|52068|mf|pass
139|19523|mf|cond
140|19523|mf|pass
142|52068|di|rec
143|52068|di|pass
144|14516|di|rec
145|14516|di|pass
147|19523|mf|cond
148|19523|mf|pass
150|28111|mf|rec
151|28111|mf|pass
153|19523|mf|rec
154|19523|mf|pass
157|28301|mf|rec
158|28301|mf|pass
159|14664|mf|rec
160|14664|oi|pass
164|37352|oa|bpas
165|78412|da|clea
166|78412|da|bout
192|37352|oa|bpas
194|49657|da|clea
198|52068|oi|pass
200|28111|mf|cond
201|28111|mf|pass
203|52068|mf|cond
204|52068|mf|pass
206|28301|mf|cond
207|28301|mf|pass
210|14516|mf|cond
211|14516|mf|pass
214|52068|mf|cond
215|52068|mf|pass
216|19523|mf|rec
217|19523|mf|pass
223|14516|mf|cond
224|14516|di|pass
224|19523|mf|rec
225|19523|mf|pass
228|28301|mf|cond
229|28301|mf|pass
236|80226|oa|bpas
237|83090|da|clea
238|83090|da|bout
243|80226|oa|pass
247|28301|oi|rec
248|28301|oi|pass
250|158206|di|dled
250|52068|oi|drib
253|52068|mf|pass
256|43274|oa|rec
257|43274|oa|pass
258|14664|oi|rec
259|14664|oi|pass
260|80226|oa|bpas
266|80226|oa|bout
281|78409|da|bpas
283|78412|di|lbal
283|28111|oi|brec
284|28111|oi|bpas
285|119504|di|pass
286|78409|da|bpas
287|37352|oi|int
289|37352|oi|bout
292|78409|di|pass
296|49657|di|lbal
296|52068|oi|brec
297|37352|oi|bout
309|78409|di|pass
309|157996|da|rec
310|157996|da|pass
311|80447|da|cond
312|80447|da|pass
316|37121|di|cond
317|37121|mf|pass
322|83090|oi|bpas
323|37352|mf|brec
325|37352|mf|pass
330|43274|oi|cond
331|43274|oi|pass
332|57001|oa|rec
333|57001|oa|wsho
333|157996|da|gsav
335|157996|da|bout
381|37352|oa|bpas
383|78407|da|clea
384|28301|oi|pass
391|37352|oa|rec
392|37352|oa|pass
393|43274|oa|cond
394|43274|oa|wsho
394|37121|da|gsav
398|83090|da|brec
398|37352|oa|lbal
400|83090|da|bout
415|80226|oa|bpas
417|37121|da|int
418|83090|da|brec
419|83090|di|lbal
419|14664|oi|brec
421|14664|oa|bout
438|78407|da|pass
439|49657|di|bpas
440|83090|di|lbal
440|37352|oi|brec
441|37352|oi|bpas
444|49657|di|bpas
446|19523|mf|clea
447|158206|mf|brec
449|14516|di|brec
455|12056|da|bpas
457|83090|mf|int
458|83090|mf|bpas
459|28301|di|pass
459|14516|di|rec
460|14516|di|pass
461|19523|di|rec
462|19523|di|pass
464|52068|di|rec
465|52068|di|pass
465|28111|mf|rec
466|28111|mf|pass
469|52068|di|rec
470|52068|mf|pass
472|19523|di|rec
473|19523|di|pass
474|14516|di|rec
