_ts|player_id|place|move
0|19705|mf|pass
1|49657|mf|cond
2|49657|mf|pass
5|78409|mf|rec
6|78409|mf|pass
8|80447|di|rec
9|80447|di|pass
12|35903|mf|bpas
13|66733|mf|int
14|66733|mf|brec
16|66733|mf|lbal
16|35903|mf|brec
20|35903|mf|pass
21|102383|di|brec
21|19705|oi|lbal
27|78407|oi|pass
29|37121|mf|bpas
30|66733|di|int
31|66733|di|bpas
32|37121|mf|int
34|37121|mf|foul
54|83675|mf|pass
57|57254|oi|lbal
57|80447|di|brec
63|57254|oi|foul
63|80447|di|fsuf
83|35903|di|pass
86|37121|mf|bpas
92|83675|da|brec
93|83675|da|bpas
97|80447|mf|int
99|77064|di|pass
101|149491|mf|rec
102|149491|mf|pass
102|50369|mf|rec
103|50369|mf|pass
104|126437|mf|cond
105|126437|mf|pass
106|77064|mf|cond
107|77064|mf|pass
108|50369|oi|rec
109|50369|oi|pass
112|66733|oi|cond
113|66733|oa|pass
114|77064|oi|rec
115|77064|oi|pass
117|78412|di|dled
117|126437|oi|drib
119|154983|da|int
119|126437|oa|bpas
121|154983|da|brec
127|48844|da|brec
131|83675|di|cond
132|83675|di|pass
143|48844|da|bpas
148|80447|mf|brec
148|77064|mf|lbal
154|37399|mf|pass
159|35903|di|brec
160|35903|di|bpas
164|50369|mf|brec
165|50369|mf|pass
166|126437|oi|cond
167|126437|oi|pass
170|57254|oa|bpas
171|154983|da|int
171|57254|oa|pass
176|66733|oa|rec
177|66733|oa|pass
178|102383|oi|rec
179|102383|oi|pass
180|66733|oi|rec
181|66733|oi|pass
185|102383|oa|bpas
187|35903|da|clea
189|80447|di|bout
201|102383|oi|pass
204|77064|oa|rec
205|77064|oa|pass
206|102383|oi|rec
207|102383|oi|pass
210|126437|oi|rec
211|126437|oi|pass
212|77064|oi|rec
213|77064|oi|pass
216|66733|oi|rec
217|66733|oi|pass
218|126437|oi|rec
219|126437|oi|pass
222|66733|oi|bpas
225|66733|oa|bout
251|19739|da|bpas
256|50369|mf|bpas
258|80447|mf|brec
258|77064|mf|lbal
259|80447|mf|bout
277|50369|mf|pass
