_ts|player_id|place|move
1|158206|mf|pass
1|49657|mf|rec
2|49657|mf|pass
3|37121|mf|rec
4|37121|mf|pass
5|78409|di|rec
6|78409|di|pass
9|80447|di|cond
10|80447|di|pass
12|35903|di|cond
13|35903|di|pass
17|80447|di|cond
18|80447|di|pass
21|35903|di|rec
22|35903|mf|pass
24|78407|oi|rec
25|78407|oi|pass
27|78412|oi|rec
28|78412|oi|pass
29|78407|oi|rec
30|78407|oi|pass
30|78412|oi|rec
31|78412|oi|pass
33|119504|mf|rec
34|119504|mf|pass
38|35903|mf|cond
39|35903|mf|pass
43|119504|mf|cond
44|119504|mf|pass
44|37121|mf|rec
45|37121|mf|pass
47|80447|mf|bpas
51|48332|da|brec
56|48332|da|pass
63|39476|di|bpas
65|47434|oi|lbal
65|80447|di|brec
65|119504|mf|rec
66|119504|mf|pass
69|78407|di|bpas
71|27375|mf|pass
73|40868|mf|bpas
74|119504|mf|bpas
76|14503|mf|bpas
81|119504|mf|pass
87|40868|da|dled
87|19705|oa|drib
88|19705|oa|pass
89|119504|oi|cond
90|119504|oi|wsho
90|66806|da|gsav
91|119504|oa|lbal
92|78937|di|pass
93|48353|di|brec
95|39471|di|drib
95|37121|oi|dled
99|39471|mf|fsuf
99|78412|mf|foul
131|14503|mf|pass
133|39476|mf|rec
134|39476|mf|pass
134|40868|mf|rec
135|40868|mf|pass
140|39471|oa|lbal
141|39471|oa|bout
159|19739|da|pass
161|35903|da|cond
162|35903|da|pass
164|119504|di|cond
165|119504|di|pass
166|35903|di|cond
167|35903|di|pass
169|80447|di|cond
170|80447|di|pass
172|78409|di|cond
173|78409|di|pass
174|158206|mf|cond
175|158206|mf|pass
178|14503|mf|foul
178|49657|mf|fsuf
192|37121|mf|pass
192|78409|mf|rec
193|78409|mf|pass
194|19705|oi|lbal
194|40868|di|brec
195|40868|di|brec
196|40868|di|pass
202|39471|di|fsuf
202|37121|oi|foul
224|48332|di|pass
228|10866|oi|brec
228|78409|di|lbal
229|10866|oi|pass
230|39471|oi|rec
231|39471|oi|pass
233|47434|oa|rec
234|47434|oa|wsho
234|35903|da|gsav
241|19739|da|gsav
242|19739|da|pass
247|37121|di|rec
248|37121|mf|pass
254|35903|mf|bpas
256|27375|di|brec
260|27375|di|bpas
262|35903|mf|bpas
263|14503|mf|pass
267|39471|mf|lbal
268|78409|di|int
269|14503|mf|pass
273|40868|oi|drib
273|37121|di|dled
275|40868|oa|bpas
276|78409|da|clea
277|78409|da|bout
303|40868|oa|bpas
306|37121|da|clea
308|10866|oa|lbal
310|119504|da|bpas
314|48353|mf|brec
314|158206|mf|lbal
317|78412|mf|bpas
320|158206|mf|bout
323|48353|mf|pass
328|27375|oa|lbal
329|27375|oa|bout
339|19739|da|pass
341|80447|da|cond
342|80447|da|pass
344|35903|da|rec
345|35903|da|pass
350|37121|di|rec
351|37121|mf|pass
354|80447|mf|rec
355|80447|mf|pass
357|35903|di|rec
358|35903|di|pass
359|119504|mf|rec
360|119504|mf|pass
362|80447|mf|bpas
364|66806|mf|int
365|119504|mf|pass
365|37121|mf|rec
366|37121|mf|pass
368|35903|mf|cond
369|35903|mf|pass
369|78412|oi|rec
370|78412|oi|pass
371|119504|mf|rec
372|119504|mf|pass
374|49657|oi|bpas
376|66806|da|int
377|66806|da|bpas
381|78409|mf|brec
383|78409|mf|pass
385|19739|da|cond
386|19739|da|pass
388|80447|di|rec
389|80447|di|pass
393|37121|di|rec
394|37121|mf|pass
398|78412|oa|lbal
400|66806|da|brec
401|78412|oa|bout
432|48332|da|bpas
437|10866|mf|foul
437|78409|mf|fsuf
446|37121|mf|pass
450|80447|di|cond
451|80447|di|pass
453|37121|mf|rec
454|37121|mf|pass
456|80447|mf|rec
457|80447|mf|pass
459|35903|mf|cond
460|35903|mf|pass
462|158206|oi|cond
463|158206|oi|pass
464|35903|mf|rec
465|35903|mf|pass
466|49657|mf|cond
467|49657|mf|pass
467|119504|mf|rec
468|119504|mf|pass
470|35903|mf|cond
471|35903|mf|pass
472|78407|oi|lbal
477|27375|da|pass
478|78937|di|brec
479|78937|di|pass
480|14503|di|bpas
482|119504|mf|pass
482|35903|mf|rec
483|35903|mf|pass
483|119504|mf|cond
484|119504|mf|pass
486|37121|mf|cond
487|37121|mf|pass
487|49657|oi|cond
488|49657|oi|pass
489|119504|mf|rec
490|119504|mf|pass
490|37121|mf|rec
491|37121|mf|pass
494|19705|oi|cond
495|19705|oi|pass
495|119504|mf|rec
496|119504|mf|pass
497|78409|mf|rec
498|78409|mf|pass
500|80447|mf|rec
501|80447|mf|pass
503|49657|mf|cond
504|49657|mf|pass
506|19705|oi|cond
507|19705|oi|pass
509|158206|oi|bpas
510|14503|mf|brec
512|14503|mf|pass
515|10866|mf|lbal
515|78409|mf|brec
519|78409|mf|brec
522|10866|mf|brec
522|78409|mf|lbal
523|39471|mf|brec
527|39471|mf|pass
532|78937|mf|cond
533|78937|oi|pass
536|27375|mf|cond
537|27375|mf|pass
540|48353|mf|bpas
550|19739|da|brec
551|19739|da|pass
555|80447|da|cond
556|80447|da|pass
557|37121|di|cond
558|37121|di|pass
561|119504|di|cond
562|119504|mf|pass
563|35903|mf|rec
564|35903|mf|pass
564|78412|mf|rec
565|78412|mf|pass
566|35903|mf|cond
567|35903|mf|pass
567|78407|mf|rec
568|78407|mf|pass
570|35903|mf|rec
571|35903|mf|pass
571|119504|mf|cond
572|119504|mf|pass
577|80447|di|rec
578|80447|di|pass
583|35903|di|rec
584|35903|mf|pass
584|78412|oi|rec
585|78412|oi|pass
587|119504|mf|rec
588|119504|mf|pass
591|35903|mf|bpas
592|27375|da|clea
594|78937|di|brec
595|78937|di|pass
595|48353|di|rec
596|48353|di|pass
596|78937|di|rec
597|78937|di|pass
602|39471|mf|cond
603|39471|oi|wsho
603|19739|da|gsav
609|19739|da|gsav
623|19739|da|pass
624|37121|mf|rec
625|37121|mf|pass
625|78409|mf|rec
626|78409|mf|pass
626|37121|mf|rec
627|37121|mf|pass
629|80447|di|cond
630|80447|di|pass
634|37121|mf|bpas
636|40868|di|pass
639|10866|di|fsuf
639|19705|oi|foul
662|39476|di|pass
666|10866|oi|brec
666|78409|di|lbal
668|80447|di|brec
669|80447|di|bpas
673|27375|mf|brec
674|27375|mf|pass
675|39476|di|rec
676|39476|di|pass
683|48332|da|bpas
690|78407|di|brec
693|78407|di|pass
695|35903|di|cond
696|35903|di|pass
698|48353|oi|brec
698|37121|di|lbal
701|48353|oi|fsuf
701|37121|di|foul
761|40868|oi|bpas
765|39476|oa|foul
765|158206|da|fsuf
791|19739|da|pass
792|37121|mf|rec
793|37121|mf|pass
793|35903|di|rec
794|35903|di|pass
795|80447|di|cond
796|80447|di|pass
801|78409|mf|rec
802|78409|mf|pass
806|35903|mf|rec
807|35903|mf|pass
807|78412|oi|rec
808|78412|oi|pass
811|78407|oa|bpas
812|27375|da|clea
815|27375|da|bout
818|78407|oa|pass
820|78412|oa|bpas
821|78937|da|int
822|48353|da|brec
824|48353|di|pass
826|14503|di|cond
827|14503|di|pass
830|40868|di|rec
831|40868|di|pass
833|39471|mf|cond
834|39471|mf|pass
835|40868|di|rec
836|40868|mf|pass
836|14503|mf|rec
837|14503|mf|pass
841|39476|di|bpas
845|78412|mf|int
847|78412|mf|brec
848|78412|mf|pass
852|48353|di|lbal
852|49657|oi|lbal
856|119504|mf|pass
857|37121|mf|cond
858|37121|oi|pass
861|78407|oi|rec
862|78407|oi|pass
863|35903|mf|rec
864|35903|mf|pass
867|80447|mf|cond
868|80447|mf|pass
872|35903|mf|cond
873|35903|mf|pass
878|37121|mf|pass
879|78937|di|int
879|78407|oi|bpas
884|14503|mf|foul
884|19705|mf|fsuf
894|119504|mf|pass
895|37121|oi|rec
896|37121|oi|pass
896|119504|mf|rec
897|119504|mf|pass
898|49657|oi|cond
899|49657|oi|pass
899|78409|mf|rec
900|78409|mf|pass
902|119504|mf|cond
903|119504|mf|pass
906|19705|oi|cond
907|19705|oi|wsho
907|14503|di|gsav
909|80447|mf|pass
910|35903|mf|rec
911|35903|mf|pass
912|37121|mf|cond
913|37121|mf|pass
915|35903|mf|cond
916|35903|mf|pass
919|80447|mf|rec
920|80447|mf|pass
922|119504|mf|rec
923|119504|mf|pass
923|37121|mf|rec
924|37121|mf|pass
924|119504|mf|cond
925|119504|mf|pass
927|35903|mf|rec
928|35903|mf|pass
930|78412|oi|cond
931|78412|oi|pass
932|35903|mf|rec
933|35903|mf|pass
934|49657|oi|rec
935|49657|oi|pass
937|35903|mf|bpas
938|27375|di|pass
945|47434|oi|lbal
945|35903|di|lbal
946|47434|oi|brec
947|47434|oa|pass
949|10866|oa|lbal
950|119504|da|brec
951|119504|da|pass
954|37121|di|rec
955|37121|di|pass
956|78409|da|rec
957|78409|da|pass
958|49657|di|rec
959|49657|di|pass
965|78407|mf|cond
966|78407|oa|pass
967|78412|oa|lbal
968|14503|da|clea
972|80447|mf|pass
976|19739|da|rec
977|19739|da|pass
980|35903|di|cond
981|35903|di|pass
983|119504|mf|cond
984|119504|mf|pass
985|37121|mf|cond
986|37121|mf|pass
989|49657|mf|cond
990|49657|mf|pass
990|119504|mf|rec
991|119504|mf|pass
993|49657|mf|cond
994|49657|mf|pass
995|78407|oi|rec
996|78407|oi|pass
997|78412|oa|cond
998|78412|oa|pass
1000|40868|da|fsuf
1000|49657|oi|bpas
1040|48332|da|pass
1043|40868|oi|bpas
1047|40868|oa|bout
1056|78409|di|bpas
1059|40868|mf|brec
1061|40868|mf|pass
1063|14503|mf|bpas
1067|40868|mf|foul
1067|49657|mf|fsuf
1086|37121|mf|pass
1089|35903|mf|rec
1090|35903|mf|pass
1093|80447|mf|cond
