_ts|player_id|place|move
1|40275|mf|pass
1|53515|mf|rec
2|53515|mf|pass
3|43106|mf|rec
4|43106|mf|pass
5|119772|di|rec
6|119772|mf|pass
8|49656|mf|rec
9|49656|mf|pass
18|33360|mf|bpas
22|40560|di|clea
27|27671|di|brec
27|21091|di|rec
28|21091|di|pass
31|56069|mf|cond
32|56069|mf|pass
34|28146|di|bpas
36|6685|mf|int
37|6685|mf|bout
47|28146|mf|pass
50|40560|di|rec
51|40560|di|pass
53|10995|da|cond
54|10995|da|pass
58|40560|di|rec
59|40560|di|pass
63|28146|di|bpas
65|42564|mf|lbal
65|43106|mf|brec
66|43106|di|pass
70|56069|mf|foul
70|119772|mf|fsuf
82|33360|mf|pass
82|119772|mf|rec
83|119772|mf|pass
85|49656|mf|rec
86|49656|mf|pass
87|73698|mf|cond
88|73698|mf|pass
89|49656|mf|rec
90|49656|mf|pass
92|119772|mf|rec
93|119772|mf|pass
93|33360|mf|cond
94|33360|mf|pass
97|119772|mf|rec
98|119772|mf|pass
100|102578|mf|rec
101|102578|mf|pass
103|33360|mf|rec
104|33360|mf|pass
104|43106|oi|cond
105|43106|oi|pass
106|102578|mf|bpas
107|28146|da|brec
110|28146|da|bpas
113|33360|mf|bpas
115|27671|mf|brec
116|27671|di|pass
118|21091|di|cond
119|21091|di|pass
121|42564|mf|lbal
121|33360|mf|brec
122|33360|mf|bout
133|28146|mf|bpas
137|33360|mf|bpas
138|27671|mf|pass
141|184719|mf|bpas
145|73698|di|brec
146|73698|di|pass
149|49656|di|cond
150|49656|mf|pass
151|119772|mf|rec
152|119772|mf|pass
156|49656|mf|rec
157|49656|mf|pass
160|73698|oa|cond
161|73698|oa|pass
167|102578|oi|rec
168|102578|oi|pass
171|43106|oa|cond
172|43106|oi|pass
173|102578|oi|cond
174|102578|oi|pass
175|43106|oa|bpas
179|43106|oa|bout
205|10995|da|bpas
212|33360|mf|bpas
215|40560|da|pass
218|10995|da|bpas
219|10995|da|bout
235|43106|oa|bpas
237|43106|oa|bout
260|10995|da|pass
266|56069|mf|bpas
267|6685|di|brec
268|6685|di|pass
271|53515|oi|rec
272|53515|oi|pass
275|119772|oi|cond
276|119772|oi|pass
278|102578|oi|cond
279|102578|oi|pass
281|43106|mf|cond
282|43106|mf|pass
286|49656|mf|rec
287|49656|mf|pass
288|37064|oi|rec
289|37064|oi|pass
292|49656|mf|rec
293|49656|mf|pass
294|33360|mf|rec
295|33360|mf|pass
299|73678|da|lbal
