_ts|player_id|place|move
0|40232|mf|pass
0|19054|mf|rec
1|19054|mf|pass
1|32644|mf|rec
2|32644|mf|pass
4|58893|di|rec
5|58893|di|pass
6|32644|di|cond
7|32644|di|pass
11|15312|di|cond
12|15312|mf|pass
13|55661|mf|rec
14|55661|mf|pass
16|20658|mf|bpas
20|72162|da|pass
27|72162|da|pass
30|85352|da|rec
31|85352|di|pass
34|78140|da|rec
35|78140|da|pass
40|15076|di|rec
41|15076|mf|pass
42|58877|mf|cond
43|58877|mf|pass
44|15403|mf|rec
45|15403|mf|pass
45|58877|mf|rec
46|58877|mf|pass
49|85352|mf|cond
50|85352|di|pass
51|15076|mf|rec
52|15076|mf|pass
54|21095|di|cond
55|21095|di|pass
57|4719|mf|rec
58|4719|mf|pass
59|78140|mf|cond
60|78140|mf|pass
63|21095|di|rec
64|21095|di|pass
67|85352|mf|rec
68|85352|mf|pass
72|4719|oi|bpas
74|15312|di|pass
74|32644|di|rec
75|32644|di|pass
76|28525|di|brec
77|58893|di|rec
78|58893|di|pass
83|45154|mf|lbal
83|78140|mf|brec
85|41733|mf|brec
87|41733|mf|pass
88|15403|mf|rec
89|15403|mf|pass
90|78140|mf|rec
91|78140|mf|pass
93|4719|mf|bpas
95|58893|di|brec
98|58893|di|pass
100|40232|mf|rec
101|40232|mf|pass
106|55661|mf|cond
107|55661|mf|pass
108|20658|mf|rec
109|20658|mf|pass
110|39462|mf|rec
111|39462|mf|pass
116|15312|mf|cond
117|15312|mf|pass
121|28525|mf|rec
122|28525|mf|pass
123|32644|di|cond
124|32644|di|pass
130|55661|oi|drib
130|58877|di|dled
131|55661|oi|bpas
132|78140|di|int
133|15076|di|pass
134|58877|di|brec
135|58877|di|pass
138|15403|mf|cond
139|15403|mf|pass
142|4719|mf|cond
143|4719|oi|pass
145|8533|mf|rec
146|8533|oi|pass
148|41733|oi|rec
149|41733|oi|pass
151|4719|oa|bpas
153|4719|oa|bout
165|42899|da|pass
165|28525|da|rec
166|28525|da|pass
167|32644|di|cond
168|32644|di|pass
170|15312|di|rec
171|15312|di|pass
173|20658|mf|cond
174|20658|mf|pass
178|15312|mf|cond
179|15312|mf|pass
182|28525|di|cond
183|28525|di|pass
185|32644|di|cond
186|32644|di|pass
188|20658|mf|cond
189|20658|mf|pass
194|40232|mf|cond
195|40232|mf|pass
205|15312|di|rec
206|15312|mf|pass
208|58893|mf|cond
209|58893|mf|pass
211|28525|mf|rec
212|28525|di|pass
213|32644|mf|cond
214|32644|mf|pass
218|55661|mf|cond
219|55661|mf|pass
219|20658|mf|rec
220|20658|mf|pass
220|32644|mf|rec
221|32644|mf|pass
225|55661|mf|rec
226|55661|mf|pass
228|20658|mf|rec
229|20658|mf|pass
235|15312|di|rec
236|15312|mf|pass
239|39462|mf|cond
240|39462|mf|pass
242|28525|di|rec
243|28525|di|pass
246|20658|mf|cond
247|20658|mf|pass
252|40232|oi|cond
253|40232|oi|pass
254|55661|oi|rec
255|55661|oi|pass
258|40232|oi|rec
259|40232|oi|pass
261|85352|di|brec
261|55661|oi|lbal
263|21095|da|brec
264|21095|da|bpas
265|15312|mf|brec
266|15312|mf|pass
266|32644|mf|rec
267|32644|mf|pass
272|15312|mf|rec
273|15312|di|pass
276|58877|mf|fsuf
276|42899|da|bpas
291|15076|mf|rec
292|58877|mf|pass
292|15076|mf|pass
293|78140|mf|cond
294|78140|mf|pass
296|41733|mf|cond
297|41733|mf|pass
297|15076|mf|rec
298|15076|mf|pass
298|21095|mf|rec
299|21095|mf|pass
301|85352|mf|rec
302|85352|mf|pass
305|15403|oi|bpas
306|20658|di|int
310|8533|oa|bpas
311|20658|da|clea
312|55661|da|brec
316|39462|da|bpas
317|58877|oi|int
318|58877|oa|bout
335|20658|di|pass
336|39462|di|rec
337|39462|di|pass
338|20658|di|bpas
343|78140|di|brec
344|78140|di|pass
344|85352|mf|rec
345|85352|mf|pass
349|78140|di|cond
350|78140|di|pass
355|4719|mf|bpas
355|28525|di|fsuf
363|28525|da|pass
366|58893|di|cond
367|58893|di|pass
367|45154|di|rec
368|45154|di|pass
369|58893|di|bpas
370|4719|oi|int
370|58893|di|pass
374|4719|oi|brec
374|45154|di|lbal
375|4719|mf|brec
377|78140|mf|cond
378|78140|mf|pass
378|21095|di|rec
379|21095|di|pass
386|85352|mf|cond
387|85352|mf|pass
388|21095|di|cond
389|21095|di|pass
392|78140|mf|cond
393|78140|mf|pass
397|12297|oa|lbal
397|28525|di|brec
398|32644|di|pass
400|58893|di|bpas
401|78140|mf|pass
402|15076|mf|rec
403|15076|mf|pass
407|4719|oi|cond
408|4719|oi|pass
409|41733|oi|cond
410|41733|oi|pass
412|15403|mf|cond
413|15403|mf|pass
414|58877|oi|rec
415|58877|oi|pass
417|15403|mf|rec
418|15403|mf|pass
421|15076|mf|rec
422|15076|mf|pass
424|78140|mf|cond
425|78140|mf|pass
426|21095|mf|rec
427|21095|mf|pass
431|85352|mf|rec
432|85352|mf|pass
433|12297|oi|rec
434|12297|oi|pass
434|58877|oi|rec
435|58877|oi|pass
436|15403|mf|rec
437|15403|mf|pass
439|4719|oi|rec
440|4719|oi|pass
443|78140|mf|rec
444|78140|mf|pass
444|21095|mf|rec
445|21095|mf|pass
446|15076|mf|rec
447|15076|mf|pass
448|58877|mf|rec
449|58877|mf|pass
450|85352|mf|rec
451|85352|mf|pass
452|21095|mf|rec
