_ts|player_id|place|move
1|105835|mf|pass
2|37265|mf|rec
3|37265|mf|pass
3|118749|mf|cond
4|118749|mf|pass
6|100981|di|cond
7|100981|di|pass
10|48853|di|cond
11|48853|di|pass
14|37269|di|cond
15|37269|di|pass
19|48853|di|rec
20|48853|mf|pass
24|100981|mf|bpas
26|72162|da|gsav
30|72162|da|pass
31|58877|di|rec
32|58877|di|pass
36|21095|da|cond
37|21095|di|pass
38|78140|di|rec
39|78140|di|pass
42|8533|mf|bpas
44|37269|mf|brec
48|118749|mf|lbal
48|39187|mf|brec
49|39187|mf|brec
50|39187|mf|pass
51|15403|mf|cond
52|15403|mf|pass
53|4719|mf|rec
54|4719|mf|pass
56|15076|mf|rec
57|15076|mf|pass
62|58877|di|cond
63|58877|di|pass
67|72162|da|bpas
72|72162|di|bout
78|122779|mf|pass
83|37265|oi|bpas
84|52940|di|brec
86|118749|mf|pass
88|37269|mf|bpas
95|58877|di|clea
97|4719|mf|bpas
99|100981|mf|bpas
101|48853|mf|int
102|48853|mf|fsuf
102|39187|mf|foul
117|48853|mf|pass
117|100981|mf|rec
118|100981|mf|pass
122|48853|di|cond
123|48853|mf|pass
128|100981|mf|cond
129|100981|mf|pass
133|48853|mf|rec
134|48853|mf|pass
137|100981|mf|cond
138|100981|mf|pass
139|105835|mf|rec
140|105835|mf|pass
140|100981|mf|rec
141|100981|mf|pass
143|48853|mf|rec
144|48853|mf|pass
146|118749|mf|rec
147|118749|mf|pass
147|37269|mf|rec
148|37269|mf|pass
153|15076|mf|lbal
153|37265|mf|lbal
155|122779|mf|pass
159|48853|di|rec
160|48853|di|pass
163|100981|mf|rec
164|100981|di|pass
164|48852|mf|rec
165|48852|mf|pass
166|100981|di|cond
167|100981|mf|pass
171|48853|di|cond
172|48853|di|pass
179|37265|oi|bpas
180|4719|da|clea
182|37265|oi|pass
183|48852|oi|bpas
184|4719|da|clea
185|37265|oi|brec
186|48852|oa|bout
216|4719|da|pass
224|8533|mf|foul
224|48853|mf|fsuf
244|100981|mf|pass
244|33148|di|rec
245|33148|di|pass
246|48853|di|cond
247|48853|di|pass
248|83725|mf|cond
249|83725|mf|pass
251|48853|di|rec
252|48853|mf|pass
255|100981|mf|rec
256|100981|mf|pass
258|37265|oi|bpas
260|21095|di|int
262|21095|mf|bout
267|48852|mf|pass
269|37265|oi|rec
270|37265|mf|pass
275|48853|mf|cond
276|48853|mf|pass
278|83531|mf|bpas
279|83531|mf|bout
292|4719|mf|bpas
294|100981|mf|bpas
297|15076|mf|foul
321|118749|mf|bpas
323|52940|da|clea
324|52940|di|bout
331|122779|oi|pass
332|83725|oi|bpas
334|52940|da|bpas
336|37269|mf|pass
339|48853|di|cond
340|48853|mf|pass
345|100981|mf|rec
346|100981|mf|pass
346|37265|oi|rec
347|37265|oi|pass
347|48852|mf|rec
348|48852|mf|pass
349|58877|mf|brec
349|37265|mf|lbal
350|15403|mf|brec
351|15403|mf|bpas
353|15403|oi|bout
368|48852|mf|pass
373|48853|da|cond
374|48853|di|pass
378|100981|di|rec
379|100981|mf|pass
381|83531|mf|rec
382|83531|mf|pass
384|100981|mf|cond
385|100981|mf|pass
385|48853|di|rec
386|48853|di|pass
391|37269|mf|bpas
394|37269|oa|bout
416|72162|da|bpas
422|72162|mf|bout
428|48852|mf|pass
433|48853|di|cond
434|48853|di|pass
437|100981|mf|cond
438|100981|mf|pass
441|15076|di|brec
441|83531|oi|lbal
445|72162|da|bpas
451|39187|mf|fsuf
451|100981|mf|foul
489|15403|mf|bpas
