_ts|player_id|place|move
0|37084|mf|pass
0|99127|mf|rec
1|99127|mf|pass
3|99123|di|rec
4|99123|di|pass
7|99127|mf|bpas
8|41733|mf|clea
10|99127|mf|lbal
11|8533|mf|brec
14|15403|mf|bpas
19|34352|da|clea
21|58877|mf|brec
23|15403|oi|rec
24|15403|oi|pass
25|58877|mf|rec
26|58877|mf|pass
29|21095|mf|rec
30|21095|mf|pass
31|78140|di|rec
32|78140|di|pass
43|72162|da|cond
44|72162|da|pass
45|85352|di|rec
46|85352|di|pass
51|58877|mf|rec
52|58877|mf|pass
54|85352|di|rec
55|85352|mf|pass
57|21095|di|rec
58|21095|di|pass
61|78140|mf|rec
62|78140|mf|pass
67|4719|mf|rec
68|4719|oi|pass
70|15403|mf|rec
71|15403|mf|pass
72|21095|mf|rec
73|21095|mf|pass
78|78140|mf|bpas
84|28411|da|brec
91|28411|da|pass
94|99123|di|rec
95|99123|di|pass
97|105021|di|rec
98|105021|di|pass
101|34352|di|rec
102|34352|di|pass
105|105021|di|bpas
109|72162|da|gsav
110|72162|da|pass
115|21095|di|cond
116|21095|di|pass
118|4719|mf|rec
119|4719|mf|pass
120|78140|di|rec
121|78140|di|pass
123|21095|di|rec
124|21095|di|pass
126|85352|mf|cond
127|85352|mf|pass
129|15403|mf|rec
130|15403|mf|pass
134|78140|di|rec
135|78140|mf|pass
138|21095|di|cond
139|21095|di|pass
141|85352|mf|cond
142|85352|mf|pass
145|21095|di|rec
146|21095|mf|pass
150|58877|mf|bpas
151|99123|di|bpas
152|61960|mf|bout
155|58877|mf|pass
158|85352|mf|cond
159|85352|mf|pass
159|15403|mf|rec
160|15403|mf|pass
163|85352|mf|rec
164|85352|mf|pass
168|21095|di|cond
169|21095|di|pass
171|78140|mf|rec
172|78140|mf|pass
174|4719|mf|bpas
176|105021|di|clea
177|61960|di|brec
178|61960|di|pass
180|37084|mf|bpas
183|28392|mf|fsuf
183|78140|mf|foul
210|28392|mf|bpas
212|28392|oa|bout
236|72162|da|pass
241|4719|mf|bpas
242|34355|di|bpas
243|28392|mf|lbal
243|78140|mf|brec
244|78140|mf|pass
244|4719|mf|rec
245|4719|mf|pass
249|72162|da|rec
250|72162|da|pass
259|85352|di|cond
260|85352|mf|pass
264|21095|di|rec
265|21095|di|pass
270|85352|di|rec
271|85352|mf|pass
271|12297|mf|rec
272|12297|mf|pass
275|58877|mf|cond
276|58877|mf|pass
278|85352|mf|cond
279|85352|mf|pass
282|21095|di|rec
283|21095|di|pass
284|78140|di|rec
285|78140|di|pass
285|4719|mf|rec
286|4719|mf|pass
288|78140|di|rec
289|78140|di|pass
290|21095|di|rec
291|21095|di|pass
293|85352|mf|cond
294|85352|mf|pass
296|15403|mf|cond
297|15403|mf|pass
300|85352|mf|cond
301|85352|mf|pass
303|8533|mf|rec
304|8533|mf|pass
305|15403|mf|cond
306|15403|mf|pass
310|77760|di|lbal
310|106824|oi|lbal
312|106824|oi|pass
313|58877|oi|rec
314|58877|oi|pass
315|106824|oi|brec
316|102683|di|pass
317|77760|di|brec
318|77760|di|bpas
320|15403|mf|pass
322|106824|oi|cond
323|106824|oi|pass
326|102683|di|brec
326|8533|oi|lbal
328|61960|di|brec
330|61960|mf|pass
332|99127|mf|drib
332|8533|mf|dled
334|99127|mf|bpas
337|78140|di|brec
338|78140|di|pass
339|15403|mf|rec
340|15403|mf|pass
344|8533|mf|rec
345|8533|oi|pass
346|106824|oa|bpas
350|12297|oi|foul
380|28411|da|pass
386|99123|di|rec
387|99123|di|pass
388|105021|di|cond
389|105021|di|pass
393|34352|mf|bpas
397|34352|oa|bout
420|72162|da|pass
423|34355|mf|lbal
423|4719|mf|brec
424|4719|mf|pass
424|8533|mf|rec
425|8533|mf|pass
425|4719|mf|rec
426|4719|mf|pass
427|12297|oi|rec
428|12297|mf|pass
428|8533|mf|rec
429|8533|mf|pass
432|4719|mf|bpas
433|61960|di|int
434|41733|mf|pass
436|34352|di|dled
436|8533|oi|drib
439|105021|da|int
440|8533|oa|bpas
441|105021|da|bout
472|8533|oa|bpas
475|61960|da|clea
477|58877|oi|pass
481|15403|mf|rec
482|15403|mf|pass
485|72162|da|rec
