_ts|player_id|place|move
0|40275|mf|pass
0|53515|mf|cond
1|53515|mf|pass
2|20322|mf|cond
3|20322|mf|pass
5|33360|di|cond
6|33360|mf|pass
12|6685|di|bpas
16|6685|oi|bout
23|4719|di|pass
26|15076|mf|bpas
29|49656|mf|bpas
31|49656|mf|bout
41|4719|mf|bpas
44|20322|mf|bpas
45|21095|mf|brec
45|53515|mf|lbal
49|41733|mf|bpas
49|73698|mf|bpas
51|78140|mf|brec
53|12297|mf|cond
54|12297|mf|pass
59|4719|mf|cond
60|4719|mf|pass
62|39077|mf|cond
63|39077|mf|pass
65|41733|mf|rec
66|41733|mf|pass
68|58877|mf|rec
69|58877|mf|pass
72|4719|mf|rec
73|4719|mf|pass
74|15076|mf|cond
75|15076|mf|pass
77|78140|mf|rec
78|78140|mf|pass
80|39077|mf|cond
81|39077|mf|pass
85|78140|mf|bpas
92|4719|mf|bout
107|43106|mf|pass
111|102578|oi|cond
112|102578|mf|pass
118|73698|mf|cond
119|73698|oi|wsho
121|73698|oa|bout
141|72162|da|pass
144|4719|mf|rec
145|4719|mf|pass
146|15076|mf|rec
147|15076|mf|pass
149|12297|oi|bpas
151|49656|da|pass
153|33376|da|bpas
155|53515|mf|lbal
155|21095|mf|brec
159|4719|mf|rec
160|4719|mf|pass
161|15076|mf|rec
162|15076|mf|pass
167|78140|mf|rec
168|78140|mf|pass
168|41733|mf|cond
169|41733|mf|pass
171|15076|mf|rec
172|15076|mf|pass
173|21095|mf|rec
174|21095|mf|pass
178|15403|mf|rec
179|15403|mf|pass
180|4719|mf|rec
181|4719|mf|pass
181|8533|oi|rec
182|8533|oi|pass
185|15403|oi|bpas
187|15403|oa|bout
203|33376|da|pass
207|6685|da|cond
208|6685|di|pass
212|33360|di|rec
213|33360|mf|pass
217|6685|mf|rec
218|6685|mf|pass
219|37064|mf|rec
220|37064|mf|pass
222|49656|mf|cond
223|49656|mf|pass
224|73698|mf|rec
225|73698|mf|pass
227|53515|mf|bpas
228|39077|di|clea
230|20322|mf|pass
234|33360|mf|cond
235|33360|mf|pass
236|43106|mf|rec
237|43106|mf|pass
240|102578|mf|drib
240|15076|mf|dled
242|102578|mf|drib
242|4719|mf|dled
246|102578|oi|drib
246|21095|di|dled
247|102578|oi|pass
252|73698|oi|cond
253|73698|oi|wsho
254|73698|oa|bout
282|72162|da|bpas
288|102578|mf|bpas
294|4719|mf|pass
295|15076|mf|rec
296|15076|mf|pass
297|4719|mf|bpas
298|43106|mf|int
300|102578|mf|bpas
302|58877|mf|pass
306|72162|da|cond
307|72162|da|pass
308|58877|di|cond
309|58877|di|pass
313|72162|da|cond
314|72162|da|pass
316|78140|di|cond
317|78140|di|pass
320|49656|mf|foul
320|12297|mf|fsuf
336|78140|mf|pass
338|21095|mf|rec
339|21095|mf|pass
340|58877|mf|rec
341|58877|mf|pass
343|4719|mf|rec
344|4719|mf|pass
345|15403|mf|cond
346|15403|mf|pass
347|4719|mf|cond
348|4719|mf|pass
350|21095|di|cond
351|21095|di|pass
352|78140|di|cond
353|78140|di|pass
355|39077|mf|cond
356|39077|mf|pass
359|78140|di|cond
360|78140|di|pass
360|21095|di|rec
361|21095|di|pass
363|58877|mf|cond
364|58877|mf|pass
366|15403|mf|cond
367|15403|mf|pass
370|58877|mf|rec
371|58877|mf|pass
372|4719|oi|lbal
373|4719|oi|bout
386|33360|di|pass
386|43106|mf|rec
387|43106|mf|pass
388|33360|di|bpas
392|53515|oi|lbal
392|21095|di|brec
395|102578|mf|bpas
397|12297|mf|pass
399|102578|mf|brec
399|15403|mf|lbal
400|102578|mf|pass
400|20322|mf|rec
401|20322|mf|pass
403|37064|mf|cond
404|37064|mf|pass
407|102578|mf|bpas
409|72162|da|pass
412|78140|di|clea
418|43106|mf|foul
418|8533|mf|fsuf
444|4719|mf|pass
445|58877|mf|rec
446|58877|mf|pass
452|102578|mf|foul
452|8533|mf|fsuf
499|15403|mf|bpas
502|33360|da|clea
505|15076|mf|bpas
506|15076|oi|bout
532|49656|di|pass
548|6685|da|rec
549|6685|mf|pass
550|40275|mf|bpas
554|39077|di|pass
556|72162|da|gsav
557|72162|da|pass
562|85352|di|cond
563|85352|mf|pass
564|58877|mf|rec
565|58877|mf|pass
570|39077|mf|rec
571|39077|mf|pass
572|12297|oi|rec
573|12297|oi|pass
574|39077|oi|cond
575|39077|oi|pass
578|58877|mf|bpas
580|58877|mf|bout
593|33360|di|pass
601|6685|da|rec
602|6685|di|pass
603|49656|di|cond
604|49656|di|pass
607|6685|di|cond
608|6685|di|pass
609|49656|mf|rec
610|49656|mf|pass
612|6685|mf|drib
612|8533|mf|dled
615|6685|mf|pass
618|37064|mf|rec
619|37064|mf|pass
623|43106|mf|rec
624|43106|mf|pass
625|53515|oi|rec
626|53515|oi|pass
627|102578|mf|bpas
630|72162|da|gsav
634|72162|da|pass
635|85352|di|rec
636|85352|di|pass
637|4719|di|bpas
640|20322|mf|bpas
641|20322|mf|bpas
641|15403|mf|int
642|4719|mf|int
644|40275|oi|brec
647|21095|di|brec
649|21095|di|clea
651|21095|mf|bout
660|33360|mf|pass
665|6685|di|rec
666|6685|mf|pass
667|102578|mf|rec
668|102578|mf|pass
670|33360|mf|rec
671|33360|mf|pass
671|40275|oi|rec
672|40275|oi|pass
672|102578|mf|rec
673|102578|mf|pass
675|53515|oi|bpas
677|78140|di|clea
680|33360|mf|brec
680|8533|mf|lbal
681|12297|mf|bpas
682|33360|mf|pass
683|6685|di|rec
684|6685|di|pass
688|33376|da|rec
689|33376|da|pass
699|6685|di|rec
700|6685|mf|pass
703|37064|oi|rec
704|37064|oi|pass
708|49656|mf|bpas
711|49656|oa|bout
736|72162|da|bpas
741|102578|mf|brec
741|4719|mf|lbal
742|43106|di|pass
742|4719|mf|brec
743|20322|mf|pass
748|53515|oi|drib
748|21095|di|dled
751|53515|oa|bpas
752|78140|da|clea
758|4719|di|clea
759|4719|di|bout
770|43106|oi|pass
771|53515|oi|rec
772|53515|oi|pass
772|40275|oi|rec
773|40275|oi|pass
774|53515|oi|cond
775|53515|oi|pass
780|73698|oa|bpas
784|73698|oa|bout
805|4719|da|bpas
807|33360|mf|pass
810|40275|oi|bpas
811|4719|di|clea
819|49656|di|brec
824|6685|di|rec
825|6685|mf|pass
826|102578|mf|rec
827|102578|mf|pass
832|33360|mf|cond
833|33360|mf|pass
838|6685|mf|bpas
841|6685|oa|bout
851|39077|da|pass
854|49656|mf|lbal
854|12297|mf|brec
856|20322|mf|brec
856|15403|mf|lbal
857|20322|mf|bpas
858|20322|oi|bout
875|39077|mf|bpas
878|49656|mf|bpas
878|58877|mf|pass
885|15403|mf|bpas
886|20322|di|int
889|37064|mf|brec
893|37064|mf|pass
895|20322|mf|rec
896|20322|mf|pass
900|6685|di|cond
901|6685|mf|pass
902|43106|mf|cond
903|43106|mf|pass
904|102578|mf|rec
905|102578|mf|pass
906|43106|mf|bpas
906|58877|mf|brec
911|33360|di|dled
911|8533|oi|drib
914|8533|oa|bpas
915|6685|da|clea
919|6685|da|clea
932|8533|oa|pass
936|58877|mf|rec
937|58877|mf|pass
939|21095|mf|rec
940|21095|mf|pass
943|39077|mf|rec
944|39077|mf|pass
946|78140|di|rec
947|78140|di|pass
949|72162|da|rec
950|72162|da|pass
953|85352|di|cond
954|85352|di|pass
958|4719|mf|bpas
961|33360|di|pass
963|33376|da|gsav
964|33376|da|pass
973|49656|di|cond
974|49656|mf|pass
976|53515|oi|cond
977|53515|oi|pass
978|102578|mf|rec
979|102578|mf|pass
983|43106|oi|rec
984|43106|oi|pass
986|53515|oi|cond
987|53515|oi|pass
991|49656|mf|rec
992|49656|oi|pass
994|40275|oa|cond
995|40275|oa|pass
997|53515|oa|rec
998|53515|oa|pass
1000|102578|oa|rec
1001|102578|oa|wsho
1002|102578|oa|bout
1027|72162|da|pass
1027|41733|mf|rec
1028|41733|mf|pass
1028|58877|mf|rec
1029|58877|mf|pass
1033|15403|mf|cond
1034|15403|oi|pass
1034|58877|mf|rec
1035|58877|mf|pass
1039|39077|mf|bpas
1042|6685|di|pass
1042|49656|di|rec
1043|49656|di|pass
1043|20322|di|rec
1044|20322|di|pass
1047|49656|da|bpas
1050|53515|mf|lbal
1050|78140|mf|brec
1052|58877|mf|pass
1055|21095|di|cond
1056|21095|di|pass
1056|85352|mf|rec
1057|85352|mf|pass
1062|15403|mf|bpas
1063|33376|di|int
1064|33360|di|bout
1073|4719|oi|pass
1074|12297|oi|rec
1075|12297|oi|pass
1076|4719|oi|rec
1077|4719|oi|pass
1078|58877|mf|rec
1079|58877|mf|pass
1083|39077|oi|cond
1084|39077|oi|pass
1085|41733|oi|rec
1086|41733|oi|pass
1087|58877|mf|rec
1088|58877|mf|pass
1094|4719|oi|bpas
1098|33360|di|int
1100|39077|oi|pass
1101|8533|oa|cond
1102|8533|oi|pass
1103|39077|oi|cond
1104|39077|oi|pass
1105|58877|oi|rec
1106|58877|oi|pass
1109|12297|oi|cond
1110|12297|oi|pass
1110|41733|oi|rec
1111|41733|oi|pass
1112|8533|oi|rec
1113|8533|oi|pass
1115|39077|oa|bpas
1120|6685|da|fsuf
1120|12297|oa|foul
1145|33376|da|pass
1154|33360|di|cond
1155|33360|mf|pass
1157|102578|oa|lbal
1157|72162|da|lbal
1158|21095|da|clea
1169|21095|da|bout
1192|40275|oa|bpas
1194|39077|da|clea
1195|20322|oa|foul
1195|39077|da|fsuf
1227|85352|di|rec
1228|72162|da|pass
1228|85352|di|pass
1229|58877|mf|rec
1230|58877|mf|pass
1232|78140|di|cond
1233|78140|mf|pass
1237|12297|oi|rec
1238|12297|oi|pass
1240|41733|oi|rec
1241|41733|oi|pass
1243|4719|oi|rec
1244|4719|oi|pass
1246|15403|oi|rec
1247|15403|oi|pass
1248|4719|oi|cond
1249|4719|oi|pass
1253|41733|oa|bpas
1255|33376|da|gsav
1260|33376|da|pass
1265|6685|di|rec
1266|6685|mf|pass
1269|37064|mf|rec
1270|37064|mf|pass
1270|20322|mf|rec
1271|20322|mf|pass
1272|37064|mf|cond
1273|37064|mf|pass
1276|33360|mf|rec
1277|33360|mf|pass
1278|6685|mf|rec
1279|6685|mf|pass
1282|78140|di|brec
1283|37064|oi|lbal
1283|39077|mf|pass
1288|41733|mf|rec
1289|41733|mf|pass
1289|39077|mf|rec
1290|39077|mf|pass
1293|78140|di|cond
1294|78140|di|pass
1295|85352|mf|cond
1296|85352|mf|pass
1299|4719|mf|rec
1300|4719|mf|pass
1303|33360|di|dled
1303|8533|oi|drib
1307|8533|oi|lbal
1308|73698|di|drib
1308|39077|oi|dled
1311|73698|di|brec
1313|73698|mf|pass
1316|102578|mf|bpas
1316|4719|mf|int
1317|4719|mf|brec
1318|4719|mf|pass
1319|58877|mf|rec
1319|39077|mf|rec
1320|39077|mf|pass
1320|58877|mf|pass
1321|15403|mf|rec
1322|15403|mf|pass
1322|58877|mf|rec
1323|58877|mf|pass
1328|85352|mf|cond
1329|85352|mf|pass
1332|4719|mf|rec
1333|4719|mf|pass
1336|39077|mf|bpas
1340|49656|da|brec
1342|49656|di|pass
1345|6685|di|cond
1346|6685|di|pass
1351|33360|di|cond
1352|33360|mf|pass
1354|6685|mf|cond
1355|6685|mf|pass
1357|33360|mf|rec
1358|33360|mf|pass
1362|20322|mf|rec
1363|20322|mf|pass
1372|49656|mf|bpas
1374|21095|di|clea
1375|20322|mf|pass
1378|49656|oi|cond
1379|49656|oi|pass
1382|37064|oi|rec
1383|37064|oi|pass
1385|73698|mf|cond
1386|73698|mf|pass
1389|49656|oi|rec
1390|49656|oi|pass
1393|73698|mf|cond
1394|73698|mf|pass
1399|20322|mf|cond
1400|20322|oi|wsho
1400|72162|da|gsav
1401|72162|da|bout
1459|102578|oa|bpas
1465|102578|oa|bout
1499|72162|da|bpas
1505|72162|mf|bout
1512|33360|mf|pass
1513|6685|di|rec
1514|6685|di|pass
1517|49656|mf|cond
1518|49656|di|pass
1527|6685|mf|rec
1528|6685|mf|pass
1529|20322|mf|cond
1530|20322|mf|pass
1532|33360|mf|cond
