_ts|player_id|place|move
0|37572|mf|pass
0|40232|mf|rec
1|40232|mf|pass
1|32644|mf|rec
2|32644|mf|pass
2|19975|mf|rec
3|19975|mf|pass
3|32644|di|rec
4|32644|di|pass
7|57145|di|cond
8|57145|di|pass
13|28525|di|rec
14|28525|di|pass
15|46497|mf|cond
16|46497|mf|pass
19|32644|mf|cond
20|32644|di|pass
23|57145|mf|cond
24|57145|mf|pass
24|20658|mf|rec
25|20658|mf|pass
25|19975|oi|rec
26|19975|oi|pass
29|149879|di|fsuf
29|20658|oi|bpas
43|112991|di|pass
43|116120|di|rec
44|116120|di|pass
49|49507|mf|bpas
50|32644|mf|int
55|28495|mf|pass
60|26900|oa|lbal
60|32644|da|brec
62|46497|di|brec
67|46497|mf|brec
68|46497|mf|bout
83|26900|oi|bpas
86|28525|di|brec
88|32644|di|cond
89|32644|di|pass
93|57145|di|cond
94|57145|di|pass
95|32644|mf|rec
96|32644|mf|pass
101|46497|mf|pass
102|58893|mf|rec
103|58893|mf|pass
103|32644|mf|rec
104|32644|mf|pass
104|58893|mf|rec
105|58893|mf|pass
106|46497|mf|rec
107|46497|mf|pass
112|57145|mf|rec
113|57145|mf|pass
114|19975|mf|rec
115|19975|mf|pass
116|28525|di|rec
117|28525|di|pass
119|58893|mf|rec
120|58893|mf|pass
121|40232|mf|cond
122|40232|mf|pass
123|46497|mf|rec
124|46497|mf|pass
125|58893|mf|rec
126|58893|mf|pass
128|28525|di|rec
129|28525|di|pass
134|57145|mf|bpas
137|10594|di|clea
137|19975|mf|pass
138|19054|mf|cond
139|19054|mf|pass
140|32644|mf|rec
141|32644|mf|pass
143|46497|oi|rec
144|46497|oa|wsho
144|13262|da|gsav
145|13262|da|brec
146|19054|oa|goal
206|95201|mf|pass
208|85388|mf|brec
210|40232|oi|pass
212|116120|da|lbal
212|19054|oi|brec
220|28495|di|pass
224|95201|mf|cond
225|95201|oi|pass
226|90714|oa|cond
227|90714|oa|goal
279|37572|mf|pass
280|40232|mf|rec
280|19975|mf|rec
281|40232|mf|pass
281|19975|mf|pass
282|20658|mf|rec
283|20658|mf|pass
285|57145|di|cond
286|57145|di|pass
289|32644|mf|rec
290|32644|mf|pass
292|58893|mf|cond
293|58893|mf|pass
300|46497|mf|rec
301|46497|mf|pass
304|20658|mf|rec
305|20658|mf|pass
306|19975|mf|rec
307|19975|mf|pass
309|57145|mf|cond
310|57145|mf|pass
313|28525|di|cond
314|28525|mf|pass
316|46497|mf|rec
317|46497|mf|pass
319|40232|oi|lbal
323|10594|da|bout
324|10594|da|clea
331|58893|oa|pass
334|46497|oa|bpas
335|46497|oa|bout
350|49507|di|bpas
352|26900|mf|lbal
352|58893|mf|brec
355|49507|di|bpas
356|19975|mf|bpas
358|149879|di|pass
361|112991|di|cond
362|112991|mf|pass
363|26900|mf|lbal
363|46497|mf|brec
363|58893|mf|cond
364|58893|mf|pass
366|46497|mf|bpas
368|116120|mf|int
369|116120|mf|brec
373|42899|da|gsav
374|42899|da|pass
379|32644|di|cond
380|32644|mf|pass
384|19975|mf|cond
385|19975|mf|pass
387|20658|mf|cond
388|20658|mf|pass
389|57145|di|rec
390|57145|di|pass
394|42899|da|rec
395|42899|da|pass
398|32644|di|cond
399|32644|di|pass
402|46497|mf|rec
403|46497|mf|pass
405|20658|mf|cond
406|20658|mf|pass
409|40232|oi|rec
