_ts|player_id|place|move
1|85388|mf|pass
1|95201|mf|rec
2|95201|mf|pass
2|28495|mf|cond
3|28495|mf|pass
5|49507|di|cond
6|49507|di|pass
9|116120|mf|cond
10|116120|mf|pass
13|149879|mf|bpas
16|70496|da|clea
18|28188|di|brec
19|28188|di|pass
20|16050|mf|cond
21|16050|mf|pass
22|20301|di|bpas
25|26900|oi|brec
27|26900|oi|pass
30|49507|oi|rec
31|49507|oi|pass
32|116120|oi|bpas
33|28188|di|pass
34|69887|mf|rec
35|69887|mf|pass
37|46696|mf|brec
39|46696|mf|pass
40|28188|mf|bpas
42|95201|mf|int
43|28188|mf|brec
43|95201|mf|lbal
44|28188|mf|brec
45|28188|mf|pass
48|42544|mf|cond
49|42544|oi|pass
52|90714|da|dled
52|66841|oa|drib
53|66841|oa|bpas
56|112991|da|clea
58|87447|oi|bpas
59|116120|di|bpas
61|87447|oi|brec
62|28188|oi|bpas
64|49507|di|int
65|49507|di|drib
65|16050|oi|dled
68|49507|di|bpas
69|49507|oi|bout
81|52049|di|pass
86|87447|mf|rec
87|87447|di|pass
90|28188|di|rec
91|28188|mf|pass
92|66841|mf|rec
93|66841|mf|pass
95|28188|mf|rec
96|28188|mf|pass
98|87447|mf|rec
99|87447|mf|pass
99|69887|mf|rec
100|69887|mf|pass
102|28188|mf|cond
103|28188|mf|pass
104|46696|mf|rec
105|46696|mf|pass
106|87447|mf|bpas
109|112991|mf|brec
110|112991|mf|pass
111|26900|mf|cond
112|26900|mf|pass
114|49507|di|brec
117|28495|mf|cond
118|28495|mf|pass
122|85388|oa|lbal
122|70496|da|lbal
128|85388|oa|lbal
128|70496|da|brec
129|70496|da|bout
162|90714|oa|bpas
164|66841|da|clea
166|116120|oi|wsho
167|116120|oa|bout
198|40349|da|bpas
203|10594|di|brec
203|42544|oi|lbal
204|10594|di|clea
206|149879|di|brec
207|149879|di|bpas
209|28188|mf|brec
213|28188|oi|pass
215|87447|mf|rec
216|87447|mf|pass
219|42544|oi|rec
220|42544|oi|pass
220|46696|oi|rec
221|46696|oi|pass
221|42544|oi|rec
222|42544|oi|pass
224|112991|da|fsuf
224|28188|oi|bpas
253|13262|da|bpas
253|70496|mf|bpas
255|112991|di|bpas
256|16050|mf|brec
257|116120|di|dled
257|16050|oi|drib
262|10594|di|lbal
262|16050|oi|lbal
264|16050|oi|brec
266|49507|di|pass
269|13262|da|brec
271|112991|da|cond
272|112991|di|pass
276|13262|da|cond
277|13262|da|pass
279|85388|mf|brec
279|70496|mf|lbal
280|85388|mf|pass
283|95201|mf|rec
284|95201|mf|pass
287|90714|oi|bpas
289|52049|da|brec
290|90714|oa|bout
304|40349|da|pass
305|20301|da|rec
306|20301|da|pass
308|40349|da|cond
309|40349|da|pass
313|66841|mf|cond
314|66841|mf|pass
318|87447|mf|cond
319|87447|mf|pass
321|28188|mf|cond
322|28188|mf|pass
325|20301|di|bpas
327|90714|oi|brec
329|90714|oi|drib
329|28188|di|dled
330|90714|oi|fsuf
330|28188|di|foul
391|26900|oi|wsho
393|26900|oa|bout
423|40349|da|bpas
428|26900|mf|brec
429|26900|mf|pass
435|28495|mf|bpas
436|16050|mf|brec
437|16050|di|pass
439|26900|mf|dled
439|87447|mf|drib
440|87447|mf|pass
440|46696|mf|rec
441|46696|mf|pass
443|87447|mf|rec
444|87447|oi|pass
445|46696|oi|cond
446|46696|oi|pass
447|87447|oa|rec
448|87447|oa|wsho
450|87447|oa|bout
476|13262|da|bpas
479|70496|di|pass
481|87447|di|brec
483|87447|di|pass
491|20301|mf|bpas
492|116120|mf|int
495|28188|mf|pass
497|46696|mf|rec
498|46696|oi|pass
503|69887|oa|rec
504|69887|oa|pass
506|66841|oa|bpas
507|149879|da|clea
509|116120|da|bpas
509|42544|oa|int
510|116120|da|clea
515|95201|mf|brec
517|95201|mf|pass
519|26900|mf|rec
520|26900|mf|pass
523|85388|oi|bpas
527|69887|da|brec
533|69887|di|pass
533|66841|di|rec
534|66841|di|pass
535|28188|mf|rec
536|28188|mf|pass
539|69887|mf|cond
540|69887|mf|pass
541|66841|mf|rec
542|66841|mf|pass
544|70496|di|cond
545|70496|di|pass
548|66841|mf|rec
549|66841|mf|pass
551|69887|mf|rec
552|69887|mf|pass
553|28188|mf|rec
554|28188|mf|pass
556|87447|mf|cond
557|87447|mf|pass
563|26900|di|foul
563|52049|oi|fsuf
590|16050|oi|bpas
592|49507|da|clea
593|46696|oi|pass
596|69887|oi|bpas
599|26900|di|int
601|20301|oi|pass
603|16050|oi|cond
604|16050|oi|pass
606|116120|di|dled
606|52049|oi|drib
607|52049|oi|bpas
608|49507|di|int
609|49507|di|brec
611|116120|di|bpas
613|70496|mf|int
615|20301|mf|brec
620|70496|da|clea
621|90714|oa|bpas
625|85388|oi|pass
627|116120|oi|rec
