_ts|player_id|place|move
1|52635|mf|pass
1|19624|mf|rec
2|19624|mf|pass
6|49483|di|pass
6|96122|mf|bpas
7|104953|mf|bpas
9|27256|mf|pass
9|96122|mf|rec
10|96122|mf|pass
16|18522|di|cond
17|18522|di|pass
18|19624|mf|cond
19|19624|mf|pass
22|18522|di|bpas
25|49478|da|pass
26|49478|da|brec
27|18522|oa|bout
49|49478|da|pass
52|33223|mf|brec
52|27256|mf|lbal
53|33223|mf|bpas
55|19620|di|brec
59|44743|da|rec
60|44743|da|pass
63|49485|mf|lbal
63|38530|mf|brec
65|38530|mf|bpas
66|77831|mf|brec
67|77831|mf|pass
68|68791|di|cond
69|68791|di|pass
71|104953|oi|bpas
74|27256|da|brec
74|19620|di|rec
75|19620|di|pass
77|39297|di|rec
78|39297|di|pass
79|27256|da|rec
80|27256|da|pass
81|44743|da|rec
82|44743|da|pass
84|19620|mf|bpas
85|49483|mf|int
86|49483|mf|bpas
88|27256|di|bpas
89|27256|oi|bout
98|49483|di|bpas
110|39297|di|clea
112|39297|mf|bout
113|49483|mf|pass
114|104953|oi|pass
114|49483|mf|rec
115|49483|mf|pass
117|82184|oi|cond
118|82184|oa|pass
120|49483|oi|bpas
122|18522|di|int
123|19624|di|brec
124|27256|di|bpas
127|49483|mf|brec
128|49483|mf|bpas
130|27256|di|clea
133|26904|di|pass
135|44743|da|brec
141|44743|da|pass
144|18522|di|rec
145|18522|di|pass
148|45124|mf|brec
148|26904|mf|lbal
149|45124|mf|bout
150|26904|mf|pass
157|14937|oa|bpas
158|66905|da|int
159|66905|da|bout
163|14937|oa|pass
163|19624|oa|rec
164|19624|oa|pass
164|14937|oi|cond
165|14937|oi|pass
168|45124|di|brec
168|38530|oi|bpas
169|45124|di|lbal
169|38530|oi|lbal
172|26904|oa|bpas
174|68791|da|clea
176|49485|di|bpas
179|18522|mf|pass
179|19624|oi|rec
180|19624|oi|pass
183|26904|oi|bpas
184|26904|oa|bout
195|49483|da|pass
197|82184|di|cond
198|82184|di|pass
199|49483|da|bpas
201|18522|mf|pass
204|82184|mf|pass
204|19624|mf|lbal
206|77831|mf|pass
207|49485|mf|rec
208|49485|mf|pass
209|45124|mf|rec
210|45124|mf|pass
212|49485|mf|bpas
214|38530|mf|int
215|38530|mf|bout
225|49485|mf|bpas
228|96122|mf|clea
229|19624|mf|bpas
231|49485|mf|lbal
231|52635|mf|lbal
262|66905|mf|brec
269|44743|da|brec
272|27256|di|rec
273|27256|di|pass
275|44743|da|rec
276|44743|da|pass
276|96122|di|rec
277|96122|di|pass
279|18522|di|cond
280|18522|di|pass
283|26904|mf|cond
284|26904|mf|pass
287|77831|di|dled
287|38530|oi|drib
288|45124|di|brec
288|38530|oi|lbal
290|82184|mf|brec
291|82184|mf|lbal
291|19624|mf|brec
292|96122|mf|brec
293|96122|mf|pass
294|26904|oi|rec
295|26904|oi|pass
298|14937|oa|bpas
301|14937|oa|bout
318|49483|da|bpas
325|19624|oi|foul
350|49478|di|bpas
353|27256|di|clea
357|52635|mf|pass
358|19624|mf|brec
359|49483|mf|brec
359|19624|mf|bpas
360|49483|mf|pass
360|77831|mf|rec
361|77831|mf|pass
361|39297|mf|lbal
363|45124|mf|lbal
363|96122|mf|brec
365|96122|mf|brec
367|96122|mf|pass
367|38530|mf|rec
368|38530|mf|pass
368|14937|oi|rec
369|14937|oi|pass
371|60800|di|brec
371|38530|oi|lbal
372|60800|di|brec
373|60800|mf|pass
380|82184|mf|lbal
380|26904|mf|brec
383|82184|mf|foul
383|26904|mf|fsuf
409|45124|di|clea
411|26904|mf|pass
412|45124|di|lbal
412|14937|oi|lbal
413|19624|mf|pass
414|96122|oi|rec
415|96122|oi|pass
417|104953|da|brec
418|19620|oa|pass
420|68791|da|lbal
420|52635|oa|lbal
424|96122|oi|bpas
425|49485|da|pass
426|49478|da|gsav
428|49478|da|pass
434|45124|mf|rec
435|45124|mf|pass
439|49485|mf|cond
440|49485|mf|pass
443|66905|mf|cond
444|66905|mf|pass
448|49483|oi|bpas
453|44743|da|brec
460|44743|da|pass
461|27256|da|rec
462|27256|da|pass
462|39297|mf|rec
463|39297|mf|pass
466|27256|da|rec
467|27256|di|pass
470|68791|mf|foul
470|52635|mf|fsuf
475|39297|mf|pass
476|14937|mf|rec
477|14937|mf|pass
478|19624|mf|cond
479|19624|mf|pass
481|26904|mf|rec
482|26904|mf|pass
484|49485|di|lbal
484|38530|oi|lbal
485|38530|oi|pass
485|26904|mf|rec
486|26904|mf|pass
486|19624|mf|rec
487|19624|mf|pass
488|38530|oi|bpas
490|60800|di|int
491|60800|di|brec
493|60800|di|fsuf
493|19624|oi|foul
528|49478|di|bpas
532|33223|oi|lbal
532|27256|di|brec
533|77831|mf|bpas
534|19624|di|pass
536|96122|mf|brec
537|96122|mf|bpas
539|49478|da|pass
540|49478|da|brec
541|49478|da|bpas
546|82184|oi|brec
547|18522|di|clea
549|33223|oi|lbal
549|96122|di|brec
550|96122|di|brec
551|96122|di|pass
554|39297|di|bpas
556|49485|mf|int
557|49485|mf|brec
558|49485|mf|pass
560|60800|mf|cond
561|60800|mf|pass
564|104953|oi|cond
565|104953|oi|pass
566|49483|oa|bpas
568|27256|da|clea
571|104953|oi|wsho
571|14937|di|gsav
576|38530|da|brec
578|38530|da|bpas
583|38530|oi|bout
598|49485|mf|pass
601|60800|di|bpas
603|14937|oi|pass
606|68791|di|foul
606|19624|oi|fsuf
692|14937|oi|wsho
692|49478|da|gsav
695|49478|da|bout
712|38530|oa|bpas
713|33223|da|clea
716|49485|di|bout
724|38530|oa|pass
724|19624|oi|rec
725|19624|oi|pass
727|38530|oi|cond
728|38530|oi|pass
729|26904|mf|cond
730|26904|mf|pass
731|18522|mf|rec
732|18522|mf|pass
740|27256|mf|bpas
741|27256|oa|bout
767|49478|da|bpas
772|33223|mf|lbal
772|18522|mf|brec
773|18522|mf|clea
775|49485|da|brec
776|18522|mf|bout
786|49485|mf|pass
790|82184|mf|rec
791|82184|mf|pass
797|104953|mf|cond
798|104953|oi|pass
801|49483|oa|bpas
804|44743|da|gsav
807|44743|da|pass
813|26904|mf|bpas
816|49478|da|gsav
818|49478|da|pass
820|60800|di|rec
821|60800|di|pass
822|49483|di|rec
823|49483|di|pass
824|60800|di|rec
825|60800|di|pass
827|66905|mf|rec
828|66905|mf|pass
831|49485|mf|rec
832|49485|mf|pass
834|66905|mf|cond
835|66905|mf|pass
839|68791|di|cond
840|68791|di|pass
841|77831|mf|cond
842|77831|mf|pass
848|104953|mf|cond
849|104953|mf|pass
849|49483|mf|rec
850|49483|mf|pass
851|33223|mf|lbal
854|27256|mf|int
855|27256|mf|bout
858|49483|mf|pass
861|33223|oa|lbal
861|27256|di|brec
863|27256|di|bout
868|49483|oi|pass
870|104953|oi|bpas
872|27256|da|brec
872|14937|mf|rec
873|14937|mf|pass
876|39297|di|rec
877|39297|di|pass
877|14937|mf|rec
878|14937|mf|pass
880|45124|mf|lbal
880|96122|mf|lbal
882|49483|mf|brec
883|49483|mf|fsuf
