_ts|player_id|place|move
0|57038|mf|pass
0|69495|mf|rec
1|69495|mf|pass
1|52941|mf|cond
2|52941|mf|pass
3|51255|mf|rec
4|51255|mf|pass
6|11225|di|rec
7|11225|di|pass
9|18090|da|bpas
13|77864|di|brec
13|57038|oi|lbal
15|76542|mf|pass
15|85971|mf|brec
16|85971|mf|drib
16|48492|mf|dled
18|85971|mf|lbal
21|31886|mf|brec
22|31886|di|pass
25|18686|di|cond
26|18686|di|pass
30|11225|di|cond
31|11225|di|pass
33|18686|di|cond
34|18686|mf|pass
35|48492|mf|rec
36|48492|mf|pass
37|18686|di|cond
38|18686|di|pass
44|11225|di|cond
45|11225|mf|pass
46|49230|mf|rec
47|49230|mf|pass
49|51255|mf|bpas
52|77864|di|int
54|77864|mf|pass
59|75773|mf|rec
60|75773|mf|pass
60|77864|di|cond
61|77864|di|pass
64|76542|di|cond
65|76542|di|pass
66|98762|di|rec
67|98762|mf|pass
72|76542|di|cond
73|76542|mf|pass
77|98762|mf|rec
78|98762|mf|pass
78|36968|mf|rec
79|36968|mf|pass
80|119468|mf|bpas
81|48492|di|clea
83|52941|di|brec
90|11225|da|cond
91|11225|di|pass
93|49230|mf|rec
94|49230|mf|pass
94|18689|mf|rec
95|18689|mf|pass
99|51255|mf|rec
100|51255|mf|pass
105|11225|di|rec
106|11225|mf|pass
106|57038|mf|rec
107|57038|mf|pass
108|52941|mf|rec
109|52941|mf|pass
109|69495|mf|cond
110|69495|mf|pass
111|48492|mf|lbal
112|48492|mf|bout
126|77875|mf|pass
131|77865|oi|lbal
131|48492|di|brec
132|48492|di|bout
144|77875|oi|pass
146|85971|oi|bpas
148|18689|di|pass
149|57038|mf|brec
151|57038|mf|lbal
152|75773|mf|pass
152|170452|mf|cond
153|170452|mf|pass
160|75773|mf|brec
163|98762|mf|rec
164|98762|mf|pass
166|76542|mf|cond
167|76542|mf|pass
170|98762|mf|bpas
171|48492|di|int
172|48492|di|brec
173|48492|di|pass
174|31886|di|bpas
175|85971|oi|int
176|85971|mf|bout
182|48492|mf|pass
184|18686|di|cond
185|18686|di|pass
188|11225|di|cond
189|11225|di|pass
193|36968|mf|foul
193|49230|mf|fsuf
194|49230|mf|pass
196|18689|mf|rec
197|18689|mf|pass
199|11225|mf|cond
200|11225|mf|pass
203|48492|mf|bpas
205|76542|di|int
206|77875|di|brec
207|76542|mf|rec
208|76542|mf|pass
209|77865|mf|bpas
210|52941|mf|int
211|48492|mf|brec
213|77865|mf|foul
213|52941|mf|fsuf
239|11225|mf|pass
240|31886|oi|rec
241|31886|oi|pass
243|48492|oa|bpas
244|77875|da|clea
245|77875|da|bout
255|48492|oa|pass
256|69495|oa|cond
257|69495|oa|pass
259|48492|oa|bpas
265|48492|oa|bout
273|170452|da|bpas
276|52941|mf|int
277|52941|oi|bout
289|170452|mf|pass
291|77865|mf|lbal
292|49230|mf|brec
294|49230|mf|bpas
295|170452|mf|int
296|170452|mf|bout
299|51255|mf|pass
302|18686|mf|cond
303|18686|mf|pass
307|48492|mf|cond
308|48492|mf|pass
308|69495|mf|rec
309|69495|mf|pass
310|31886|mf|rec
311|31886|mf|pass
311|48492|mf|rec
312|48492|mf|pass
315|11225|mf|bpas
318|170452|da|clea
321|75773|di|brec
324|170452|da|bpas
326|49230|mf|brec
328|18689|oi|rec
329|18689|oi|pass
331|51255|oi|bpas
334|98762|da|clea
335|75773|di|brec
340|77865|mf|fsuf
340|52941|mf|foul
348|170452|mf|pass
350|77864|di|rec
351|77864|di|pass
353|98762|di|cond
354|98762|di|pass
357|77864|di|cond
358|77864|di|pass
360|170452|mf|rec
361|170452|mf|pass
363|36968|oi|bpas
366|51255|di|clea
368|49230|mf|pass
370|52941|di|brec
373|77875|di|clea
376|85971|mf|brec
376|69495|mf|lbal
378|69495|mf|pass
379|52941|mf|cond
380|52941|mf|pass
381|31886|mf|rec
382|31886|mf|pass
384|48492|oi|rec
385|48492|oi|pass
388|31886|mf|cond
389|31886|oi|pass
389|49230|oi|rec
390|49230|oi|pass
391|48492|oi|rec
392|48492|oi|pass
395|31886|oa|bpas
396|98762|da|clea
397|98762|da|bout
409|48492|oa|bpas
413|98762|da|lbal
417|98762|da|bout
449|51255|oa|bpas
451|76542|da|brec
451|69495|oa|lbal
457|119468|da|pass
460|77865|mf|brec
461|77865|mf|pass
466|85971|mf|drib
466|69495|mf|dled
468|85971|mf|bpas
470|52941|di|int
473|75773|oi|pass
476|85971|mf|rec
477|85971|oi|pass
478|75773|mf|rec
479|75773|mf|pass
482|77864|mf|cond
483|77864|mf|pass
486|98762|mf|cond
487|98762|mf|pass
490|76542|mf|cond
491|76542|mf|pass
492|75773|mf|cond
493|75773|mf|pass
495|119468|mf|rec
496|119468|mf|pass
500|75773|mf|cond
501|75773|mf|pass
501|76542|mf|rec
502|76542|mf|pass
503|75773|mf|cond
504|75773|mf|pass
508|119468|mf|rec
509|119468|mf|pass
512|98762|mf|rec
513|98762|mf|pass
513|77875|oi|rec
514|77875|oi|pass
514|98762|mf|rec
515|98762|mf|pass
516|77875|mf|lbal
517|31886|di|brec
518|31886|di|pass
519|48492|di|rec
520|48492|di|pass
521|57038|mf|bpas
523|85971|mf|brec
527|76542|mf|cond
528|76542|oi|pass
528|75773|oi|rec
529|75773|oi|pass
530|170452|oa|lbal
532|170452|oa|bout
560|18090|da|bpas
564|170452|di|brec
564|18689|oi|lbal
570|49230|mf|fsuf
570|119468|mf|foul
577|49230|mf|pass
579|11225|mf|rec
580|11225|mf|pass
583|49230|mf|rec
584|49230|mf|pass
585|51255|mf|rec
586|51255|mf|pass
593|11225|mf|bpas
596|77875|di|brec
596|31886|oi|lbal
597|77875|da|clea
598|85971|di|pass
600|76542|di|brec
601|77875|da|rec
602|77875|da|pass
604|77865|mf|cond
605|77865|mf|pass
609|85971|mf|rec
610|85971|oa|wsho
611|85971|oa|bout
631|18090|da|pass
631|11225|di|rec
632|11225|di|pass
632|18090|da|rec
633|18090|da|pass
635|69495|mf|bpas
637|98762|di|clea
638|98762|mf|bout
647|48492|mf|pass
648|18686|mf|rec
649|18686|mf|pass
651|11225|mf|rec
652|11225|mf|pass
656|49230|mf|rec
657|49230|oi|pass
658|51255|oi|bpas
660|119468|di|int
661|119468|di|brec
662|119468|di|pass
663|77865|mf|cond
664|77865|di|pass
664|77864|di|rec
665|77864|di|pass
673|170452|da|bpas
673|18689|oa|int
675|18689|oa|bout
684|170452|di|pass
687|49230|oi|brec
687|75773|di|lbal
688|49230|oi|brec
690|49230|oa|lbal
690|170452|da|brec
691|170452|da|bout
700|18689|oa|pass
702|51255|oi|bpas
703|77864|da|clea
706|85971|di|brec
710|18686|mf|pass
712|31886|oi|bpas
714|85971|mf|pass
717|36968|mf|rec
718|36968|mf|pass
720|76542|mf|cond
721|76542|mf|pass
722|77875|mf|cond
723|77875|mf|pass
725|85971|mf|rec
726|85971|mf|pass
726|77875|mf|rec
727|77875|mf|pass
728|76542|mf|cond
729|76542|mf|pass
732|77864|mf|cond
733|77864|mf|pass
734|170452|mf|cond
735|170452|mf|pass
738|119468|mf|rec
739|119468|mf|pass
743|98762|mf|cond
744|98762|mf|pass
747|76542|mf|cond
748|76542|mf|pass
752|98762|mf|cond
753|98762|mf|pass
756|77865|oi|bpas
757|69495|mf|int
758|69495|mf|pass
759|31886|di|brec
762|31886|mf|fsuf
762|85971|mf|foul
800|18686|mf|pass
801|11225|mf|rec
802|11225|mf|pass
803|51255|mf|rec
804|51255|mf|pass
805|49230|oi|rec
806|49230|oi|pass
807|18689|mf|rec
808|18689|mf|pass
808|51255|mf|rec
809|51255|mf|pass
810|18689|mf|rec
811|18689|mf|pass
817|11225|di|rec
818|11225|mf|pass
821|49230|oi|rec
822|49230|oi|pass
826|18689|oa|lbal
826|170452|da|brec
828|75773|da|brec
830|75773|da|pass
833|77865|mf|rec
834|77865|mf|pass
837|119468|di|rec
838|119468|di|pass
838|170452|di|rec
839|170452|di|pass
842|75773|di|cond
843|75773|da|pass
846|77864|da|rec
847|77864|da|pass
849|98762|di|rec
850|98762|mf|pass
851|85971|mf|rec
852|85971|mf|pass
853|98762|mf|cond
854|98762|mf|pass
855|76542|mf|rec
856|76542|mf|pass
859|98762|mf|cond
860|98762|mf|pass
862|57038|mf|dled
862|76542|mf|drib
865|76542|mf|pass
869|170452|mf|cond
870|170452|mf|pass
875|76542|mf|cond
876|76542|mf|pass
879|98762|mf|rec
880|98762|mf|pass
885|77865|oa|lbal
886|77865|oa|bout
901|51255|da|pass
