_ts|player_id|place|move
3|36968|mf|pass
4|77865|mf|rec
5|77865|mf|pass
9|76542|mf|cond
10|76542|mf|pass
12|77864|di|cond
13|77864|di|pass
17|98762|di|cond
18|98762|di|pass
18|76542|di|rec
19|76542|di|pass
22|98762|mf|bpas
26|28649|di|int
27|86813|di|clea
28|86813|di|fsuf
28|36968|oi|foul
40|86813|di|pass
40|28649|di|rec
41|28649|di|pass
47|50117|di|cond
48|50117|mf|pass
48|28649|mf|rec
49|28649|mf|pass
51|126407|mf|rec
52|126407|mf|pass
54|50117|mf|rec
55|50117|mf|pass
58|175078|mf|bpas
58|170452|di|int
61|34694|oi|pass
63|175078|oa|bpas
64|77864|da|clea
65|44336|oa|wsho
68|44336|oa|bout
96|82975|da|bpas
100|36968|mf|lbal
100|34694|mf|brec
102|77864|mf|clea
104|77864|mf|clea
108|119468|mf|bpas
108|126407|mf|lbal
110|126407|mf|brec
110|77865|mf|bpas
112|76542|mf|foul
112|126407|mf|fsuf
151|51310|oi|bpas
154|77865|da|clea
158|86813|mf|bpas
159|119468|mf|int
160|119468|di|bout
169|86813|oi|pass
170|51310|oi|rec
171|51310|oi|pass
172|28649|mf|rec
173|28649|mf|pass
175|50117|mf|rec
176|50117|mf|pass
179|34694|mf|rec
180|34694|mf|pass
183|50117|di|rec
184|50117|di|pass
186|28649|di|rec
187|28649|di|pass
189|50117|di|cond
190|50117|mf|pass
197|175078|oi|cond
198|175078|oa|pass
199|51310|oi|rec
200|51310|oi|pass
200|126407|oi|rec
201|126407|oi|pass
203|34694|oi|rec
204|34694|oi|pass
208|51310|oi|bpas
211|77875|da|clea
212|44336|oa|pass
212|149828|oa|cond
213|149828|oa|wsho
213|77875|da|gsav
214|51310|oa|wsho
217|51310|oa|bout
257|82975|da|pass
263|77865|mf|fsuf
263|17337|mf|foul
293|76542|mf|pass
297|98762|mf|rec
298|98762|mf|pass
301|77864|mf|bpas
303|50117|mf|int
305|77864|di|bpas
308|126407|mf|pass
311|175078|mf|brec
312|34694|di|rec
313|34694|di|pass
314|50117|di|rec
315|50117|di|pass
317|28649|di|rec
318|28649|di|pass
321|28549|da|rec
322|28549|da|pass
325|75773|mf|brec
325|126407|mf|lbal
326|75773|oi|lbal
326|50117|di|lbal
328|98762|mf|pass
330|76542|mf|brec
331|76542|mf|lbal
331|51310|mf|brec
332|44336|mf|brec
333|44336|mf|bpas
334|119468|mf|int
336|170452|mf|pass
338|77864|mf|bpas
339|77864|mf|bout
348|86813|mf|pass
351|28649|mf|cond
352|28649|mf|pass
354|50117|di|rec
355|50117|mf|pass
356|126407|mf|rec
357|126407|mf|pass
359|50117|di|rec
360|50117|mf|pass
361|17337|mf|rec
362|17337|mf|pass
365|126407|mf|cond
366|126407|mf|pass
368|28649|mf|rec
369|28649|mf|pass
373|50117|mf|cond
374|50117|mf|pass
377|51310|mf|cond
378|51310|mf|pass
380|170452|di|foul
380|175078|oi|fsuf
419|51310|oi|bpas
422|76542|da|clea
423|76542|da|bout
450|51310|oa|bpas
453|76542|da|clea
454|85971|da|brec
455|85971|da|clea
466|34694|mf|brec
469|34694|mf|pass
470|50117|di|rec
471|50117|di|pass
474|28649|mf|bpas
477|98762|da|int
478|98762|da|bout
500|175078|oa|pass
501|149828|oa|rec
502|149828|oa|wsho
504|149828|oa|bout
531|82975|da|bpas
535|50117|di|pass
536|34694|di|bpas
539|77864|mf|pass
540|76542|mf|rec
541|76542|mf|pass
542|75773|mf|brec
545|75773|di|lbal
545|149828|oi|brec
547|149828|mf|bout
562|170452|mf|pass
563|36968|mf|rec
564|36968|mf|pass
567|77865|mf|lbal
567|126407|mf|lbal
568|170452|mf|bpas
569|170452|mf|bout
581|34694|mf|pass
583|50117|di|rec
584|50117|di|pass
587|86813|mf|rec
588|86813|mf|pass
596|28649|mf|bpas
598|77865|mf|int
600|85971|mf|brec
605|85971|oi|drib
605|17337|di|dled
607|85971|oa|lbal
608|28649|da|brec
609|85971|oa|bout
630|28549|da|bpas
635|85971|mf|clea
637|36968|mf|brec
637|17337|mf|lbal
638|36968|mf|pass
644|77865|oa|lbal
644|28649|da|brec
647|86813|da|cond
648|86813|da|pass
649|51310|da|rec
650|51310|da|pass
650|28649|da|rec
651|28649|da|pass
653|44336|di|bpas
656|77864|mf|pass
658|77865|oi|cond
659|77865|oi|pass
663|75773|oi|drib
663|126407|di|dled
668|75773|oi|fsuf
668|51310|di|foul
706|76542|oi|bpas
708|50117|da|clea
716|85971|oa|pass
719|77865|oi|bpas
722|34694|da|clea
723|119468|oi|bpas
725|126407|di|brec
726|126407|di|pass
728|75773|oi|lbal
728|51310|di|lbal
732|126407|di|pass
732|17337|mf|rec
733|17337|mf|pass
736|98762|mf|dled
736|44336|mf|drib
738|77864|mf|brec
738|44336|mf|lbal
740|77864|mf|pass
742|77875|mf|rec
743|77875|mf|pass
747|36968|mf|cond
748|36968|mf|pass
750|85971|oi|drib
750|50117|di|dled
751|85971|oi|drib
751|28649|di|dled
755|85971|oa|lbal
755|86813|da|brec
758|86813|da|bout
788|76542|oa|bpas
790|28549|da|gsav
796|175078|di|bpas
797|170452|mf|bpas
798|77864|mf|bout
818|86813|mf|pass
823|44336|mf|cond
824|44336|oi|pass
827|51310|mf|rec
828|51310|mf|pass
829|44336|mf|rec
830|44336|mf|pass
830|51310|mf|rec
831|51310|mf|pass
833|17337|mf|rec
834|17337|mf|pass
835|50117|mf|cond
836|50117|mf|pass
839|119468|mf|dled
839|126407|mf|drib
840|126407|mf|bpas
841|75773|mf|int
842|77865|mf|brec
845|75773|mf|drib
845|86813|mf|dled
847|75773|mf|pass
853|77875|mf|rec
854|77875|oi|pass
855|85971|oi|bpas
859|85971|oa|bout
872|34694|da|bpas
874|85971|oi|int
875|85971|oi|bout
886|34694|di|pass
888|119468|mf|dled
888|149828|mf|drib
890|149828|mf|bpas
894|76542|mf|fsuf
894|51310|mf|foul
905|76542|mf|pass
906|77875|mf|rec
907|77875|mf|pass
908|98762|mf|cond
909|98762|mf|pass
910|77864|mf|rec
911|77864|mf|pass
914|85971|mf|lbal
915|51310|mf|brec
919|51310|mf|pass
922|34694|mf|cond
923|34694|mf|pass
929|50117|mf|bpas
932|77875|mf|clea
934|77875|mf|bout
939|86813|mf|pass
942|28649|mf|cond
943|28649|mf|pass
948|50117|di|rec
949|50117|di|pass
953|28649|di|rec
954|28649|mf|pass
956|50117|mf|rec
957|50117|mf|pass
958|34694|mf|cond
959|34694|mf|pass
960|175078|mf|rec
961|175078|mf|pass
961|126407|mf|rec
962|126407|mf|pass
962|149828|oi|rec
963|149828|oi|pass
964|175078|oi|lbal
965|119468|di|brec
968|98762|da|cond
969|98762|da|pass
969|76542|di|cond
970|76542|di|pass
975|170452|mf|bpas
976|175078|mf|int
979|50117|di|pass
979|34694|mf|rec
980|34694|mf|pass
981|50117|mf|brec
982|36968|mf|int
982|50117|mf|bpas
983|170452|mf|bout
988|34694|mf|pass
989|50117|di|cond
990|50117|di|pass
992|28649|di|rec
993|28649|di|pass
995|86813|mf|rec
996|86813|mf|pass
998|28649|di|rec
999|28649|di|pass
1004|50117|di|bpas
1008|170452|di|clea
1010|34694|mf|int
1011|34694|mf|bout
1022|170452|mf|pass
1022|119468|mf|rec
1022|76542|mf|rec
1023|119468|mf|pass
1023|76542|mf|pass
1026|170452|di|rec
1027|170452|di|pass
1032|77865|oi|rec
1033|77865|oi|pass
1033|36968|oi|rec
1034|36968|oi|pass
1037|119468|mf|fsuf
1037|17337|mf|foul
1072|76542|mf|bpas
1075|28649|da|clea
1081|77865|oi|pass
1081|119468|mf|rec
1082|119468|mf|pass
1082|76542|mf|rec
1083|76542|mf|pass
1085|77865|mf|lbal
1085|17337|mf|lbal
1086|77865|mf|brec
1090|77864|mf|pass
1091|170452|mf|bpas
1095|170452|mf|bout
1099|34694|mf|pass
1103|175078|mf|cond
1104|175078|mf|pass
1107|149828|oa|cond
1108|149828|oa|pass
1108|175078|oi|rec
1109|175078|oi|wsho
1112|175078|oa|bout
1138|82975|da|pass
1143|36968|mf|brec
1143|126407|mf|lbal
1144|77865|oi|bpas
1146|36968|oi|lbal
1146|50117|di|brec
1148|119468|mf|brec
1148|175078|mf|lbal
1149|75773|mf|pass
1151|170452|mf|rec
1152|170452|di|pass
1155|82975|da|bpas
1159|119468|mf|lbal
1159|126407|mf|brec
1162|76542|mf|lbal
1162|51310|mf|brec
1163|51310|mf|brec
1166|51310|mf|pass
1167|175078|mf|rec
1168|175078|mf|pass
1168|126407|mf|rec
1169|126407|mf|pass
1172|28549|di|rec
1173|28549|di|pass
1175|28649|di|rec
1176|28649|di|pass
1179|50117|di|cond
1180|50117|mf|pass
1185|28649|mf|cond
1186|28649|mf|pass
1190|28549|da|cond
1191|28549|da|pass
1195|50117|di|cond
1196|50117|mf|pass
1198|28649|di|cond
1199|28649|mf|pass
1202|86813|mf|rec
1203|86813|oi|pass
1204|149828|oa|cond
1205|149828|oa|wsho
1207|77864|da|clea
1210|85971|di|clea
1213|36968|di|brec
1213|126407|oi|lbal
1214|76542|di|brec
1219|170452|da|bpas
1223|50117|mf|brec
1226|50117|mf|pass
1227|126407|mf|rec
1228|126407|mf|pass
1229|34694|mf|rec
1230|34694|mf|pass
1232|149828|oi|bpas
1235|75773|di|foul
1235|175078|oi|fsuf
1284|175078|oi|bpas
1286|82975|da|brec
1286|50117|oa|lbal
1287|82975|da|gsav
1292|82975|da|bout
1299|86813|oa|pass
1300|51310|oa|rec
1301|51310|oa|pass
1301|86813|oa|rec
1302|86813|oa|pass
1302|44336|oa|rec
1303|44336|oa|pass
1304|86813|oa|bpas
1305|98762|da|clea
1307|17337|oa|wsho
1308|17337|oa|bout
1334|82975|da|pass
1339|36968|mf|bpas
1340|17337|mf|bpas
1343|77864|mf|brec
1343|149828|mf|lbal
1345|170452|mf|clea
1347|85971|mf|pass
1348|36968|mf|bpas
1349|44336|mf|brec
1351|36968|mf|dled
1351|51310|mf|drib
1353|119468|mf|lbal
1353|51310|mf|lbal
