_ts|player_id|place|move
1|54917|mf|pass
1|26901|mf|rec
2|26901|mf|pass
2|39847|mf|rec
3|39847|mf|pass
5|39194|di|bpas
7|119468|mf|int
8|119468|mf|bout
13|39194|mf|bpas
19|170452|da|clea
22|26901|oa|bpas
25|76542|di|brec
28|85971|mf|lbal
31|8924|di|brec
32|8924|di|pass
37|60772|da|bpas
40|85971|mf|brec
41|85971|oi|bpas
41|34949|di|fsuf
67|60772|da|bpas
71|98762|mf|bpas
73|98762|oi|bout
83|39194|mf|bpas
85|170452|di|clea
86|116694|mf|brec
91|77865|mf|cond
92|77865|oi|pass
95|75773|oi|cond
96|75773|oi|pass
97|170452|mf|rec
98|170452|mf|pass
100|76542|mf|rec
101|76542|mf|pass
102|77864|mf|rec
103|77864|mf|pass
106|77875|mf|bpas
108|18679|mf|brec
109|18679|mf|pass
111|154976|mf|bpas
112|154976|mf|bout
123|77875|mf|bpas
124|154976|mf|brec
127|39847|mf|cond
128|39847|oi|pass
131|54917|oi|bpas
132|54917|oa|bout
155|170450|da|bpas
160|39104|di|brec
160|116694|oi|lbal
161|39104|di|bpas
162|34949|di|lbal
162|77865|oi|brec
163|77865|oi|bpas
227|34949|di|pass
228|60772|da|bpas
228|77864|mf|fsuf
238|98762|mf|pass
240|119468|mf|rec
241|119468|mf|pass
242|170452|mf|cond
243|170452|mf|pass
246|116694|oi|lbal
247|116694|oi|bout
264|39194|di|pass
265|41184|mf|cond
266|41184|mf|pass
268|26901|mf|bpas
269|119468|mf|int
272|77864|mf|clea
273|39847|mf|brec
273|75773|mf|lbal
275|39194|mf|pass
276|54917|mf|bpas
279|77864|di|clea
284|54917|oi|pass
290|26901|oa|cond
291|26901|oa|pass
292|39194|oi|cond
293|39194|oi|pass
294|34949|mf|rec
295|34949|mf|pass
297|8924|mf|cond
298|8924|mf|pass
301|85971|mf|lbal
301|18679|mf|lbal
304|77864|di|fsuf
304|8924|mf|bpas
336|170450|di|bpas
340|116694|oi|lbal
340|39104|di|brec
341|39104|di|pass
341|41184|di|rec
342|41184|di|pass
343|54917|di|brec
345|76542|mf|int
346|39194|mf|bpas
350|77864|di|pass
351|76542|mf|lbal
352|39847|mf|pass
355|54917|oa|bpas
356|77864|da|clea
359|170450|da|gsav
361|170450|da|pass
362|75773|di|rec
363|75773|di|pass
368|76542|mf|rec
369|76542|mf|pass
373|77865|oi|rec
374|77865|oi|pass
376|75773|oa|lbal
377|39847|da|brec
378|39847|da|clea
380|39847|da|bout
385|75773|oa|pass
389|39104|da|brec
389|77865|oa|lbal
390|39104|da|brec
392|39104|da|pass
394|39194|da|brec
395|39194|da|bout
414|75773|oa|bpas
416|170452|oa|bout
431|60772|da|pass
437|98762|di|foul
437|41184|oi|fsuf
495|54917|oi|pass
496|26901|oa|lbal
497|76542|da|clea
499|26901|oa|bpas
501|119468|da|clea
501|39847|oi|pass
503|54917|oa|bpas
