_ts|player_id|place|move
1|18507|mf|pass
1|20664|mf|cond
2|20664|mf|pass
2|54104|mf|rec
3|54104|mf|pass
3|41328|di|rec
4|41328|di|pass
8|37793|di|cond
9|37793|di|pass
13|4232|da|bpas
19|48853|di|clea
20|42565|mf|bpas
20|20664|mf|bpas
23|42565|mf|pass
26|122779|mf|brec
27|105835|mf|rec
28|105835|mf|pass
29|83531|mf|rec
30|83531|mf|pass
33|37265|mf|cond
34|37265|mf|pass
37|122779|oi|rec
38|122779|oa|pass
41|37793|da|dled
41|42565|oa|drib
44|3508|da|lbal
44|42565|oa|pass
44|105835|oa|lbal
45|52356|da|bout
73|37265|oa|bpas
74|52356|da|clea
76|37269|oa|wsho
77|37269|oa|bout
102|4232|da|pass
108|18507|oi|bpas
109|37269|di|int
111|37269|di|brec
114|48853|da|bpas
120|41328|oa|pass
121|20664|oi|bpas
122|105835|da|pass
123|122779|da|bpas
124|20664|oa|int
125|49579|oa|pass
126|20664|oa|lbal
127|118749|da|brec
130|118749|da|clea
131|118749|da|bout
137|41328|oa|pass
137|49579|oa|rec
138|49579|oa|pass
139|41328|oa|lbal
140|41328|oi|bout
147|122779|di|bpas
151|41328|oi|foul
151|42565|di|fsuf
176|33148|di|bpas
179|17861|di|brec
179|37265|oi|lbal
180|17861|da|clea
182|122779|oi|pass
185|105835|oi|bpas
186|49579|da|int
188|37793|da|clea
190|37793|mf|bout
194|37269|mf|pass
196|48853|di|cond
197|48853|di|pass
199|33148|da|cond
200|33148|da|pass
203|48853|di|rec
204|48853|di|pass
210|33148|da|cond
211|33148|da|pass
212|4232|da|gsav
219|4232|da|bpas
223|18507|mf|lbal
223|100981|mf|brec
224|118749|mf|bpas
225|3508|mf|pass
227|20664|mf|cond
228|20664|oi|pass
229|49579|oi|cond
230|49579|oi|pass
232|20664|oi|lbal
232|37269|di|brec
234|42565|di|brec
236|42565|di|pass
237|122779|mf|rec
238|122779|mf|pass
241|37269|di|cond
242|37269|di|pass
249|48852|mf|cond
250|48852|mf|pass
258|37265|mf|cond
259|37265|mf|pass
261|37269|mf|rec
262|37269|mf|pass
268|100981|mf|lbal
270|100981|mf|bout
276|52356|mf|pass
277|17861|mf|cond
278|17861|mf|pass
280|37793|di|rec
281|37793|mf|pass
282|54104|mf|rec
283|54104|mf|pass
283|3508|mf|cond
284|3508|mf|pass
286|52356|mf|bpas
288|118749|mf|brec
290|54104|mf|int
291|12237|mf|bpas
292|100981|mf|clea
295|17861|di|clea
297|17861|di|bout
311|48852|oi|pass
311|37265|oi|rec
312|37265|oi|pass
313|3508|di|int
313|48852|oi|bpas
314|3508|di|bout
331|48852|oi|pass
331|42565|oi|rec
332|42565|oi|pass
332|48852|oi|cond
333|48852|oi|pass
338|52356|di|brec
338|37265|oi|lbal
340|52356|di|bout
343|48852|oi|pass
344|83531|mf|bpas
345|20664|mf|brec
347|20664|mf|pass
350|12237|mf|bpas
352|48853|di|brec
353|48853|di|pass
354|122779|di|rec
355|122779|di|pass
357|105835|mf|rec
358|105835|mf|pass
361|48853|di|cond
362|48853|di|pass
362|118749|di|rec
363|118749|di|pass
367|100981|di|bpas
371|41328|di|pass
373|4232|da|gsav
374|4232|da|pass
376|17861|da|cond
377|17861|da|pass
380|37793|mf|rec
381|37793|mf|pass
382|49579|mf|cond
383|49579|mf|pass
387|37793|mf|lbal
387|42565|mf|brec
388|42565|mf|brec
391|42565|mf|bpas
394|4232|da|gsav
395|4232|da|pass
400|17861|di|rec
401|17861|mf|pass
403|3508|mf|cond
404|3508|mf|pass
407|41328|mf|cond
408|41328|mf|pass
409|54104|mf|rec
410|54104|mf|pass
414|12237|mf|lbal
414|118749|mf|brec
416|100981|mf|brec
418|105835|mf|bpas
419|54104|mf|int
419|49579|mf|rec
420|49579|mf|pass
420|3508|mf|rec
421|3508|mf|pass
421|41328|mf|rec
422|41328|mf|pass
422|3508|mf|rec
423|3508|mf|pass
424|18507|oi|rec
425|18507|oi|pass
426|54104|mf|rec
427|54104|mf|pass
428|20664|mf|rec
429|20664|mf|pass
432|52356|oi|rec
433|52356|oi|pass
435|3508|mf|rec
436|3508|mf|pass
441|37265|mf|foul
441|12237|mf|fsuf
475|3508|oi|bpas
481|33148|da|gsav
485|100981|da|brec
488|42565|da|rec
489|42565|da|pass
490|49579|oi|brec
490|83531|di|bpas
491|49579|oi|bpas
495|33148|da|gsav
498|33148|da|pass
504|37269|di|rec
505|37269|di|pass
508|33148|da|bpas
509|33148|da|bout
514|41328|oa|pass
516|49579|oi|drib
516|122779|di|dled
518|20664|oi|pass
518|3508|oi|rec
519|3508|oi|pass
525|41328|oa|bpas
528|48852|da|brec
529|48852|da|bpas
531|17861|mf|brec
531|37265|mf|lbal
532|17861|mf|pass
533|52356|mf|bpas
535|37265|di|int
536|37265|di|brec
538|52356|mf|lbal
538|37265|mf|lbal
541|100981|di|pass
542|33148|da|rec
543|33148|da|pass
548|42565|mf|bpas
554|52356|mf|pass
556|17861|mf|bpas
562|122779|mf|lbal
563|122779|mf|bout
577|41328|mf|pass
580|37793|mf|cond
581|37793|mf|pass
582|3508|di|cond
583|3508|di|pass
583|41328|mf|cond
584|41328|mf|pass
585|54104|mf|rec
586|54104|mf|pass
586|41328|mf|rec
587|41328|mf|pass
589|37793|mf|rec
590|37793|mf|pass
592|3508|di|rec
593|3508|di|pass
600|122779|di|dled
600|49579|oi|drib
601|49579|oi|bpas
603|37269|di|int
605|37269|di|pass
608|48852|di|bpas
610|17861|di|brec
611|17861|di|pass
612|37793|di|rec
613|37793|di|pass
614|4232|da|cond
615|4232|da|pass
618|41328|di|bpas
620|41328|di|brec
623|105835|oi|int
623|41328|di|bout
632|122779|oi|pass
639|37269|mf|bpas
639|17861|di|fsuf
651|52356|di|pass
652|12237|di|cond
653|12237|mf|pass
659|17861|di|cond
660|17861|di|pass
661|37793|di|rec
662|37793|di|pass
665|3508|di|cond
666|3508|di|pass
671|41328|mf|rec
672|41328|mf|pass
674|37793|di|cond
675|37793|di|pass
675|3508|mf|rec
676|3508|mf|pass
678|37793|mf|cond
679|37793|mf|pass
680|54104|mf|rec
681|54104|mf|pass
684|48853|mf|lbal
684|18507|mf|lbal
686|105835|mf|brec
686|18507|mf|lbal
687|54104|mf|bout
698|122779|mf|pass
699|42565|mf|rec
700|42565|mf|pass
703|48853|di|rec
704|48853|di|pass
705|100981|di|cond
706|100981|di|pass
708|48852|mf|bpas
710|17861|mf|int
714|48853|di|clea
718|37265|mf|brec
720|37265|mf|lbal
720|20664|mf|brec
721|54104|mf|brec
721|3508|mf|rec
722|54104|mf|pass
722|3508|mf|pass
722|12237|mf|rec
723|12237|mf|pass
723|52356|mf|rec
724|52356|mf|pass
724|54104|mf|rec
725|54104|mf|pass
725|17861|mf|rec
726|17861|mf|pass
727|37793|di|rec
728|37793|di|pass
730|41328|mf|rec
731|41328|mf|pass
733|49579|mf|cond
734|49579|mf|pass
735|20664|mf|cond
736|20664|mf|pass
736|54104|mf|rec
737|54104|mf|pass
738|3508|mf|rec
739|3508|mf|pass
741|20664|oi|bpas
745|100981|di|int
746|100981|di|brec
