_ts|player_id|place|move
1|18507|mf|pass
1|12237|mf|cond
2|12237|mf|pass
3|52356|mf|rec
4|52356|mf|pass
7|17861|di|rec
8|17861|di|pass
12|54104|di|cond
13|54104|di|pass
19|18221|di|rec
20|18221|mf|pass
21|21095|mf|foul
21|18507|mf|fsuf
32|20664|mf|pass
33|3508|mf|rec
34|3508|mf|pass
34|12237|mf|rec
35|12237|mf|pass
38|17861|mf|cond
39|17861|mf|pass
40|54104|mf|rec
41|54104|mf|pass
41|17861|di|rec
42|17861|di|pass
45|18221|di|cond
46|18221|di|pass
46|20664|mf|rec
47|20664|mf|pass
49|5816|mf|rec
50|5816|mf|pass
52|3508|mf|cond
53|3508|mf|pass
53|54104|di|rec
54|54104|di|pass
59|17861|mf|bpas
63|72162|da|gsav
64|72162|da|pass
66|21095|di|rec
67|21095|di|pass
69|72162|da|rec
70|72162|da|pass
73|8533|mf|brec
73|18221|mf|lbal
75|17861|mf|int
76|54104|mf|lbal
77|15403|mf|lbal
77|54104|mf|brec
78|3508|di|brec
79|3508|di|pass
79|52356|di|rec
80|52356|di|pass
80|54104|mf|rec
81|54104|mf|pass
81|52356|di|rec
82|52356|di|pass
84|12237|mf|rec
85|12237|di|pass
91|18221|di|bpas
95|52940|di|brec
95|18507|oi|lbal
98|39204|di|pass
100|58877|di|brec
102|58877|di|pass
103|8533|mf|brec
103|18221|mf|lbal
104|8533|mf|bpas
106|17861|di|bpas
107|15076|mf|bpas
111|18221|di|pass
112|54104|di|brec
113|54104|di|pass
114|20664|mf|bpas
115|15076|mf|brec
116|15076|mf|pass
116|39204|mf|rec
117|39204|mf|pass
118|85352|mf|cond
119|85352|mf|pass
120|58877|mf|cond
121|58877|mf|pass
124|85352|di|cond
125|85352|di|pass
128|72162|da|bpas
132|18221|mf|bpas
134|39204|mf|brec
134|3508|mf|lbal
135|15076|mf|pass
136|8533|mf|rec
137|8533|mf|pass
138|58877|mf|cond
139|58877|mf|pass
140|15076|mf|rec
141|15076|mf|pass
141|58877|mf|rec
142|58877|mf|pass
144|85352|di|rec
145|85352|di|pass
147|21095|di|rec
148|21095|di|pass
149|78140|mf|rec
150|78140|mf|pass
152|72162|da|rec
153|72162|da|pass
156|15076|mf|bpas
157|17861|mf|brec
158|17861|mf|pass
159|52356|mf|bpas
163|78140|mf|int
168|52356|mf|pass
174|3508|mf|cond
175|3508|mf|pass
178|41328|mf|lbal
180|85352|mf|clea
181|85352|mf|bout
196|41328|mf|pass
197|18221|mf|rec
198|18221|mf|pass
199|17861|mf|rec
200|17861|mf|pass
202|3508|mf|cond
203|3508|mf|pass
205|20664|mf|cond
206|20664|mf|pass
207|5816|mf|cond
208|5816|mf|pass
210|3508|mf|bpas
214|72162|da|gsav
222|72162|da|bpas
227|72162|oi|bout
241|41328|di|pass
242|3508|di|rec
243|3508|di|pass
243|54104|di|rec
244|54104|di|pass
246|41328|di|bpas
247|58877|mf|int
248|58877|oi|bout
257|41328|di|pass
259|20664|mf|rec
260|20664|mf|pass
263|18507|mf|cond
264|18507|mf|pass
265|5816|mf|cond
266|5816|mf|pass
268|41328|mf|rec
269|41328|mf|pass
271|20664|mf|cond
272|20664|mf|pass
273|5816|mf|rec
274|5816|mf|pass
275|3508|mf|cond
276|3508|mf|pass
281|52356|mf|cond
282|52356|oi|pass
283|12237|oi|cond
284|12237|oi|pass
287|5816|oi|cond
288|5816|oi|pass
288|54104|mf|rec
289|54104|mf|pass
289|17861|mf|rec
290|17861|mf|pass
294|52940|di|foul
294|3508|oi|fsuf
319|52356|oi|pass
320|5816|mf|cond
321|5816|mf|pass
321|12237|oi|cond
322|12237|oi|pass
323|5816|oi|rec
324|5816|oi|pass
325|52356|oi|bpas
326|52940|da|int
327|52940|da|clea
332|8533|mf|fsuf
332|3508|mf|foul
340|52940|mf|pass
341|78140|di|cond
342|78140|di|pass
344|85352|di|cond
345|85352|di|pass
347|58877|mf|rec
348|58877|mf|pass
350|85352|di|rec
351|85352|di|pass
352|12297|mf|rec
353|12297|mf|pass
353|15076|mf|rec
354|15076|mf|pass
355|15403|mf|fsuf
355|5816|mf|foul
371|15076|mf|pass
374|78140|mf|cond
375|78140|mf|pass
377|21095|di|cond
378|21095|di|pass
380|78140|di|bpas
382|17861|mf|pass
383|52356|mf|bpas
385|21095|mf|bpas
390|41328|da|pass
391|4232|da|gsav
396|4232|da|pass
398|41328|di|cond
399|41328|di|pass
401|18221|da|cond
402|18221|da|pass
405|54104|di|cond
406|54104|di|pass
407|3508|di|cond
408|3508|di|pass
410|17861|di|cond
411|17861|di|pass
415|5816|mf|rec
416|5816|mf|pass
419|18221|di|cond
420|18221|mf|pass
422|3508|mf|rec
423|3508|mf|pass
425|18221|mf|bpas
428|52940|di|clea
430|39204|mf|brec
431|39204|di|pass
431|52940|di|rec
432|52940|di|pass
434|78140|di|cond
435|78140|di|pass
438|8533|mf|bpas
440|18221|mf|bpas
441|39204|mf|brec
441|3508|mf|lbal
443|52356|mf|lbal
444|8533|mf|pass
444|52356|mf|lbal
447|15403|oa|wsho
447|4232|da|gsav
450|17861|da|brec
452|17861|di|pass
453|54104|di|cond
454|54104|di|pass
456|52940|mf|brec
456|3508|mf|lbal
459|78140|di|brec
460|78140|mf|pass
461|72162|di|rec
462|72162|di|pass
466|85352|di|rec
467|85352|di|pass
467|58877|mf|rec
468|58877|mf|pass
471|8533|mf|cond
472|8533|oi|pass
472|12297|oi|cond
473|12297|oi|pass
476|15076|oi|bpas
478|5816|di|int
481|21095|mf|pass
482|85352|mf|cond
483|85352|mf|pass
485|58877|mf|rec
486|58877|mf|pass
486|15076|mf|rec
487|15076|mf|pass
487|39204|mf|rec
488|39204|mf|pass
490|15076|mf|cond
491|15076|mf|pass
492|21095|di|cond
493|21095|di|pass
494|78140|di|rec
495|78140|di|pass
499|52940|mf|cond
500|52940|mf|pass
503|58877|oi|lbal
503|41328|di|brec
506|41328|da|brec
507|41328|da|pass
508|18221|da|rec
509|18221|da|pass
510|20664|da|rec
511|20664|da|pass
512|54104|di|cond
513|54104|di|pass
515|52356|di|rec
516|52356|di|pass
517|12237|mf|rec
518|12237|mf|pass
519|5816|mf|cond
520|5816|mf|pass
521|17861|di|rec
522|17861|di|pass
525|3508|mf|bpas
527|3508|oi|bout
550|78140|di|bpas
551|17861|mf|brec
552|17861|mf|pass
554|18221|di|cond
555|18221|mf|pass
556|20664|mf|rec
557|20664|mf|pass
557|18221|di|rec
558|18221|di|pass
558|54104|mf|cond
559|54104|mf|pass
561|5816|mf|rec
562|5816|mf|pass
562|3508|mf|rec
563|3508|mf|pass
566|12237|mf|lbal
566|15076|mf|brec
568|39204|mf|brec
568|52940|mf|rec
569|52940|mf|pass
569|21095|di|rec
570|21095|di|pass
572|58877|mf|rec
573|58877|mf|pass
574|15403|mf|rec
575|15403|mf|pass
576|58877|mf|bpas
577|41328|mf|int
578|41328|mf|brec
579|41328|mf|pass
579|54104|mf|rec
580|54104|mf|pass
580|18221|di|rec
581|18221|di|pass
585|3508|mf|cond
586|3508|mf|pass
591|12237|mf|cond
592|12237|oi|wsho
594|12237|oa|bout
620|72162|da|pass
620|78140|di|rec
621|78140|di|pass
622|52940|mf|bpas
622|20664|oi|brec
623|20664|oi|pass
623|12237|oi|rec
624|12237|oi|pass
624|3508|mf|rec
625|3508|mf|pass
626|52940|di|int
626|12237|oi|bpas
627|39204|di|lbal
628|3508|oi|pass
629|5816|mf|brec
630|5816|mf|pass
631|3508|mf|rec
632|3508|oi|pass
632|52356|oi|cond
633|52356|mf|pass
634|52356|oi|pass
634|3508|oi|bpas
636|21095|di|int
639|58877|da|brec
640|58877|da|bpas
642|18221|mf|brec
643|18221|mf|pass
643|54104|mf|rec
644|54104|mf|pass
645|41328|mf|rec
646|41328|mf|pass
646|12237|mf|rec
647|12237|mf|pass
647|18221|di|rec
648|18221|di|pass
650|54104|mf|rec
651|54104|mf|pass
653|17861|mf|rec
654|17861|mf|pass
654|20664|mf|rec
655|20664|mf|pass
655|17861|mf|rec
656|17861|mf|pass
658|5816|mf|cond
659|5816|mf|pass
661|12237|mf|cond
662|12237|mf|pass
665|18507|mf|rec
666|18507|oi|pass
668|41328|oi|rec
669|41328|oa|pass
671|18507|oa|rec
672|18507|oa|pass
674|5816|oi|rec
675|5816|oi|pass
675|41328|oi|rec
676|41328|oi|pass
679|5816|oi|cond
680|5816|oi|pass
683|18221|mf|bpas
687|52940|di|clea
690|17861|mf|pass
691|12237|mf|cond
692|12237|mf|pass
693|20664|oi|rec
694|20664|oi|pass
696|5816|mf|bpas
699|72162|da|gsav
707|72162|da|pass
712|12297|mf|brec
712|17861|mf|lbal
715|4232|da|gsav
717|4232|da|pass
719|41328|di|rec
720|41328|di|pass
720|5816|di|rec
721|5816|di|pass
722|41328|di|rec
723|41328|di|pass
725|54104|di|cond
726|54104|di|pass
728|12237|mf|cond
729|12237|mf|pass
730|18507|mf|cond
731|18507|mf|pass
734|20664|mf|cond
735|20664|mf|pass
736|3508|mf|rec
737|3508|mf|pass
739|12237|mf|bpas
740|85352|di|brec
741|85352|di|pass
742|12297|mf|cond
743|12297|mf|pass
745|58877|mf|rec
746|58877|mf|pass
748|85352|di|rec
749|85352|di|pass
751|39204|di|lbal
751|20664|oi|brec
752|5816|oi|brec
753|5816|oi|pass
756|39204|di|lbal
757|18507|oa|wsho
757|21095|da|gsav
762|21095|da|brec
762|18507|oa|lbal
763|21095|di|bout
780|52356|oi|pass
783|18507|oa|bpas
784|78140|da|int
787|72162|da|gsav
797|72162|da|pass
801|78140|mf|bpas
804|18221|di|pass
805|3508|mf|brec
806|3508|di|pass
807|17861|di|cond
808|17861|di|pass
810|18221|di|rec
811|18221|di|pass
813|41328|di|rec
814|41328|di|pass
816|18221|di|rec
817|18221|di|pass
819|54104|di|rec
820|54104|mf|pass
821|18507|mf|rec
822|18507|mf|pass
823|18221|di|rec
824|18221|di|pass
825|54104|mf|cond
826|54104|mf|pass
829|12237|mf|cond
830|12237|mf|pass
833|3508|mf|bpas
837|52356|oa|bout
857|72162|da|bpas
861|12297|mf|lbal
861|17861|mf|brec
862|17861|di|clea
863|12237|mf|brec
864|5816|mf|bpas
865|15076|mf|int
866|5816|mf|brec
867|15403|mf|bpas
870|15076|mf|foul
870|54104|mf|fsuf
895|5816|mf|pass
896|41328|mf|rec
897|41328|mf|pass
904|17861|di|rec
905|17861|mf|pass
907|15403|mf|foul
907|54104|mf|fsuf
936|3508|mf|pass
937|54104|mf|rec
938|54104|mf|pass
938|3508|mf|rec
939|3508|mf|pass
939|5816|mf|rec
940|5816|mf|pass
940|54104|mf|rec
941|54104|mf|pass
945|17861|mf|cond
946|17861|mf|pass
951|12237|mf|rec
952|12237|mf|pass
954|3508|mf|bpas
956|15076|mf|int
958|21095|di|pass
961|58877|mf|brec
962|58877|mf|bpas
968|12297|oi|foul
968|17861|di|fsuf
983|54104|di|pass
984|17861|di|rec
985|17861|di|pass
988|18221|di|cond
989|18221|di|pass
990|54104|di|rec
991|54104|di|pass
992|18221|di|rec
993|18221|di|pass
996|12237|mf|bpas
999|12237|oi|bout
1013|58877|di|bpas
1014|18221|mf|pass
1014|54104|mf|rec
1015|54104|mf|pass
1016|41328|mf|brec
1017|41328|mf|pass
1018|20664|mf|lbal
1019|85352|mf|pass
1021|15076|di|brec
1022|15076|di|pass
1028|72162|da|bpas
1030|17861|mf|brec
1031|17861|mf|pass
1032|3508|mf|rec
1033|3508|mf|pass
1034|12237|mf|rec
1035|12237|mf|pass
1036|58877|mf|brec
1036|20664|mf|lbal
1037|15076|di|brec
1038|15076|mf|pass
1039|58877|mf|bpas
1044|4232|da|gsav
1049|4232|da|pass
1049|17861|di|cond
1050|17861|di|pass
1051|52356|mf|cond
1052|52356|mf|pass
1052|3508|mf|rec
1053|3508|mf|pass
1054|5816|mf|rec
1055|5816|mf|pass
1056|3508|mf|rec
1057|3508|mf|pass
1060|41328|mf|bpas
1063|85352|mf|lbal
1064|85352|mf|lbal
1065|20664|oi|pass
1066|18507|oa|cond
1067|18507|oa|wsho
1068|18507|oa|bout
1099|72162|da|pass
1101|8533|oa|lbal
1105|8533|oa|bout
1150|4232|da|pass
1150|18221|di|rec
1151|18221|di|pass
1152|54104|mf|rec
1153|54104|mf|pass
1155|41328|mf|cond
1156|41328|mf|pass
1156|20664|mf|rec
1157|20664|mf|pass
1159|18221|mf|cond
1160|18221|mf|pass
1161|54104|mf|rec
1162|54104|mf|pass
1163|3508|mf|rec
1164|3508|mf|pass
1166|5816|mf|rec
1167|5816|mf|pass
1171|20664|oa|bpas
1172|21095|da|int
1174|20664|oa|pass
1176|3508|oa|bpas
1177|78140|di|int
1178|78140|di|brec
1179|78140|di|pass
1183|15403|di|lbal
1183|41328|oi|brec
1184|41328|oi|brec
1187|5816|oi|rec
1188|5816|oi|pass
1190|41328|oi|rec
1191|41328|oi|pass
1192|54104|mf|rec
1193|54104|mf|pass
1193|3508|mf|rec
1194|3508|mf|pass
1197|17861|mf|cond
1198|17861|mf|pass
1200|54104|mf|rec
1201|54104|mf|pass
1203|5816|mf|cond
1204|5816|mf|pass
1206|52356|oi|rec
1207|52356|oi|pass
1208|12237|oi|cond
1209|12237|mf|pass
1210|5816|mf|rec
1211|5816|mf|pass
1212|3508|mf|rec
1213|3508|mf|pass
1214|12237|oi|rec
1215|12237|oi|pass
1215|20664|oi|rec
1216|20664|oi|pass
1216|12237|oi|cond
1217|12237|oi|pass
1219|20664|oi|pass
1220|3508|mf|rec
1221|3508|mf|pass
1221|20664|mf|rec
1222|20664|mf|pass
1223|12237|mf|rec
1224|12237|mf|pass
1226|18507|oi|rec
1227|18507|oi|pass
1230|52356|oa|bpas
1232|52940|da|clea
1233|20664|oi|brec
1234|39204|di|int
1234|52356|oi|pass
1236|3508|oi|rec
1237|3508|oi|pass
1241|41328|oi|bpas
1243|85352|di|int
1244|15076|di|brec
1245|15076|di|bpas
1249|4232|da|brec
1250|4232|da|pass
1250|18221|di|rec
1251|18221|di|pass
1254|54104|di|rec
1255|54104|mf|pass
1256|3508|mf|cond
1257|3508|mf|pass
1261|12237|mf|cond
1262|12237|mf|pass
1264|41328|mf|rec
1265|41328|mf|pass
1266|12237|mf|rec
1267|12237|mf|pass
1268|5816|mf|rec
1269|5816|mf|pass
1272|12237|mf|rec
1273|12237|mf|pass
1274|20664|mf|rec
1275|20664|mf|pass
1276|17861|mf|rec
1277|17861|mf|pass
1277|5816|mf|rec
1278|5816|mf|pass
1279|54104|mf|rec
1280|54104|mf|pass
1280|3508|mf|cond
1281|3508|mf|pass
1285|12237|mf|cond
1286|12237|oi|pass
1288|52356|oi|rec
1289|52356|oi|pass
1291|3508|mf|rec
1292|3508|mf|pass
1294|12237|oi|cond
1295|12237|oi|pass
1296|20664|oa|rec
1297|20664|oa|pass
1300|12237|oa|bpas
1303|15076|da|int
1304|15076|da|bout
1330|5816|oa|pass
1331|17861|oa|cond
1332|17861|oa|wsho
1336|5816|oa|bout
1359|72162|da|bpas
1363|52356|mf|bpas
1365|78140|mf|clea
1367|21095|di|brec
1367|18507|oi|lbal
1369|21095|da|bout
1394|52356|oa|pass
1394|12237|oi|rec
1395|12237|oi|pass
1395|52356|oa|rec
1396|52356|oa|pass
1400|78140|di|lbal
1400|12237|oi|lbal
1404|12237|mf|pass
1408|41328|mf|rec
1409|41328|mf|pass
1410|18221|di|cond
1411|18221|di|pass
1413|5816|mf|cond
1414|5816|mf|pass
1417|20664|mf|bpas
1420|17861|di|pass
1421|21095|mf|int
1422|5816|mf|pass
1422|54104|mf|rec
1423|54104|mf|pass
1423|12237|mf|cond
1424|12237|mf|pass
1427|18507|oi|bpas
1430|58877|di|brec
1431|58877|di|pass
1434|8533|mf|rec
1435|8533|mf|pass
1436|58877|mf|lbal
1436|41328|mf|brec
1438|41328|mf|bout
1444|58877|mf|pass
1444|15403|mf|rec
1445|15403|mf|pass
1445|58877|mf|pass
1446|85352|di|cond
1447|85352|da|pass
1456|72162|da|bpas
1460|17861|mf|bpas
1464|12297|mf|pass
1464|8533|oi|rec
1465|8533|oi|pass
1467|15403|mf|cond
1468|15403|mf|pass
1468|58877|oi|rec
1469|58877|oi|pass
1471|15403|oi|cond
1472|15403|oi|pass
1473|58877|oa|rec
1474|58877|oa|pass
1476|52940|oa|rec
1477|52940|oa|pass
1478|39204|oa|lbal
1479|12237|di|brec
1484|39204|oi|foul
1484|12237|di|fsuf
1506|54104|di|pass
1508|5816|mf|cond
1509|5816|mf|pass
1510|12237|mf|rec
1511|12237|mf|pass
1511|20664|mf|rec
1512|20664|mf|pass
1512|12237|mf|rec
1513|12237|mf|pass
1513|5816|mf|cond
1514|5816|oi|pass
1514|20664|oa|rec
1515|20664|mf|pass
1519|78140|da|foul
1519|18507|oa|fsuf
1597|3508|oa|goal
1643|12297|mf|pass
1645|8533|mf|rec
1646|8533|mf|pass
1650|85352|mf|bpas
1650|18221|di|fsuf
1671|17861|di|pass
1673|3508|di|rec
1674|3508|mf|pass
1674|12237|mf|rec
1675|12237|mf|pass
1676|3508|mf|cond
1677|3508|mf|pass
1679|18221|di|rec
1680|18221|di|pass
1681|5816|mf|rec
1682|5816|mf|pass
1683|18221|di|cond
1684|18221|di|pass
1686|54104|di|cond
1687|54104|di|pass
1688|3508|mf|cond
1689|3508|mf|pass
1689|17861|mf|cond
1690|17861|mf|pass
1694|54104|di|cond
1695|54104|di|pass
1698|52356|mf|rec
1699|52356|mf|pass
1700|20664|mf|bpas
1701|21095|di|int
1702|21095|di|bout
1704|20664|oi|pass
1706|52356|mf|rec
1707|52356|mf|pass
1708|20664|oi|rec
1709|20664|oi|pass
1710|3508|mf|cond
1711|3508|mf|pass
1711|54104|mf|rec
1712|54104|mf|pass
1715|12237|mf|cond
1716|12237|mf|pass
1716|20664|mf|rec
1717|20664|mf|pass
1718|52356|mf|rec
1719|52356|mf|pass
1720|5816|mf|rec
1721|5816|mf|pass
1723|52356|mf|rec
1724|52356|mf|pass
1726|3508|mf|rec
1727|3508|mf|pass
1731|12237|oi|rec
1732|12237|oi|pass
1737|41328|oi|rec
1738|41328|oi|pass
1742|20664|oi|bpas
1745|52940|di|int
1746|39204|di|drib
1746|54104|oi|dled
1747|39204|di|brec
1749|39204|mf|lbal
1749|52356|mf|brec
1750|52356|mf|brec
1751|52356|mf|pass
1751|17861|mf|rec
1752|17861|mf|pass
1753|52356|di|cond
1754|52356|di|pass
1756|18221|di|rec
1757|18221|di|pass
1767|41328|mf|rec
1768|41328|oi|pass
1773|18507|mf|bpas
1774|58877|mf|int
1775|8533|mf|brec
1777|8533|mf|drib
1777|18221|mf|dled
1784|8533|oi|pass
1786|15076|mf|rec
1787|15076|mf|pass
1793|52940|oi|bpas
1793|18221|di|fsuf
1822|18221|di|bpas
1828|12297|oi|brec
1832|52940|oa|bpas
1834|3508|da|clea
1838|78140|oi|pass
1839|52940|oi|cond
1840|52940|oi|pass
1844|39204|oa|bpas
1846|20664|da|int
1847|20664|da|clea
1848|20664|da|bout
1855|15403|oa|pass
1855|85352|oi|rec
1856|85352|oi|pass
1858|15076|mf|rec
1859|15076|mf|pass
1860|21095|mf|cond
1861|21095|mf|pass
1862|78140|mf|rec
1863|78140|mf|pass
1865|52940|mf|rec
1866|52940|mf|pass
1868|21095|di|rec
1869|21095|di|pass
1870|85352|mf|rec
1871|85352|mf|pass
1873|21095|di|rec
1874|21095|mf|pass
1877|15076|mf|cond
1878|15076|mf|pass
1881|85352|mf|cond
1882|85352|mf|pass
1885|21095|mf|cond
1886|21095|mf|pass
1889|78140|mf|rec
1890|78140|mf|pass
1892|21095|di|cond
1893|21095|di|pass
1895|39204|mf|bpas
1898|41328|di|bpas
1900|15403|oi|pass
1901|58877|oi|rec
1902|58877|oi|pass
1902|8533|oi|rec
1903|8533|oi|pass
1905|58877|oi|cond
1906|58877|oa|pass
1907|8533|oi|rec
1908|8533|oi|pass
1911|58877|oa|bpas
1916|58877|oa|bout
1941|52356|da|pass
1943|54104|di|bpas
1945|21095|mf|pass
1947|15403|mf|lbal
1947|3508|mf|lbal
1949|21095|mf|pass
1951|58877|mf|brec
1956|85352|mf|cond
1957|85352|mf|pass
1962|8533|oa|lbal
1962|18221|da|brec
1963|18221|da|bout
1989|8533|oa|bpas
1992|85352|oa|lbal
1992|18221|da|brec
1996|58877|oi|lbal
1996|20664|di|brec
1997|20664|di|pass
1997|5816|di|bpas
2000|21095|mf|brec
2001|21095|mf|pass
2004|12297|oi|lbal
2004|20664|di|brec
2005|20664|di|bout
2014|58877|oi|pass
2018|15403|oi|drib
2018|5816|di|dled
2019|15403|oi|pass
2020|15076|oi|rec
2021|15076|oi|pass
2028|78140|mf|rec
2029|78140|mf|pass
2030|21095|mf|rec
2031|21095|mf|pass
2032|39204|mf|rec
2033|39204|mf|pass
2034|52940|mf|rec
2035|52940|mf|pass
2038|8533|mf|cond
2039|8533|oi|pass
2039|39204|oa|rec
2040|39204|oa|pass
2045|15403|oa|rec
2046|15403|oa|pass
2049|15076|oi|cond
2050|15076|oi|wsho
2050|4232|da|gsav
2054|4232|da|gsav
2055|4232|da|pass
2057|5816|di|cond
2058|5816|di|pass
2058|20664|di|rec
2059|20664|di|pass
2062|12237|mf|rec
2063|12237|di|pass
2064|20664|mf|rec
2065|20664|mf|pass
2066|85352|mf|foul
2066|12237|mf|fsuf
2088|3508|mf|pass
2089|17861|di|cond
2090|17861|di|pass
2092|18221|di|rec
2093|18221|di|pass
2097|5816|mf|cond
2098|5816|mf|pass
2099|18221|di|rec
2100|18221|di|pass
2102|54104|mf|rec
2103|54104|mf|pass
2104|12237|mf|rec
2105|12237|mf|pass
2108|17861|di|bpas
2113|17861|oi|bout
2118|58877|di|pass
2118|85352|di|rec
2119|85352|di|pass
2122|21095|di|rec
2123|21095|di|pass
2128|85352|di|bpas
2128|18221|mf|fsuf
2156|18221|di|pass
2159|54104|di|rec
2160|54104|mf|pass
2163|18221|di|cond
2164|18221|mf|pass
2168|18507|mf|cond
2169|18507|mf|pass
2171|52356|mf|bpas
2174|72162|da|gsav
2176|72162|da|pass
2177|85352|da|cond
2178|85352|da|pass
2178|39204|di|rec
2179|39204|di|pass
2184|72162|da|bpas
2187|15403|mf|lbal
2187|54104|mf|brec
2188|54104|mf|pass
2189|3508|mf|brec
2190|39204|mf|foul
2190|3508|mf|fsuf
2230|5816|mf|pass
2230|54104|mf|rec
2231|54104|mf|pass
2232|5816|oi|bpas
2233|85352|di|int
2235|5816|oi|pass
2235|20664|oi|cond
2236|20664|oi|pass
2237|5816|oi|cond
2238|5816|oi|pass
2238|3508|oi|rec
2239|3508|oi|pass
2239|5816|oi|cond
2240|5816|oi|pass
2242|54104|mf|cond
2243|54104|mf|pass
2243|17861|mf|rec
2244|17861|mf|pass
2245|17861|mf|rec
2245|52356|mf|rec
2246|52356|mf|pass
2246|17861|mf|pass
2246|5816|mf|rec
2247|5816|mf|pass
2248|17861|mf|rec
2249|17861|mf|pass
2253|12237|mf|cond
2254|12237|oi|pass
2254|20664|mf|cond
2255|20664|mf|pass
2255|12237|oi|rec
2256|12237|oi|pass
