_ts|player_id|place|move
1|148179|mf|pass
1|42173|mf|rec
2|42173|mf|pass
3|50947|di|cond
4|50947|di|pass
5|98780|di|rec
6|98780|di|pass
9|42173|oi|lbal
11|41909|di|clea
13|41909|da|bout
36|20695|oa|bpas
38|19160|da|clea
43|98780|oi|bpas
44|21123|di|bpas
49|40772|di|fsuf
49|98780|oi|foul
54|21123|mf|pass
56|19160|di|cond
57|19160|di|pass
59|27335|mf|rec
60|27335|mf|pass
64|40772|mf|bpas
66|98783|di|clea
70|98783|oa|bout
78|27335|da|pass
81|19160|da|rec
82|19160|da|pass
87|41909|di|bpas
88|42173|oi|int
92|42173|oa|bout
109|11973|da|pass
110|19160|di|cond
111|19160|mf|pass
112|21123|mf|rec
113|21123|mf|pass
115|68312|mf|cond
116|68312|mf|pass
119|40772|mf|bpas
120|98780|di|brec
123|98780|mf|pass
126|42173|oi|lbal
126|41909|di|brec
127|41909|di|bout
146|98780|mf|pass
148|42173|oi|bpas
149|40772|di|int
150|40772|mf|bout
160|98780|mf|pass
160|20695|oi|rec
161|20695|oi|pass
165|98780|mf|cond
166|98780|mf|pass
166|20695|oi|rec
167|20695|oi|pass
169|50947|oi|lbal
169|21123|di|lbal
172|21123|di|foul
172|50947|oi|fsuf
207|12631|oi|bpas
210|11973|da|gsav
216|11973|da|pass
218|41909|di|cond
219|41909|di|pass
220|69305|mf|rec
221|69305|mf|pass
222|41909|di|rec
223|41909|di|pass
225|43575|mf|lbal
226|12625|mf|pass
228|50947|mf|brec
228|40772|mf|dled
229|50947|mf|pass
232|49195|mf|rec
233|49195|mf|pass
239|148179|oa|bpas
241|19160|da|clea
243|19160|da|bout
255|49195|oa|pass
256|20695|oa|rec
257|20695|oa|pass
265|49195|oa|lbal
267|49195|oa|bout
300|11973|da|bpas
305|50947|mf|lbal
307|69305|mf|bpas
310|49195|mf|brec
313|68312|mf|brec
313|49195|mf|lbal
315|68312|mf|brec
319|147744|mf|lbal
319|43575|mf|lbal
322|40772|mf|pass
326|12631|da|dled
326|27335|oa|drib
328|27335|oa|bpas
331|27335|oa|bout
358|58966|da|pass
360|12631|di|rec
361|12631|di|pass
367|58966|da|bpas
370|41909|mf|brec
370|42173|mf|lbal
371|41909|mf|clea
374|12625|mf|pass
377|20695|oi|rec
378|20695|oi|pass
383|40772|mf|dled
383|42173|mf|drib
384|42173|oi|bpas
385|41909|di|int
390|41909|di|fsuf
390|148179|oi|foul
407|11973|di|pass
409|21123|di|rec
410|21123|di|pass
411|68312|mf|cond
412|68312|mf|pass
418|19160|di|rec
419|19160|mf|pass
420|68312|mf|lbal
422|12631|di|bpas
428|11973|da|gsav
429|11973|da|pass
430|19160|di|cond
431|19160|di|pass
434|21123|di|cond
435|21123|mf|pass
439|27335|mf|bpas
441|98783|di|clea
442|98783|di|bout
449|27335|oi|pass
451|68312|oa|cond
452|68312|oa|pass
453|21123|oi|bpas
454|21123|oa|bout
489|12631|da|bpas
492|148179|mf|lbal
492|21123|mf|brec
494|21123|mf|pass
495|40772|mf|brec
496|19160|mf|rec
497|19160|mf|pass
501|11973|da|cond
502|11973|di|pass
504|19160|di|rec
505|19160|di|pass
510|21123|mf|bpas
513|21123|oa|bout
539|58966|da|pass
540|98780|da|rec
541|98780|da|pass
543|58966|da|cond
544|58966|da|pass
552|98783|mf|bpas
556|11973|da|gsav
563|11973|da|pass
565|19160|di|cond
566|19160|di|pass
567|84450|mf|lbal
568|148179|mf|brec
569|148179|mf|drib
569|21123|mf|dled
570|148179|mf|drib
570|84450|mf|dled
572|148179|oi|lbal
572|21123|di|brec
574|84450|mf|pass
574|40772|mf|rec
575|40772|mf|pass
575|84450|mf|rec
576|84450|mf|pass
579|27335|mf|brec
581|27335|oi|pass
583|43575|oa|cond
584|43575|oa|pass
585|27335|oa|bpas
587|58966|da|gsav
592|58966|da|pass
597|98780|mf|cond
598|98780|mf|pass
600|20695|oi|rec
601|20695|mf|pass
606|50947|mf|bpas
607|50947|oa|bout
641|27335|da|pass
642|84450|di|rec
643|84450|di|pass
646|147744|oi|foul
646|68312|di|fsuf
652|27335|mf|pass
652|21123|mf|rec
653|21123|mf|pass
653|27335|di|cond
654|27335|mf|pass
656|19160|di|cond
657|19160|di|pass
658|40772|mf|rec
659|40772|mf|pass
659|19160|di|rec
660|19160|di|pass
663|21123|mf|rec
664|21123|mf|pass
666|27335|mf|rec
667|27335|mf|pass
669|21123|mf|bpas
670|49195|mf|int
671|49195|mf|brec
672|49195|mf|pass
674|148179|mf|lbal
675|40772|mf|brec
676|40772|mf|bpas
677|49195|mf|int
678|49195|mf|bout
683|27335|mf|pass
685|19160|di|cond
686|19160|di|pass
688|40772|mf|rec
689|40772|mf|pass
697|11973|da|rec
698|11973|da|pass
698|19160|di|rec
699|19160|di|pass
703|21123|mf|cond
704|21123|mf|pass
704|40772|mf|rec
705|40772|mf|pass
709|12625|da|lbal
709|81048|oa|lbal
710|81048|oa|lbal
713|81048|oa|bout
721|98780|da|pass
724|42173|mf|bpas
727|19160|di|pass
730|27335|di|cond
731|27335|di|pass
734|41909|di|rec
735|41909|mf|pass
736|19160|di|rec
737|19160|di|pass
742|21123|mf|rec
743|21123|mf|pass
744|84450|oi|cond
745|84450|oi|wsho
747|84450|oa|bout
771|58966|da|pass
774|12625|di|rec
775|12625|di|pass
778|58966|da|cond
779|58966|da|pass
785|98783|da|cond
786|98783|di|pass
787|42173|oi|rec
788|42173|oi|pass
792|12631|mf|bpas
793|147744|oa|bout
814|69305|da|bpas
817|12625|mf|bpas
817|41909|da|fsuf
837|11973|da|pass
840|19160|di|rec
841|19160|di|pass
842|40772|mf|rec
843|40772|mf|pass
846|21123|mf|cond
847|21123|mf|pass
849|27335|mf|cond
850|27335|mf|pass
855|12631|di|foul
855|68312|oi|fsuf
863|27335|oi|pass
864|21123|mf|cond
865|21123|mf|pass
865|84450|mf|rec
866|84450|mf|pass
868|147744|mf|brec
868|21123|mf|lbal
869|147744|mf|brec
871|147744|mf|pass
873|49195|mf|drib
873|21123|mf|dled
874|49195|mf|bpas
875|21123|mf|int
876|19160|di|brec
878|11973|da|rec
879|11973|da|pass
882|27335|da|cond
883|27335|da|pass
885|12631|mf|brec
885|68312|mf|lbal
887|12631|mf|bout
897|27335|mf|pass
898|68312|mf|cond
899|68312|mf|pass
900|40772|mf|rec
901|40772|mf|pass
908|68312|mf|cond
909|68312|mf|pass
912|84450|oi|cond
913|84450|oi|pass
915|69305|oa|bpas
916|12625|da|clea
918|12625|da|bout
923|69305|oa|pass
928|50947|di|dled
928|40772|oi|drib
929|40772|oi|pass
932|50947|di|dled
932|68312|oi|drib
933|68312|oa|wsho
933|58966|da|gsav
942|58966|da|gsav
954|58966|da|pass
