_ts|player_id|place|move
0|52156|mf|pass
0|68312|mf|rec
1|68312|mf|pass
4|40772|mf|bpas
6|40784|di|bpas
9|21123|mf|pass
10|84450|oi|rec
11|84450|oi|pass
12|68312|oi|cond
13|68312|oi|pass
16|69305|oi|rec
17|69305|oi|wsho
17|27334|di|gsav
22|41909|mf|pass
25|19160|di|cond
26|19160|di|pass
27|27335|mf|rec
28|27335|mf|pass
31|84450|oi|bpas
32|14075|di|int
34|27334|da|brec
39|37915|da|cond
40|37915|da|pass
45|40784|da|rec
46|40784|di|pass
49|37915|da|rec
50|37915|da|pass
52|90152|di|rec
53|90152|di|pass
56|40784|di|rec
57|40784|di|pass
59|90152|di|rec
60|90152|di|pass
63|52156|mf|brec
63|27334|mf|lbal
65|52156|mf|bout
71|27334|mf|bpas
73|69305|di|pass
74|40772|di|rec
75|40772|di|pass
78|11973|da|gsav
80|11973|da|pass
83|19160|da|cond
84|19160|di|pass
85|27335|di|rec
86|27335|di|pass
88|19160|di|cond
89|19160|di|pass
93|40784|mf|lbal
93|84450|mf|brec
94|40784|mf|brec
94|84450|mf|bpas
95|14075|di|brec
95|60841|mf|lbal
98|90152|di|pass
101|40784|di|cond
102|40784|di|pass
103|90152|di|cond
104|90152|di|pass
109|37915|da|rec
110|37915|da|pass
114|90152|di|rec
115|90152|mf|pass
119|69305|da|brec
119|44346|oa|lbal
121|69305|da|brec
123|69305|da|bpas
126|44346|oa|int
128|44346|oa|bout
141|69305|da|bpas
144|27334|mf|pass
146|45268|oi|bpas
150|27335|di|brec
153|68312|mf|rec
154|68312|mf|pass
159|27334|mf|foul
159|52156|mf|fsuf
161|52156|mf|pass
164|40772|mf|bpas
165|40772|oi|bout
183|14075|di|bpas
185|44346|mf|fsuf
185|19160|mf|foul
202|14075|mf|pass
205|19927|mf|rec
206|19927|mf|pass
209|27334|oa|bpas
210|69305|da|brec
213|11973|da|gsav
223|11973|da|pass
225|84450|mf|cond
226|84450|mf|pass
226|60841|oi|rec
227|60841|oi|pass
231|52156|oi|bpas
233|90152|da|int
234|90152|da|brec
235|90152|da|pass
239|27334|da|rec
239|37852|da|rec
240|27334|di|pass
240|37852|da|pass
240|27341|da|rec
241|27341|di|pass
242|27334|di|bpas
243|52156|oi|int
244|52156|oi|bout
254|27334|di|pass
259|44346|mf|lbal
259|52156|mf|brec
261|52156|mf|bpas
262|37971|di|int
263|40772|mf|brec
264|40772|mf|pass
266|19927|mf|brec
266|68312|mf|lbal
268|40784|di|brec
268|45268|mf|rec
269|45268|mf|pass
272|44346|mf|rec
273|44346|mf|pass
274|27334|mf|rec
275|27334|di|pass
276|90152|di|cond
277|90152|di|pass
281|14075|di|cond
282|14075|mf|pass
284|40784|di|cond
285|40784|di|pass
286|27341|di|cond
287|27341|di|pass
292|37852|mf|rec
293|37852|mf|pass
295|45268|oi|bpas
297|41909|da|clea
299|52156|di|bpas
300|45268|oi|pass
302|27341|oi|bpas
304|41909|da|clea
307|19927|oi|pass
308|37971|oi|cond
309|37971|oi|pass
310|19927|oa|cond
311|19927|oi|wsho
314|19927|oa|bout
353|11973|da|bpas
357|52156|mf|lbal
357|27334|mf|brec
360|69305|mf|bpas
362|84450|mf|lbal
362|40784|mf|brec
364|45268|mf|pass
366|37971|mf|bpas
369|41909|mf|fsuf
369|44346|mf|foul
536|16854|mf|pass
541|60841|oi|lbal
541|27341|di|brec
542|27341|di|lbal
542|84450|oi|lbal
543|27334|di|bpas
549|19160|di|brec
550|19160|di|pass
554|11973|da|bpas
557|84450|mf|lbal
557|40784|mf|brec
562|11973|da|gsav
570|11973|da|pass
573|84450|mf|bpas
576|37915|da|gsav
577|37915|da|pass
582|90152|di|cond
583|90152|di|pass
587|40784|di|rec
588|40784|di|pass
594|37915|da|rec
595|37915|da|pass
599|40784|da|rec
600|40784|di|pass
605|37915|da|bpas
607|27335|mf|bpas
609|84450|mf|lbal
609|40784|mf|brec
610|40784|mf|pass
611|37852|mf|bpas
615|19160|di|brec
616|19160|di|pass
616|11973|da|rec
617|11973|da|pass
620|52156|mf|bpas
622|27341|mf|bpas
623|16854|di|pass
623|21123|mf|rec
624|21123|mf|pass
624|19160|di|rec
625|19160|di|pass
628|68312|mf|lbal
628|14075|mf|brec
629|14075|mf|brec
631|27335|di|dled
631|37971|oi|drib
636|37971|mf|pass
639|14075|oi|cond
640|14075|oi|pass
641|37971|oa|cond
642|37971|oa|pass
643|14075|oi|rec
644|14075|oa|pass
648|27341|oi|bpas
649|52156|di|int
650|52156|di|lbal
654|27334|mf|clea
656|27334|mf|bout
676|69305|mf|pass
676|16854|di|rec
677|16854|di|pass
686|11973|da|bpas
691|84450|oi|foul
691|27341|di|fsuf
704|40784|di|pass
706|14075|mf|cond
707|14075|mf|pass
708|40784|di|rec
709|40784|di|pass
715|37915|da|cond
716|37915|da|pass
718|90152|di|cond
719|90152|di|pass
724|40784|di|cond
725|40784|mf|pass
728|19927|oi|bpas
730|68312|mf|brec
731|19160|mf|rec
732|19160|mf|pass
738|69305|di|bpas
739|27334|mf|int
740|37852|mf|brec
743|37852|oi|bpas
745|19160|da|clea
748|69305|da|clea
749|27341|oi|wsho
751|27341|oa|bout
781|11973|da|bpas
786|14075|mf|bpas
788|27335|mf|brec
788|37971|mf|lbal
789|27341|mf|pass
791|19927|mf|brec
792|27335|mf|lbal
792|19927|mf|lbal
793|14075|mf|pass
795|44346|oi|rec
796|44346|oi|pass
796|37971|oi|cond
797|37971|oi|pass
797|44346|oi|cond
798|44346|oi|pass
798|19927|oi|rec
799|19927|mf|pass
799|37971|oi|rec
800|37971|oi|pass
802|44346|oi|cond
803|44346|oi|pass
804|19927|oi|cond
805|19927|oi|pass
807|45268|oi|bpas
808|52156|di|int
809|52156|di|brec
818|52156|oi|bpas
819|45268|da|brec
821|45268|da|pass
821|37915|da|cond
822|37915|da|pass
824|40784|da|cond
825|40784|da|pass
828|37971|di|cond
