_ts|player_id|place|move
0|40720|mf|pass
0|12273|mf|rec
1|12273|mf|pass
2|37510|mf|rec
3|37510|mf|pass
6|32281|di|cond
7|32281|di|pass
9|32284|mf|rec
10|32284|mf|pass
11|59351|mf|rec
12|59351|mf|pass
20|28434|di|rec
21|28434|mf|pass
24|28392|mf|lbal
24|32284|mf|lbal
26|32284|mf|bpas
27|32284|mf|bout
45|34355|mf|pass
49|99127|mf|lbal
51|99127|mf|bout
58|32284|mf|pass
58|28434|di|rec
59|28434|di|pass
62|59351|di|cond
63|59351|di|pass
65|43693|mf|bpas
66|77760|mf|int
67|77760|mf|bout
75|43693|mf|pass
79|32281|di|cond
80|32281|mf|pass
82|77760|mf|dled
82|33668|mf|drib
85|99128|di|brec
85|33668|oi|lbal
87|99128|di|bout
98|43693|oi|bpas
100|105021|da|clea
102|37510|oi|bpas
104|37084|di|pass
105|77760|di|clea
106|12273|oi|lbal
110|105021|di|clea
111|28434|di|bpas
112|59351|mf|lbal
112|61960|mf|brec
113|61960|mf|pass
114|99127|mf|brec
120|99127|oa|lbal
120|37510|da|lbal
121|99127|oa|brec
122|99127|oa|bout
137|32284|di|bpas
138|34355|oi|brec
138|49464|di|lbal
139|34355|oi|bpas
140|34355|oi|bout
147|32284|di|pass
149|28434|di|bpas
153|105021|di|bpas
154|49464|oi|int
156|49464|oi|bout
171|34355|di|pass
172|61960|mf|rec
173|61960|mf|pass
176|34355|di|bpas
176|49464|oi|int
177|34355|di|pass
179|105021|da|fsuf
179|49464|oa|foul
198|28411|da|pass
200|99128|di|cond
201|99128|di|pass
204|77760|di|rec
205|77760|di|pass
206|105021|di|rec
207|105021|di|pass
210|34352|di|cond
211|34352|di|pass
212|34355|mf|rec
213|34355|mf|pass
214|34352|di|cond
215|34352|di|pass
216|105021|di|rec
217|105021|di|pass
221|99128|di|rec
222|99128|di|pass
223|99127|mf|rec
224|99127|mf|pass
227|59351|mf|foul
227|37084|mf|fsuf
239|77760|mf|pass
241|37084|mf|bpas
242|32281|da|int
244|42864|da|gsav
245|42864|da|pass
248|32284|di|cond
249|32284|di|pass
254|49464|mf|lbal
254|28392|mf|brec
256|28392|mf|brec
258|61960|mf|rec
259|61960|mf|pass
259|99127|oi|rec
260|99127|oi|pass
263|59351|mf|brec
263|37084|mf|lbal
264|59351|mf|brec
265|59351|mf|lbal
265|37084|mf|brec
268|34355|mf|brec
269|105021|di|rec
270|105021|di|pass
272|102683|mf|rec
273|102683|mf|pass
274|61960|mf|rec
275|61960|mf|pass
275|99128|di|rec
276|99128|di|pass
276|34352|di|cond
277|34352|di|pass
279|102683|mf|cond
280|102683|mf|pass
281|28392|mf|rec
282|28392|mf|pass
285|105021|di|bpas
287|105021|oi|bout
301|43693|di|pass
302|33668|mf|cond
303|33668|mf|pass
303|43693|mf|rec
304|43693|mf|pass
304|59351|mf|rec
305|59351|mf|pass
306|37510|di|rec
307|37510|di|pass
310|32284|mf|cond
311|32284|mf|pass
313|12273|mf|rec
314|12273|mf|pass
315|37510|mf|cond
316|37510|mf|pass
316|59351|mf|rec
317|59351|mf|pass
321|28434|di|rec
322|28434|mf|pass
323|12273|mf|rec
324|12273|mf|pass
326|37510|mf|rec
327|37510|mf|pass
331|43693|di|bpas
334|77760|mf|int
335|43693|mf|pass
337|33668|mf|bpas
339|99128|di|foul
339|43693|mf|fsuf
350|43693|mf|pass
350|59351|mf|cond
351|59351|mf|pass
353|33668|oi|bpas
356|34355|di|brec
361|34355|di|lbal
363|34355|mf|bout
376|32284|mf|pass
377|49464|mf|cond
378|49464|mf|pass
379|37510|oi|cond
380|37510|oi|pass
380|12273|oi|rec
381|12273|oi|pass
381|37510|oi|cond
382|37510|oi|pass
383|33668|oi|rec
384|33668|oi|pass
386|43693|oi|bpas
387|102683|da|clea
389|59351|oi|wsho
389|61960|di|gsav
392|28392|mf|lbal
394|32284|mf|pass
395|28434|mf|cond
396|28434|mf|pass
399|37510|mf|cond
400|37510|mf|pass
402|28434|mf|rec
403|28434|mf|pass
404|59351|mf|cond
405|59351|mf|pass
409|32281|mf|cond
410|32281|mf|pass
413|43693|mf|bpas
416|105021|da|clea
419|28411|da|gsav
429|28411|da|pass
433|37084|mf|bpas
434|37510|mf|brec
437|37510|mf|bpas
439|99128|di|int
441|77760|di|brec
443|32281|mf|bpas
447|99128|di|lbal
451|99128|di|brec
451|40720|oi|lbal
452|99128|di|bout
460|43693|oi|pass
460|40720|oi|rec
461|40720|oi|pass
464|77760|di|brec
464|43693|oi|lbal
466|37084|mf|brec
467|37084|mf|bpas
468|32281|mf|int
469|37084|mf|bpas
471|32281|mf|bpas
472|61960|mf|pass
472|77760|mf|rec
473|77760|mf|pass
473|102683|mf|rec
474|102683|mf|pass
474|61960|mf|rec
475|61960|mf|pass
478|34355|di|rec
479|34355|di|pass
481|28411|da|bpas
485|32284|di|clea
489|99127|oi|drib
489|59351|di|dled
490|99127|oi|pass
496|28392|oa|lbal
496|32284|da|int
