_ts|player_id|place|move
1|77992|mf|pass
1|40720|mf|rec
2|40720|mf|pass
3|59351|mf|cond
4|59351|mf|pass
8|43693|di|rec
9|43693|di|pass
12|40720|oi|bpas
13|9047|di|bpas
16|9047|mf|bout
27|43693|mf|pass
28|39336|oi|rec
29|39336|oi|pass
30|48863|oi|cond
31|48863|oi|pass
33|77992|oi|cond
34|77992|oi|pass
35|43693|oi|bpas
38|7645|da|clea
39|50175|di|bpas
41|13017|di|lbal
41|59351|mf|brec
43|50175|di|brec
44|50175|mf|bpas
46|151883|mf|int
47|151883|mf|bout
54|12745|mf|pass
56|7645|di|cond
57|7645|di|pass
61|9047|mf|cond
62|9047|mf|pass
69|19419|di|cond
70|19419|di|pass
73|9047|mf|rec
74|9047|mf|pass
74|103955|mf|rec
75|103955|mf|pass
75|9047|mf|rec
76|9047|mf|pass
76|56979|mf|rec
77|56979|mf|pass
82|50175|mf|cond
83|50175|oi|pass
83|13017|oi|rec
84|13017|oi|pass
86|9047|oi|bpas
88|32281|da|clea
89|32281|da|bout
99|9047|oa|pass
101|103955|oa|cond
102|103955|oa|pass
104|55407|da|lbal
104|9047|oa|lbal
107|1814|oi|bpas
108|32281|da|clea
112|12745|oi|bpas
115|42864|da|pass
117|42864|da|gsav
135|42864|da|bpas
137|48863|mf|brec
137|56979|di|lbal
139|77992|oi|bout
150|12745|di|pass
151|50175|mf|rec
152|50175|mf|pass
153|12745|di|cond
154|12745|di|pass
162|7645|di|bpas
164|151883|di|pass
165|77992|mf|cond
166|77992|mf|pass
167|43693|mf|brec
167|56979|mf|int
170|43693|mf|int
170|12745|mf|bpas
171|48863|mf|lbal
171|56979|mf|pass
172|12745|di|brec
173|12745|di|pass
174|13017|mf|rec
175|13017|mf|pass
176|56979|mf|bpas
177|55407|mf|brec
183|55407|mf|bpas
185|9047|di|pass
187|55407|mf|lbal
187|103955|mf|brec
190|77992|mf|dled
190|1814|mf|drib
191|1814|mf|pass
192|55407|mf|brec
192|40755|mf|lbal
193|55407|mf|pass
193|59351|mf|rec
194|59351|mf|pass
195|77992|mf|cond
196|77992|mf|pass
197|39336|oi|cond
198|39336|oi|pass
200|77992|mf|rec
201|77992|mf|pass
207|33668|oa|lbal
207|9047|da|brec
208|9047|da|brec
212|39336|oi|dled
212|103955|di|drib
213|77992|oi|brec
213|103955|di|lbal
214|33668|oi|brec
215|33668|oi|pass
216|39336|oi|cond
217|39336|oa|pass
217|77992|oi|cond
218|77992|oi|pass
221|39336|oa|bpas
222|19419|da|clea
225|15749|da|bout
255|39336|oa|bpas
258|15749|da|clea
259|56979|da|brec
278|39336|oa|bpas
281|50175|da|clea
282|48863|oi|bpas
282|19419|da|fsuf
298|15749|da|pass
299|12745|di|rec
300|12745|di|pass
301|7645|da|rec
302|7645|da|pass
304|15749|da|bpas
307|43693|mf|pass
310|77992|mf|lbal
311|50175|mf|lbal
312|50175|mf|bout
334|43693|mf|pass
335|48863|mf|brec
335|50175|mf|lbal
337|12745|di|brec
339|48863|oi|int
339|12745|di|bpas
341|48863|mf|bout
346|12745|mf|pass
346|56979|mf|rec
347|56979|mf|pass
348|12745|mf|rec
