_ts|player_id|place|move
1|15338|mf|pass
1|20226|mf|rec
2|20226|mf|pass
2|37368|mf|rec
3|37368|mf|pass
4|15517|mf|rec
5|15517|mf|pass
7|60210|mf|lbal
8|60210|oi|bout
16|41316|di|pass
20|38392|da|rec
21|38392|da|pass
22|17127|di|rec
23|17127|di|pass
25|15207|di|rec
26|15207|di|pass
27|38392|di|rec
28|38392|di|pass
29|44989|mf|cond
30|44989|mf|pass
31|15207|mf|rec
32|15207|mf|pass
33|17127|mf|cond
34|17127|mf|pass
36|15208|mf|rec
37|15208|mf|pass
39|15207|mf|cond
40|15207|mf|pass
44|40691|mf|rec
45|40691|mf|pass
46|15208|mf|rec
47|15208|mf|pass
47|44989|mf|rec
48|44989|mf|pass
50|15207|mf|rec
51|15207|mf|pass
51|15208|mf|rec
51|44989|mf|rec
52|15208|mf|pass
52|44989|mf|pass
55|15208|mf|rec
56|15208|mf|pass
57|44989|mf|rec
58|44989|mf|pass
61|55634|oi|bpas
62|12875|da|clea
64|12875|di|bout
71|40691|oi|pass
76|17127|mf|cond
77|17127|mf|pass
78|15207|oi|rec
79|15207|oi|pass
80|55634|oi|rec
80|15208|oi|rec
81|15208|oi|pass
81|55634|oi|pass
83|37605|oa|cond
84|37605|oa|pass
85|40691|oi|rec
86|40691|oi|pass
88|55634|oa|lbal
90|17733|oa|wsho
109|15337|da|bpas
113|20388|da|brec
114|20388|da|pass
116|17127|di|rec
117|17127|di|pass
118|15208|mf|rec
119|15208|mf|pass
120|17127|mf|rec
121|17127|mf|pass
121|15208|mf|cond
122|15208|mf|pass
124|15207|di|cond
125|15207|mf|pass
126|15208|mf|rec
127|15208|mf|pass
128|44989|mf|rec
129|44989|mf|pass
129|38392|mf|rec
130|38392|mf|pass
132|15207|mf|cond
133|15207|mf|pass
134|17127|mf|rec
135|17127|mf|pass
138|40691|mf|rec
139|40691|mf|pass
140|60207|da|fsuf
140|55634|oi|bpas
153|15517|da|pass
154|37368|di|cond
155|37368|di|pass
155|15517|da|cond
156|15517|da|pass
157|15337|da|bpas
163|20388|di|brec
164|20388|di|pass
168|17127|di|cond
169|17127|mf|pass
169|15207|mf|rec
170|15207|mf|pass
174|17127|mf|cond
175|17127|mf|pass
175|15208|mf|rec
176|15208|mf|pass
179|17127|mf|rec
180|17127|mf|pass
181|40691|mf|cond
182|40691|mf|pass
183|17127|mf|rec
184|17127|mf|pass
184|15207|mf|rec
185|15207|mf|pass
186|17127|mf|cond
187|17127|mf|pass
190|20388|da|rec
191|20388|da|pass
194|38392|di|rec
195|38392|di|pass
197|15207|di|rec
198|15207|di|pass
200|17127|mf|cond
201|17127|mf|pass
204|40691|mf|cond
205|40691|mf|pass
206|17127|mf|rec
207|17127|mf|pass
210|37605|mf|rec
211|37605|mf|pass
212|17127|mf|rec
213|17127|mf|pass
213|15207|mf|rec
214|15207|mf|pass
214|44989|mf|rec
215|44989|mf|pass
215|15207|mf|pass
217|37605|mf|rec
218|37605|mf|pass
219|17127|mf|rec
220|17127|mf|pass
222|15207|mf|rec
223|15207|mf|pass
228|41316|mf|rec
229|41316|mf|pass
230|44989|mf|bpas
231|60210|mf|int
232|15338|mf|bout
237|41316|mf|pass
241|15208|oi|pass
241|44989|mf|rec
242|44989|mf|pass
246|40691|oi|cond
247|40691|oa|pass
249|17127|mf|rec
250|17127|mf|pass
250|37605|oi|rec
251|37605|oi|pass
252|15207|oi|rec
253|15207|oi|pass
255|41316|oi|cond
256|41316|oi|pass
259|17733|oi|rec
260|17733|oi|pass
262|44989|oi|rec
263|44989|oi|pass
266|15208|oi|cond
267|15208|oi|pass
270|40691|oa|bpas
271|15337|da|gsav
294|15337|da|bpas
294|17127|mf|fsuf
303|17127|mf|pass
306|15207|mf|rec
307|15207|mf|pass
309|15208|mf|rec
310|15208|mf|pass
311|44989|mf|rec
312|44989|mf|pass
314|41316|oi|rec
315|41316|oi|pass
317|17733|oi|rec
318|17733|oi|pass
319|41316|oi|bpas
320|41316|oi|brec
321|41316|oi|bout
325|37070|di|pass
326|60210|di|rec
327|60210|di|pass
327|15517|di|rec
328|15517|di|pass
329|37368|di|bpas
333|38392|mf|int
334|38392|mf|bpas
351|37070|di|pass
353|60210|mf|bpas
356|41316|di|brec
357|41316|di|pass
357|20388|da|rec
358|20388|da|pass
361|17127|di|cond
362|17127|di|pass
365|40691|di|rec
366|40691|mf|pass
368|60207|di|dled
368|37605|oi|drib
370|12875|di|brec
370|37605|oi|lbal
371|12875|di|bout
378|37605|oi|pass
380|40691|mf|cond
381|40691|mf|pass
382|15207|mf|rec
383|15207|mf|pass
384|15208|mf|rec
385|15208|mf|pass
387|44989|oi|rec
388|44989|oi|pass
389|15207|oi|rec
390|15207|oi|pass
392|15208|oi|rec
393|15208|oi|pass
394|38392|mf|rec
395|38392|mf|pass
398|15207|mf|rec
399|15207|mf|pass
403|40691|oi|bpas
404|37070|da|clea
408|41316|oi|pass
410|15208|oi|rec
411|15208|oi|pass
411|44989|oa|rec
412|44989|oa|pass
414|15208|oa|bpas
415|60210|da|clea
416|44989|oi|pass
420|15208|oa|cond
421|15208|oi|pass
422|15207|oi|rec
423|15207|oi|pass
424|44989|oi|rec
425|44989|oi|pass
425|15207|oi|rec
426|15207|oi|pass
426|44989|mf|cond
427|44989|mf|pass
427|37605|oi|rec
428|37605|oi|pass
430|44989|mf|cond
431|44989|mf|pass
434|37605|oi|cond
435|37605|oi|pass
440|17733|oi|cond
441|17733|oa|pass
442|37605|oi|rec
443|37605|oi|pass
446|41316|oi|rec
447|41316|oi|pass
448|15208|mf|rec
449|15208|mf|pass
449|37605|oi|rec
450|37605|oi|pass
452|17733|oa|bpas
453|15337|da|gsav
459|15337|da|pass
466|60207|di|bpas
469|44989|mf|clea
470|44989|mf|bout
471|15338|mf|pass
472|15517|mf|rec
473|15517|mf|pass
479|60218|mf|bpas
483|17733|di|int
485|15208|mf|brec
487|15208|mf|pass
492|15207|di|rec
493|15207|di|pass
497|44989|mf|rec
498|44989|mf|pass
501|40691|mf|rec
502|40691|mf|pass
504|17127|mf|cond
505|17127|mf|pass
506|15208|mf|cond
507|15208|mf|pass
508|17127|mf|cond
509|17127|mf|pass
509|15207|mf|rec
510|15207|mf|pass
511|17127|mf|rec
512|17127|mf|pass
514|15207|mf|cond
515|15207|mf|pass
517|44989|mf|rec
518|44989|mf|pass
519|15208|oi|rec
520|15208|oi|pass
525|60218|da|clea
525|40691|oa|bpas
530|17733|oa|pass
535|41316|oa|bpas
536|15338|da|brec
537|15338|da|bout
561|37605|oa|pass
562|44989|oa|rec
563|44989|oa|wsho
563|37070|da|gsav
566|44989|oi|pass
567|15208|oi|rec
568|15208|oi|pass
570|37605|oa|rec
571|37605|oa|pass
572|41316|oa|lbal
573|37368|da|clea
576|37368|da|bout
580|55634|oa|pass
580|15208|oa|rec
581|15208|oa|pass
583|15338|da|pass
583|55634|oa|bpas
584|37368|di|brec
585|37368|di|pass
593|20226|oi|lbal
593|40691|di|brec
595|40691|di|bout
605|12875|oi|pass
608|60207|mf|cond
609|60207|mf|pass
611|15517|mf|rec
612|15517|mf|pass
614|60218|di|cond
615|60218|di|pass
618|17152|mf|rec
619|17152|di|pass
621|15337|da|rec
622|15337|da|pass
623|17152|da|rec
624|17152|da|pass
626|60218|da|rec
627|60218|da|pass
628|15337|da|rec
629|15337|da|pass
631|60218|di|cond
632|60218|di|pass
635|60210|mf|bpas
639|37070|mf|fsuf
639|41316|mf|foul
666|37070|mf|pass
672|60218|di|rec
673|60218|di|pass
677|60207|di|bpas
680|15208|mf|int
683|12875|mf|pass
686|37368|mf|bpas
690|41316|di|clea
692|40691|di|bpas
693|17152|mf|brec
694|17152|mf|pass
696|37070|mf|rec
697|37070|mf|pass
700|60210|oi|cond
701|60210|oi|pass
702|37368|oi|cond
703|37368|oi|pass
703|60210|oi|rec
704|60210|oi|pass
705|15517|mf|rec
706|15517|mf|pass
706|60210|oi|rec
707|60210|oi|pass
708|12875|mf|cond
709|12875|mf|pass
712|15517|mf|rec
712|37368|oi|rec
713|15517|mf|pass
713|37368|oi|pass
714|15517|mf|cond
715|15517|mf|pass
720|17152|oi|lbal
720|17733|di|lbal
723|37070|mf|pass
724|60218|mf|rec
725|60218|mf|pass
728|15337|da|cond
729|15337|da|pass
732|17152|oi|brec
732|41316|di|lbal
733|17152|oi|pass
733|60210|mf|rec
734|60210|mf|pass
734|17152|oi|rec
735|17152|oi|pass
735|37070|mf|rec
736|37070|mf|pass
736|60210|mf|rec
737|60210|mf|pass
738|37368|mf|rec
739|37368|mf|pass
739|15517|mf|rec
740|15517|mf|pass
744|12875|mf|cond
745|12875|mf|pass
746|60207|mf|rec
747|60207|di|pass
749|60218|di|rec
750|60218|di|pass
751|37070|mf|rec
752|37070|mf|pass
754|17152|mf|cond
755|17152|mf|pass
756|60210|mf|rec
757|60210|mf|pass
758|15517|mf|cond
759|15517|mf|pass
761|20226|mf|lbal
762|37605|mf|brec
764|20226|mf|foul
764|37605|mf|fsuf
790|15207|mf|pass
791|17127|mf|rec
792|17127|mf|pass
792|15208|mf|rec
793|15208|mf|pass
798|44989|mf|bpas
799|15338|di|int
800|55634|oi|pass
802|15207|oi|rec
803|15207|oi|pass
804|60218|da|clea
804|40691|oa|bpas
807|60218|di|bout
823|40691|oa|pass
823|15208|oi|rec
824|15208|oi|pass
825|17127|mf|rec
826|17127|mf|pass
828|38392|mf|rec
829|38392|mf|pass
830|44989|mf|cond
831|44989|mf|pass
832|17733|oi|rec
833|17733|oi|pass
834|44989|mf|rec
835|44989|mf|pass
836|17733|oi|cond
837|17733|oi|pass
839|17152|di|int
840|37605|oi|pass
841|17733|oi|rec
841|41316|oi|rec
842|17733|oi|pass
842|41316|oi|pass
843|44989|mf|rec
844|44989|mf|pass
845|15208|oi|cond
846|15208|oi|pass
847|15207|oi|cond
848|15207|oi|pass
849|41316|oi|cond
850|41316|oi|pass
851|44989|oi|rec
852|44989|oi|pass
857|15208|oi|cond
858|15208|oi|pass
859|44989|oa|bpas
860|60218|da|clea
864|17152|mf|lbal
864|41316|mf|brec
865|20226|mf|pass
865|41316|oi|bpas
866|60210|di|brec
867|60210|mf|pass
867|17152|mf|cond
868|17152|mf|pass
872|37070|oi|bpas
874|38392|di|brec
874|15208|mf|rec
875|15208|mf|pass
876|15207|di|rec
877|15207|di|pass
883|37605|mf|rec
884|37605|oi|pass
890|55634|oi|pass
892|60218|da|int
892|15208|oi|bpas
894|60218|da|bout
905|15208|oa|pass
906|37605|oa|rec
907|37605|oa|pass
913|40691|oi|rec
914|40691|oi|pass
914|17127|mf|rec
915|17127|mf|pass
916|44989|mf|rec
917|44989|mf|pass
918|17733|oi|rec
919|17733|oi|pass
919|41316|oi|cond
920|41316|oi|pass
924|60218|da|int
924|17733|oa|bpas
925|15517|da|clea
929|38392|mf|lbal
930|38392|mf|bout
940|37070|mf|bpas
944|44989|mf|brec
945|38392|di|rec
946|38392|di|pass
947|15207|mf|cond
948|15207|mf|pass
949|44989|mf|rec
950|44989|mf|pass
952|37605|mf|cond
953|37605|oi|pass
956|40691|oi|rec
957|40691|oi|pass
959|17127|mf|rec
960|17127|mf|pass
962|44989|oi|cond
963|44989|oi|pass
965|17733|oa|lbal
966|17733|oa|bout
984|37070|di|pass
984|17152|mf|rec
985|17152|mf|pass
986|37070|di|cond
987|37070|di|pass
989|20226|mf|cond
990|20226|mf|pass
991|37368|mf|rec
992|37368|mf|pass
996|15338|mf|cond
997|15338|oi|pass
998|12875|oi|rec
999|12875|oi|pass
1000|37368|mf|cond
1001|37368|mf|pass
1003|15517|mf|rec
1004|15517|mf|pass
1006|60218|mf|rec
1007|60218|mf|pass
1008|37070|mf|rec
1009|37070|mf|pass
1009|60210|oi|cond
1010|60210|oi|pass
1011|17152|oi|lbal
1014|15207|di|brec
1014|17733|mf|cond
1015|17733|di|pass
1016|15208|mf|rec
1017|15208|mf|pass
1022|60207|da|fsuf
1022|44989|oi|bpas
1029|15337|da|pass
1030|37368|di|rec
1031|37368|mf|pass
1034|60210|mf|rec
1035|60210|mf|pass
1036|60207|di|rec
1037|60207|di|pass
1041|15517|di|rec
1042|15517|mf|pass
1044|60210|mf|lbal
1046|38392|mf|pass
1047|37605|mf|lbal
1048|37605|mf|bout
1057|12875|mf|pass
1057|15517|mf|cond
1058|15517|mf|pass
1059|12875|mf|rec
1060|12875|mf|pass
1063|60207|da|rec
1064|60207|da|pass
1066|15337|da|cond
1067|15337|da|pass
1068|60218|di|rec
1069|60218|di|pass
1073|15337|da|cond
1074|15337|da|pass
1077|37070|mf|lbal
1077|17733|mf|brec
1079|17733|mf|bout
1091|37070|mf|pass
1092|60210|mf|cond
1093|60210|oi|pass
1095|12875|oi|cond
1096|12875|oi|wsho
1098|12875|oa|bout
1112|20388|da|pass
1113|41316|di|rec
1114|41316|di|pass
1114|38392|di|rec
1115|38392|di|pass
1120|44989|di|rec
1121|44989|di|pass
1121|37605|mf|rec
1122|37605|mf|pass
1123|15208|mf|rec
1124|15208|mf|pass
1126|15207|mf|rec
1127|15207|mf|pass
1130|44989|mf|rec
1131|44989|mf|pass
1133|17733|oi|cond
1134|17733|oi|pass
1135|44989|mf|cond
1136|44989|mf|pass
1140|15208|oi|rec
