_ts|player_id|place|move
1|60210|mf|pass
1|20226|mf|cond
2|20226|mf|pass
2|37368|mf|rec
3|37368|mf|pass
4|50089|di|rec
5|50089|di|pass
9|60207|di|rec
10|60207|mf|pass
14|50089|di|cond
15|50089|di|pass
20|60207|di|rec
21|60207|di|pass
27|20226|oa|lbal
29|20226|oa|bout
38|44743|da|pass
44|27256|da|rec
45|27256|di|pass
46|19921|mf|cond
47|19921|mf|pass
52|27256|di|cond
53|27256|di|pass
56|44743|da|cond
57|44743|da|pass
58|16738|di|cond
59|16738|di|pass
66|27256|di|rec
67|27256|di|pass
68|16738|di|cond
69|16738|di|pass
72|19624|mf|rec
73|19624|mf|pass
77|14937|oi|bpas
79|14937|oa|bout
92|12875|da|bpas
97|16738|oi|foul
97|20226|di|fsuf
115|60207|di|pass
118|15337|da|bpas
124|15337|oi|bout
130|26904|mf|pass
132|16738|di|cond
133|16738|di|pass
140|27256|di|rec
141|27256|mf|pass
142|58813|mf|rec
143|58813|mf|pass
144|10929|oi|rec
145|10929|oi|pass
148|61770|mf|int
148|58813|mf|bpas
150|17152|mf|bpas
152|19921|mf|lbal
153|17152|mf|bout
158|26904|mf|pass
160|19620|mf|cond
161|19620|mf|pass
165|16738|di|rec
166|16738|mf|pass
170|19921|mf|rec
171|19921|mf|pass
171|14937|mf|rec
172|14937|mf|pass
175|27256|mf|bpas
177|12875|di|clea
178|60210|mf|brec
179|60210|mf|pass
181|12875|mf|lbal
181|19624|mf|lbal
183|37368|mf|brec
183|38530|mf|lbal
184|15517|mf|bpas
187|60207|di|int
187|38530|mf|brec
189|19624|mf|pass
190|19620|mf|rec
191|19620|mf|pass
193|26904|mf|rec
194|26904|mf|pass
197|19620|mf|cond
198|19620|mf|pass
200|26904|oi|rec
201|26904|oi|pass
204|60210|di|brec
204|38530|oi|lbal
205|37368|di|brec
206|37368|di|pass
206|60210|mf|cond
207|60210|mf|pass
208|20226|mf|bpas
209|16738|mf|int
211|16738|mf|bout
217|12875|mf|pass
217|15517|di|cond
218|15517|di|pass
218|12875|mf|rec
219|12875|mf|pass
220|15517|di|cond
221|15517|di|pass
221|12875|mf|rec
222|12875|mf|pass
223|60210|mf|rec
224|60210|mf|pass
225|20226|mf|fsuf
225|16738|mf|foul
237|37368|mf|pass
242|61770|oi|bpas
242|14937|di|int
243|14937|di|drib
243|61770|oi|dled
247|14937|mf|brec
251|61770|mf|dled
251|14937|mf|drib
252|14937|mf|drib
253|14937|mf|pass
255|19921|mf|bpas
256|60210|mf|int
258|19921|mf|pass
260|19620|mf|cond
261|19620|mf|pass
263|26904|mf|cond
264|26904|mf|pass
267|19624|mf|rec
268|19624|mf|pass
268|10929|mf|cond
269|10929|mf|pass
276|19620|mf|cond
277|19620|oi|pass
280|61770|da|dled
280|58813|oa|drib
281|58813|oa|pass
282|19620|oi|bpas
283|50089|da|lbal
284|50089|da|lbal
285|38530|oa|goal
351|60210|mf|pass
351|20226|mf|cond
352|20226|mf|pass
352|37368|mf|rec
353|37368|mf|pass
356|50089|di|bpas
358|14937|mf|int
359|14937|mf|brec
361|14937|oi|pass
363|50089|di|int
363|38530|oi|bpas
364|50089|di|brec
365|50089|di|bpas
368|19921|oi|int
371|19921|oi|pass
373|19624|oi|cond
374|19624|oi|pass
375|58813|oi|cond
376|58813|oi|pass
378|19624|mf|cond
379|19624|mf|pass
381|19620|mf|rec
382|19620|mf|pass
384|26904|oi|rec
385|26904|oi|pass
386|19620|mf|rec
387|19620|mf|pass
388|19624|mf|rec
389|19624|mf|pass
390|38530|oi|rec
391|38530|oi|pass
391|19624|oi|rec
392|19624|oi|pass
394|26904|oi|cond
395|26904|oi|pass
397|19620|mf|rec
398|19620|mf|pass
400|10929|oi|cond
401|10929|oi|pass
402|19921|oi|cond
403|19921|oi|pass
407|58813|oa|bpas
408|61770|da|clea
409|61770|da|bout
441|19620|oa|pass
445|16738|oa|bpas
446|15337|da|gsav
448|15337|da|pass
449|20226|di|rec
450|20226|di|pass
452|60210|mf|lbal
452|58813|mf|brec
453|58813|mf|brec
453|19921|mf|rec
454|19921|mf|pass
454|27256|mf|rec
455|27256|mf|pass
458|58813|mf|cond
459|58813|mf|pass
462|19620|mf|cond
463|19620|mf|pass
465|16738|di|cond
466|16738|di|pass
468|19624|mf|cond
469|19624|mf|pass
471|19921|mf|rec
472|19921|mf|pass
472|38530|mf|rec
473|38530|mf|pass
476|16738|di|cond
477|16738|di|pass
480|27256|di|cond
481|27256|mf|pass
482|58813|oi|cond
483|58813|oi|pass
483|14937|oi|rec
484|14937|oi|pass
485|58813|oi|rec
486|58813|oi|pass
490|27256|mf|rec
491|27256|mf|pass
494|44743|da|rec
495|44743|da|pass
497|16738|di|rec
498|16738|di|pass
504|19620|mf|rec
505|19620|mf|pass
508|19624|mf|rec
509|19624|mf|pass
509|19921|mf|cond
510|19921|mf|pass
512|16738|mf|cond
513|16738|mf|pass
514|26904|mf|rec
515|26904|mf|pass
517|61770|mf|int
518|38530|mf|bpas
519|61770|mf|fsuf
519|38530|mf|foul
552|12875|mf|pass
552|15517|di|rec
553|15517|di|pass
555|50089|di|rec
556|50089|di|pass
559|60207|di|cond
560|60207|di|pass
561|20226|mf|cond
562|20226|mf|pass
562|15517|mf|rec
563|15517|mf|pass
564|61770|oi|rec
565|61770|mf|pass
567|15517|mf|bpas
568|19921|mf|int
571|15517|mf|pass
572|61770|mf|cond
573|61770|mf|pass
574|60207|mf|cond
575|60207|mf|pass
576|50089|di|cond
577|50089|mf|pass
578|60210|mf|cond
579|60210|mf|pass
579|17152|mf|cond
580|17152|mf|pass
586|37070|oa|rec
587|37070|oa|wsho
587|27256|da|gsav
590|27256|da|bout
618|60210|oa|bpas
623|10929|da|clea
628|37070|mf|bpas
632|19921|di|pass
633|58813|di|brec
634|58813|di|bpas
635|58813|mf|bout
640|60210|oi|pass
643|20226|oi|lbal
643|19620|di|brec
645|27256|di|clea
647|27256|oi|bout
659|60207|di|pass
659|15337|da|cond
660|15337|da|pass
662|60207|di|cond
663|60207|di|pass
663|15517|di|rec
664|15517|di|pass
668|37368|mf|drib
668|19624|mf|dled
669|37368|mf|pass
669|61770|mf|cond
670|61770|mf|pass
670|37368|mf|cond
671|37368|mf|pass
675|12875|mf|rec
676|12875|mf|pass
678|15517|mf|rec
679|15517|mf|pass
681|60207|di|cond
682|60207|di|pass
688|50089|mf|bpas
691|16738|da|clea
695|37070|mf|int
695|58813|da|bpas
696|37070|mf|pass
697|17152|oi|brec
698|17152|oi|pass
699|37070|oi|fsuf
699|27256|di|foul
761|20226|oi|wsho
764|20226|oa|bout
782|44743|da|pass
783|27256|da|rec
784|27256|da|pass
788|44743|da|cond
789|44743|da|pass
791|16738|di|rec
792|16738|di|pass
792|19620|di|rec
793|19620|di|pass
795|16738|di|cond
796|16738|di|pass
799|44743|da|rec
800|44743|da|pass
802|19620|da|rec
803|19620|di|pass
808|27256|di|bpas
809|15517|mf|int
810|20226|mf|brec
811|20226|mf|pass
811|37368|oi|rec
812|37368|oi|pass
813|17152|mf|bpas
818|44743|da|brec
820|44743|mf|bout
822|44743|da|brec
937|12875|mf|pass
940|61770|mf|brec
948|44743|da|brec
958|27256|di|bpas
959|60207|di|brec
963|60207|di|pass
965|12875|di|bpas
968|61770|mf|pass
968|38530|oi|int
975|12875|oa|pass
976|37368|oi|rec
977|37368|oi|pass
978|61770|mf|cond
979|61770|mf|pass
980|15517|mf|cond
981|15517|mf|pass
982|12875|oi|cond
