_ts|player_id|place|ball|direc
0|31886|da|0|no
0|175078|da|0|no
1|149828|mf|1|fw
1|51310|mf|1|la
2|51310|mf|1|la
3|126407|mf|1|la
7|126407|oa|0|fw
7|51255|da|0|la
12|51255|da|0|la
14|11225|da|1|la
16|149786|mf|1|fw
18|17337|mf|0|fw
20|11225|mf|0|la
20|17337|mf|0|fw
28|52941|mf|0|la
28|51255|mf|0|la
29|52941|mf|1|la
30|44336|mf|0|fw
30|51255|mf|1|la
32|13229|mf|0|la
32|17337|mf|0|fw
33|17337|mf|0|fw
35|69495|mf|0|la
36|17337|di|0|fw
36|69495|oi|0|la
37|17337|di|1|la
39|50117|di|1|la
40|50117|di|1|la
41|34694|di|1|la
42|34694|di|1|la
43|175078|mf|1|la
44|175078|mf|1|la
46|126407|di|1|la
46|81610|mf|0|fw
48|81610|mf|1|fw
50|17337|di|1|la
52|17337|da|0|no
57|18686|di|0|fw
58|149828|oi|0|la
59|52941|di|1|fw
61|126407|mf|1|la
62|44336|mf|1|fw
63|44336|mf|1|fw
64|149786|mf|1|fw
65|149786|mf|1|fw
67|86813|mf|1|fw
68|86813|mf|1|fw
72|149786|mf|1|fw
75|18686|da|0|la
77|11225|da|0|la
80|52941|di|1|la
81|52941|mf|1|la
86|44336|mf|0|fw
86|49230|mf|0|la
88|51255|mf|1|la
93|11225|mf|1|la
94|11225|mf|1|la
96|81610|mf|1|fw
97|81610|mf|1|fw
101|31886|mf|1|fw
102|31886|mf|1|fw
102|57038|mf|1|fw
103|57038|mf|1|fw
106|18686|mf|1|fw
107|18686|di|1|fw
110|11225|di|1|la
111|11225|di|1|la
112|49230|mf|1|la
113|49230|mf|1|la
114|11225|mf|1|la
120|28549|da|0|la
125|28549|da|1|la
131|18090|da|0|la
132|18090|da|0|la
134|18686|di|0|la
135|18686|di|1|la
136|81610|di|1|fw
137|81610|di|1|fw
139|18686|di|1|fw
140|18686|di|1|la
145|49230|di|1|la
146|49230|mf|1|la
149|51255|mf|1|la
150|51255|mf|1|la
152|69495|oi|1|la
153|149786|di|0|fw
154|86813|di|0|fw
157|11225|mf|0|la
160|13229|oi|0|la
160|17337|di|0|fw
162|17337|di|1|fw
162|49230|mf|1|la
164|44336|di|0|fw
164|13229|oi|0|la
167|44336|mf|1|fw
168|51255|mf|0|la
168|51310|mf|0|fw
169|17337|mf|1|fw
170|44336|mf|0|fw
170|52941|mf|0|la
171|44336|mf|1|fw
172|52941|da|0|no
173|149828|mf|1|fw
177|34694|mf|1|la
178|34694|oi|1|la
180|126407|oi|1|la
183|34694|mf|1|la
186|50117|mf|1|la
187|50117|mf|1|la
189|28549|da|1|la
190|28549|da|1|la
192|149786|di|1|la
193|149786|di|1|la
197|50117|di|1|la
198|50117|di|1|la
202|149786|di|1|la
203|149786|mf|1|fw
206|51310|mf|1|fw
207|51310|mf|1|fw
208|126407|mf|1|la
209|126407|mf|1|la
210|34694|mf|1|la
211|34694|mf|1|la
213|50117|di|1|la
214|50117|di|1|la
217|149786|di|1|fw
218|149786|mf|1|fw
219|44336|oi|1|fw
220|44336|oi|1|fw
224|52941|mf|0|la
224|51310|mf|0|fw
226|57038|mf|0|la
227|17337|mf|0|fw
227|57038|mf|1|la
228|44336|mf|0|fw
228|11225|mf|0|la
229|11225|di|0|la
231|69495|mf|1|la
232|11225|di|1|la
233|149786|mf|0|fw
234|126407|mf|0|fw
237|34694|mf|1|la
238|34694|mf|1|la
240|50117|di|1|la
241|50117|di|1|la
244|149786|mf|1|fw
245|149786|mf|1|fw
248|50117|mf|1|la
251|81610|mf|0|fw
253|34694|mf|0|la
253|81610|mf|0|fw
293|34694|oi|0|la
296|18686|di|0|fw
298|81610|di|0|fw
300|13229|mf|0|fw
300|50117|mf|0|la
301|13229|mf|1|fw
303|149786|da|0|no
304|149786|di|1|la
309|81610|di|0|fw
311|34694|oi|0|la
311|81610|di|0|fw
325|34694|oi|0|la
327|81610|da|0|la
