_ts|player_id|place|ball|direc
0|42786|da|0|no
0|45154|da|0|no
1|61366|mf|1|fw
1|152760|mf|1|fw
2|152760|mf|1|fw
3|41189|mf|1|la
4|41189|mf|1|la
5|55605|mf|1|fw
6|55605|mf|1|fw
9|26901|mf|1|fw
10|26901|mf|1|fw
10|55605|mf|1|fw
11|55605|mf|1|fw
12|26901|mf|1|fw
13|26901|mf|1|fw
15|8924|di|1|fw
18|28525|di|1|la
22|20658|da|0|la
24|20658|da|1|la
25|46497|mf|1|fw
26|46497|mf|1|fw
28|39462|mf|1|fw
29|17476|mf|1|la
31|39462|mf|0|fw
31|41184|mf|0|la
33|61366|mf|0|la
35|61366|oi|1|la
42|53943|di|1|la
45|8924|mf|1|fw
46|55605|mf|1|fw
47|26901|mf|1|fw
47|55605|mf|1|fw
48|26901|mf|1|fw
51|41184|mf|1|fw
52|41184|mf|1|fw
54|55605|mf|1|fw
55|41184|mf|1|fw
55|55605|mf|1|fw
56|41184|mf|1|fw
59|8924|di|1|fw
60|8924|di|1|la
65|41189|mf|1|fw
66|41189|mf|1|la
68|42786|mf|1|la
69|42786|mf|1|la
78|32644|mf|0|fw
78|41189|mf|0|la
104|39194|mf|0|la
107|41184|oi|0|fw
107|53943|di|0|la
110|8924|mf|1|fw
110|15312|di|0|la
111|55605|mf|1|fw
112|55605|mf|1|fw
115|61366|oi|1|fw
119|39462|da|0|la
120|32644|di|0|la
122|8924|mf|0|fw
122|40232|mf|0|la
123|19054|mf|0|fw
128|19054|mf|1|fw
132|45154|oa|1|fw
133|17476|da|0|la
136|17476|di|0|fw
136|45154|oi|0|la
141|45154|oi|0|la
142|53943|oi|0|la
143|53943|oi|1|la
147|28525|mf|1|la
148|28525|mf|1|la
150|15312|mf|1|fw
151|15312|mf|1|fw
156|46497|mf|1|fw
157|46497|mf|1|fw
158|39462|mf|1|fw
159|39462|mf|1|fw
160|32644|mf|1|la
161|32644|mf|1|la
164|15312|mf|1|fw
165|15312|mf|1|fw
167|8924|di|0|la
167|40232|oi|0|fw
169|40232|oi|1|fw
176|45154|oi|1|la
177|32644|mf|1|la
177|45154|oi|1|la
178|32644|mf|1|la
180|53943|oi|1|la
181|53943|oi|0|la
182|26901|da|0|fw
184|40232|oa|0|fw
185|41189|da|0|la
189|28525|di|0|la
191|42899|da|1|la
192|42899|da|1|la
197|15312|di|1|fw
198|39462|mf|1|fw
198|15312|di|1|fw
199|39462|mf|1|fw
204|15312|di|1|fw
205|40232|mf|1|fw
205|15312|mf|1|fw
206|40232|mf|1|fw
207|39462|oi|1|fw
208|39462|oi|1|fw
212|61366|di|0|la
212|46497|oi|0|fw
