_ts|player_id|place|ball|direc
0|52049|da|0|no
0|37572|mf|1|fw
0|19054|mf|1|fw
0|46497|da|0|no
1|32644|mf|1|la
1|19054|mf|1|fw
2|32644|mf|1|la
4|46497|mf|1|la
5|46497|mf|1|la
6|32644|mf|1|la
7|32644|mf|1|la
10|13308|mf|1|fw
11|13308|mf|1|fw
13|28525|mf|1|la
14|28525|mf|1|la
15|46497|mf|1|la
16|32644|mf|1|la
16|46497|mf|1|la
17|32644|mf|1|la
19|57145|di|1|la
20|57145|di|1|la
21|14880|mf|1|fw
22|14880|mf|1|fw
23|13308|mf|1|fw
24|13308|mf|1|fw
24|14880|mf|1|fw
25|14880|mf|1|fw
26|57145|di|1|la
27|57145|di|1|la
32|32644|mf|1|la
33|32644|mf|1|la
34|14880|mf|1|fw
35|14880|mf|1|fw
37|57145|di|1|la
38|57145|di|1|la
42|28525|di|1|la
43|28525|mf|1|la
45|57145|di|1|la
46|57145|di|1|la
50|13308|mf|0|la
50|87447|mf|0|fw
52|13308|mf|1|fw
55|19054|mf|0|fw
55|87447|mf|0|la
56|19054|mf|1|fw
59|69147|da|1|la
62|32644|mf|1|la
62|58893|mf|1|la
63|58893|mf|1|la
65|28525|mf|1|la
66|28525|mf|1|la
69|57145|mf|1|la
70|57145|mf|1|la
73|14880|mf|1|fw
74|14880|mf|1|fw
76|57145|di|1|la
77|57145|di|1|la
79|28525|mf|1|la
80|28525|mf|1|la
84|46497|mf|0|la
84|69887|mf|0|fw
86|46497|oi|1|la
87|37572|oi|1|la
88|69147|di|0|fw
90|37572|oi|0|la
90|69147|di|0|fw
91|58893|oi|0|la
95|66841|di|0|fw
95|37572|oi|0|la
127|19054|oi|0|la
128|58893|oa|0|fw
129|58893|oa|0|fw
130|111457|da|0|la
130|52049|da|0|no
139|52049|da|0|no
170|69887|mf|1|la
178|66841|mf|0|fw
178|58893|mf|0|la
191|58893|mf|0|la
192|32644|mf|0|la
193|32644|mf|1|la
194|14880|mf|1|fw
195|13308|mf|1|fw
195|14880|mf|1|fw
196|13308|mf|1|fw
197|14880|mf|1|fw
198|14880|mf|1|fw
199|20658|mf|1|fw
200|20658|mf|1|fw
202|57145|di|1|la
203|57145|di|1|la
208|20658|mf|1|fw
208|20301|mf|0|la
209|20301|mf|1|la
211|13308|mf|0|fw
212|13308|mf|0|fw
221|16050|mf|0|la
221|19054|mf|0|fw
222|16050|mf|0|la
224|16050|mf|0|la
224|19054|mf|0|fw
237|87447|mf|0|la
242|16050|mf|1|la
243|20658|mf|0|fw
244|20658|mf|0|fw
245|20658|mf|1|fw
245|19054|mf|1|fw
246|19054|mf|1|fw
247|32644|mf|1|fw
248|32644|mf|1|fw
251|46497|mf|1|fw
252|46497|oi|0|fw
252|69147|di|0|la
256|28525|mf|1|la
257|46497|oi|1|la
258|46497|oi|1|la
262|19054|oi|1|fw
263|87447|di|0|la
264|16050|di|0|la
265|16050|di|1|la
269|16050|mf|0|la
269|19054|mf|0|fw
285|32644|di|0|fw
285|20658|mf|0|fw
286|32644|di|1|fw
286|46497|mf|1|la
287|46497|mf|1|la
293|37572|oa|0|fw
293|20301|da|0|la
294|37572|oa|0|fw
294|20301|da|0|la
323|19054|oa|0|fw
325|58893|oa|0|fw
326|20301|da|0|la
327|42544|da|0|la
329|16050|di|0|la
329|13308|oi|0|fw
330|16050|di|0|la
334|16050|di|1|la
336|28525|oi|0|fw
337|28525|mf|0|fw
337|46696|mf|0|la
346|111457|mf|0|la
348|20301|di|0|la
349|20301|di|1|la
356|69147|di|1|fw
357|69147|mf|1|fw
358|42544|oi|1|fw
359|42544|oi|1|fw
362|28525|da|0|no
362|69887|da|0|no
364|28525|di|0|la
364|69887|oi|0|fw
398|46696|oi|0|fw
401|28525|da|0|la
402|28525|da|0|la
402|46696|oa|0|fw
411|46696|oa|0|fw
413|69887|oa|0|fw
416|42899|da|0|la
419|42899|di|0|fw
419|69887|oi|0|la
435|111457|oi|0|la
436|52049|oi|0|la
437|52049|oi|1|la
437|46696|oi|1|la
438|46696|oi|1|la
440|37572|di|0|fw
440|87447|oi|0|la
442|37572|mf|0|fw
443|111457|mf|0|la
443|37572|mf|0|fw
445|20301|mf|0|la
446|20301|mf|1|la
448|69147|mf|1|la
449|69147|mf|1|la
450|46696|mf|1|la
451|46696|mf|1|la
454|87447|mf|1|la
455|87447|mf|1|la
457|111457|oi|1|la
458|111457|oi|1|la
464|52049|oi|1|la
465|52049|oi|1|la
466|111457|oi|1|la
467|20658|di|0|fw
468|111457|oi|0|la
468|20658|di|0|fw
476|111457|oa|0|la
480|57145|da|0|la
480|46696|oa|0|fw
492|57145|da|0|la
494|32644|di|0|la
495|32644|di|1|la
497|28525|mf|1|la
498|28525|mf|1|la
500|46497|mf|1|la
501|46497|mf|1|la
503|13308|mf|1|fw
504|13308|mf|1|fw
505|19054|mf|1|fw
