_ts|player_id|place|ball|direc
0|18427|da|0|no
0|46497|da|0|no
1|18427|mf|1|la
1|37036|mf|1|la
2|18427|mf|1|la
3|36803|mf|1|la
5|37198|oi|0|fw
5|58893|da|0|no
11|37198|da|0|no
18|28525|di|0|la
20|32644|di|0|la
21|32644|di|1|la
22|19975|mf|1|la
23|19975|mf|1|la
28|32644|mf|1|la
29|32644|mf|1|la
32|20658|mf|1|fw
33|20658|mf|1|fw
38|19975|mf|0|fw
38|41071|mf|0|la
66|19975|mf|0|fw
68|57145|mf|0|fw
69|57145|mf|1|fw
70|32644|mf|1|fw
71|32644|mf|1|fw
73|37198|mf|0|fw
73|46497|mf|0|la
74|41071|mf|0|fw
77|41071|mf|0|fw
77|58893|mf|0|la
83|58893|mf|0|la
83|155084|mf|0|fw
102|58893|mf|0|la
106|32644|mf|0|la
109|32644|oi|0|la
109|155084|di|0|fw
122|155084|mf|0|fw
126|41071|mf|0|fw
126|46497|mf|0|la
127|37198|mf|0|fw
127|46497|mf|0|la
128|46497|da|0|no
130|37198|mf|0|fw
130|46497|mf|0|la
133|58893|mf|0|la
134|28525|di|0|la
135|28525|di|1|la
142|32644|mf|1|la
143|32644|mf|1|fw
147|58893|mf|1|la
148|58893|oi|1|la
150|46497|mf|1|la
151|46497|mf|1|la
154|32644|mf|1|la
155|32644|mf|1|fw
158|20658|oi|1|fw
159|20658|oi|1|fw
160|19975|mf|1|fw
161|19975|mf|1|fw
161|19054|oi|1|fw
162|19054|oi|1|fw
163|19975|mf|1|fw
164|19975|mf|1|fw
165|32644|mf|1|fw
166|32644|mf|1|la
173|58893|oa|0|la
176|111674|da|0|la
184|111674|da|1|la
186|49529|mf|1|la
188|57145|di|1|fw
190|20658|da|0|no
192|20658|di|0|fw
228|18427|oi|0|la
229|183059|oa|0|fw
230|183059|oa|0|fw
233|20658|da|0|la
233|183059|oa|0|fw
258|19975|di|0|fw
258|42899|da|0|la
259|19975|di|1|fw
264|19054|oa|0|fw
264|18427|da|0|la
265|19054|oa|0|fw
265|18427|da|0|la
274|20658|oa|0|fw
279|20658|mf|0|fw
279|37036|da|0|la
285|19975|oi|0|fw
288|57145|mf|0|fw
289|57145|mf|1|fw
291|32644|mf|1|la
292|32644|mf|1|la
298|46497|mf|1|la
301|20658|mf|1|fw
301|18427|mf|0|la
302|19975|mf|1|fw
303|19975|mf|1|fw
