_ts|player_id|place|ball|direc
0|52156|da|0|no
0|46497|da|0|no
1|19054|mf|1|fw
1|40232|mf|1|fw
2|19054|mf|1|fw
3|32644|mf|1|la
4|32644|mf|1|la
5|20658|di|1|fw
6|20658|di|1|fw
9|57145|da|1|la
10|57145|di|1|la
15|28525|di|1|la
16|28525|di|1|la
19|57145|di|1|la
20|57145|di|1|fw
22|20658|di|1|fw
23|20658|di|1|fw
26|69305|mf|0|la
26|45154|mf|0|fw
27|69305|mf|0|la
27|45154|mf|0|fw
34|20658|mf|0|fw
36|19054|oi|1|fw
37|81048|mf|0|la
38|81048|mf|1|la
40|68312|mf|0|la
41|68312|mf|0|la
41|19054|mf|0|fw
46|20658|mf|0|fw
50|57145|di|0|fw
51|57145|di|1|fw
53|28525|di|1|la
54|28525|di|1|la
57|58893|mf|1|la
58|58893|mf|1|la
62|40232|oi|1|la
63|40232|oi|1|la
64|46497|mf|1|la
65|46497|mf|1|la
66|19975|mf|1|la
67|19975|mf|1|la
68|20658|mf|1|fw
69|20658|mf|1|fw
73|45154|oi|1|fw
74|19160|di|0|la
75|19160|di|0|la
78|19054|oi|1|fw
79|45154|oi|1|fw
80|19975|mf|1|fw
80|45154|oi|1|fw
81|19975|mf|1|fw
83|19054|oi|1|fw
84|19054|oi|1|fw
85|19975|mf|1|fw
86|19975|mf|1|fw
87|28525|mf|1|la
88|28525|mf|1|la
92|32644|mf|1|la
93|32644|mf|1|la
96|40232|oi|1|la
97|40232|mf|1|la
100|20658|mf|1|fw
101|20658|mf|1|fw
102|45154|mf|1|fw
103|45154|mf|1|fw
105|20658|mf|1|fw
106|20658|mf|1|fw
107|57145|di|1|fw
108|57145|mf|1|fw
109|28525|di|1|la
110|28525|di|1|la
113|58893|mf|1|la
114|58893|mf|1|la
117|21123|mf|0|fw
117|40232|mf|0|la
119|52156|mf|1|la
119|19160|di|1|la
120|19160|di|1|la
125|20658|mf|0|fw
125|69305|mf|0|la
126|45154|mf|0|fw
129|45154|da|0|no
130|68312|mf|0|la
130|45154|mf|0|fw
155|19975|mf|0|fw
155|28525|mf|0|la
156|28525|mf|1|la
160|58893|mf|1|la
164|27335|da|0|fw
165|58893|oa|0|la
165|27335|da|0|fw
176|58893|oa|0|la
178|46497|oa|1|la
178|27335|da|0|fw
179|46497|oa|0|la
179|27335|da|0|fw
184|58893|oa|0|la
187|40232|oa|0|fw
189|69305|da|0|la
191|68312|di|0|la
195|19975|da|0|no
196|19975|oi|0|la
196|68312|di|0|fw
215|119471|di|0|fw
218|19975|da|0|la
218|27335|oa|0|fw
231|57145|da|0|la
231|42899|da|0|la
232|57145|da|1|la
232|42899|da|1|la
235|32644|da|1|la
236|32644|di|1|la
239|28525|di|1|la
240|28525|di|1|la
242|32644|di|1|la
243|32644|di|1|la
250|57145|mf|1|fw
251|57145|mf|0|fw
251|27335|mf|0|la
262|69305|mf|0|la
267|84450|mf|1|la
268|46497|mf|0|la
269|46497|mf|1|la
270|40232|oi|1|fw
271|40232|oi|1|fw
277|46497|oa|0|la
278|27335|da|0|fw
279|46497|oa|0|la
279|27335|da|0|fw
283|46497|oa|0|la
284|58893|oi|0|la
285|58893|oi|1|la
287|32644|mf|1|la
288|32644|mf|1|la
289|19975|mf|1|fw
290|19975|mf|1|fw
291|57145|mf|1|fw
292|57145|mf|1|fw
294|28525|mf|1|la
295|28525|mf|1|la
296|58893|mf|1|la
297|32644|mf|1|la
297|58893|mf|1|la
298|32644|mf|1|la
299|58893|mf|1|la
300|58893|mf|1|la
302|46497|da|0|no
302|27335|di|0|fw
304|46497|oi|0|la
304|27335|di|0|fw
347|19054|oi|0|la
350|19160|da|0|la
353|19975|oi|0|fw
354|84450|da|1|la
357|45154|oi|1|fw
358|32644|mf|1|la
359|32644|mf|1|la
361|20658|mf|1|fw
362|20658|mf|1|fw
365|52156|di|0|la
365|45154|oi|0|fw
366|19054|mf|0|fw
366|52156|mf|0|la
378|20658|oi|0|fw
379|40232|oi|1|fw
383|11973|da|0|la
394|11973|da|1|la
395|58893|mf|1|la
398|46497|oi|0|la
399|46497|oi|0|la
399|11973|di|0|fw
403|119471|da|0|fw
403|27335|di|0|fw
404|119471|da|1|fw
407|28525|mf|0|la
407|81048|mf|0|fw
408|81048|mf|1|fw
409|57145|di|0|la
413|42899|da|1|la
419|69305|di|0|la
421|69305|di|0|la
421|40232|oi|0|fw
422|69305|di|1|la
