_ts|player_id|place|ball|direc
0|77711|da|0|no
0|15403|mf|1|fw
0|8533|da|0|no
1|15403|mf|1|fw
1|15076|mf|1|la
2|15076|mf|1|la
7|78140|di|1|fw
8|78140|di|1|fw
10|52940|mf|1|fw
11|52940|mf|1|fw
14|78140|di|1|fw
18|40539|mf|0|la
18|12297|mf|0|fw
24|78140|mf|0|fw
25|21095|di|0|la
26|21095|di|1|la
33|85352|mf|1|la
35|154685|di|0|la
35|8533|oi|0|fw
36|154685|di|1|la
38|80480|di|0|la
40|95742|di|1|la
41|95742|di|1|la
41|80480|di|1|la
42|80480|di|1|la
45|40539|da|1|la
46|40539|di|1|la
49|154685|da|1|la
50|154685|di|1|la
56|47659|di|1|fw
57|47659|di|1|fw
60|40539|di|1|la
61|40539|da|1|la
62|47659|di|1|fw
63|47659|di|1|fw
64|13867|di|1|fw
65|3273|mf|1|fw
65|13867|mf|1|fw
66|3273|mf|1|fw
67|59115|mf|1|la
68|59115|mf|1|la
73|80480|mf|1|la
74|21095|da|0|la
76|59115|mf|1|la
77|95742|mf|1|la
78|95742|mf|1|la
80|77711|da|0|no
82|77711|mf|0|la
82|15076|mf|0|fw
113|13867|oi|0|la
116|15076|da|0|la
118|40539|mf|1|la
120|95742|mf|1|fw
121|95742|mf|1|fw
126|131897|di|1|la
128|52940|mf|1|fw
130|12297|mf|0|fw
132|12297|oi|0|fw
135|40539|da|1|la
136|131897|da|0|la
137|131897|da|1|la
142|3273|mf|1|la
143|52940|mf|1|fw
146|78140|di|0|fw
147|78140|di|1|fw
149|21095|di|1|la
150|21095|di|1|la
155|85352|mf|1|la
159|131897|da|0|no
160|131897|da|0|la
161|131897|da|0|la
226|40539|di|0|la
227|40539|di|1|la
228|59115|di|1|la
229|59115|di|1|la
231|47659|di|1|fw
232|47659|di|1|fw
234|154685|da|1|la
235|154685|da|1|la
239|40539|da|1|la
240|40539|di|1|la
241|95742|di|1|la
242|95742|di|1|la
245|40539|di|1|la
246|40539|mf|1|la
248|13867|mf|1|fw
249|13867|mf|1|fw
251|154685|di|1|fw
252|154685|di|1|la
254|40539|di|1|la
255|40539|di|1|la
257|13867|di|1|fw
258|13867|di|1|fw
259|154685|di|1|fw
260|154685|di|1|fw
261|131897|da|1|la
262|131897|da|1|la
269|154685|di|1|fw
272|3273|mf|0|fw
272|21095|mf|0|la
273|3273|da|0|no
