_ts|player_id|place|ball|direc
0|40711|mf|1|la
0|77711|da|0|no
0|17279|da|0|no
2|131971|mf|1|fw
6|17804|di|1|fw
7|95742|oi|1|la
9|17804|da|0|fw
9|77711|oa|0|la
11|17804|da|0|fw
11|77711|oa|0|la
15|80480|oa|0|la
21|40711|oa|0|fw
24|17804|da|0|la
24|95742|oa|0|fw
34|8432|da|0|la
38|17861|da|0|la
39|17861|di|1|la
50|8432|da|1|la
55|80480|da|0|la
56|80480|da|1|la
59|131897|da|1|la
62|17804|mf|0|fw
63|17804|mf|1|fw
64|95742|mf|0|la
66|95742|mf|0|la
66|80480|di|1|la
67|80480|di|1|la
67|59115|di|1|la
68|59115|di|1|la
69|95742|da|0|no
70|77711|mf|1|la
70|95742|mf|1|la
71|77711|mf|1|la
72|95742|mf|1|la
75|17861|mf|0|fw
76|17861|mf|1|fw
76|3508|mf|1|fw
77|18003|mf|1|fw
77|3508|mf|1|fw
78|18003|mf|1|fw
80|17804|mf|1|fw
81|17804|mf|1|fw
84|18003|di|1|fw
86|40539|mf|0|la
86|17861|di|0|la
88|3508|da|0|no
89|40711|da|0|no
103|18003|di|0|la
104|17861|di|0|la
105|17861|di|1|la
106|52356|mf|1|la
107|52356|mf|1|la
111|17279|mf|0|la
111|47659|mf|0|fw
118|52356|mf|0|la
119|12237|mf|0|la
120|12237|mf|1|la
121|52356|mf|1|la
122|52356|mf|1|la
125|12237|mf|1|la
127|131897|da|0|la
129|131897|da|0|la
130|40539|di|0|la
131|40539|di|1|la
135|80480|mf|1|la
136|80480|mf|1|la
139|95742|mf|1|la
140|95742|mf|1|la
142|154685|di|1|la
143|154685|di|1|la
148|40539|di|1|la
149|40539|di|1|la
155|154685|di|1|fw
159|17861|di|0|la
161|52356|di|0|la
163|59115|mf|1|fw
165|100887|oi|1|fw
166|100887|oi|1|fw
169|95742|mf|1|fw
170|95742|mf|1|fw
174|80480|oa|1|la
175|80480|oa|1|la
178|77711|oi|0|la
180|100887|oa|0|fw
180|17861|da|0|la
182|12237|da|0|la
184|47659|mf|1|fw
187|95742|oi|1|fw
188|52356|di|0|la
190|59115|mf|1|fw
191|80480|mf|1|la
192|80480|mf|1|la
195|95742|mf|1|la
196|77711|mf|1|la
196|95742|mf|1|la
197|77711|mf|1|la
200|40539|mf|1|la
201|40539|mf|1|la
202|59115|mf|1|la
203|59115|mf|1|la
207|100887|mf|1|fw
208|100887|oi|1|fw
210|8432|da|0|no
211|131971|oa|0|fw
213|8432|da|0|la
213|131971|oa|0|fw
226|8432|da|0|la
227|17861|da|0|la
228|17861|di|1|la
231|52356|di|1|la
232|52356|di|1|la
242|3508|di|1|la
244|40539|mf|0|la
246|40539|mf|1|la
249|100887|oi|1|fw
250|100887|oi|0|fw
251|100887|oa|0|fw
251|17861|da|0|la
264|8432|da|0|la
272|17861|da|0|la
273|17861|di|1|la
276|17804|mf|0|fw
277|100887|mf|0|la
277|17804|mf|0|fw
286|80480|mf|0|la
290|77711|oi|0|la
290|3508|di|0|fw
313|77711|oi|0|la
318|77390|da|0|la
318|47659|oa|0|fw
328|8432|da|0|la
329|18003|di|0|la
330|18003|di|1|fw
332|17804|di|1|fw
333|17804|di|1|fw
334|77390|di|1|fw
335|77390|di|1|fw
335|19524|mf|1|fw
336|19524|mf|1|fw
337|17804|di|1|fw
338|95742|mf|1|la
339|40711|oi|0|la
339|3508|di|0|fw
340|77390|di|0|fw
341|17804|di|1|fw
341|77390|di|1|fw
342|17804|di|1|fw
342|3508|di|1|la
343|12237|di|1|la
343|3508|di|1|la
344|17861|di|1|la
344|12237|di|1|la
345|17861|di|1|la
348|52356|mf|0|la
348|100887|mf|0|fw
349|52356|mf|1|la
350|19524|mf|1|la
351|19524|mf|1|la
361|17279|oi|0|la
361|59115|di|0|fw
385|77390|oi|0|fw
386|12237|oi|0|la
387|12237|oi|1|la
388|17279|oa|1|fw
389|12237|oi|1|la
389|17279|oa|1|fw
390|12237|oi|1|la
393|3508|oi|1|fw
394|3508|oi|1|fw
396|17804|mf|1|fw
397|17804|mf|1|fw
397|19524|mf|1|fw
398|17804|mf|1|fw
398|19524|mf|1|fw
399|17804|mf|1|fw
406|52356|di|1|la
407|52356|di|1|la
408|77390|mf|1|la
409|77390|mf|1|la
413|12237|mf|1|la
414|12237|mf|1|la
416|3508|mf|1|la
417|3508|mf|1|la
418|12237|mf|1|la
419|12237|mf|1|fw
420|19524|mf|1|fw
421|19524|mf|1|fw
422|17804|mf|1|fw
423|17804|mf|1|fw
424|19524|mf|1|fw
425|19524|mf|1|fw
428|40711|mf|0|la
428|12237|mf|0|fw
431|40711|oi|0|la
431|18003|di|0|fw
447|17804|mf|0|fw
449|19524|mf|0|fw
450|95742|mf|1|la
452|12237|mf|0|fw
453|95742|oi|0|la
453|12237|di|0|fw
464|80480|oi|0|la
464|59115|oi|0|la
465|59115|oi|1|la
467|80480|oi|1|la
469|19524|di|0|fw
470|19524|di|0|fw
470|80480|oi|0|la
473|80480|oi|0|la
474|95742|oi|0|la
475|95742|oi|1|la
475|80480|oi|1|la
476|80480|oi|1|la
478|40539|mf|1|la
479|40539|mf|1|la
482|154685|mf|1|la
483|154685|mf|1|fw
486|131897|di|1|la
487|131897|di|1|la
491|154685|mf|1|fw
493|52356|mf|0|la
494|52356|mf|0|la
496|14402|oi|0|fw
497|40539|da|1|la
500|80480|da|0|la
501|80480|da|1|la
507|3508|oi|0|fw
508|19524|oi|1|fw
509|19524|oi|1|fw
510|77390|oi|1|fw
511|77390|oi|1|fw
511|12237|oi|1|fw
512|12237|oi|1|fw
514|52356|oi|1|la
515|52356|oi|1|la
517|17279|oi|1|la
519|100887|da|0|fw
520|100887|da|0|fw
520|17279|oa|0|la
533|52356|oa|0|la
534|100887|da|0|fw
534|17279|oa|1|la
535|100887|da|1|fw
536|17279|oi|0|la
537|100887|da|0|fw
537|17279|oa|0|la
547|47659|di|0|fw
547|59115|di|0|fw
548|59115|di|1|fw
549|47659|da|1|fw
552|100887|mf|0|fw
552|3508|mf|0|la
553|95742|di|1|fw
553|3508|mf|1|la
554|59115|di|1|fw
556|19524|mf|0|fw
557|17804|mf|0|fw
558|17804|mf|1|fw
559|77390|mf|1|fw
559|59115|di|1|la
561|77711|mf|0|la
564|77711|mf|1|la
565|95742|mf|1|la
566|95742|mf|1|la
569|59115|mf|1|la
573|77390|da|0|la
573|59115|oa|0|fw
596|8432|da|0|la
